ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,12616,21,39,22,3,12538
HT4BVJT00189,HT4BVJT00189,9920,11,73,50,2,9823
HT4BVJT00007,HT4BVJT00007,9596,40,67,20,2,9505
HT4BVJT00007,HT4BVJT00007,15566,7,55,6449,2,9087
HT4BTJT00078,HT4BTJT00078,9933,13,30,20,2,9861
HT4BVJT00007,HT4BTJT00078,12746,7,96,3443,1,9191
HT4BVJT00003,HT4BTJT00078,19681,44,161,12444,2,7024
HT4BVJT00003,HT4BTJT00078,28913,36,152,19394,2,9360
HT4BVJT00189,HT4BTJT00078,36732,9,260,27533,2,8957
HT4BVJT00007,HT4BTJT00078,44685,9,192,35410,2,9091
HT4BVJT00007,HT4BTJT00078,52292,11,158,43072,4,9052
HT4BVJT00003,compute-europe-west-1,5392,61,1775,198,3,3355
HT4BTJT00078,compute-europe-west-1,9113,48,2052,5100,3,1901
HT4BVJT00189,compute-europe-west-1,6643,7,1428,3253,3,1933
HT4BTJT00078,compute-europe-west-1,9821,21,1257,6612,3,1924
HT4BVJT00003,compute-europe-west-1,11867,14,1055,7581,3,3211
HT4BTJT00078,compute-europe-west-1,13058,30,851,9728,5,2427
HT4BVJT00007,HT4BVJT00007,9118,22,32,12,3,9049
HT4BTJT00078,compute-europe-west-1,6417,22,2017,2415,4,1954
HT4BVJT00007,HT4BVJT00007,12182,4,49,2984,2,9167
HT4BVJT00003,compute-europe-west-1,3479,16,1549,5,1,1904
HT4BTJT00078,compute-europe-west-1,4410,6,2481,4,0,1912
HT4BVJT00189,compute-europe-west-1,3519,6,1586,3,1,1919
HT4BVJT00189,compute-europe-west-1,3743,12,566,1248,2,1912
HT4BVJT00189,compute-europe-west-1,4224,46,554,1702,2,1913
HT4BTJT00078,compute-europe-west-1,4118,5,2167,4,1,1926
HT4BVJT00189,compute-europe-west-1,6647,23,1613,3107,2,1905
HT4BTJT00078,compute-europe-west-1,4163,50,808,1411,3,1886
HT4BVJT00189,compute-europe-west-1,5033,14,1611,1510,2,1891
HT4BVJT00007,HT4BTJT00078,17537,9,186,8240,3,9101
HT4BVJT00007,HT4BVJT00007,9065,22,112,12,2,8955
HT4BVJT00189,compute-europe-west-1,3324,15,1406,3,1,1912
HT4BVJT00007,HT4BVJT00007,12996,8,57,3821,3,9138
HT4BTJT00078,compute-europe-west-1,5359,5,1708,1772,2,1889
HT4BVJT00189,compute-europe-west-1,3100,9,1088,102,3,1911
HT4BVJT00007,HT4BVJT00189,11234,44,167,7,3,11011
HT4BVJT00189,compute-europe-west-1,3470,12,1554,4,0,1893
HT4BVJT00007,HT4BTJT00078,9267,66,150,12,2,9033
HT4BVJT00007,HT4BTJT00078,16769,8,126,7520,2,9118
HT4BVJT00189,compute-europe-west-1,3323,9,1387,3,1,1921
