ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10105,35,58,20,3,9990
HT4BVJT00189,HT4BVJT00189,10068,20,20,39,5,9996
HT4BVJT00007,HT4BVJT00007,9646,11,59,28,2,9589
HT4BVJT00007,HT4BVJT00007,15354,4,50,6338,2,8967
HT4BVJT00007,HT4BVJT00007,21975,11,47,12980,1,8938
HT4BTJT00127,HT4BTJT00127,10328,17,33,48,4,10230
HT4BVJT00007,HT4BVJT00007,30162,9,48,20999,1,9109
HT4BVJT00007,HT4BTJT00127,13133,8,184,3837,2,9140
HT4BVJT00003,HT4BTJT00127,22308,48,70,12892,2,9295
HT4BVJT00003,HT4BTJT00127,31496,12,43,22157,1,9276
HT4BVJT00189,HT4BTJT00127,39751,19,49,30266,2,9418
HT4BVJT00003,compute-europe-west-1,4254,15,723,128,1,3394
HT4BVJT00189,compute-europe-west-1,5437,24,520,2985,0,1909
HT4BVJT00003,compute-europe-west-1,5651,16,526,3181,0,1924
HT4BTJT00127,compute-europe-west-1,2825,14,885,2,0,1914
HT4BTJT00127,compute-europe-west-1,3507,9,345,1258,1,1889
HT4BTJT00127,compute-europe-west-1,2997,4,849,231,1,1911
HT4BVJT00003,compute-europe-west-1,3027,51,1057,2,1,1914
HT4BTJT00127,compute-europe-west-1,3047,4,1025,129,0,1891
HT4BVJT00007,HT4BVJT00007,9081,12,47,8,2,9012
HT4BVJT00007,HT4BVJT00007,16396,14,49,7138,1,9192
HT4BVJT00189,compute-europe-west-1,2833,50,861,3,0,1912
HT4BVJT00189,compute-europe-west-1,3099,12,698,466,0,1924
HT4BVJT00007,HT4BTJT00127,14922,10,70,5465,1,9365
HT4BVJT00189,compute-europe-west-1,5446,48,689,2815,0,1892
HT4BTJT00127,compute-europe-west-1,3421,5,508,1011,0,1895
HT4BVJT00007,HT4BVJT00189,9542,4,49,20,7,9453
HT4BVJT00189,compute-europe-west-1,5859,7,870,3114,0,1887
HT4BVJT00189,compute-europe-west-1,4218,7,514,1826,0,1872
HT4BTJT00127,compute-europe-west-1,2608,7,703,2,0,1891
HT4BVJT00007,HT4BVJT00007,9322,14,47,9,2,9281
HT4BVJT00007,HT4BVJT00007,17032,14,65,7640,1,9316
HT4BTJT00127,compute-europe-west-1,2625,7,507,208,0,1897
HT4BVJT00189,compute-europe-west-1,2991,13,701,390,0,1892
HT4BVJT00007,HT4BTJT00127,9483,6,46,15,5,9407
HT4BVJT00007,HT4BTJT00127,18391,43,79,8759,1,9508
HT4BVJT00189,compute-europe-west-1,2968,24,1032,2,0,1908
HT4BVJT00189,compute-europe-west-1,3516,24,527,1059,1,1900
HT4BVJT00189,compute-europe-west-1,3161,21,1209,2,1,1930
HT4BTJT00127,compute-europe-west-1,3440,59,1198,253,0,1935
HT4BVJT00007,HT4BVJT00007,9466,23,51,12,2,9383
HT4BVJT00189,compute-europe-west-1,2786,14,869,2,0,1899
HT4BVJT00003,compute-europe-west-1,2685,46,740,2,1,1894
HT4BVJT00007,HT4BVJT00007,14775,4,7,5381,1,9381
HT4BVJT00003,compute-europe-west-1,2795,8,887,3,0,1899
HT4BVJT00007,HT4BVJT00007,15735,7,44,6173,1,9506
HT4BVJT00003,compute-europe-west-1,2709,70,748,1,1,1890
HT4BVJT00003,compute-europe-west-1,2786,20,871,2,0,1894
HT4BVJT00007,HT4BVJT00007,10172,5,11,647,1,9510
HT4BVJT00003,compute-europe-west-1,2607,22,708,2,0,1884
