ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10760,47,79,21,5,10610
HT4BVJT00189,HT4BVJT00189,10167,9,76,18,7,10093
HT4BVJT00007,HT4BVJT00007,10066,47,107,38,5,9890
HT4BVJT00007,HT4BVJT00007,16056,4,89,6768,4,9226
HT4BTJT00127,HT4BTJT00127,13803,83,126,18,5,13606
HT4BVJT00007,HT4BTJT00127,18249,8,467,7025,5,10782
HT4BVJT00003,HT4BTJT00127,27489,6,1276,16810,7,9388
HT4BVJT00003,HT4BTJT00127,36752,17,1337,26047,5,9343
HT4BVJT00189,HT4BTJT00127,45008,48,525,35050,3,9419
HT4BVJT00007,HT4BTJT00127,53474,5,205,43741,3,9516
HT4BVJT00007,HT4BTJT00127,61512,5,387,51541,5,9572
HT4BVJT00003,HT4BTJT00127,79876,11,569,69840,6,9481
HT4BTJT00127,HT4BTJT00127,70231,15,249,60494,7,9483
HT4BVJT00189,HT4BTJT00127,88658,42,570,78573,6,9504
HT4BTJT00127,HT4BTJT00127,95666,29,101,87934,4,7624
HT4BTJT00127,compute-europe-west-1,6872,44,2870,210,7,3760
HT4BVJT00007,HT4BVJT00007,9316,28,88,28,8,9194
HT4BVJT00003,compute-europe-west-1,4977,9,2607,18,2,2298
HT4BTJT00127,compute-europe-west-1,6868,6,2790,1886,2,2188
HT4BVJT00003,compute-europe-west-1,6948,21,1748,2935,4,2243
HT4BVJT00007,HT4BVJT00007,12394,52,105,3067,4,9166
HT4BTJT00127,compute-europe-west-1,5623,19,3381,28,1,2188
HT4BVJT00189,compute-europe-west-1,5131,13,2910,21,2,2185
HT4BVJT00189,compute-europe-west-1,5681,7,1451,2026,3,2182
HT4BVJT00189,compute-europe-west-1,6447,13,3599,686,4,2180
HT4BVJT00003,compute-europe-west-1,8604,10,6388,15,1,2185
HT4BTJT00127,compute-europe-west-1,11496,43,8801,470,1,2172
HT4BVJT00189,compute-europe-west-1,8098,8,4939,1007,1,2159
HT4BTJT00127,compute-europe-west-1,14003,6,8197,3634,4,2166
HT4BVJT00189,compute-europe-west-1,8880,59,4789,1881,1,2150
HT4BVJT00007,HT4BVJT00007,9305,5,91,25,6,9213
HT4BVJT00007,HT4BVJT00007,16565,49,138,7257,5,9149
HT4BVJT00189,compute-europe-west-1,4554,8,2339,13,1,2188
HT4BVJT00007,HT4BVJT00189,10271,5,599,10,3,9693
HT4BTJT00127,compute-europe-west-1,7098,62,2592,2282,3,2163
HT4BVJT00189,compute-europe-west-1,4582,13,1238,1152,2,2176
HT4BVJT00007,HT4BVJT00189,18930,5,476,8518,3,9955
HT4BVJT00189,compute-europe-west-1,4333,13,2051,9,3,2248
HT4BVJT00007,HT4BVJT00007,9458,5,97,20,5,9361
HT4BVJT00007,HT4BVJT00007,17300,6,116,7793,7,9419
HT4BVJT00189,compute-europe-west-1,4730,24,2495,14,2,2199
HT4BVJT00007,HT4BVJT00189,11119,50,354,514,4,10224
HT4BVJT00189,compute-europe-west-1,4898,20,2676,15,2,2181
HT4BVJT00007,HT4BVJT00007,15644,17,125,6072,4,9463
HT4BVJT00189,compute-europe-west-1,4936,24,2665,16,2,2208
HT4BVJT00003,compute-europe-west-1,6318,6,2586,1539,4,2177
HT4BVJT00003,compute-europe-west-1,4614,6,2435,13,2,2167
HT4BTJT00127,compute-europe-west-1,23730,15,21515,14,2,2173
HT4BVJT00007,HT4BVJT00007,12663,5,101,3032,5,9556
HT4BTJT00127,compute-europe-west-1,21773,4,17609,1882,3,2268
HT4BTJT00127,compute-europe-west-1,24582,7,18584,3836,2,2149
HT4BTJT00127,compute-europe-west-1,26499,15,18739,5564,4,2163
HT4BTJT00127,compute-europe-west-1,21800,6,17462,2161,3,2160
HT4BVJT00007,HT4BVJT00007,18301,9,111,8472,6,9720
HT4BVJT00003,compute-europe-west-1,7927,10,5731,16,2,2164
