ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3133,10,1040,4,0,2074
HT4BVJT00189,compute-europe-west-1,3610,12,1420,116,3,2053
HT4BVJT00007,compute-europe-west-1,4893,50,1326,1453,3,2051
HT4BVJT00007,compute-europe-west-1,5306,5,727,2538,3,2026
HT4BTJT00127,compute-europe-west-1,6032,12,1183,2574,1,2238
HT4BVJT00007,compute-europe-west-1,5034,11,1366,1480,1,2167
HT4BVJT00003,compute-europe-west-1,7010,14,1544,3400,2,2038
HT4BVJT00003,compute-europe-west-1,9050,43,1656,5254,3,2087
HT4BVJT00189,compute-europe-west-1,12682,9,1789,8773,3,2108
HT4BVJT00007,compute-europe-west-1,10035,5,800,7123,3,2093
HT4BVJT00007,compute-europe-west-1,13432,49,549,10756,3,2075
HT4BVJT00003,compute-europe-west-1,15190,60,573,12501,3,2067
HT4BTJT00127,compute-europe-west-1,21118,13,1861,17247,2,1996
HT4BVJT00189,compute-europe-west-1,16869,46,710,14110,2,1999
HT4BTJT00127,compute-europe-west-1,22530,54,1392,19071,2,2011
HT4BVJT00003,compute-europe-west-1,17986,9,731,15260,2,1988
HT4BTJT00127,compute-europe-west-1,23318,46,719,20515,3,2037
HT4BVJT00007,HT4BTJT00127,9516,25,267,12,3,9217
HT4BTJT00127,HT4BTJT00127,17004,13,146,7531,2,9346
HT4BVJT00007,HT4BVJT00003,9456,15,271,41,5,9116
HT4BVJT00003,HT4BVJT00003,16015,16,38,6655,2,9303
HT4BTJT00127,HT4BVJT00007,9405,6,302,16,3,9082
HT4BVJT00189,HT4BTJT00127,18205,17,297,8577,3,9312
HT4BVJT00189,HT4BVJT00007,14497,10,194,5071,2,9223
HT4BVJT00189,HT4BVJT00189,7519,8,37,24,8,7446
HT4BTJT00127,HT4BVJT00189,16356,11,397,6046,3,9919
HT4BVJT00189,HT4BVJT00003,18072,5,227,8432,3,9433
HT4BTJT00127,HT4BVJT00003,27381,6,217,17547,3,9604
HT4BVJT00189,compute-europe-west-1,8033,5,4119,1854,3,2048
HT4BVJT00007,compute-europe-west-1,7710,13,1867,3810,3,2013
HT4BVJT00007,compute-europe-west-1,8759,16,1235,5487,3,1992
HT4BVJT00189,compute-europe-west-1,10829,14,1702,7123,3,1979
HT4BVJT00007,compute-europe-west-1,8147,4,878,5261,2,2002
HT4BTJT00127,compute-europe-west-1,13907,44,1831,10028,3,2000
HT4BVJT00189,compute-europe-west-1,15700,13,2780,10911,3,1993
HT4BVJT00007,compute-europe-west-1,11554,4,590,8911,4,1988
HT4BVJT00189,HT4BVJT00189,14097,15,63,3827,3,10224
HT4BVJT00007,HT4BVJT00007,9382,45,79,14,3,9244
HT4BVJT00007,HT4BVJT00007,18102,46,71,8514,13,9455
HT4BVJT00189,HT4BTJT00127,9637,46,122,20,4,9439
HT4BVJT00003,HT4BTJT00127,19409,5,247,9007,4,10145
HT4BVJT00007,HT4BVJT00189,18710,6,289,8359,2,10056
