ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9208,10,17,23,4,9121
HT4BVJT00189,compute-europe-west-1,2482,12,508,3,1,1949
HT4BVJT00007,compute-europe-west-1,3666,24,1010,675,0,1950
HT4BVJT00007,compute-europe-west-1,3941,13,844,1158,1,1917
HT4BVJT00007,compute-europe-west-1,4712,45,694,2058,1,1918
HT4BTJT00127,compute-europe-west-1,8154,31,1028,5193,0,1908
HT4BVJT00007,compute-europe-west-1,6176,19,575,3642,1,1929
HT4BVJT00007,compute-europe-west-1,6950,15,1355,3649,0,1924
HT4BVJT00003,HT4BVJT00003,9800,4,7,599,1,9191
HT4BVJT00003,HT4BVJT00003,19168,6,43,9688,4,9427
HT4BVJT00189,compute-europe-west-1,8166,51,836,5348,0,1916
HT4BVJT00003,HT4BTJT00127,9232,5,43,20,4,9159
HT4BVJT00189,compute-europe-west-1,8134,6,666,5551,1,1905
HT4BVJT00003,HT4BTJT00127,17197,6,34,7968,1,9188
HT4BTJT00127,compute-europe-west-1,5390,5,1172,2312,0,1903
HT4BTJT00127,compute-europe-west-1,6691,7,1379,3395,0,1905
HT4BTJT00127,compute-europe-west-1,7397,5,1161,4303,0,1919
HT4BVJT00003,HT4BVJT00003,16313,12,19,6789,4,9492
HT4BTJT00127,compute-europe-west-1,4994,27,1166,1883,1,1911
HT4BVJT00007,compute-europe-west-1,6095,7,840,3311,0,1934
HT4BVJT00007,compute-europe-west-1,7142,5,339,4809,1,1977
HT4BVJT00189,compute-europe-west-1,7699,39,991,4699,1,1956
HT4BVJT00189,compute-europe-west-1,8830,22,524,6308,0,1969
HT4BVJT00007,compute-europe-west-1,14189,53,1191,11012,1,1934
HT4BVJT00189,compute-europe-west-1,10019,46,513,7546,0,1911
HT4BTJT00127,compute-europe-west-1,11865,10,676,9258,0,1920
HT4BVJT00007,compute-europe-west-1,15509,19,777,12777,0,1933
HT4BVJT00189,compute-europe-west-1,16998,12,839,14206,0,1936
HT4BVJT00189,compute-europe-west-1,17151,49,338,14863,0,1895
HT4BTJT00127,HT4BVJT00003,14079,48,53,4516,1,9462
HT4BVJT00007,HT4BVJT00003,23542,14,52,13928,2,9547
HT4BVJT00007,HT4BTJT00127,19129,14,131,9511,2,9471
HT4BTJT00127,HT4BTJT00127,9634,29,42,24,6,9546
HT4BVJT00189,HT4BVJT00007,9188,9,54,17,4,9069
HT4BVJT00007,HT4BVJT00007,16725,8,7,7525,1,9184
HT4BVJT00007,HT4BVJT00189,9588,10,107,11,2,9453
HT4BVJT00189,HT4BVJT00007,25696,47,66,16209,5,9365
HT4BVJT00189,HT4BVJT00189,18660,7,6,8841,2,9803
HT4BVJT00189,compute-europe-west-1,7916,5,1157,4852,0,1906
HT4BTJT00127,compute-europe-west-1,9010,4,1364,5753,0,1937
HT4BVJT00007,compute-europe-west-1,9510,8,836,6748,1,1915
HT4BVJT00189,compute-europe-west-1,10942,5,990,8033,1,1911
HT4BVJT00003,HT4BTJT00127,18094,8,49,8549,1,9476
HT4BVJT00007,compute-europe-west-1,11305,28,1175,8169,0,1932
