ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,4524,7,2081,8,3,2408
HT4BVJT00189,compute-europe-west-1,5405,6,2043,886,4,2470
HT4BVJT00007,compute-europe-west-1,6902,41,3994,563,2,2291
HT4BVJT00007,compute-europe-west-1,7556,10,2780,2540,1,2234
HT4BTJT00127,compute-europe-west-1,8274,10,2709,3321,1,2242
HT4BVJT00007,compute-europe-west-1,7348,13,3793,1311,1,2226
HT4BVJT00003,compute-europe-west-1,26154,8,22061,1729,2,2354
HT4BVJT00003,compute-europe-west-1,28392,6,24240,1880,2,2291
HT4BVJT00189,compute-europe-west-1,8848,16,5674,936,3,2216
HT4BVJT00007,compute-europe-west-1,13488,20,11207,9,1,2237
HT4BVJT00007,compute-europe-west-1,35503,13,23572,9704,2,2225
HT4BVJT00003,compute-europe-west-1,30729,5,22185,6285,2,2257
HT4BTJT00127,compute-europe-west-1,62185,7,43343,16587,4,2240
HT4BVJT00189,compute-europe-west-1,21169,10,18831,13,2,2337
HT4BTJT00127,compute-europe-west-1,59332,5,35184,21881,1,2265
HT4BTJT00127,compute-europe-west-1,75962,39,51356,22302,3,2251
HT4BVJT00007,compute-europe-west-1,48895,49,23341,23245,4,2281
HT4BVJT00003,compute-europe-west-1,31374,26,17302,11797,4,2248
HT4BTJT00127,compute-europe-west-1,62729,6,41510,18974,4,2225
HT4BVJT00003,compute-europe-west-1,25707,16,15417,8016,1,2255
HT4BVJT00007,compute-europe-west-1,43565,8,19992,21539,1,2262
HT4BTJT00127,compute-europe-west-1,62385,4,39026,21106,4,2238
HT4BVJT00189,compute-europe-west-1,29858,8,10238,17352,4,2251
HT4BVJT00189,compute-europe-west-1,13348,22,6917,4154,1,2269
HT4BVJT00189,compute-europe-west-1,30558,12,8972,19304,2,2267
HT4BVJT00003,compute-europe-west-1,23464,10,7297,13928,2,2230
HT4BTJT00127,compute-europe-west-1,49765,6,29263,18278,3,2212
HT4BVJT00189,compute-europe-west-1,24341,33,5949,16129,3,2218
HT4BTJT00127,compute-europe-west-1,53314,5,31140,19944,3,2218
HT4BVJT00189,compute-europe-west-1,29366,5,6065,21082,2,2238
HT4BVJT00007,compute-europe-west-1,33876,41,8126,23458,4,2262
HT4BVJT00007,compute-europe-west-1,35181,65,7296,25554,1,2266
HT4BVJT00189,HT4BVJT00003,10260,13,518,22,7,9705
HT4BVJT00007,HT4BVJT00003,19136,4,608,9003,3,9530
HT4BTJT00127,HT4BVJT00003,38586,5,1086,27576,23,9971
HT4BVJT00189,HT4BVJT00003,48210,46,923,37423,5,9757
HT4BVJT00007,HT4BVJT00003,28179,16,615,17898,4,9698
HT4BVJT00189,HT4BTJT00127,10845,29,661,16,5,10122
HT4BVJT00007,HT4BTJT00127,18916,44,1016,7609,5,10250
HT4BVJT00007,HT4BTJT00127,28592,54,728,17366,8,10484
HT4BVJT00189,HT4BTJT00127,37939,9,679,27411,6,9835
HT4BVJT00007,HT4BVJT00007,9903,8,146,24,6,9757
HT4BVJT00189,HT4BVJT00007,18524,7,815,7733,9,9982
HT4BVJT00007,HT4BVJT00189,10553,5,799,15,5,9768
HT4BVJT00189,HT4BVJT00189,19745,6,103,9533,6,10137
HT4BVJT00003,HT4BVJT00189,29955,17,619,18740,6,10588
HT4BVJT00003,HT4BVJT00007,22654,14,808,12281,6,9579
HT4BTJT00127,compute-europe-west-1,41938,10,13981,25706,2,2241
HT4BVJT00007,compute-europe-west-1,20251,10,1930,16093,1,2218
HT4BTJT00127,compute-europe-west-1,37596,9,9740,25602,3,2240
HT4BTJT00127,HT4BVJT00007,38358,7,1521,26958,15,9864
HT4BTJT00127,HT4BVJT00007,58357,5,1837,46393,6,10119
HT4BTJT00127,HT4BVJT00007,48047,9,1532,36514,4,10000
HT4BVJT00007,HT4BVJT00007,27769,16,160,17902,4,9722
HT4BVJT00003,compute-europe-west-1,27841,6,2340,23218,3,2269
HT4BVJT00007,HT4BVJT00189,29085,8,348,18355,3,10372
HT4BTJT00127,compute-europe-west-1,35891,5,7286,26355,4,2241
HT4BVJT00003,HT4BTJT00127,39621,29,825,28670,17,10119
HT4BTJT00127,HT4BTJT00127,29174,10,138,19194,4,9866
HT4BVJT00003,compute-europe-west-1,27831,13,1851,23738,3,2227
HT4BVJT00189,HT4BVJT00003,29883,17,480,19245,5,10166
