ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3316,52,1065,101,0,2082
HT4BVJT00189,compute-europe-west-1,4646,8,2584,5,1,2054
HT4BVJT00007,compute-europe-west-1,5973,42,2419,1448,4,2060
HT4BVJT00007,compute-europe-west-1,6386,14,2572,1738,4,2056
HT4BTJT00127,compute-europe-west-1,7085,12,3952,910,0,2220
HT4BVJT00007,compute-europe-west-1,10183,15,2042,6128,1,2012
HT4BVJT00003,compute-europe-west-1,5968,13,1725,2115,3,2111
HT4BVJT00003,compute-europe-west-1,8014,15,1858,4058,3,2094
HT4BVJT00189,compute-europe-west-1,11478,8,1538,7894,2,2019
HT4BVJT00007,compute-europe-west-1,23160,7,6272,14834,4,2040
HT4BVJT00007,compute-europe-west-1,24418,39,5809,16537,3,2034
HT4BVJT00003,compute-europe-west-1,11897,45,603,9254,2,2015
HT4BTJT00127,compute-europe-west-1,17904,45,3151,12665,3,2035
HT4BVJT00189,compute-europe-west-1,13565,14,1207,10314,3,2012
HT4BTJT00127,compute-europe-west-1,19342,45,3121,14117,3,2064
HT4BVJT00003,compute-europe-west-1,14714,13,596,12086,3,2018
HT4BTJT00127,HT4BVJT00003,9763,43,437,35,11,9232
HT4BVJT00007,HT4BVJT00003,16652,30,286,7064,5,9267
HT4BTJT00127,HT4BTJT00127,9354,50,70,12,5,9256
HT4BVJT00007,HT4BTJT00127,18080,9,421,7794,3,9863
HT4BVJT00003,HT4BVJT00007,9368,16,240,42,4,9069
HT4BTJT00127,HT4BVJT00007,17704,4,319,8210,3,9167
HT4BVJT00189,HT4BVJT00003,15849,47,320,6315,3,9196
HT4BVJT00189,HT4BVJT00003,24479,5,360,14732,2,9424
HT4BVJT00189,HT4BTJT00127,18978,5,217,9411,3,9334
HT4BTJT00127,compute-europe-west-1,11279,44,2431,6735,4,2090
HT4BVJT00189,compute-europe-west-1,8555,29,1567,4948,4,2017
HT4BTJT00127,compute-europe-west-1,12437,8,1595,8829,4,2029
HT4BVJT00189,compute-europe-west-1,13013,43,718,10212,3,2048
HT4BVJT00007,HT4BVJT00007,16284,6,63,7003,3,9219
HT4BVJT00007,HT4BVJT00189,7580,8,291,19,5,7261
HT4BVJT00189,HT4BVJT00189,15511,5,24,5632,1,9855
HT4BVJT00007,compute-europe-west-1,11263,14,2023,7181,4,2038
HT4BTJT00127,compute-europe-west-1,9008,7,1674,5256,4,2069
HT4BVJT00189,compute-europe-west-1,12959,6,5547,5308,3,2089
HT4BVJT00007,HT4BTJT00127,18311,7,183,8808,5,9302
HT4BVJT00189,compute-europe-west-1,11182,8,2717,6402,3,2044
HT4BVJT00007,compute-europe-west-1,11002,9,1708,7244,3,2019
HT4BVJT00007,compute-europe-west-1,12213,32,1228,8934,3,2014
HT4BVJT00189,compute-europe-west-1,13696,23,847,10809,0,2016
HT4BVJT00003,compute-europe-west-1,19457,6,4170,13240,4,2038
HT4BVJT00007,compute-europe-west-1,13851,5,2022,9773,3,2040
HT4BVJT00007,compute-europe-west-1,15569,5,2074,11471,4,2018
HT4BVJT00003,compute-europe-west-1,21157,6,4362,14797,4,2010
HT4BVJT00189,compute-europe-west-1,18557,8,1396,15135,1,2015
HT4BVJT00189,HT4BVJT00189,11029,12,65,1027,3,9969
HT4BVJT00007,HT4BVJT00189,18632,45,164,8357,4,10075
HT4BVJT00003,HT4BVJT00189,28276,16,191,18029,11,10033
HT4BTJT00127,HT4BVJT00007,9394,5,234,28,16,9128
HT4BVJT00007,HT4BVJT00007,17899,5,13,8637,1,9248
HT4BTJT00127,HT4BVJT00003,9735,17,328,21,5,9394
HT4BVJT00003,HT4BVJT00003,18778,7,46,9317,2,9428
HT4BTJT00127,HT4BVJT00003,28035,35,257,18160,4,9557
HT4BVJT00003,HT4BTJT00127,9507,17,213,10,2,9265
HT4BVJT00007,HT4BTJT00127,17455,10,153,7918,3,9370
HT4BVJT00003,compute-europe-west-1,9657,8,2842,4747,3,2089
HT4BTJT00127,compute-europe-west-1,8626,5,1893,4734,1,2007
HT4BVJT00189,compute-europe-west-1,8823,14,1355,5426,1,2024
HT4BVJT00007,compute-europe-west-1,9730,9,1863,5761,3,2082
HT4BVJT00007,compute-europe-west-1,10450,6,894,7508,3,2023
HT4BVJT00189,compute-europe-west-1,12020,6,1348,8612,0,2052
HT4BVJT00007,compute-europe-west-1,9322,8,1736,5548,3,2038
HT4BTJT00127,compute-europe-west-1,7573,48,1920,3599,3,2015
HT4BTJT00127,compute-europe-west-1,9115,5,2238,4789,3,2086
HT4BTJT00127,compute-europe-west-1,7928,14,1062,4800,4,2048
HT4BVJT00007,compute-europe-west-1,12409,19,3522,6858,3,2016
HT4BVJT00003,compute-europe-west-1,7540,5,1735,3756,3,2024
HT4BVJT00003,compute-europe-west-1,9441,5,2146,5253,4,2025
HT4BVJT00189,compute-europe-west-1,12251,31,1958,8232,3,2022
HT4BVJT00003,compute-europe-west-1,12912,47,1052,9766,3,2050
HT4BVJT00003,HT4BVJT00007,9414,17,187,41,18,9156
HT4BVJT00007,HT4BVJT00007,14936,7,27,5728,2,9173
HT4BVJT00007,HT4BVJT00007,24391,7,128,14813,2,9479
HT4BVJT00189,HT4BVJT00007,33325,27,172,23699,2,9426
HT4BTJT00127,HT4BVJT00003,9843,18,306,8,3,9462
HT4BTJT00127,HT4BVJT00003,18742,12,228,9014,2,9498
HT4BVJT00003,compute-europe-west-1,6593,9,1386,3166,1,2026
HT4BVJT00189,compute-europe-west-1,7204,6,1705,3462,3,2021
HT4BVJT00003,compute-europe-west-1,8257,7,1393,4843,3,2010
HT4BTJT00127,compute-europe-west-1,8119,15,1781,4285,3,2027
HT4BVJT00003,compute-europe-west-1,8341,6,1567,4745,3,2019
