ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,2725,31,863,3,0,1836
HT4BVJT00189,compute-europe-west-1,2982,50,521,592,1,1825
HT4BVJT00007,compute-europe-west-1,4069,12,834,1381,0,1834
HT4BVJT00007,compute-europe-west-1,4245,18,675,1727,0,1814
HT4BVJT00007,compute-europe-west-1,4903,43,530,2510,0,1817
HT4BTJT00127,compute-europe-west-1,8162,35,3618,2753,0,1806
HT4BVJT00007,compute-europe-west-1,6264,50,559,3836,1,1818
HT4BVJT00007,compute-europe-west-1,10510,14,1206,7439,0,1845
HT4BVJT00003,compute-europe-west-1,6755,14,899,4030,1,1812
HT4BVJT00003,compute-europe-west-1,8546,10,1017,5676,0,1838
HT4BVJT00189,compute-europe-west-1,11608,19,797,8980,1,1799
HT4BVJT00003,compute-europe-west-1,11824,51,674,9271,1,1817
HT4BVJT00189,compute-europe-west-1,13308,10,678,10792,0,1804
HT4BVJT00003,HT4BVJT00003,9246,14,18,16,4,9160
HT4BTJT00127,HT4BVJT00003,14647,54,82,5288,1,9230
HT4BTJT00127,compute-europe-west-1,9855,29,691,7319,0,1805
HT4BTJT00127,compute-europe-west-1,10511,29,847,7748,1,1875
HT4BVJT00003,compute-europe-west-1,8990,7,844,6324,1,1813
HT4BTJT00127,compute-europe-west-1,9844,20,1152,6877,0,1806
HT4BVJT00007,compute-europe-west-1,10791,15,912,8057,0,1797
HT4BVJT00007,compute-europe-west-1,11647,51,359,9418,0,1813
HT4BVJT00189,compute-europe-west-1,12086,27,908,9317,0,1829
HT4BVJT00189,compute-europe-west-1,13109,32,398,10826,1,1847
HT4BVJT00007,compute-europe-west-1,14536,44,710,11949,0,1821
HT4BVJT00189,HT4BVJT00003,13146,9,76,3714,1,9343
HT4BTJT00127,HT4BVJT00003,22490,24,41,13009,1,9417
HT4BVJT00007,HT4BTJT00127,9277,33,100,13,3,9161
HT4BVJT00189,HT4BTJT00127,17960,16,88,8755,1,9103
HT4BVJT00189,HT4BVJT00007,9198,34,38,16,6,9107
HT4BTJT00127,HT4BVJT00007,14820,5,58,5655,1,9097
HT4BVJT00007,HT4BVJT00007,23928,5,12,14690,1,9223
HT4BVJT00007,HT4BVJT00189,19357,8,136,9433,1,9778
HT4BTJT00127,HT4BVJT00189,9567,5,31,27,6,9492
HT4BVJT00189,compute-europe-west-1,8339,16,680,5823,0,1816
HT4BVJT00007,compute-europe-west-1,8523,43,662,5998,0,1817
HT4BVJT00007,compute-europe-west-1,10035,3,897,7323,0,1808
HT4BVJT00189,compute-europe-west-1,11785,50,852,9064,0,1804
HT4BVJT00189,compute-europe-west-1,12919,5,400,10694,0,1813
HT4BVJT00189,compute-europe-west-1,11441,8,1214,8430,1,1801
HT4BTJT00127,compute-europe-west-1,12419,5,1221,9384,1,1813
HT4BVJT00007,compute-europe-west-1,12801,42,818,10129,0,1812
HT4BVJT00189,compute-europe-west-1,14140,6,842,11483,1,1800
HT4BVJT00003,compute-europe-west-1,14873,10,661,12393,1,1805
HT4BVJT00007,compute-europe-west-1,16205,44,991,13336,0,1829
HT4BVJT00003,HT4BVJT00003,12645,9,7,2785,1,9843
HT4BVJT00007,HT4BTJT00127,9294,15,50,22,5,9191
HT4BVJT00003,HT4BVJT00003,16014,6,6,6446,1,9555
HT4BVJT00003,HT4BTJT00127,11900,5,57,2049,1,9786
HT4BVJT00007,compute-europe-west-1,6218,5,1150,3226,0,1832
HT4BVJT00003,compute-europe-west-1,7326,6,601,4921,0,1798
HT4BVJT00007,compute-europe-west-1,8522,14,495,6181,0,1831
HT4BVJT00189,compute-europe-west-1,9908,15,563,7513,1,1816
HT4BTJT00127,compute-europe-west-1,11454,5,1171,8456,0,1820
HT4BVJT00003,compute-europe-west-1,11676,43,833,8980,0,1813
HT4BTJT00127,compute-europe-west-1,12977,6,845,10293,0,1826
HT4BVJT00189,HT4BTJT00127,16424,13,58,6759,1,9580
HT4BTJT00127,compute-europe-west-1,14055,5,270,11954,0,1819
HT4BVJT00007,HT4BVJT00007,9289,12,75,22,2,9199
HT4BTJT00127,HT4BVJT00007,13684,5,52,4210,3,9405
HT4BVJT00007,compute-europe-west-1,5093,6,670,2637,0,1789
HT4BVJT00189,compute-europe-west-1,2551,49,692,1,1,1798
HT4BTJT00127,compute-europe-west-1,2858,23,1018,3,0,1811
HT4BVJT00007,compute-europe-west-1,4320,5,843,1653,0,1809
HT4BVJT00007,compute-europe-west-1,6105,4,1146,3126,0,1822
HT4BTJT00127,compute-europe-west-1,7740,60,932,4942,1,1812
HT4BVJT00003,compute-europe-west-1,8759,12,1011,5937,0,1797
HT4BVJT00003,compute-europe-west-1,10466,5,1122,7532,0,1808
HT4BTJT00127,compute-europe-west-1,11749,18,898,9004,1,1830
HT4BVJT00189,compute-europe-west-1,13528,51,1024,10626,1,1820
HT4BVJT00003,compute-europe-west-1,9664,16,504,7329,0,1808
HT4BVJT00003,HT4BVJT00007,9461,16,100,22,7,9266
HT4BVJT00189,HT4BVJT00007,18117,10,64,8599,1,9422
HT4BVJT00003,compute-europe-west-1,6742,47,842,4054,0,1803
HT4BVJT00007,compute-europe-west-1,7987,43,824,5299,1,1820
HT4BVJT00189,compute-europe-west-1,9751,16,1035,6901,0,1807
HT4BVJT00003,compute-europe-west-1,9792,16,846,7125,0,1802
HT4BTJT00127,compute-europe-west-1,10766,53,1564,7357,1,1797
HT4BTJT00127,compute-europe-west-1,12006,14,2568,7660,0,1792
HT4BVJT00003,compute-europe-west-1,11241,14,1003,8402,0,1825
HT4BVJT00003,compute-europe-west-1,11987,35,673,9487,0,1794
HT4BVJT00189,HT4BVJT00007,14314,14,86,4706,1,9501
HT4BVJT00007,HT4BVJT00007,23622,6,43,13955,1,9616
HT4BVJT00189,HT4BTJT00127,9155,16,57,13,3,9062
HT4BTJT00127,HT4BTJT00127,17978,4,44,8632,2,9295
HT4BVJT00003,HT4BTJT00127,27340,13,23,17820,1,9477
HT4BVJT00003,HT4BVJT00003,9163,10,45,4,2,9102
HT4BVJT00189,HT4BVJT00003,17861,9,100,8458,3,9260
HT4BVJT00003,compute-europe-west-1,5198,4,668,2734,0,1793
HT4BVJT00003,compute-europe-west-1,2762,11,838,77,0,1832
HT4BTJT00127,compute-europe-west-1,4181,6,843,1534,0,1798
HT4BVJT00189,compute-europe-west-1,4592,19,648,2131,0,1787
HT4BVJT00189,compute-europe-west-1,5253,21,682,2738,1,1808
HT4BTJT00127,compute-europe-west-1,6640,5,1016,3826,0,1797
HT4BVJT00189,compute-europe-west-1,9794,60,1524,6400,0,1809
HT4BVJT00003,compute-europe-west-1,7514,5,1012,4703,0,1800
HT4BVJT00003,compute-europe-west-1,2851,21,864,4,1,1955
HT4BVJT00189,compute-europe-west-1,3213,59,514,693,0,1947
HT4BVJT00007,compute-europe-west-1,4403,27,863,1572,1,1939
HT4BVJT00007,compute-europe-west-1,4672,45,695,2026,0,1905
HT4BVJT00007,compute-europe-west-1,5472,47,516,2963,0,1941
HT4BTJT00127,compute-europe-west-1,8957,10,1182,5820,0,1938
HT4BVJT00007,compute-europe-west-1,6933,15,350,4627,0,1936
