ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,42891,5,37226,3379,2,2270
HT4BVJT00189,compute-europe-west-1,18204,10,15895,14,3,2274
HT4BVJT00007,compute-europe-west-1,10020,33,6344,1343,3,2298
HT4BVJT00007,compute-europe-west-1,11251,9,6648,1763,2,2834
HT4BTJT00127,compute-europe-west-1,4568,7,1960,19,9,2563
HT4BVJT00007,compute-europe-west-1,25153,26,19915,2927,1,2282
HT4BVJT00003,compute-europe-west-1,103000,11,56922,43838,4,2214
HT4BVJT00003,compute-europe-west-1,118788,44,67070,49482,5,2200
HT4BVJT00189,compute-europe-west-1,15316,11,13085,5,1,2203
HT4BVJT00007,compute-europe-west-1,21620,43,18646,625,1,2311
HT4BVJT00007,compute-europe-west-1,29993,8,24178,3529,1,2272
HT4BVJT00003,compute-europe-west-1,91973,14,52265,37468,2,2220
HT4BTJT00127,compute-europe-west-1,27325,6,23529,1453,2,2332
HT4BVJT00189,compute-europe-west-1,17856,6,15557,12,3,2258
HT4BTJT00127,compute-europe-west-1,24372,5,18694,3443,2,2236
HT4BTJT00127,compute-europe-west-1,63615,4,44309,17050,3,2242
HT4BVJT00007,compute-europe-west-1,32129,6,25456,4428,2,2235
HT4BVJT00003,compute-europe-west-1,112759,42,66886,43625,4,2196
HT4BTJT00127,compute-europe-west-1,39221,7,35024,1945,2,2253
HT4BVJT00003,compute-europe-west-1,47173,5,37037,7893,2,2245
HT4BVJT00007,compute-europe-west-1,26829,86,21017,3505,2,2237
HT4BTJT00127,compute-europe-west-1,61110,23,36864,22040,4,2192
HT4BVJT00189,compute-europe-west-1,28884,6,26605,18,2,2232
HT4BVJT00189,compute-europe-west-1,23534,7,16601,4725,4,2209
HT4BVJT00189,compute-europe-west-1,31841,16,26214,3329,2,2282
HT4BVJT00003,compute-europe-west-1,104771,7,57255,45310,4,2199
HT4BTJT00127,compute-europe-west-1,41910,21,28570,11096,4,2228
HT4BVJT00189,compute-europe-west-1,23336,5,16376,4742,3,2206
HT4BTJT00127,compute-europe-west-1,58703,26,30997,25480,4,2182
HT4BVJT00189,compute-europe-west-1,32867,12,23585,7042,1,2250
HT4BVJT00007,compute-europe-west-1,48317,12,25983,20152,4,2191
HT4BVJT00007,compute-europe-west-1,51862,12,26054,23506,5,2207
HT4BVJT00189,compute-europe-west-1,36571,12,21147,13197,2,2213
HT4BVJT00007,compute-europe-west-1,31468,6,20186,9083,4,2198
HT4BTJT00127,compute-europe-west-1,77643,5,33255,42108,5,2273
HT4BVJT00189,compute-europe-west-1,53166,5,24193,26764,4,2197
HT4BVJT00007,compute-europe-west-1,24145,53,16591,5258,2,2237
HT4BVJT00189,compute-europe-west-1,33881,11,16816,14842,1,2218
HT4BVJT00007,compute-europe-west-1,51521,19,19866,29450,5,2205
HT4BVJT00007,compute-europe-west-1,35343,10,14923,18239,1,2186
HT4BVJT00189,compute-europe-west-1,54617,5,18836,33567,5,2204
HT4BVJT00007,compute-europe-west-1,46091,32,15433,28414,4,2203
HT4BVJT00189,compute-europe-west-1,60162,7,16582,41387,4,2181
HT4BVJT00007,compute-europe-west-1,51769,31,14002,35543,2,2210
HT4BVJT00189,compute-europe-west-1,59620,10,14448,42968,4,2202
HT4BVJT00003,compute-europe-west-1,83851,6,47756,33921,3,2187
HT4BVJT00003,compute-europe-west-1,83774,7,47259,34267,3,2219
HT4BTJT00127,compute-europe-west-1,67270,5,19767,45287,4,2199
HT4BVJT00007,compute-europe-west-1,41060,35,7380,31454,4,2183
