ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3250,26,1209,4,0,2004
HT4BVJT00189,compute-europe-west-1,3793,5,1717,87,3,1990
HT4BVJT00007,HT4BVJT00007,9046,54,103,15,2,8864
HT4BVJT00007,HT4BVJT00007,14921,5,72,5820,2,9054
HT4BTJT00127,compute-europe-west-1,3411,60,1360,6,0,1994
HT4BVJT00007,HT4BVJT00007,14796,5,35,5578,2,9201
HT4BVJT00003,compute-europe-west-1,3917,42,2072,3,0,2007
HT4BVJT00003,compute-europe-west-1,5795,16,1968,1819,2,2015
HT4BVJT00189,compute-europe-west-1,6773,19,1546,3071,3,2133
HT4BVJT00007,HT4BTJT00127,9678,7,228,7,3,9433
HT4BVJT00007,HT4BTJT00127,17295,4,254,7938,3,9114
HT4BVJT00003,compute-europe-west-1,7572,20,1561,3985,3,1988
HT4BTJT00127,compute-europe-west-1,5441,28,1353,2051,3,2006
HT4BVJT00189,compute-europe-west-1,10845,26,1727,7122,2,1975
HT4BTJT00127,compute-europe-west-1,8228,7,508,5697,3,2009
HT4BVJT00003,compute-europe-west-1,11113,8,885,8238,2,1981
HT4BTJT00127,compute-europe-west-1,11770,6,4841,4953,3,1999
HT4BVJT00007,HT4BVJT00007,10769,5,21,1523,2,9227
HT4BTJT00127,compute-europe-west-1,5178,5,2950,248,3,1986
HT4BVJT00007,HT4BVJT00007,13935,5,60,4637,8,9261
HT4BVJT00003,compute-europe-west-1,3559,9,1536,3,1,2005
HT4BTJT00127,compute-europe-west-1,3853,12,1520,350,3,1981
HT4BVJT00189,compute-europe-west-1,3723,6,1690,4,0,2009
HT4BVJT00189,compute-europe-west-1,4075,6,732,1331,2,2005
HT4BVJT00189,compute-europe-west-1,4671,52,834,1759,4,2027
HT4BTJT00127,compute-europe-west-1,4456,6,2065,398,4,2012
HT4BVJT00189,compute-europe-west-1,7267,22,1533,3694,3,2010
HT4BTJT00127,compute-europe-west-1,4652,50,546,2055,2,1988
HT4BVJT00189,compute-europe-west-1,5706,72,1663,1983,3,1977
HT4BVJT00007,HT4BVJT00007,9069,13,29,17,2,9012
HT4BVJT00007,HT4BVJT00007,16331,5,74,7146,5,9138
HT4BVJT00189,compute-europe-west-1,3576,47,1513,3,1,2006
HT4BVJT00007,HT4BTJT00127,10501,5,288,8,6,10194
HT4BTJT00127,compute-europe-west-1,5741,4,1510,2252,4,1978
HT4BVJT00189,compute-europe-west-1,3376,12,1037,341,2,1977
HT4BVJT00007,HT4BTJT00127,18221,4,173,9084,2,8962
HT4BVJT00189,compute-europe-west-1,3520,17,1522,4,0,1971
HT4BVJT00007,HT4BVJT00007,9380,20,41,18,2,9302
HT4BVJT00007,HT4BVJT00007,17189,13,61,7792,2,9361
HT4BVJT00189,compute-europe-west-1,3332,24,1321,3,0,1986
HT4BVJT00003,compute-europe-west-1,4638,12,1869,733,2,1994
HT4BVJT00007,HT4BTJT00127,9289,20,147,7,2,9064
HT4BVJT00007,HT4BTJT00127,17808,13,121,8545,1,9160
HT4BVJT00003,compute-europe-west-1,3596,48,1532,4,0,2002
HT4BVJT00189,compute-europe-west-1,4372,13,1305,1096,0,1966
HT4BVJT00189,compute-europe-west-1,6761,14,4766,4,0,1972
HT4BVJT00007,HT4BVJT00007,9488,47,26,15,2,9394
HT4BVJT00003,compute-europe-west-1,3374,19,1367,3,0,1982
HT4BTJT00127,compute-europe-west-1,3549,4,1412,145,2,1974
HT4BVJT00007,HT4BVJT00007,14889,4,45,5360,2,9477
HT4BTJT00127,compute-europe-west-1,4067,6,1719,4,0,2053
HT4BVJT00003,compute-europe-west-1,6895,10,1709,3210,2,1973
HT4BTJT00127,compute-europe-west-1,4208,6,643,1558,3,1996
HT4BVJT00003,compute-europe-west-1,6781,33,366,4400,0,1976
HT4BVJT00007,HT4BVJT00007,15782,4,10,6304,4,9460
HT4BVJT00003,compute-europe-west-1,3207,20,1176,3,0,2007
HT4BVJT00189,compute-europe-west-1,5272,51,3233,5,1,1990
HT4BVJT00007,HT4BVJT00007,9360,11,72,12,3,9300
HT4BVJT00007,HT4BVJT00007,15502,43,28,6021,2,9411
HT4BTJT00127,compute-europe-west-1,3361,11,1373,3,0,1980
HT4BVJT00007,HT4BVJT00007,15583,12,25,6151,2,9404
HT4BVJT00003,compute-europe-west-1,3589,8,1541,3,1,2036
HT4BVJT00003,compute-europe-west-1,5475,46,1538,1857,4,2021
HT4BVJT00189,compute-europe-west-1,6597,11,1901,2433,3,2264
HT4BVJT00007,HT4BTJT00127,9876,5,292,11,3,9564
HT4BVJT00007,HT4BTJT00127,17762,6,262,8077,2,9396
HT4BVJT00003,compute-europe-west-1,5469,13,1510,1879,3,2053
HT4BTJT00127,compute-europe-west-1,7296,14,1683,3590,3,2005
HT4BVJT00189,compute-europe-west-1,10761,4,1871,6874,3,1999
HT4BTJT00127,compute-europe-west-1,8098,16,829,5262,2,1987
HT4BVJT00003,compute-europe-west-1,10960,30,1183,7750,2,1995
HT4BTJT00127,compute-europe-west-1,11677,5,1199,8457,3,2010
HT4BVJT00007,HT4BVJT00007,11852,15,26,2307,2,9504
HT4BTJT00127,compute-europe-west-1,5071,14,1686,1382,3,1982
HT4BVJT00007,HT4BVJT00007,15334,5,56,5718,5,9585
HT4BVJT00003,compute-europe-west-1,3511,18,1468,3,0,2012
HT4BTJT00127,compute-europe-west-1,3785,5,1545,252,3,1976
HT4BVJT00189,compute-europe-west-1,6178,46,4130,3,1,1996
HT4BVJT00189,compute-europe-west-1,6513,13,3728,805,2,1980
HT4BVJT00189,compute-europe-west-1,7078,6,2591,2507,2,1979
HT4BTJT00127,compute-europe-west-1,9855,11,7824,4,1,2017
HT4BVJT00189,compute-europe-west-1,6277,23,4265,4,0,1994
HT4BTJT00127,compute-europe-west-1,12027,10,7860,2190,3,1974
HT4BVJT00189,compute-europe-west-1,7102,18,4436,643,2,2000
HT4BVJT00007,HT4BVJT00007,9335,10,84,16,3,9261
HT4BVJT00007,HT4BVJT00007,16860,11,43,7411,2,9406
HT4BVJT00189,compute-europe-west-1,3391,12,1383,3,0,1985
HT4BVJT00007,HT4BTJT00127,9440,5,248,18,5,9182
HT4BTJT00127,compute-europe-west-1,5752,4,2024,1738,2,1982
HT4BVJT00189,compute-europe-west-1,3395,11,1386,3,1,1995
HT4BVJT00007,HT4BTJT00127,17362,10,176,8004,3,9172
HT4BVJT00189,compute-europe-west-1,3542,11,1538,3,0,1985
HT4BVJT00007,HT4BVJT00007,10285,53,42,16,4,10169
HT4BVJT00007,HT4BVJT00007,18342,14,74,8673,3,9626
HT4BVJT00189,compute-europe-west-1,3379,9,1402,3,1,1988
HT4BVJT00003,compute-europe-west-1,4633,14,1878,748,3,1993
HT4BVJT00007,HT4BTJT00127,9398,5,195,12,4,9221
HT4BVJT00007,HT4BTJT00127,18240,5,152,8678,3,9435
HT4BVJT00003,compute-europe-west-1,3541,43,1505,4,1,1979
HT4BVJT00189,compute-europe-west-1,4364,15,1243,1136,0,1969
HT4BVJT00189,compute-europe-west-1,3736,11,1723,3,1,1998
HT4BVJT00007,HT4BTJT00127,15195,6,103,5586,2,9487
HT4BVJT00003,compute-europe-west-1,3533,16,1531,3,1,1982
HT4BTJT00127,compute-europe-west-1,3716,8,1514,225,3,1976
HT4BVJT00007,HT4BVJT00007,9502,46,14,8,1,9427
HT4BTJT00127,compute-europe-west-1,4853,8,2848,3,0,1988
HT4BVJT00003,compute-europe-west-1,7201,15,5211,4,1,1987
HT4BTJT00127,compute-europe-west-1,11341,9,7673,1677,4,1975
HT4BVJT00003,compute-europe-west-1,7915,16,5901,2,1,1995
HT4BVJT00007,HT4BTJT00127,12014,4,102,2432,5,9468
HT4BVJT00003,compute-europe-west-1,3170,27,1041,54,0,2044
HT4BVJT00189,compute-europe-west-1,3453,18,1438,4,2,1985
HT4BVJT00007,HT4BTJT00078,9397,9,294,13,3,9104
HT4BVJT00007,HT4BTJT00078,15129,51,232,5861,4,9027
HT4BTJT00078,compute-europe-west-1,3561,19,1533,4,0,2003
HT4BVJT00007,HT4BTJT00078,14691,13,100,5686,3,8893
HT4BVJT00003,compute-europe-west-1,3598,36,1547,4,0,2005
HT4BVJT00003,compute-europe-west-1,5576,42,1708,1810,2,2010
HT4BVJT00189,compute-europe-west-1,6562,26,1437,2945,3,2157
HT4BVJT00007,HT4BVJT00007,9105,10,64,16,2,9019
HT4BVJT00007,HT4BVJT00007,16762,11,85,7480,3,9205
HT4BVJT00003,compute-europe-west-1,5357,64,1435,1880,1,1984
HT4BTJT00078,compute-europe-west-1,7214,13,1512,3694,2,1991
HT4BVJT00189,compute-europe-west-1,8628,19,1231,5399,2,1974
HT4BTJT00078,compute-europe-west-1,9982,5,981,7002,3,1988
HT4BVJT00003,compute-europe-west-1,10869,11,889,7967,3,1992
HT4BTJT00078,HT4BTJT00078,15311,13,70,6237,2,8993
HT4BVJT00007,HT4BVJT00007,17051,36,37,7525,3,9419
HT4BTJT00078,compute-europe-west-1,4324,13,2327,4,1,1978
HT4BVJT00007,HT4BTJT00078,11345,5,180,4197,2,6988
HT4BVJT00003,compute-europe-west-1,4110,11,2084,3,1,2004
HT4BTJT00078,compute-europe-west-1,4391,35,1997,361,2,1988
HT4BVJT00189,compute-europe-west-1,4032,8,2014,3,1,1999
HT4BVJT00189,compute-europe-west-1,4384,6,2169,218,3,1999
HT4BVJT00189,compute-europe-west-1,4950,6,2640,305,2,2003
HT4BTJT00078,compute-europe-west-1,7411,13,3881,1511,3,1997
HT4BVJT00189,compute-europe-west-1,4149,44,2108,2,1,2006
HT4BTJT00078,compute-europe-west-1,7590,46,2342,3198,3,1977
HT4BVJT00189,compute-europe-west-1,6594,34,2090,2493,2,1979
HT4BVJT00007,HT4BTJT00078,9131,18,203,15,4,8924
HT4BVJT00007,HT4BTJT00078,16044,43,212,7036,5,8791
HT4BVJT00189,compute-europe-west-1,3502,89,1420,3,0,1992
HT4BVJT00007,HT4BVJT00007,9145,51,69,21,3,9032
HT4BTJT00078,compute-europe-west-1,3755,8,1708,30,3,1995
HT4BVJT00189,compute-europe-west-1,5325,21,1607,1704,3,1989
HT4BVJT00007,HT4BVJT00007,17227,29,66,7816,5,9355
