ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,2781,17,848,2,1,1912
HT4BVJT00189,compute-europe-west-1,2434,12,505,2,1,1915
HT4BVJT00007,HT4BVJT00007,9020,53,18,10,1,8941
HT4BVJT00007,HT4BVJT00007,14766,9,8,5738,3,9009
HT4BVJT00007,HT4BVJT00003,9311,5,80,17,6,9196
HT4BTJT00127,compute-europe-west-1,3336,47,1386,4,0,1903
HT4BVJT00007,HT4BVJT00003,17439,10,70,8270,2,9090
HT4BVJT00007,HT4BVJT00007,14630,6,10,5401,7,9205
HT4BVJT00003,compute-europe-west-1,2753,7,832,2,0,1906
HT4BVJT00003,compute-europe-west-1,4517,6,876,1742,1,1892
HT4BVJT00189,compute-europe-west-1,5213,31,860,2451,1,1880
HT4BVJT00003,compute-europe-west-1,3960,11,668,1382,0,1897
HT4BVJT00189,compute-europe-west-1,5096,44,674,2503,0,1880
HT4BVJT00003,compute-europe-west-1,5300,12,333,3051,0,1893
HT4BTJT00127,compute-europe-west-1,4459,51,2527,3,0,1883
HT4BTJT00127,compute-europe-west-1,5132,21,2243,990,1,1875
HT4BTJT00127,compute-europe-west-1,4592,17,1261,1418,0,1889
HT4BVJT00003,compute-europe-west-1,2796,50,843,2,1,1895
HT4BTJT00127,compute-europe-west-1,3109,14,1188,2,0,1906
HT4BVJT00007,HT4BVJT00007,9021,10,46,11,2,8950
HT4BVJT00007,HT4BVJT00007,16355,7,46,7083,3,9216
HT4BVJT00189,compute-europe-west-1,2913,12,1005,3,0,1893
HT4BVJT00189,compute-europe-west-1,3171,30,670,549,0,1921
HT4BVJT00007,HT4BVJT00003,9185,7,149,16,3,9009
HT4BVJT00189,compute-europe-west-1,5510,5,989,2619,0,1895
HT4BTJT00127,compute-europe-west-1,3479,19,678,885,0,1884
HT4BVJT00007,HT4BVJT00003,16948,5,44,7890,2,9008
HT4BVJT00189,compute-europe-west-1,5921,5,500,3503,0,1900
HT4BVJT00189,compute-europe-west-1,4286,24,504,1891,0,1868
HT4BTJT00127,compute-europe-west-1,2758,10,846,2,0,1897
HT4BVJT00007,HT4BVJT00007,9320,15,55,22,2,9232
HT4BVJT00007,HT4BVJT00007,17030,14,17,7707,3,9291
HT4BTJT00127,compute-europe-west-1,2837,10,385,553,0,1889
HT4BVJT00189,compute-europe-west-1,3163,20,847,423,1,1876
HT4BVJT00007,HT4BVJT00003,9192,6,85,19,5,9117
HT4BVJT00007,HT4BVJT00003,17855,5,60,8532,1,9257
HT4BVJT00189,compute-europe-west-1,2775,21,836,2,0,1911
HT4BVJT00189,compute-europe-west-1,3319,5,351,1061,1,1893
HT4BVJT00189,compute-europe-west-1,2932,30,1026,3,0,1884
HT4BTJT00127,compute-europe-west-1,3279,36,1350,3,0,1894
HT4BVJT00007,HT4BVJT00007,9469,14,48,12,2,9383
