ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,4775,52,2261,9,3,2452
HT4BVJT00189,compute-europe-west-1,4636,25,2277,6,4,2272
HT4BVJT00007,HT4BVJT00007,9207,6,91,26,11,9093
HT4BVJT00007,HT4BVJT00007,15377,5,102,5869,3,9428
HT4BTJT00127,compute-europe-west-1,4546,13,2228,15,1,2274
HT4BVJT00007,HT4BVJT00007,15334,50,84,5888,4,9306
HT4BVJT00003,compute-europe-west-1,13616,6,11273,15,2,2302
HT4BVJT00003,compute-europe-west-1,15785,42,12024,1391,2,2312
HT4BVJT00189,compute-europe-west-1,4402,19,2096,5,1,2273
HT4BVJT00007,HT4BTJT00127,10160,6,419,23,8,9702
HT4BVJT00007,HT4BTJT00127,18389,6,651,7993,5,9775
HT4BVJT00003,compute-europe-west-1,13761,31,7758,3646,4,2314
HT4BTJT00127,compute-europe-west-1,18179,14,11145,4717,2,2271
HT4BVJT00189,compute-europe-west-1,5249,10,2932,17,3,2296
HT4BTJT00127,compute-europe-west-1,14701,14,9454,2917,4,2307
HT4BTJT00127,compute-europe-west-1,16841,8,8238,6297,5,2282
HT4BVJT00007,HT4BVJT00007,11520,19,124,1984,5,9401
HT4BVJT00003,compute-europe-west-1,13041,5,2597,8167,4,2270
HT4BTJT00127,compute-europe-west-1,10522,13,1390,6834,4,2257
HT4BVJT00003,compute-europe-west-1,12865,7,1068,9530,4,2248
HT4BVJT00007,HT4BVJT00007,14884,11,131,5306,15,9458
HT4BTJT00127,compute-europe-west-1,9041,6,6740,18,2,2287
HT4BVJT00189,compute-europe-west-1,5366,49,3003,16,2,2292
HT4BVJT00189,compute-europe-west-1,5999,44,1606,2080,1,2291
HT4BVJT00189,compute-europe-west-1,6899,8,983,3572,2,2308
HT4BVJT00003,compute-europe-west-1,8446,6,3665,2496,5,2276
HT4BTJT00127,compute-europe-west-1,11498,44,2968,6221,3,2245
HT4BVJT00189,compute-europe-west-1,8051,5,1563,4213,1,2247
HT4BTJT00127,compute-europe-west-1,11927,30,1967,7656,4,2260
HT4BVJT00189,compute-europe-west-1,11250,5,2072,6909,3,2256
HT4BVJT00007,HT4BVJT00007,9421,5,100,23,6,9318
HT4BVJT00007,HT4BVJT00007,17011,4,101,7498,10,9435
HT4BVJT00189,compute-europe-west-1,4586,5,2251,16,2,2320
HT4BVJT00007,HT4BTJT00127,9859,5,455,19,11,9350
HT4BTJT00127,compute-europe-west-1,7307,13,2432,2586,4,2277
HT4BVJT00189,compute-europe-west-1,4600,48,1295,990,2,2262
HT4BVJT00007,HT4BTJT00127,17688,5,314,8293,3,9090
HT4BVJT00189,compute-europe-west-1,4495,44,2221,5,2,2229
HT4BVJT00007,HT4BVJT00007,9683,54,95,29,6,9537
HT4BVJT00007,HT4BVJT00007,17766,27,118,8032,4,9620
HT4BVJT00189,compute-europe-west-1,5061,6,2782,15,2,2259
HT4BVJT00007,HT4BTJT00127,9622,8,334,16,7,9254
HT4BVJT00189,compute-europe-west-1,4909,15,2612,16,2,2259
HT4BVJT00007,HT4BVJT00007,16312,5,109,6544,5,9682
HT4BVJT00189,compute-europe-west-1,4594,43,2251,23,3,2274
HT4BVJT00003,compute-europe-west-1,6836,7,4558,17,2,2267
HT4BVJT00003,compute-europe-west-1,6037,23,3724,18,2,2277
HT4BTJT00127,compute-europe-west-1,6212,6,2602,1352,4,2270
HT4BVJT00007,HT4BVJT00007,13487,15,86,3692,3,9708
HT4BTJT00127,compute-europe-west-1,13960,14,11672,4,2,2278
HT4BTJT00127,compute-europe-west-1,16992,10,12530,2190,4,2259
HT4BTJT00127,compute-europe-west-1,18990,15,12512,4192,4,2274
HT4BTJT00127,compute-europe-west-1,14075,22,11757,29,1,2274
HT4BVJT00007,HT4BVJT00007,19177,4,68,9363,10,9727
HT4BVJT00003,compute-europe-west-1,5242,46,2888,16,2,2287
HT4BVJT00003,compute-europe-west-1,4331,11,1936,9,3,2363
HT4BVJT00189,compute-europe-west-1,4320,7,2076,6,4,2229
HT4BVJT00007,HT4BTJT00078,10097,41,699,85,7,9330
HT4BVJT00007,HT4BTJT00078,16181,51,407,6371,7,9376
HT4BTJT00078,compute-europe-west-1,4499,16,2197,12,2,2265
HT4BVJT00007,HT4BTJT00078,16245,13,331,6557,7,9376
HT4BVJT00003,compute-europe-west-1,5405,8,3072,16,4,2313
HT4BVJT00003,compute-europe-west-1,7592,44,3457,1822,4,2280
HT4BVJT00189,compute-europe-west-1,8708,6,2382,4040,3,2284
HT4BVJT00007,HT4BVJT00007,9271,50,79,21,5,9116
HT4BVJT00007,HT4BVJT00007,17202,10,140,7644,7,9422
HT4BVJT00003,compute-europe-west-1,7834,9,3106,2424,4,2289
HT4BTJT00078,compute-europe-west-1,12127,8,3599,6284,4,2232
HT4BVJT00189,compute-europe-west-1,16021,19,6008,7741,4,2256
HT4BTJT00078,compute-europe-west-1,8694,10,2260,4227,3,2224
HT4BTJT00078,compute-europe-west-1,10743,14,1759,6709,4,2252
HT4BVJT00007,HT4BVJT00007,17396,16,145,7846,19,9414
HT4BVJT00003,HT4BTJT00078,18695,7,487,8993,12,9196
HT4BTJT00078,HT4BTJT00078,9217,50,116,19,7,9054
HT4BVJT00003,compute-europe-west-1,4497,11,2031,218,2,2230
HT4BVJT00007,HT4BVJT00189,10078,12,444,23,9,9583
HT4BTJT00078,compute-europe-west-1,4640,5,2395,10,2,2229
