ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1623,14,188,2,2,1383
HT4BTJT00127,joaquim-MS-7996,1569,10,172,2,1,1381
HT4BVJT00003,joaquim-MS-7996,2733,12,156,1197,0,1363
HT4BVJT00003,joaquim-MS-7996,2380,19,143,856,0,1356
HT4CWJT00250,joaquim-MS-7996,1861,72,176,246,0,1357
HT4BVJT00189,joaquim-MS-7996,1596,37,188,4,0,1374
HT4BVJT00003,joaquim-MS-7996,1563,10,136,2,0,1342
HT4BVJT00003,joaquim-MS-7996,1589,7,167,6,2,1395
HT4CWJT00250,joaquim-MS-7996,2312,11,122,848,0,1347
HT4BTJT00127,joaquim-MS-7996,1532,19,131,5,1,1373
HT4CWJT00250,joaquim-MS-7996,1522,15,153,2,0,1355
HT4BVJT00003,joaquim-MS-7996,2156,29,198,524,0,1348
HT4BVJT00189,joaquim-MS-7996,1547,18,171,2,0,1351
HT4BVJT00189,joaquim-MS-7996,1558,20,162,2,0,1355
HT4CWJT00250,joaquim-MS-7996,1547,20,125,4,1,1371
HT4BTJT00127,joaquim-MS-7996,1545,19,137,7,1,1370
HT4BTJT00127,joaquim-MS-7996,1511,11,100,4,1,1380
HT4BTJT00127,joaquim-MS-7996,1495,57,62,4,0,1364
HT4CWJT00250,joaquim-MS-7996,1609,21,191,6,1,1393
HT4BVJT00003,joaquim-MS-7996,3000,13,170,1366,0,1343
HT4CWJT00250,joaquim-MS-7996,4108,8,114,2606,1,1361
HT4CWJT00250,joaquim-MS-7996,2901,18,112,1412,0,1362
HT4BTJT00127,joaquim-MS-7996,3795,10,101,2331,0,1341
HT4BVJT00003,joaquim-MS-7996,4669,48,139,3134,0,1346
HT4CWJT00250,joaquim-MS-7996,1554,54,119,3,0,1345
HT4BTJT00127,joaquim-MS-7996,1485,8,89,4,0,1369
HT4BVJT00189,joaquim-MS-7996,2537,12,132,1038,0,1347
HT4BVJT00189,joaquim-MS-7996,2977,14,293,1324,1,1356
HT4BVJT00189,joaquim-MS-7996,1579,8,216,3,1,1359
HT4BVJT00189,joaquim-MS-7996,3726,6,162,2219,1,1348
HT4BVJT00003,joaquim-MS-7996,2891,6,126,1394,0,1358
HT4BVJT00003,joaquim-MS-7996,1539,20,123,4,0,1382
HT4BVJT00189,joaquim-MS-7996,2750,16,110,1227,1,1386
HT4BVJT00189,joaquim-MS-7996,2323,49,133,789,0,1357
HT4BVJT00189,joaquim-MS-7996,3174,39,169,1572,0,1356
HT4BVJT00003,joaquim-MS-7996,3719,8,135,2209,0,1363
HT4BVJT00189,joaquim-MS-7996,1505,10,131,5,0,1359
HT4BVJT00189,joaquim-MS-7996,1596,44,179,6,1,1373
HT4CWJT00250,joaquim-MS-7996,1532,32,102,5,0,1380
HT4BVJT00189,joaquim-MS-7996,1604,46,173,6,1,1383
HT4BVJT00189,joaquim-MS-7996,1538,15,130,6,0,1380
HT4BVJT00189,joaquim-MS-7996,1577,25,148,6,0,1395
HT4BVJT00189,joaquim-MS-7996,2045,13,163,490,0,1364
HT4BVJT00189,joaquim-MS-7996,3109,49,98,1588,0,1353
HT4BVJT00189,joaquim-MS-7996,4102,9,101,2629,0,1347
HT4BTJT00127,joaquim-MS-7996,1568,19,158,3,1,1385
HT4BVJT00003,joaquim-MS-7996,1696,22,219,6,2,1446
HT4BTJT00127,joaquim-MS-7996,1599,12,208,4,0,1361
HT4BVJT00003,joaquim-MS-7996,2760,50,145,1185,0,1367
HT4BVJT00003,joaquim-MS-7996,2537,14,157,1004,1,1353
HT4CWJT00250,joaquim-MS-7996,2044,13,204,425,1,1351
HT4BVJT00189,joaquim-MS-7996,1520,16,155,2,0,1340
HT4BVJT00003,joaquim-MS-7996,1519,13,126,6,1,1373
HT4BVJT00003,joaquim-MS-7996,1567,23,192,2,1,1352
HT4CWJT00250,joaquim-MS-7996,2230,57,109,705,0,1351
HT4BTJT00127,joaquim-MS-7996,1516,11,122,7,0,1370
HT4CWJT00250,joaquim-MS-7996,1618,15,181,6,1,1414
HT4BVJT00003,joaquim-MS-7996,2143,7,127,658,1,1348
HT4BVJT00189,joaquim-MS-7996,1559,14,155,6,1,1374
HT4BVJT00189,joaquim-MS-7996,1622,53,164,7,1,1372
HT4CWJT00250,joaquim-MS-7996,1531,21,141,6,1,1373
HT4BTJT00127,joaquim-MS-7996,1575,13,166,6,1,1383
HT4BTJT00127,joaquim-MS-7996,1513,17,111,4,1,1374
HT4BTJT00127,joaquim-MS-7996,1491,48,90,2,0,1346
HT4CWJT00250,joaquim-MS-7996,1598,22,174,4,1,1366
HT4BVJT00003,joaquim-MS-7996,2947,8,169,1327,0,1345
HT4CWJT00250,joaquim-MS-7996,3993,12,110,2505,0,1357
HT4CWJT00250,joaquim-MS-7996,2818,20,92,1346,0,1351
HT4BTJT00127,joaquim-MS-7996,3706,12,94,2203,1,1349
HT4BVJT00003,joaquim-MS-7996,4599,6,113,3108,0,1364
HT4CWJT00250,joaquim-MS-7996,1644,30,271,2,0,1342
HT4BTJT00127,joaquim-MS-7996,1501,10,95,5,0,1383
HT4BVJT00189,joaquim-MS-7996,2563,8,123,1084,2,1347
HT4BVJT00189,joaquim-MS-7996,3013,6,304,1356,0,1365
HT4BVJT00189,joaquim-MS-7996,1598,9,232,5,1,1372
HT4BVJT00189,joaquim-MS-7996,3697,11,230,2100,1,1359
HT4BVJT00003,joaquim-MS-7996,2877,12,122,1398,0,1345
HT4BVJT00003,joaquim-MS-7996,1649,22,201,2,0,1386
HT4BVJT00189,joaquim-MS-7996,2882,22,146,1362,0,1355
HT4BVJT00189,joaquim-MS-7996,2373,19,122,874,0,1359
HT4BVJT00189,joaquim-MS-7996,3230,9,162,1660,0,1355
HT4BVJT00003,joaquim-MS-7996,3775,6,182,2231,0,1348
HT4BVJT00189,joaquim-MS-7996,1554,8,146,5,1,1392
HT4BVJT00189,joaquim-MS-7996,1583,21,172,7,1,1386
HT4CWJT00250,joaquim-MS-7996,1552,47,121,5,1,1382
HT4BVJT00189,joaquim-MS-7996,1584,56,140,6,1,1380
HT4BVJT00189,joaquim-MS-7996,1527,12,129,5,0,1378
HT4BVJT00189,joaquim-MS-7996,1629,43,166,7,1,1412
HT4BVJT00189,joaquim-MS-7996,2020,58,130,453,1,1362
HT4BVJT00189,joaquim-MS-7996,3142,15,96,1671,1,1348
HT4BVJT00189,joaquim-MS-7996,4150,7,98,2670,0,1357
HT4BTJT00127,joaquim-MS-7996,1579,9,168,7,2,1382
HT4BVJT00003,joaquim-MS-7996,1627,20,182,3,2,1410
HT4BTJT00127,joaquim-MS-7996,1564,13,164,2,1,1378
HT4BVJT00003,joaquim-MS-7996,2864,20,145,1234,1,1373
HT4BVJT00003,joaquim-MS-7996,2576,17,166,1021,1,1362
HT4CWJT00250,joaquim-MS-7996,1967,16,168,435,0,1351
HT4BVJT00189,joaquim-MS-7996,1514,9,135,4,1,1369
HT4BVJT00003,joaquim-MS-7996,1498,6,115,2,0,1363
HT4BVJT00003,joaquim-MS-7996,1530,10,162,3,1,1355
HT4CWJT00250,joaquim-MS-7996,2335,14,99,812,0,1351
HT4BTJT00127,joaquim-MS-7996,1566,8,146,5,1,1383
HT4CWJT00250,joaquim-MS-7996,1563,5,160,7,1,1377
HT4BVJT00003,joaquim-MS-7996,2148,43,124,628,1,1345
HT4BVJT00189,joaquim-MS-7996,1574,10,180,5,0,1377
HT4BVJT00189,joaquim-MS-7996,1575,7,180,5,1,1379
HT4CWJT00250,joaquim-MS-7996,1606,23,133,5,1,1378
HT4BTJT00127,joaquim-MS-7996,1541,13,139,7,1,1372
HT4BTJT00127,joaquim-MS-7996,1449,4,86,1,1,1340
HT4BTJT00127,joaquim-MS-7996,1464,16,65,4,0,1372
HT4CWJT00250,joaquim-MS-7996,1555,12,139,5,1,1388
HT4BVJT00003,joaquim-MS-7996,2820,14,132,1321,0,1348
HT4CWJT00250,joaquim-MS-7996,4018,36,125,2442,1,1363
HT4CWJT00250,joaquim-MS-7996,2794,98,98,1217,0,1346
HT4BTJT00127,joaquim-MS-7996,3609,49,87,2081,0,1382
HT4BVJT00003,joaquim-MS-7996,4542,44,137,2968,1,1372
HT4CWJT00250,joaquim-MS-7996,1499,13,117,1,1,1353
HT4BTJT00127,joaquim-MS-7996,1530,48,91,5,0,1374
HT4BVJT00189,joaquim-MS-7996,2619,22,170,1056,0,1359
HT4BVJT00189,joaquim-MS-7996,3063,43,287,1370,1,1359
HT4BVJT00189,joaquim-MS-7996,1764,42,226,6,1,1399
