ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1528,92,65,5,0,1346
HT4BTJT00127,joaquim-MS-7996,1545,21,98,2,0,1424
HT4BVJT00003,joaquim-MS-7996,2739,8,41,1361,0,1310
HT4CWJT00250,joaquim-MS-7996,1454,7,77,5,1,1352
HT4BVJT00189,joaquim-MS-7996,1412,14,44,4,1,1346
HT4CWJT00250,joaquim-MS-7996,1438,20,51,6,2,1338
HT4BTJT00127,joaquim-MS-7996,1427,15,54,5,1,1348
HT4CWJT00250,joaquim-MS-7996,1443,50,41,4,0,1334
HT4BVJT00189,joaquim-MS-7996,1451,25,66,4,0,1357
HT4BVJT00189,joaquim-MS-7996,1422,19,53,3,1,1345
HT4CWJT00250,joaquim-MS-7996,1446,33,62,3,1,1345
HT4BVJT00003,joaquim-MS-7996,2018,8,48,646,0,1317
HT4BTJT00127,joaquim-MS-7996,1483,18,49,3,1,1405
HT4BTJT00127,joaquim-MS-7996,1424,16,54,4,1,1341
HT4BVJT00189,joaquim-MS-7996,1474,16,50,117,0,1291
HT4BVJT00189,joaquim-MS-7996,1395,20,48,4,0,1322
HT4CWJT00250,joaquim-MS-7996,2031,10,46,670,0,1303
HT4CWJT00250,joaquim-MS-7996,3088,18,46,1652,0,1309
HT4CWJT00250,joaquim-MS-7996,1808,17,47,422,1,1318
HT4BVJT00189,joaquim-MS-7996,1759,10,38,367,0,1305
HT4BVJT00003,joaquim-MS-7996,1412,11,65,21,1,1309
HT4BVJT00003,joaquim-MS-7996,1415,29,47,4,0,1326
HT4BVJT00189,joaquim-MS-7996,1989,11,61,574,1,1339
HT4BVJT00189,joaquim-MS-7996,1424,43,48,26,0,1308
HT4BVJT00189,joaquim-MS-7996,2214,54,26,806,0,1320
HT4CWJT00250,joaquim-MS-7996,2567,57,59,1137,0,1302
HT4BTJT00127,joaquim-MS-7996,1440,23,64,3,1,1351
HT4BVJT00189,joaquim-MS-7996,1609,78,75,3,1,1445
HT4BVJT00189,joaquim-MS-7996,1380,11,29,4,0,1331
HT4BVJT00003,joaquim-MS-7996,2550,46,30,1155,0,1320
HT4BTJT00127,joaquim-MS-7996,3654,13,41,2278,0,1315
HT4BVJT00189,joaquim-MS-7996,4824,18,54,3449,1,1302
HT4BVJT00189,joaquim-MS-7996,3067,18,52,1677,0,1318
HT4BVJT00189,joaquim-MS-7996,1396,18,45,1,0,1321
HT4BVJT00189,joaquim-MS-7996,1851,22,62,461,0,1301
HT4BVJT00189,joaquim-MS-7996,2876,10,46,1426,0,1303
HT4BTJT00127,joaquim-MS-7996,1406,9,50,4,0,1342
HT4BTJT00127,joaquim-MS-7996,2543,5,13,1225,0,1296
HT4BTJT00127,joaquim-MS-7996,2412,13,59,1019,0,1313
HT4BVJT00189,joaquim-MS-7996,1542,12,49,4,0,1457
HT4BVJT00003,joaquim-MS-7996,2543,78,42,1091,0,1325
HT4CWJT00250,joaquim-MS-7996,2928,13,61,1540,0,1311
HT4BVJT00189,joaquim-MS-7996,1721,33,38,325,0,1314
HT4BVJT00003,joaquim-MS-7996,2809,17,63,1410,0,1301
HT4BVJT00189,joaquim-MS-7996,1410,12,52,4,0,1338
HT4BVJT00003,joaquim-MS-7996,1432,9,45,4,1,1327
HT4BTJT00127,joaquim-MS-7996,1582,14,99,4,1,1474
HT4BVJT00003,joaquim-MS-7996,2681,46,42,1274,0,1308
HT4CWJT00250,joaquim-MS-7996,1494,27,83,4,1,1367
HT4BVJT00189,joaquim-MS-7996,1389,13,44,3,1,1329
HT4CWJT00250,joaquim-MS-7996,1406,10,52,1,1,1320
HT4BTJT00127,joaquim-MS-7996,1424,10,51,5,0,1347
HT4CWJT00250,joaquim-MS-7996,1398,15,43,4,0,1329
HT4BVJT00189,joaquim-MS-7996,1435,28,61,2,1,1338
HT4BVJT00189,joaquim-MS-7996,1563,29,64,4,1,1352
HT4CWJT00250,joaquim-MS-7996,1407,5,55,5,0,1337
HT4BVJT00003,joaquim-MS-7996,1938,26,54,535,1,1320
HT4BTJT00127,joaquim-MS-7996,1409,25,48,3,1,1329
HT4BTJT00127,joaquim-MS-7996,1444,53,45,4,0,1337
HT4BVJT00189,joaquim-MS-7996,1494,14,57,1,0,1404
HT4BVJT00189,joaquim-MS-7996,1421,23,58,4,1,1332
HT4CWJT00250,joaquim-MS-7996,2083,10,46,704,0,1313
HT4CWJT00250,joaquim-MS-7996,3065,6,45,1691,1,1308
HT4CWJT00250,joaquim-MS-7996,1932,6,43,520,0,1316
HT4BVJT00189,joaquim-MS-7996,1649,23,35,284,0,1304
HT4BVJT00003,joaquim-MS-7996,1484,7,70,81,0,1322
HT4BVJT00003,joaquim-MS-7996,1427,33,39,3,1,1330
HT4BVJT00189,joaquim-MS-7996,1873,60,82,425,0,1317
HT4BVJT00189,joaquim-MS-7996,1403,19,49,23,0,1310
HT4BVJT00189,joaquim-MS-7996,2174,20,31,797,0,1323
HT4CWJT00250,joaquim-MS-7996,2535,16,49,1165,0,1297
HT4BTJT00127,joaquim-MS-7996,1430,15,64,4,1,1342
HT4BVJT00189,joaquim-MS-7996,1516,34,74,2,0,1395
HT4BVJT00189,joaquim-MS-7996,1413,24,47,3,1,1338
HT4BVJT00003,joaquim-MS-7996,2572,15,28,1206,0,1313
HT4BTJT00127,joaquim-MS-7996,3674,62,30,2271,0,1306
HT4BVJT00189,joaquim-MS-7996,4841,64,55,3413,0,1303
HT4BVJT00189,joaquim-MS-7996,3064,59,46,1635,0,1320
HT4BVJT00189,joaquim-MS-7996,1382,24,42,1,0,1312
HT4BVJT00189,joaquim-MS-7996,1835,10,46,465,0,1300
HT4BVJT00189,joaquim-MS-7996,2786,8,40,1422,0,1303
HT4BTJT00127,joaquim-MS-7996,1427,15,51,4,0,1324
HT4BTJT00127,joaquim-MS-7996,2532,49,15,1154,0,1311
HT4BTJT00127,joaquim-MS-7996,2399,29,60,995,0,1310
HT4BVJT00189,joaquim-MS-7996,1533,44,52,4,0,1425
HT4BVJT00003,joaquim-MS-7996,2534,51,51,1122,1,1304
HT4CWJT00250,joaquim-MS-7996,2878,19,59,1482,0,1313
HT4BVJT00189,joaquim-MS-7996,1897,47,37,480,0,1323
HT4BVJT00003,joaquim-MS-7996,2812,17,93,1417,0,1303
HT4BVJT00189,joaquim-MS-7996,1448,47,52,4,1,1331
HT4BVJT00003,joaquim-MS-7996,1411,9,44,5,1,1335
HT4BTJT00127,joaquim-MS-7996,1581,49,83,5,1,1429
HT4BVJT00003,joaquim-MS-7996,2720,41,53,1299,0,1319
HT4CWJT00250,joaquim-MS-7996,1453,12,80,5,1,1348
HT4BVJT00189,joaquim-MS-7996,1436,47,43,26,0,1313
HT4CWJT00250,joaquim-MS-7996,1449,18,63,5,1,1348
HT4BTJT00127,joaquim-MS-7996,1418,11,60,4,0,1333
HT4CWJT00250,joaquim-MS-7996,1389,13,42,4,0,1328
HT4BVJT00189,joaquim-MS-7996,1414,21,62,1,0,1320
HT4BVJT00189,joaquim-MS-7996,1409,13,49,4,0,1331
HT4CWJT00250,joaquim-MS-7996,1413,17,61,2,0,1323
HT4BVJT00003,joaquim-MS-7996,1993,47,41,568,0,1322
HT4BTJT00127,joaquim-MS-7996,1467,12,42,4,0,1334
HT4BTJT00127,joaquim-MS-7996,1461,13,55,47,0,1347
HT4BVJT00189,joaquim-MS-7996,1384,23,47,1,1,1304
HT4BVJT00189,joaquim-MS-7996,1437,34,54,4,0,1328
HT4CWJT00250,joaquim-MS-7996,2158,35,50,750,1,1313
HT4CWJT00250,joaquim-MS-7996,3165,9,45,1781,0,1307
HT4CWJT00250,joaquim-MS-7996,1929,57,66,437,0,1329
HT4BVJT00189,joaquim-MS-7996,1796,13,25,462,0,1298
HT4BVJT00003,joaquim-MS-7996,1503,6,63,115,0,1316
HT4BVJT00003,joaquim-MS-7996,1444,11,51,4,0,1324
HT4BVJT00189,joaquim-MS-7996,1860,18,57,467,0,1319
HT4BVJT00189,joaquim-MS-7996,1358,7,29,10,0,1309
HT4BVJT00189,joaquim-MS-7996,2106,14,29,741,0,1312
HT4CWJT00250,joaquim-MS-7996,2467,51,43,1063,1,1304
HT4BTJT00127,joaquim-MS-7996,1495,60,80,11,1,1337
HT4BVJT00189,joaquim-MS-7996,1418,7,64,36,0,1304
HT4BVJT00189,joaquim-MS-7996,1515,59,37,3,1,1330
HT4BVJT00003,joaquim-MS-7996,2628,59,30,1214,0,1317
HT4BTJT00127,joaquim-MS-7996,3774,5,23,2437,0,1302
HT4BVJT00189,joaquim-MS-7996,4907,25,66,3504,1,1303
HT4BVJT00189,joaquim-MS-7996,3165,47,63,1724,0,1340
HT4BVJT00189,joaquim-MS-7996,1459,18,56,76,0,1310
HT4BVJT00189,joaquim-MS-7996,1908,7,43,537,1,1309
HT4BVJT00189,joaquim-MS-7996,2846,61,54,1422,0,1302
HT4BTJT00127,joaquim-MS-7996,1477,65,65,4,0,1333
HT4BTJT00127,joaquim-MS-7996,2626,8,27,1278,0,1317
HT4BTJT00127,joaquim-MS-7996,2503,49,83,1052,0,1309
HT4BVJT00189,joaquim-MS-7996,1540,16,60,4,1,1453
HT4BVJT00003,joaquim-MS-7996,2652,14,42,1203,0,1301
HT4CWJT00250,joaquim-MS-7996,2908,11,61,1524,0,1306
