ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2081,14,398,17,5,1616
HT4BTJT00127,joaquim-MS-7996,2184,6,482,88,2,1557
HT4CWJT00250,joaquim-MS-7996,2085,69,419,4,1,1559
HT4BVJT00003,joaquim-MS-7996,1877,7,270,10,2,1583
HT4BVJT00189,joaquim-MS-7996,2086,57,420,13,3,1570
HT4CWJT00250,joaquim-MS-7996,1831,41,205,9,1,1558
HT4BTJT00127,joaquim-MS-7996,1858,20,296,8,2,1544
HT4CWJT00250,joaquim-MS-7996,1869,8,304,2,1,1554
HT4BVJT00003,joaquim-MS-7996,3052,29,245,1199,1,1556
HT4BVJT00189,joaquim-MS-7996,1838,12,265,6,1,1544
HT4BVJT00189,joaquim-MS-7996,1946,6,339,12,3,1570
HT4CWJT00250,joaquim-MS-7996,1955,17,316,14,3,1566
HT4BTJT00127,joaquim-MS-7996,1963,17,360,14,5,1546
HT4BTJT00127,joaquim-MS-7996,1955,6,265,18,6,1614
HT4BTJT00127,joaquim-MS-7996,1885,20,289,9,2,1554
HT4CWJT00250,joaquim-MS-7996,1919,22,267,8,2,1615
HT4CWJT00250,joaquim-MS-7996,3260,8,132,1471,1,1547
HT4CWJT00250,joaquim-MS-7996,2185,25,230,400,1,1532
HT4BTJT00127,joaquim-MS-7996,3193,19,215,1415,0,1533
HT4CWJT00250,joaquim-MS-7996,1987,11,330,20,9,1564
HT4BTJT00127,joaquim-MS-7996,1893,8,308,6,1,1553
HT4BVJT00189,joaquim-MS-7996,3267,7,400,1270,1,1542
HT4BVJT00003,joaquim-MS-7996,3561,10,310,1659,1,1564
HT4BVJT00189,joaquim-MS-7996,3051,32,521,955,1,1540
HT4BVJT00189,joaquim-MS-7996,4622,45,584,2406,1,1542
HT4BVJT00189,joaquim-MS-7996,5648,9,254,3793,1,1539
HT4BVJT00189,joaquim-MS-7996,1910,18,320,14,2,1557
HT4BVJT00189,joaquim-MS-7996,2103,6,346,14,3,1659
HT4BVJT00189,joaquim-MS-7996,3109,9,325,1168,1,1549
HT4BVJT00003,joaquim-MS-7996,1950,11,337,14,2,1565
HT4BVJT00189,joaquim-MS-7996,1855,21,300,7,1,1549
HT4BVJT00003,joaquim-MS-7996,2065,60,313,11,2,1561
HT4CWJT00250,joaquim-MS-7996,1854,23,242,11,2,1567
HT4BVJT00003,joaquim-MS-7996,2755,12,352,827,3,1547
HT4BVJT00003,joaquim-MS-7996,2322,10,198,545,1,1529
HT4BVJT00003,joaquim-MS-7996,2069,90,376,20,2,1580
HT4BVJT00189,joaquim-MS-7996,2249,9,308,371,1,1542
HT4BVJT00189,joaquim-MS-7996,1890,42,246,9,2,1560
HT4BTJT00127,joaquim-MS-7996,1956,5,378,7,5,1547
HT4BVJT00189,joaquim-MS-7996,3301,15,361,1392,0,1539
HT4BVJT00003,joaquim-MS-7996,2080,43,418,8,3,1622
HT4BTJT00127,joaquim-MS-7996,2260,46,423,222,2,1558
HT4CWJT00250,joaquim-MS-7996,2061,11,467,5,1,1557
HT4BVJT00003,joaquim-MS-7996,1935,28,309,10,1,1563
HT4BVJT00189,joaquim-MS-7996,2016,7,435,12,3,1571
HT4CWJT00250,joaquim-MS-7996,1796,7,210,8,1,1556
HT4BTJT00127,joaquim-MS-7996,1851,8,285,6,1,1550
HT4CWJT00250,joaquim-MS-7996,1876,7,297,3,1,1557
HT4BVJT00003,joaquim-MS-7996,3034,53,247,1188,1,1538
HT4BVJT00189,joaquim-MS-7996,1816,6,258,3,1,1548
HT4BVJT00189,joaquim-MS-7996,1896,32,302,4,1,1537
HT4CWJT00250,joaquim-MS-7996,1922,8,327,8,1,1567
HT4BTJT00127,joaquim-MS-7996,1940,8,346,9,4,1563
HT4BTJT00127,joaquim-MS-7996,1928,7,256,9,2,1632
HT4BTJT00127,joaquim-MS-7996,1837,7,294,3,1,1538
HT4CWJT00250,joaquim-MS-7996,1910,8,247,9,1,1613
HT4CWJT00250,joaquim-MS-7996,3134,6,131,1459,1,1532
HT4CWJT00250,joaquim-MS-7996,2026,7,233,217,1,1562
HT4BTJT00127,joaquim-MS-7996,3099,47,210,1301,0,1531
HT4CWJT00250,joaquim-MS-7996,1918,26,313,18,1,1560
HT4BTJT00127,joaquim-MS-7996,1930,44,262,12,3,1588
HT4BVJT00189,joaquim-MS-7996,3218,8,389,1269,1,1549
HT4BVJT00003,joaquim-MS-7996,3481,13,298,1573,1,1584
HT4BVJT00189,joaquim-MS-7996,3160,50,510,1071,1,1543
HT4BVJT00189,joaquim-MS-7996,4629,34,502,2514,1,1544
HT4BVJT00189,joaquim-MS-7996,5626,16,196,3876,1,1533
HT4BVJT00189,joaquim-MS-7996,1894,21,241,10,2,1585
HT4BVJT00189,joaquim-MS-7996,2133,46,344,12,3,1690
HT4BVJT00189,joaquim-MS-7996,3116,13,263,1281,3,1542
HT4BVJT00003,joaquim-MS-7996,2015,38,305,12,1,1557
HT4BVJT00189,joaquim-MS-7996,1919,56,284,7,1,1555
HT4BVJT00003,joaquim-MS-7996,1971,41,306,11,6,1560
HT4CWJT00250,joaquim-MS-7996,1839,11,256,11,6,1553
HT4BVJT00003,joaquim-MS-7996,2657,44,328,713,1,1547
HT4BVJT00003,joaquim-MS-7996,2216,38,331,310,1,1532
HT4BVJT00003,joaquim-MS-7996,1940,44,291,22,2,1567
HT4BVJT00189,joaquim-MS-7996,2129,7,331,211,2,1547
HT4BVJT00189,joaquim-MS-7996,1846,6,250,12,1,1544
HT4BTJT00127,joaquim-MS-7996,2008,6,377,15,3,1592
HT4BVJT00189,joaquim-MS-7996,3409,5,426,1440,1,1530
HT4BVJT00003,joaquim-MS-7996,2037,13,400,15,3,1580
HT4BTJT00127,joaquim-MS-7996,2102,6,448,57,4,1566
HT4CWJT00250,joaquim-MS-7996,1993,10,386,6,3,1565
HT4BVJT00003,joaquim-MS-7996,1865,10,264,10,2,1563
HT4BVJT00189,joaquim-MS-7996,2135,12,430,13,4,1563
HT4CWJT00250,joaquim-MS-7996,1811,9,235,7,2,1561
HT4BTJT00127,joaquim-MS-7996,1811,9,238,6,4,1539
HT4CWJT00250,joaquim-MS-7996,1904,12,291,10,2,1572
HT4BVJT00003,joaquim-MS-7996,3063,12,272,1206,1,1541
HT4BVJT00189,joaquim-MS-7996,1848,9,242,9,9,1550
HT4BVJT00189,joaquim-MS-7996,1975,44,378,11,5,1548
HT4CWJT00250,joaquim-MS-7996,1975,9,326,19,2,1615
HT4BTJT00127,joaquim-MS-7996,1927,5,349,7,1,1547
HT4BTJT00127,joaquim-MS-7996,1977,45,260,9,5,1627
HT4BTJT00127,joaquim-MS-7996,1841,7,247,9,2,1562
HT4CWJT00250,joaquim-MS-7996,1899,6,253,8,3,1621
HT4CWJT00250,joaquim-MS-7996,3251,48,137,1427,0,1535
HT4CWJT00250,joaquim-MS-7996,2181,13,224,396,2,1536
HT4BTJT00127,joaquim-MS-7996,3199,19,206,1407,1,1545
HT4CWJT00250,joaquim-MS-7996,1924,9,330,7,4,1563
HT4BTJT00127,joaquim-MS-7996,1906,6,265,11,2,1606
HT4BVJT00189,joaquim-MS-7996,3111,14,329,1207,1,1539
