ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10054,10,70,22,3,9950
HT4BTJT00127,HT4BTJT00127,10342,61,126,43,3,10129
HT4BVJT00003,HT4BVJT00003,17825,16,104,8316,2,9392
HT4BVJT00003,HT4BVJT00003,25670,6,38,16114,14,9500
HT4CWJT00250,HT4CWJT00250,9874,18,38,29,2,9790
HT4BVJT00189,HT4BVJT00189,10964,26,132,26,8,10810
HT4BVJT00003,joaquim-MS-7996,1649,6,147,7,1,1487
HT4BVJT00003,joaquim-MS-7996,1650,17,198,10,4,1414
HT4CWJT00250,joaquim-MS-7996,2386,14,156,868,1,1337
HT4BTJT00127,joaquim-MS-7996,1585,43,183,4,0,1350
HT4CWJT00250,joaquim-MS-7996,1562,13,174,7,1,1370
HT4BVJT00003,joaquim-MS-7996,2160,11,135,656,1,1359
HT4BVJT00189,joaquim-MS-7996,1604,11,198,7,1,1367
HT4BVJT00189,joaquim-MS-7996,1588,45,154,7,1,1366
HT4CWJT00250,joaquim-MS-7996,1515,12,127,5,1,1368
HT4BTJT00127,joaquim-MS-7996,1536,10,143,6,0,1366
HT4BTJT00127,joaquim-MS-7996,1512,39,93,4,1,1360
HT4BTJT00127,joaquim-MS-7996,1458,25,64,4,1,1362
HT4CWJT00250,joaquim-MS-7996,1613,20,160,6,1,1367
HT4BVJT00003,joaquim-MS-7996,2765,88,139,1201,1,1332
HT4CWJT00250,joaquim-MS-7996,3939,14,145,2437,0,1343
HT4CWJT00250,joaquim-MS-7996,2770,19,109,1265,0,1329
HT4BTJT00127,joaquim-MS-7996,3606,9,94,2147,1,1342
HT4BVJT00003,joaquim-MS-7996,4443,46,137,2935,0,1329
HT4CWJT00250,joaquim-MS-7996,1548,17,165,6,1,1356
HT4BTJT00127,joaquim-MS-7996,1480,14,97,3,0,1357
HT4BVJT00189,joaquim-MS-7996,2515,13,139,1019,0,1331
HT4BVJT00189,joaquim-MS-7996,3047,17,318,1359,1,1347
HT4BVJT00189,joaquim-MS-7996,1630,14,248,3,0,1357
HT4BVJT00189,joaquim-MS-7996,3798,15,177,2258,0,1344
HT4BVJT00003,joaquim-MS-7996,2927,8,137,1435,0,1333
HT4BVJT00003,joaquim-MS-7996,1527,15,146,5,1,1360
HT4BVJT00189,joaquim-MS-7996,2769,16,124,1287,0,1336
HT4BVJT00189,joaquim-MS-7996,2259,9,152,762,0,1333
HT4BVJT00189,joaquim-MS-7996,3071,6,147,1564,1,1343
HT4BVJT00003,joaquim-MS-7996,3563,28,143,2057,2,1327
HT4BVJT00189,joaquim-MS-7996,1538,45,128,6,1,1360
HT4BVJT00189,joaquim-MS-7996,1689,21,198,5,2,1368
HT4CWJT00250,joaquim-MS-7996,1503,27,119,2,1,1347
HT4BVJT00189,joaquim-MS-7996,1574,50,155,5,1,1363
HT4BVJT00189,joaquim-MS-7996,1559,17,132,5,1,1353
HT4BVJT00189,joaquim-MS-7996,1569,39,153,3,0,1341
HT4BVJT00189,joaquim-MS-7996,2060,21,136,545,1,1335
HT4BVJT00189,joaquim-MS-7996,3032,18,112,1560,1,1336
HT4BVJT00189,joaquim-MS-7996,4005,50,135,2488,0,1333
HT4BTJT00127,joaquim-MS-7996,1578,14,142,6,8,1363
HT4BVJT00003,HT4BVJT00003,10118,41,112,13,3,9983
HT4BTJT00127,HT4BTJT00127,9983,48,107,22,3,9861
HT4BVJT00003,HT4BVJT00003,17813,12,34,8439,2,9324
HT4BVJT00003,HT4BVJT00003,26283,7,23,16219,6,10023
HT4CWJT00250,HT4CWJT00250,9852,52,26,26,3,9748
HT4BVJT00189,HT4BVJT00189,10724,8,55,14,3,10677
HT4BVJT00003,joaquim-MS-7996,1696,10,150,22,1,1508
HT4BVJT00003,joaquim-MS-7996,1682,20,233,11,2,1411
HT4CWJT00250,HT4BVJT00189,12999,9,198,2510,4,10317
HT4BTJT00127,joaquim-MS-7996,1550,29,173,2,0,1341
HT4CWJT00250,joaquim-MS-7996,1546,12,165,3,0,1356
HT4BVJT00003,joaquim-MS-7996,2230,12,110,714,1,1338
HT4BVJT00189,joaquim-MS-7996,1628,46,215,7,1,1362
HT4BVJT00189,joaquim-MS-7996,1586,10,201,6,1,1368
HT4CWJT00250,joaquim-MS-7996,1510,13,126,6,0,1360
HT4BTJT00127,joaquim-MS-7996,1577,44,155,5,1,1367
