ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10666,27,18,24,3,10598
HT4BTJT00127,HT4BTJT00127,9951,29,56,29,5,9847
HT4BVJT00003,HT4BVJT00003,18738,51,38,8969,2,9682
HT4CWJT00250,HT4CWJT00250,9819,32,25,34,2,9731
HT4BVJT00189,HT4BVJT00189,10465,33,54,14,1,10360
HT4CWJT00250,HT4BVJT00189,12437,14,74,2347,3,9995
HT4BTJT00127,joaquim-MS-7996,1565,35,64,24,1,1434
HT4CWJT00250,joaquim-MS-7996,1379,12,45,4,1,1307
HT4BVJT00189,joaquim-MS-7996,1476,35,80,4,1,1342
HT4BVJT00189,joaquim-MS-7996,1392,27,70,1,0,1290
HT4CWJT00250,joaquim-MS-7996,1512,12,67,4,1,1340
HT4BVJT00003,joaquim-MS-7996,1962,31,54,575,0,1300
HT4BTJT00127,joaquim-MS-7996,1443,11,44,4,1,1326
HT4BTJT00127,joaquim-MS-7996,1468,48,56,4,1,1359
HT4BVJT00189,joaquim-MS-7996,1417,44,52,31,0,1284
HT4BVJT00189,joaquim-MS-7996,1395,8,49,9,0,1309
HT4CWJT00250,joaquim-MS-7996,1994,7,44,653,1,1284
HT4CWJT00250,joaquim-MS-7996,2949,46,56,1552,1,1288
HT4CWJT00250,joaquim-MS-7996,1724,13,67,351,0,1296
HT4BVJT00189,joaquim-MS-7996,1499,88,59,68,0,1286
HT4BVJT00003,joaquim-MS-7996,1546,15,80,4,0,1441
HT4BVJT00003,joaquim-MS-7996,1410,35,48,4,0,1312
HT4BVJT00189,joaquim-MS-7996,1847,46,96,423,0,1294
HT4BVJT00189,joaquim-MS-7996,1367,22,46,2,0,1294
HT4BVJT00189,joaquim-MS-7996,2026,17,42,671,0,1292
HT4CWJT00250,joaquim-MS-7996,2435,19,49,1083,0,1280
HT4BTJT00127,joaquim-MS-7996,1426,19,68,3,1,1323
HT4BVJT00189,joaquim-MS-7996,1377,7,76,1,0,1280
HT4BVJT00189,joaquim-MS-7996,1388,19,38,3,0,1320
HT4BVJT00003,joaquim-MS-7996,2515,18,27,1174,0,1290
HT4BTJT00127,joaquim-MS-7996,3488,46,65,2096,0,1279
HT4BVJT00189,joaquim-MS-7996,4754,16,79,3362,0,1287
HT4BVJT00189,joaquim-MS-7996,2978,53,55,1575,0,1290
HT4BVJT00189,joaquim-MS-7996,1531,13,51,3,1,1459
HT4BVJT00189,joaquim-MS-7996,1881,100,49,381,0,1290
HT4BVJT00189,joaquim-MS-7996,2862,19,54,1499,1,1287
HT4BTJT00127,joaquim-MS-7996,1462,59,69,4,0,1313
HT4BTJT00127,joaquim-MS-7996,2581,6,19,1259,1,1286
HT4BTJT00127,joaquim-MS-7996,2429,48,68,1013,0,1288
HT4BVJT00189,joaquim-MS-7996,1453,10,57,1,0,1349
HT4BVJT00003,joaquim-MS-7996,2362,24,48,1008,0,1281
HT4CWJT00250,joaquim-MS-7996,2671,18,68,1302,0,1283
HT4BVJT00189,joaquim-MS-7996,1702,48,50,304,0,1293
HT4BVJT00003,joaquim-MS-7996,2612,46,76,1193,0,1292
HT4BVJT00189,joaquim-MS-7996,1476,28,63,4,0,1308
HT4BVJT00003,HT4BVJT00003,10633,12,15,21,4,10583
HT4BTJT00127,HT4BTJT00127,10048,19,58,23,2,9956
HT4BVJT00003,HT4BVJT00003,18565,21,11,8960,2,9571
HT4CWJT00250,HT4CWJT00250,9756,22,27,29,2,9681
HT4BVJT00189,HT4BVJT00189,10962,8,55,23,3,10875
HT4CWJT00250,joaquim-MS-7996,1608,53,72,19,0,1458
HT4BTJT00127,joaquim-MS-7996,1411,27,63,5,1,1306
HT4CWJT00250,joaquim-MS-7996,1383,13,42,3,1,1316
HT4BVJT00189,joaquim-MS-7996,1524,95,75,4,1,1344
HT4BVJT00189,joaquim-MS-7996,1463,47,52,3,0,1308
HT4CWJT00250,joaquim-MS-7996,1407,15,64,5,0,1319
HT4BVJT00003,joaquim-MS-7996,1939,36,43,559,0,1297
HT4BTJT00127,joaquim-MS-7996,1489,32,43,4,0,1313
HT4BTJT00127,joaquim-MS-7996,1388,13,45,4,1,1322
HT4BVJT00189,joaquim-MS-7996,1499,26,58,3,1,1402
HT4BVJT00189,joaquim-MS-7996,1430,22,59,4,0,1316
HT4CWJT00250,joaquim-MS-7996,2060,15,57,696,1,1285
HT4CWJT00250,joaquim-MS-7996,3058,41,47,1677,0,1287
HT4CWJT00250,joaquim-MS-7996,1787,21,61,397,1,1303
HT4BVJT00189,joaquim-MS-7996,1649,22,44,293,1,1289
HT4BVJT00003,joaquim-MS-7996,1463,6,73,9,1,1290
HT4BVJT00003,joaquim-MS-7996,1377,14,43,4,0,1303
HT4BVJT00189,joaquim-MS-7996,1836,19,89,429,1,1298
HT4BVJT00189,joaquim-MS-7996,1362,12,37,2,0,1306
HT4BVJT00189,joaquim-MS-7996,2065,14,29,727,0,1290
HT4CWJT00250,joaquim-MS-7996,2452,14,44,1102,0,1283
HT4BTJT00127,joaquim-MS-7996,1407,14,68,4,1,1317
HT4BVJT00189,joaquim-MS-7996,1573,50,84,4,0,1423
HT4BVJT00189,joaquim-MS-7996,1484,16,36,4,0,1317
HT4BVJT00003,joaquim-MS-7996,2549,18,29,1202,0,1297
HT4BTJT00127,joaquim-MS-7996,3652,17,34,2320,0,1278
HT4BVJT00189,joaquim-MS-7996,4726,20,53,3359,0,1282
HT4BVJT00189,joaquim-MS-7996,3025,20,45,1652,0,1292
HT4BVJT00189,joaquim-MS-7996,1554,47,44,3,0,1456
HT4BVJT00189,joaquim-MS-7996,1962,27,76,570,1,1281
HT4BVJT00189,joaquim-MS-7996,2910,23,53,1551,0,1281
HT4BTJT00127,joaquim-MS-7996,1387,11,53,3,0,1316
HT4BTJT00127,joaquim-MS-7996,2484,17,23,1165,0,1279
HT4BTJT00127,joaquim-MS-7996,2449,56,53,931,0,1295
HT4BVJT00189,joaquim-MS-7996,1473,20,62,3,1,1381
HT4BVJT00003,joaquim-MS-7996,2329,17,65,951,0,1290
HT4CWJT00250,joaquim-MS-7996,2796,16,71,1419,0,1290
HT4BVJT00189,joaquim-MS-7996,1831,25,45,439,0,1291
HT4BVJT00003,joaquim-MS-7996,2657,14,68,1298,1,1278
HT4BVJT00189,joaquim-MS-7996,1414,16,65,4,0,1317
HT4BVJT00003,HT4BVJT00003,10598,16,22,27,4,10532
HT4BTJT00127,HT4BTJT00127,10185,18,31,21,2,10123
HT4BVJT00003,HT4BVJT00003,18605,19,21,8941,3,9626
HT4CWJT00250,HT4CWJT00250,9754,14,28,26,2,9688
HT4BVJT00189,HT4BVJT00189,10460,14,54,12,2,10385
HT4CWJT00250,HT4BVJT00189,12497,6,77,2358,1,10034
HT4BTJT00127,joaquim-MS-7996,1528,9,58,20,1,1430
HT4CWJT00250,joaquim-MS-7996,1447,47,66,4,0,1320
HT4BVJT00189,joaquim-MS-7996,1444,23,75,4,1,1338
HT4BVJT00189,joaquim-MS-7996,1435,20,79,3,1,1322
HT4CWJT00250,joaquim-MS-7996,1437,34,74,4,1,1322
HT4BVJT00003,joaquim-MS-7996,1960,22,55,578,0,1295
HT4BTJT00127,joaquim-MS-7996,1492,91,64,4,1,1329
HT4BTJT00127,joaquim-MS-7996,1494,37,67,4,1,1337
HT4BVJT00189,joaquim-MS-7996,1420,25,63,53,0,1281
HT4BVJT00189,joaquim-MS-7996,1402,21,53,4,0,1321
HT4CWJT00250,joaquim-MS-7996,2012,29,71,628,0,1283
HT4CWJT00250,joaquim-MS-7996,2995,21,52,1635,0,1289
HT4CWJT00250,joaquim-MS-7996,1759,6,61,398,0,1295
HT4BVJT00189,joaquim-MS-7996,1621,27,40,265,0,1279
HT4BVJT00003,joaquim-MS-7996,1565,20,84,3,1,1411
HT4BVJT00003,joaquim-MS-7996,1465,53,98,4,0,1309
HT4BVJT00189,joaquim-MS-7996,2045,18,72,651,0,1295
HT4BVJT00189,joaquim-MS-7996,1455,52,44,65,0,1286
HT4BVJT00189,joaquim-MS-7996,2231,52,35,840,0,1296
HT4CWJT00250,joaquim-MS-7996,2569,32,56,1188,0,1284
HT4BTJT00127,joaquim-MS-7996,1464,16,111,12,0,1316
HT4BVJT00189,joaquim-MS-7996,1484,25,95,1,0,1354
HT4BVJT00189,joaquim-MS-7996,1426,48,56,4,0,1319
HT4BVJT00003,joaquim-MS-7996,2683,25,50,1310,0,1297
HT4BTJT00127,joaquim-MS-7996,3781,26,35,2432,0,1284
HT4BVJT00189,joaquim-MS-7996,4892,21,64,3524,0,1282
HT4BVJT00189,joaquim-MS-7996,3121,28,63,1735,0,1291
HT4BVJT00189,joaquim-MS-7996,1546,52,66,3,1,1423
HT4BVJT00189,joaquim-MS-7996,2007,24,69,628,0,1278
HT4BVJT00189,joaquim-MS-7996,2933,7,49,1583,0,1285
HT4BTJT00127,joaquim-MS-7996,1435,9,106,4,0,1310
HT4BTJT00127,joaquim-MS-7996,2568,5,30,1244,0,1279
HT4BTJT00127,joaquim-MS-7996,2424,19,143,955,1,1304
HT4BVJT00189,joaquim-MS-7996,1707,13,96,3,0,1456
HT4BVJT00003,joaquim-MS-7996,2627,11,106,1218,0,1284
HT4CWJT00250,joaquim-MS-7996,2928,19,249,1359,0,1290
HT4BVJT00189,joaquim-MS-7996,1885,31,142,412,0,1301
HT4BVJT00003,joaquim-MS-7996,2791,18,124,1355,0,1277
HT4BVJT00189,joaquim-MS-7996,1397,14,65,4,0,1315
HT4BVJT00003,HT4BVJT00003,10643,19,24,28,2,10572
HT4BTJT00127,HT4BTJT00127,9968,68,22,29,3,9858
HT4BVJT00003,HT4BVJT00003,18473,13,33,8971,2,9469
HT4CWJT00250,HT4CWJT00250,9755,13,18,19,1,9705
HT4BVJT00189,HT4BVJT00189,10846,23,32,38,4,10758
