ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10206,10,88,15,4,10110
HT4BTJT00127,HT4BTJT00127,10042,7,109,27,7,9932
HT4CWJT00250,HT4CWJT00250,10585,11,207,83,5,10316
HT4BVJT00003,HT4BVJT00003,10274,7,86,677,5,9505
HT4BVJT00189,HT4BVJT00189,10995,12,119,27,15,10862
HT4CWJT00250,joaquim-MS-7996,2108,8,251,27,1,1722
HT4BTJT00127,joaquim-MS-7996,1860,5,321,3,0,1531
HT4CWJT00250,joaquim-MS-7996,1969,40,359,11,3,1546
HT4BVJT00003,joaquim-MS-7996,3144,9,399,1214,2,1515
HT4BVJT00189,joaquim-MS-7996,1897,12,343,8,2,1546
HT4BVJT00189,joaquim-MS-7996,1941,7,372,14,4,1538
HT4CWJT00250,joaquim-MS-7996,1926,54,353,4,1,1515
HT4BTJT00127,joaquim-MS-7996,1983,9,419,11,2,1530
HT4BTJT00127,joaquim-MS-7996,1918,5,297,12,6,1591
HT4BTJT00127,joaquim-MS-7996,1817,7,259,9,9,1518
HT4CWJT00250,joaquim-MS-7996,2002,8,421,4,3,1505
HT4CWJT00250,joaquim-MS-7996,3264,9,261,1477,1,1506
HT4CWJT00250,joaquim-MS-7996,2249,11,232,472,2,1505
HT4BTJT00127,joaquim-MS-7996,3214,7,181,1525,1,1492
HT4CWJT00250,joaquim-MS-7996,1938,6,356,14,7,1534
HT4BTJT00127,joaquim-MS-7996,1900,10,292,19,3,1549
HT4BVJT00189,joaquim-MS-7996,3067,8,351,1194,2,1509
HT4BVJT00003,joaquim-MS-7996,3435,12,364,1487,1,1537
HT4BVJT00189,joaquim-MS-7996,2948,7,426,995,1,1509
HT4BVJT00189,joaquim-MS-7996,4357,10,420,2396,1,1522
HT4BVJT00189,joaquim-MS-7996,5376,9,225,3628,1,1511
HT4BVJT00189,joaquim-MS-7996,1843,8,281,12,2,1539
HT4BVJT00189,joaquim-MS-7996,2006,14,345,12,2,1619
HT4BVJT00189,joaquim-MS-7996,2926,24,317,1053,3,1515
HT4BVJT00003,joaquim-MS-7996,1959,8,369,13,2,1543
HT4BVJT00189,joaquim-MS-7996,1939,7,309,12,8,1599
HT4BVJT00003,joaquim-MS-7996,1974,55,357,9,6,1529
HT4CWJT00250,joaquim-MS-7996,1864,7,300,11,5,1529
HT4BVJT00003,joaquim-MS-7996,2662,9,347,804,2,1519
HT4BVJT00003,joaquim-MS-7996,2246,14,236,413,0,1500
HT4BVJT00003,joaquim-MS-7996,1938,8,348,14,3,1547
HT4BVJT00189,joaquim-MS-7996,2098,11,338,236,1,1511
HT4BVJT00189,joaquim-MS-7996,1871,9,284,8,2,1535
HT4BTJT00127,joaquim-MS-7996,1953,11,353,10,3,1539
HT4BVJT00189,joaquim-MS-7996,3201,15,342,1321,1,1511
HT4BVJT00003,HT4BVJT00003,10274,10,63,17,9,10173
HT4BTJT00127,HT4BTJT00127,10206,11,174,30,6,10023
HT4CWJT00250,HT4CWJT00250,10640,11,101,31,7,10521
HT4BVJT00003,HT4BVJT00003,10041,50,78,681,6,9232
HT4BVJT00189,HT4BVJT00189,12706,29,190,29,6,12497
HT4CWJT00250,joaquim-MS-7996,2074,13,325,24,2,1692
HT4BTJT00127,joaquim-MS-7996,1886,10,357,3,0,1507
HT4CWJT00250,joaquim-MS-7996,1970,10,375,6,2,1521
HT4BVJT00003,joaquim-MS-7996,3235,25,374,1205,2,1533
HT4BVJT00189,joaquim-MS-7996,1963,43,313,9,2,1535
HT4BVJT00189,joaquim-MS-7996,1924,6,373,10,3,1536
HT4CWJT00250,joaquim-MS-7996,1950,7,385,10,3,1540
HT4BTJT00127,joaquim-MS-7996,1964,40,390,6,4,1522
HT4BTJT00127,joaquim-MS-7996,1879,23,330,4,4,1521
HT4BTJT00127,joaquim-MS-7996,1913,46,307,15,2,1525
HT4CWJT00250,joaquim-MS-7996,1893,6,307,14,2,1565
HT4CWJT00250,joaquim-MS-7996,3128,8,226,1384,1,1505
HT4CWJT00250,joaquim-MS-7996,2092,45,258,280,1,1502
HT4BTJT00127,joaquim-MS-7996,3059,43,215,1302,1,1501
HT4CWJT00250,joaquim-MS-7996,1941,7,367,17,9,1523
HT4BTJT00127,joaquim-MS-7996,1926,8,278,16,2,1574
HT4BVJT00189,joaquim-MS-7996,3079,19,364,1128,1,1517
HT4BVJT00003,joaquim-MS-7996,3415,5,332,1542,1,1534
HT4BVJT00189,joaquim-MS-7996,2951,10,395,1024,2,1507
HT4BVJT00189,joaquim-MS-7996,4349,10,468,2336,2,1519
HT4BVJT00189,joaquim-MS-7996,5328,14,207,3595,1,1509
HT4BVJT00189,joaquim-MS-7996,1854,8,257,9,2,1542
HT4BVJT00189,joaquim-MS-7996,1993,42,333,11,2,1612
HT4BVJT00189,joaquim-MS-7996,3024,40,257,1216,1,1506
HT4BVJT00003,joaquim-MS-7996,1928,7,335,13,2,1542
HT4BVJT00189,joaquim-MS-7996,1938,8,267,9,2,1621
HT4BVJT00003,joaquim-MS-7996,1909,9,307,13,5,1524
HT4CWJT00250,joaquim-MS-7996,1875,11,289,8,2,1540
HT4BVJT00003,joaquim-MS-7996,2648,43,534,526,2,1514
HT4BVJT00003,joaquim-MS-7996,2139,9,284,342,0,1507
