ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1684,14,194,7,3,1435
HT4BTJT00127,joaquim-MS-7996,2356,9,161,766,1,1406
HT4BVJT00003,joaquim-MS-7996,3586,33,148,2010,1,1386
HT4BVJT00003,joaquim-MS-7996,4203,18,180,2637,0,1375
HT4CWJT00250,joaquim-MS-7996,4749,14,181,3062,0,1390
HT4BVJT00189,joaquim-MS-7996,2264,18,149,722,1,1365
HT4BVJT00003,joaquim-MS-7996,1630,11,116,5,0,1421
HT4BVJT00003,joaquim-MS-7996,1997,13,167,430,1,1366
HT4CWJT00250,joaquim-MS-7996,3084,15,117,1583,0,1370
HT4BTJT00127,joaquim-MS-7996,1624,29,135,5,1,1446
HT4CWJT00250,joaquim-MS-7996,1600,12,177,4,0,1395
HT4BVJT00003,joaquim-MS-7996,2623,7,129,1055,1,1386
HT4BVJT00189,joaquim-MS-7996,2238,45,152,646,1,1390
HT4BVJT00189,joaquim-MS-7996,2055,51,153,481,1,1374
HT4CWJT00250,joaquim-MS-7996,2411,45,107,867,1,1373
HT4BTJT00127,joaquim-MS-7996,2209,10,142,624,1,1372
HT4BTJT00127,joaquim-MS-7996,2465,16,94,975,0,1373
HT4BTJT00127,joaquim-MS-7996,1909,17,60,445,1,1377
HT4CWJT00250,joaquim-MS-7996,2205,15,121,634,1,1377
HT4CWJT00250,joaquim-MS-7996,3386,23,190,1793,1,1375
HT4BVJT00003,joaquim-MS-7996,4716,8,187,3151,0,1364
HT4CWJT00250,joaquim-MS-7996,4846,14,94,3365,0,1373
HT4BTJT00127,joaquim-MS-7996,5986,7,114,4495,1,1368
HT4BVJT00003,joaquim-MS-7996,7133,13,126,5595,0,1383
HT4CWJT00250,joaquim-MS-7996,2834,19,127,1302,1,1380
HT4BTJT00127,joaquim-MS-7996,2292,10,84,810,0,1384
