ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1494,21,68,5,0,1356
HT4BTJT00127,joaquim-MS-7996,2081,20,79,623,0,1347
HT4BVJT00003,joaquim-MS-7996,3314,21,61,1898,0,1332
HT4CWJT00250,joaquim-MS-7996,2891,24,92,1433,0,1333
HT4BVJT00189,joaquim-MS-7996,1447,54,55,1,0,1332
HT4CWJT00250,joaquim-MS-7996,1417,12,49,4,1,1348
HT4BTJT00127,joaquim-MS-7996,1440,16,54,4,1,1357
HT4CWJT00250,joaquim-MS-7996,1420,14,40,4,0,1355
HT4BVJT00189,joaquim-MS-7996,1430,13,54,4,1,1357
HT4BVJT00189,joaquim-MS-7996,1539,14,46,4,0,1460
HT4CWJT00250,joaquim-MS-7996,1712,13,66,286,1,1344
HT4BVJT00003,joaquim-MS-7996,2773,16,50,1279,0,1327
HT4BTJT00127,joaquim-MS-7996,2742,39,52,1316,0,1325
HT4BTJT00127,joaquim-MS-7996,3002,23,52,1597,1,1329
HT4BVJT00189,joaquim-MS-7996,3751,49,41,2278,1,1330
HT4BVJT00189,joaquim-MS-7996,2990,23,44,1569,1,1344
HT4CWJT00250,joaquim-MS-7996,4001,8,68,2593,1,1330
HT4CWJT00250,joaquim-MS-7996,5165,17,41,3783,0,1320
HT4CWJT00250,joaquim-MS-7996,5243,45,62,3791,0,1338
HT4BVJT00189,joaquim-MS-7996,5829,10,26,4467,0,1321
HT4BVJT00003,joaquim-MS-7996,6282,84,64,4794,1,1328
HT4BVJT00003,joaquim-MS-7996,5137,38,77,3710,1,1328
HT4BVJT00189,joaquim-MS-7996,6056,16,76,4639,0,1327
HT4BVJT00189,joaquim-MS-7996,6402,36,38,4988,1,1329
HT4BVJT00189,joaquim-MS-7996,7524,11,23,6150,0,1336
HT4CWJT00250,joaquim-MS-7996,8399,12,45,7017,0,1326
HT4BTJT00127,joaquim-MS-7996,7875,10,61,6461,0,1332
HT4BVJT00189,joaquim-MS-7996,8533,7,76,7132,0,1321
HT4BVJT00189,joaquim-MS-7996,7973,12,40,6582,0,1320
HT4BVJT00003,joaquim-MS-7996,9200,44,24,7794,0,1333
HT4BTJT00127,joaquim-MS-7996,10436,27,34,9031,0,1338
HT4BVJT00189,joaquim-MS-7996,11706,19,48,10282,0,1335
HT4BVJT00189,joaquim-MS-7996,11474,15,48,10066,0,1337
HT4BVJT00189,HT4CWJT00250,9221,30,125,40,3,9032
HT4BVJT00189,HT4CWJT00250,17767,15,65,8742,2,8935
HT4BVJT00189,HT4CWJT00250,26639,11,71,17510,1,9035
HT4BTJT00127,joaquim-MS-7996,6580,8,52,5200,0,1317
HT4BTJT00127,joaquim-MS-7996,7826,8,21,6474,0,1314
HT4BTJT00127,joaquim-MS-7996,8402,17,57,7004,0,1321
HT4BVJT00189,joaquim-MS-7996,8469,5,51,7079,0,1326
HT4BVJT00003,joaquim-MS-7996,9682,22,50,8288,0,1318
HT4CWJT00250,joaquim-MS-7996,10558,6,59,9164,0,1323
HT4BVJT00189,joaquim-MS-7996,10513,12,44,9136,1,1316
HT4BVJT00003,joaquim-MS-7996,11837,90,62,10256,1,1324
HT4BVJT00189,HT4BTJT00127,9234,21,92,31,3,9080
HT4BVJT00003,joaquim-MS-7996,2334,11,64,922,0,1328
HT4BTJT00127,joaquim-MS-7996,3000,6,48,1620,0,1325
HT4CWJT00250,joaquim-MS-7996,2783,12,61,1368,0,1339
HT4BVJT00003,joaquim-MS-7996,3746,12,62,2350,0,1319
HT4BVJT00189,joaquim-MS-7996,3348,21,64,1917,0,1312
HT4BVJT00003,joaquim-MS-7996,4643,47,71,3184,0,1329
HT4BTJT00127,joaquim-MS-7996,5814,18,39,4412,0,1320
HT4BVJT00189,joaquim-MS-7996,5732,48,38,4326,1,1311
HT4BTJT00127,joaquim-MS-7996,3869,14,45,2474,0,1332
HT4BVJT00189,joaquim-MS-7996,3344,15,75,1916,0,1329
HT4CWJT00250,joaquim-MS-7996,4661,19,84,3221,0,1333
HT4CWJT00250,joaquim-MS-7996,4967,13,50,3555,0,1343
HT4BVJT00189,joaquim-MS-7996,4559,23,45,3131,0,1314
HT4CWJT00250,joaquim-MS-7996,4305,50,50,2881,1,1317
HT4BTJT00127,joaquim-MS-7996,4274,13,62,2868,0,1330
HT4CWJT00250,joaquim-MS-7996,4427,10,49,2939,0,1326
HT4BTJT00127,joaquim-MS-7996,3196,45,84,1741,0,1321
HT4BTJT00127,joaquim-MS-7996,3885,13,36,2519,0,1315
HT4BVJT00189,joaquim-MS-7996,3794,46,46,2375,0,1317
HT4BTJT00127,joaquim-MS-7996,4881,14,31,3522,0,1314
HT4BVJT00189,joaquim-MS-7996,4541,11,80,3073,0,1320
HT4BTJT00127,joaquim-MS-7996,3384,17,48,1935,0,1318
HT4CWJT00250,joaquim-MS-7996,2825,13,26,1391,0,1391
HT4BVJT00003,joaquim-MS-7996,1940,55,46,496,0,1345
HT4BVJT00189,joaquim-MS-7996,1461,20,63,3,1,1363
HT4CWJT00250,joaquim-MS-7996,1517,11,58,3,1,1438
HT4BVJT00003,joaquim-MS-7996,2198,14,48,822,0,1310
HT4BVJT00189,joaquim-MS-7996,1438,32,63,1,0,1335
HT4CWJT00250,joaquim-MS-7996,1808,44,87,349,0,1324
HT4CWJT00250,joaquim-MS-7996,2803,21,43,1402,1,1336
HT4CWJT00250,joaquim-MS-7996,3155,19,49,1755,0,1322
HT4BVJT00003,joaquim-MS-7996,4111,10,37,2738,1,1319
HT4BVJT00189,joaquim-MS-7996,5186,35,44,3762,0,1341
HT4BVJT00003,joaquim-MS-7996,5602,25,34,4191,0,1325
HT4BVJT00189,joaquim-MS-7996,6571,6,49,5190,0,1318
HT4CWJT00250,joaquim-MS-7996,7812,10,60,6398,0,1326
HT4BVJT00189,joaquim-MS-7996,8477,22,40,7044,0,1334
HT4CWJT00250,joaquim-MS-7996,8996,14,52,7608,1,1320
HT4BTJT00127,joaquim-MS-7996,10073,50,37,8665,0,1320
HT4CWJT00250,HT4CWJT00250,8911,12,11,8,2,8877
HT4BVJT00189,HT4CWJT00250,17816,12,36,8824,18,8912
HT4BTJT00127,HT4BTJT00127,9165,17,34,19,7,9091
HT4BVJT00189,HT4BTJT00127,18200,55,51,8900,3,8970
HT4BTJT00127,HT4BVJT00003,9207,21,78,7,4,9089
HT4CWJT00250,joaquim-MS-7996,5233,6,32,3807,0,1337
HT4CWJT00250,joaquim-MS-7996,4143,7,59,2738,0,1338
HT4BTJT00127,joaquim-MS-7996,3618,5,40,2239,0,1332
HT4CWJT00250,joaquim-MS-7996,4850,15,47,3468,0,1317
HT4BVJT00003,joaquim-MS-7996,3290,11,38,1917,0,1319
HT4BVJT00003,joaquim-MS-7996,1430,19,47,4,0,1357
HT4BTJT00127,joaquim-MS-7996,2022,22,94,545,0,1354
HT4BVJT00003,joaquim-MS-7996,3260,52,48,1827,0,1329
HT4CWJT00250,joaquim-MS-7996,2869,16,77,1442,0,1332
HT4BVJT00189,joaquim-MS-7996,1441,37,52,5,1,1343
HT4CWJT00250,joaquim-MS-7996,1445,13,56,1,1,1328
HT4BTJT00127,joaquim-MS-7996,1475,14,62,5,1,1355
HT4CWJT00250,joaquim-MS-7996,1514,61,64,4,1,1343
HT4BVJT00189,joaquim-MS-7996,1484,50,67,4,0,1360
HT4BVJT00189,joaquim-MS-7996,1519,25,55,3,0,1431
HT4CWJT00250,joaquim-MS-7996,1872,13,55,347,1,1357
HT4BVJT00003,joaquim-MS-7996,2643,37,45,1222,0,1332
HT4BTJT00127,joaquim-MS-7996,2801,14,36,1406,0,1331
HT4BTJT00127,joaquim-MS-7996,3072,19,47,1663,0,1333
HT4BVJT00189,joaquim-MS-7996,3664,41,53,2249,0,1320
HT4BVJT00189,joaquim-MS-7996,3037,15,57,1606,0,1342
HT4CWJT00250,joaquim-MS-7996,4021,13,53,2617,0,1333
HT4CWJT00250,joaquim-MS-7996,5211,25,44,3815,0,1322
HT4CWJT00250,joaquim-MS-7996,5302,23,56,3861,0,1334
HT4BVJT00189,joaquim-MS-7996,5781,50,32,4376,0,1319
HT4BVJT00003,joaquim-MS-7996,6418,8,60,5023,0,1325
HT4BVJT00003,joaquim-MS-7996,5192,23,50,3772,0,1320
HT4BVJT00189,joaquim-MS-7996,6118,10,56,4715,1,1333
HT4BVJT00189,joaquim-MS-7996,6525,39,27,5131,0,1321
HT4BVJT00189,joaquim-MS-7996,7554,15,36,6168,0,1328
HT4CWJT00250,joaquim-MS-7996,8357,12,41,6960,0,1332
HT4BTJT00127,HT4BTJT00127,9139,6,62,21,6,9049
HT4BVJT00189,HT4BTJT00127,15491,13,190,8235,2,7043
HT4BVJT00189,joaquim-MS-7996,5334,23,35,3952,0,1321
HT4BVJT00003,joaquim-MS-7996,6612,15,24,5191,0,1334
HT4BTJT00127,joaquim-MS-7996,7749,9,35,6376,0,1327
HT4BVJT00189,joaquim-MS-7996,9039,10,49,7646,0,1327
HT4BVJT00189,joaquim-MS-7996,8865,39,45,7395,1,1345
HT4BVJT00189,joaquim-MS-7996,8676,15,56,7280,0,1329
HT4BVJT00189,joaquim-MS-7996,9546,66,70,8082,0,1317
HT4BVJT00189,joaquim-MS-7996,10715,40,33,9309,0,1321
HT4BTJT00127,joaquim-MS-7996,7940,5,42,6569,0,1319
HT4BTJT00127,joaquim-MS-7996,9160,5,12,7827,0,1315
HT4BTJT00127,joaquim-MS-7996,9774,20,54,8349,0,1345
HT4BVJT00189,joaquim-MS-7996,9828,13,49,8433,0,1328
HT4BVJT00003,joaquim-MS-7996,11027,55,40,9506,1,1313
HT4CWJT00250,joaquim-MS-7996,11857,24,65,10441,0,1324
HT4BVJT00189,HT4BTJT00127,10850,42,55,1595,2,9139
HT4BVJT00003,HT4BTJT00127,19944,21,68,10593,1,9259
HT4BVJT00189,HT4CWJT00250,9028,45,66,7,2,8903
HT4BVJT00003,joaquim-MS-7996,1526,17,95,8,0,1401
HT4BTJT00127,joaquim-MS-7996,2217,10,51,742,0,1339
HT4CWJT00250,joaquim-MS-7996,1928,23,54,514,0,1332
HT4BVJT00003,joaquim-MS-7996,2985,46,67,1451,0,1320
HT4BVJT00003,joaquim-MS-7996,2622,50,52,1184,0,1330
HT4BVJT00189,joaquim-MS-7996,3842,11,47,2466,1,1315
HT4BTJT00127,joaquim-MS-7996,4964,4,25,3613,1,1320
HT4BVJT00189,joaquim-MS-7996,4931,30,52,3512,0,1327
HT4BTJT00127,joaquim-MS-7996,3062,5,55,1652,0,1331
HT4BVJT00189,joaquim-MS-7996,2574,21,66,1135,0,1330
HT4CWJT00250,joaquim-MS-7996,3752,26,69,2320,0,1334
HT4CWJT00250,joaquim-MS-7996,4119,13,51,2731,0,1322
HT4BVJT00189,joaquim-MS-7996,3823,14,52,2433,0,1321
HT4CWJT00250,joaquim-MS-7996,3538,5,27,2173,0,1326
HT4BTJT00127,joaquim-MS-7996,3418,11,61,2016,0,1326
HT4CWJT00250,joaquim-MS-7996,3409,66,58,1957,0,1326
HT4BTJT00127,joaquim-MS-7996,2366,17,81,945,1,1324
HT4BTJT00127,joaquim-MS-7996,3026,14,38,1659,0,1316
HT4BVJT00189,joaquim-MS-7996,3041,13,55,1638,0,1328
HT4BTJT00127,joaquim-MS-7996,4058,8,28,2697,0,1321
HT4BVJT00189,joaquim-MS-7996,3854,15,66,2350,0,1320
HT4BTJT00127,joaquim-MS-7996,2496,15,42,1098,0,1334
HT4CWJT00250,joaquim-MS-7996,1943,53,31,536,0,1325
HT4BVJT00003,joaquim-MS-7996,1570,16,41,3,1,1498
HT4BVJT00189,joaquim-MS-7996,1410,7,59,1,0,1333
HT4CWJT00250,joaquim-MS-7996,1508,19,66,4,0,1362
HT4BVJT00003,joaquim-MS-7996,2132,82,47,684,0,1317
HT4BVJT00189,joaquim-MS-7996,1473,23,52,29,0,1360
HT4CWJT00250,joaquim-MS-7996,1828,10,52,384,1,1329
HT4CWJT00250,joaquim-MS-7996,2700,21,54,1297,0,1329
HT4CWJT00250,joaquim-MS-7996,3066,10,66,1671,0,1330
HT4BVJT00003,joaquim-MS-7996,4050,17,45,2656,0,1325
HT4BVJT00189,joaquim-MS-7996,5212,12,44,3831,0,1327
HT4BVJT00003,joaquim-MS-7996,5517,19,39,4130,1,1325
HT4BVJT00189,joaquim-MS-7996,6541,20,58,5121,0,1330
HT4CWJT00250,joaquim-MS-7996,7685,22,48,6292,0,1323
HT4BVJT00189,joaquim-MS-7996,8494,25,37,7103,1,1323
HT4CWJT00250,joaquim-MS-7996,8770,13,59,7383,1,1318
HT4BTJT00127,joaquim-MS-7996,9970,53,50,8549,0,1319
HT4CWJT00250,HT4BTJT00127,9103,11,57,15,4,9008
HT4BVJT00189,HT4BTJT00127,18090,13,40,8922,2,9102
HT4BTJT00127,HT4CWJT00250,9136,6,147,14,4,8966
HT4BVJT00189,HT4CWJT00250,17962,55,45,8906,1,8952
HT4BTJT00127,joaquim-MS-7996,7619,9,57,6220,0,1329
HT4CWJT00250,joaquim-MS-7996,6332,10,37,4947,0,1336
HT4CWJT00250,joaquim-MS-7996,5393,7,49,4010,0,1325
HT4BTJT00127,joaquim-MS-7996,4812,5,65,3411,0,1331
HT4CWJT00250,joaquim-MS-7996,6120,6,63,4727,0,1322
HT4BVJT00003,joaquim-MS-7996,4565,17,40,3183,0,1320
HT4BVJT00003,joaquim-MS-7996,1444,18,45,5,0,1367
HT4BTJT00127,joaquim-MS-7996,2072,12,75,642,0,1341
HT4BVJT00003,joaquim-MS-7996,3311,8,45,1932,1,1322
HT4CWJT00250,joaquim-MS-7996,2867,54,88,1390,0,1337
HT4BVJT00189,joaquim-MS-7996,1456,27,70,5,0,1352
HT4CWJT00250,joaquim-MS-7996,1434,14,55,4,1,1359
HT4BTJT00127,joaquim-MS-7996,1433,12,54,4,0,1354
HT4CWJT00250,joaquim-MS-7996,1444,49,46,3,1,1342
HT4BVJT00189,joaquim-MS-7996,1457,44,48,4,0,1355
HT4BVJT00189,joaquim-MS-7996,1560,41,44,4,1,1459
HT4CWJT00250,joaquim-MS-7996,1710,65,62,240,0,1340
HT4BVJT00003,joaquim-MS-7996,2696,13,45,1299,1,1333
HT4BTJT00127,joaquim-MS-7996,2779,18,48,1370,1,1329
HT4BTJT00127,joaquim-MS-7996,3023,19,59,1615,0,1321
HT4BVJT00189,joaquim-MS-7996,3698,50,44,2269,0,1331
HT4BVJT00189,joaquim-MS-7996,2998,11,44,1599,0,1343
HT4CWJT00250,joaquim-MS-7996,3950,30,58,2451,0,1331
HT4CWJT00250,joaquim-MS-7996,5139,13,47,3755,0,1322
HT4CWJT00250,joaquim-MS-7996,5256,12,47,3836,0,1351
HT4BVJT00189,joaquim-MS-7996,5876,6,27,4507,0,1323
HT4BVJT00003,joaquim-MS-7996,6394,19,76,4971,0,1332
HT4BVJT00003,joaquim-MS-7996,5171,23,54,3762,0,1330
HT4BVJT00189,joaquim-MS-7996,6069,24,61,4656,0,1324
HT4BVJT00189,joaquim-MS-7996,6484,13,34,5097,1,1336
HT4BVJT00189,joaquim-MS-7996,7552,50,38,6127,0,1339
HT4CWJT00250,joaquim-MS-7996,8314,77,71,6860,1,1322
HT4BTJT00127,joaquim-MS-7996,7973,11,58,6530,1,1363
HT4BVJT00189,joaquim-MS-7996,8588,11,89,7168,0,1326
HT4BVJT00189,joaquim-MS-7996,8000,10,31,6621,0,1327
HT4BVJT00003,joaquim-MS-7996,9239,28,46,7824,0,1349
HT4BTJT00127,joaquim-MS-7996,10548,11,36,9147,0,1346
HT4BVJT00189,joaquim-MS-7996,11777,13,52,10380,0,1326
HT4BVJT00189,joaquim-MS-7996,11558,35,54,10127,1,1335
HT4BVJT00189,HT4CWJT00250,9305,48,63,18,4,9132
HT4BVJT00189,HT4CWJT00250,17933,8,51,8791,1,8966
HT4BVJT00189,HT4CWJT00250,26775,7,65,17547,1,9110
HT4BTJT00127,joaquim-MS-7996,6746,21,54,5290,0,1323
HT4BTJT00127,joaquim-MS-7996,7923,16,27,6559,0,1320
HT4BTJT00127,joaquim-MS-7996,8543,21,56,7115,0,1348
HT4BVJT00189,joaquim-MS-7996,8561,15,66,7147,0,1337
HT4BVJT00003,joaquim-MS-7996,9788,70,45,8331,0,1337
HT4CWJT00250,joaquim-MS-7996,10700,6,73,9291,0,1330
HT4BVJT00189,HT4BVJT00003,9387,48,74,40,3,9216
HT4BVJT00003,HT4BVJT00003,18471,25,10,9185,4,9249
HT4BVJT00189,HT4BTJT00127,9239,11,81,8,2,9126
HT4BVJT00003,joaquim-MS-7996,1446,13,67,2,0,1361
HT4BTJT00127,joaquim-MS-7996,2096,4,40,705,1,1336
HT4CWJT00250,joaquim-MS-7996,1845,10,61,440,0,1336
HT4BVJT00003,joaquim-MS-7996,2849,6,51,1452,0,1337
HT4BVJT00003,joaquim-MS-7996,2553,6,30,1182,0,1330
HT4BVJT00189,joaquim-MS-7996,3771,21,58,2364,1,1327
HT4BTJT00127,joaquim-MS-7996,4944,43,34,3529,0,1329
HT4BVJT00189,joaquim-MS-7996,4819,68,33,3364,1,1341
HT4BTJT00127,joaquim-MS-7996,3020,22,47,1613,0,1334
HT4BVJT00189,joaquim-MS-7996,3778,37,96,2300,0,1335
HT4CWJT00250,joaquim-MS-7996,2440,40,76,980,0,1331
HT4CWJT00250,joaquim-MS-7996,4087,35,69,2645,0,1334
HT4BVJT00189,joaquim-MS-7996,3902,11,50,2435,0,1337
HT4CWJT00250,joaquim-MS-7996,3522,20,35,2140,0,1321
HT4BTJT00127,joaquim-MS-7996,3431,15,56,2030,0,1325
HT4CWJT00250,joaquim-MS-7996,3558,49,56,2034,0,1329
HT4BTJT00127,joaquim-MS-7996,2379,11,68,974,0,1325
HT4BTJT00127,joaquim-MS-7996,2953,22,34,1543,0,1328
HT4BVJT00189,joaquim-MS-7996,2939,17,61,1539,0,1317
HT4BTJT00127,joaquim-MS-7996,4075,5,27,2723,1,1316
HT4BVJT00189,joaquim-MS-7996,3746,18,56,2312,0,1326
HT4BTJT00127,joaquim-MS-7996,2547,17,35,1127,1,1324
HT4CWJT00250,joaquim-MS-7996,1995,17,26,614,0,1333
HT4BVJT00003,joaquim-MS-7996,1584,20,44,3,1,1483
HT4BVJT00189,joaquim-MS-7996,1463,21,70,4,0,1360
HT4CWJT00250,joaquim-MS-7996,1507,41,46,3,1,1418
HT4BVJT00003,joaquim-MS-7996,2284,15,54,837,0,1322
HT4BVJT00189,joaquim-MS-7996,1475,18,58,64,0,1330
HT4CWJT00250,joaquim-MS-7996,1828,13,55,428,0,1330
HT4CWJT00250,joaquim-MS-7996,2764,11,41,1377,0,1328
HT4CWJT00250,joaquim-MS-7996,3110,17,48,1707,0,1331
HT4BVJT00003,joaquim-MS-7996,4013,9,44,2634,0,1318
HT4BVJT00189,joaquim-MS-7996,5221,47,37,3799,1,1326
HT4BVJT00003,joaquim-MS-7996,5558,14,35,4180,1,1324
HT4BVJT00189,joaquim-MS-7996,6633,21,80,5114,0,1346
HT4CWJT00250,joaquim-MS-7996,7742,17,57,6351,0,1314
HT4BVJT00189,joaquim-MS-7996,8540,42,41,7119,0,1337
HT4CWJT00250,joaquim-MS-7996,8921,18,60,7514,1,1324
HT4BTJT00127,joaquim-MS-7996,10063,18,41,8663,0,1334
HT4CWJT00250,HT4CWJT00250,8969,45,15,11,2,8897
HT4BVJT00189,HT4CWJT00250,17837,20,96,8675,1,9052
HT4BVJT00189,HT4BVJT00003,9199,54,76,31,6,9023
HT4BTJT00127,HT4BVJT00003,18415,19,143,9018,2,9216
HT4BTJT00127,joaquim-MS-7996,7691,18,77,6259,0,1333
HT4CWJT00250,joaquim-MS-7996,6459,23,33,5081,0,1322
HT4CWJT00250,joaquim-MS-7996,5519,10,53,4124,0,1331
HT4CWJT00250,joaquim-MS-7996,6344,51,79,4802,0,1313
HT4BTJT00127,joaquim-MS-7996,4900,20,73,3465,1,1339
HT4BVJT00003,joaquim-MS-7996,4661,42,44,3241,0,1334
HT4BVJT00003,joaquim-MS-7996,1450,20,55,5,0,1355
HT4BTJT00127,joaquim-MS-7996,2029,21,97,576,1,1336
HT4BVJT00003,joaquim-MS-7996,3258,23,69,1864,0,1318
HT4CWJT00250,joaquim-MS-7996,2847,59,69,1367,0,1345
HT4BVJT00189,joaquim-MS-7996,1433,22,46,3,1,1348
HT4CWJT00250,joaquim-MS-7996,1431,14,52,5,1,1352
HT4BTJT00127,joaquim-MS-7996,1422,13,45,4,1,1351
HT4CWJT00250,joaquim-MS-7996,1407,12,45,4,0,1346
HT4BVJT00189,joaquim-MS-7996,1428,10,55,4,0,1348
HT4BVJT00189,joaquim-MS-7996,1527,22,57,4,0,1434
HT4CWJT00250,joaquim-MS-7996,1711,51,70,232,0,1349
HT4BVJT00003,joaquim-MS-7996,2687,22,51,1270,0,1347
HT4BTJT00127,joaquim-MS-7996,2751,15,52,1368,0,1311
HT4BTJT00127,joaquim-MS-7996,3010,15,46,1616,0,1329
HT4BVJT00189,joaquim-MS-7996,3705,22,51,2272,0,1351
HT4BVJT00189,joaquim-MS-7996,2901,33,65,1477,0,1326
HT4CWJT00250,joaquim-MS-7996,3962,13,51,2578,0,1321
HT4CWJT00250,joaquim-MS-7996,5127,16,44,3755,0,1314
HT4CWJT00250,joaquim-MS-7996,5205,54,61,3743,0,1337
HT4BVJT00189,joaquim-MS-7996,5784,18,28,4413,0,1314
HT4BVJT00003,joaquim-MS-7996,6459,24,64,4937,0,1330
HT4BVJT00003,joaquim-MS-7996,5135,42,46,3722,1,1314
HT4BVJT00189,joaquim-MS-7996,5957,25,77,4523,1,1324
HT4BVJT00189,joaquim-MS-7996,6406,21,45,5001,1,1328
HT4BVJT00189,joaquim-MS-7996,7436,20,33,6054,0,1322
HT4CWJT00250,joaquim-MS-7996,8300,16,46,6910,0,1317
HT4BTJT00127,joaquim-MS-7996,7874,5,72,6430,0,1332
HT4BVJT00189,joaquim-MS-7996,8414,13,64,7018,1,1311
HT4BVJT00189,joaquim-MS-7996,7918,21,33,6454,1,1311
HT4BVJT00003,joaquim-MS-7996,9133,20,31,7739,0,1335
HT4BTJT00127,joaquim-MS-7996,10315,17,36,8933,0,1332
HT4BVJT00189,joaquim-MS-7996,11648,35,77,10129,0,1323
HT4BVJT00189,joaquim-MS-7996,11262,24,58,9828,0,1338
HT4BVJT00189,HT4BTJT00127,9383,34,56,7,2,9194
HT4BVJT00189,HT4BTJT00127,18022,17,74,8805,1,9101
HT4BVJT00189,HT4BTJT00127,27091,23,55,17792,1,9224
HT4BTJT00127,HT4CWJT00250,9165,16,68,8,1,9026
HT4BTJT00127,HT4CWJT00250,18092,14,28,8982,0,9066
HT4BTJT00127,joaquim-MS-7996,5646,4,45,4280,1,1314
HT4BVJT00189,joaquim-MS-7996,5801,16,56,4278,1,1323
HT4BVJT00003,joaquim-MS-7996,6936,21,47,5546,0,1321
HT4CWJT00250,joaquim-MS-7996,7773,12,57,6386,0,1317
HT4BVJT00189,joaquim-MS-7996,7818,62,76,6339,1,1334
HT4BVJT00003,joaquim-MS-7996,9080,15,83,7664,0,1319
HT4BVJT00189,joaquim-MS-7996,6455,54,55,5024,0,1318
HT4BVJT00003,joaquim-MS-7996,1480,15,69,5,1,1379
HT4BTJT00127,joaquim-MS-7996,2065,5,61,671,0,1331
HT4CWJT00250,joaquim-MS-7996,1884,11,54,472,0,1326
HT4BVJT00003,joaquim-MS-7996,2783,24,68,1357,0,1324
