ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1998,7,330,10,4,1633
HT4BTJT00127,joaquim-MS-7996,2822,7,473,737,2,1584
HT4CWJT00250,joaquim-MS-7996,2601,6,414,577,1,1591
HT4BVJT00003,joaquim-MS-7996,1982,7,275,102,1,1576
HT4BVJT00189,joaquim-MS-7996,2034,10,498,3,1,1564
HT4CWJT00250,joaquim-MS-7996,1817,10,204,8,1,1574
HT4BTJT00127,joaquim-MS-7996,1833,5,228,5,1,1574
HT4CWJT00250,joaquim-MS-7996,1960,7,363,9,2,1565
HT4BVJT00003,joaquim-MS-7996,3331,6,383,1357,1,1571
HT4BVJT00189,joaquim-MS-7996,3089,7,275,1147,1,1594
HT4BVJT00189,joaquim-MS-7996,3071,25,331,1103,1,1579
HT4CWJT00250,joaquim-MS-7996,3488,46,300,1536,1,1603
HT4BTJT00127,joaquim-MS-7996,3465,6,330,1531,2,1568
HT4BTJT00127,joaquim-MS-7996,3968,16,272,2123,1,1559
HT4BTJT00127,joaquim-MS-7996,3608,41,257,1731,1,1577
HT4CWJT00250,joaquim-MS-7996,4123,5,300,2258,1,1555
HT4CWJT00250,joaquim-MS-7996,5512,9,237,3720,1,1551
HT4CWJT00250,joaquim-MS-7996,5799,6,218,4012,1,1553
HT4BTJT00127,joaquim-MS-7996,6798,45,199,4946,1,1555
HT4CWJT00250,joaquim-MS-7996,2844,11,348,851,2,1577
HT4BTJT00127,joaquim-MS-7996,2453,6,258,560,2,1613
HT4BVJT00189,joaquim-MS-7996,3866,10,429,1851,1,1574
HT4BVJT00003,joaquim-MS-7996,4744,44,347,2770,2,1572
HT4BVJT00189,joaquim-MS-7996,5357,17,521,3206,1,1600
HT4BVJT00189,joaquim-MS-7996,6965,34,624,4642,3,1562
HT4BVJT00189,joaquim-MS-7996,8254,28,475,6171,1,1575
HT4BVJT00189,joaquim-MS-7996,5900,46,270,4028,4,1560
HT4BVJT00189,joaquim-MS-7996,6715,12,296,4815,2,1576
HT4BVJT00189,joaquim-MS-7996,7978,5,250,6144,1,1582
HT4BVJT00003,joaquim-MS-7996,7611,8,296,5740,1,1559
HT4BVJT00189,joaquim-MS-7996,8185,47,269,6286,1,1571
HT4BVJT00003,joaquim-MS-7996,8223,6,255,6394,1,1550
HT4CWJT00250,joaquim-MS-7996,8155,7,277,6303,1,1553
HT4BVJT00003,joaquim-MS-7996,9373,33,319,7420,1,1574
HT4BVJT00003,joaquim-MS-7996,9981,9,203,8173,0,1578
HT4BVJT00003,joaquim-MS-7996,9692,42,343,7732,1,1562
HT4BVJT00189,joaquim-MS-7996,10570,9,302,8640,2,1612
HT4BVJT00189,joaquim-MS-7996,10206,16,243,8378,1,1553
HT4BTJT00127,joaquim-MS-7996,8328,6,379,6370,1,1571
HT4BVJT00189,joaquim-MS-7996,9787,45,451,7757,1,1561
HT4BVJT00189,joaquim-MS-7996,9883,8,212,8040,1,1549
HT4BVJT00189,joaquim-MS-7996,9961,42,184,8110,1,1547
HT4BVJT00189,joaquim-MS-7996,10914,15,455,8873,1,1570
HT4BVJT00189,joaquim-MS-7996,12441,8,536,10296,1,1582
HT4BVJT00189,joaquim-MS-7996,13749,48,486,11636,2,1567
HT4BVJT00003,joaquim-MS-7996,14621,6,183,12879,1,1547
HT4CWJT00250,joaquim-MS-7996,15664,21,263,13828,1,1555
HT4BVJT00003,HT4BTJT00127,10690,8,969,25,14,9648
HT4BVJT00189,HT4BTJT00127,19465,33,743,9303,5,9409
HT4BVJT00003,HT4BVJT00003,9640,24,74,12,6,9553
HT4BVJT00189,HT4BVJT00003,18426,41,644,8340,20,9396
HT4BTJT00127,HT4BVJT00003,27824,18,653,17568,8,9585
HT4BTJT00127,HT4CWJT00250,10130,12,446,31,5,9630
HT4BVJT00189,joaquim-MS-7996,8801,10,280,6935,1,1557
HT4CWJT00250,joaquim-MS-7996,10111,9,218,8341,1,1542
HT4CWJT00250,joaquim-MS-7996,10703,9,273,8792,1,1566
HT4BVJT00189,joaquim-MS-7996,11613,11,307,9721,1,1569
HT4BVJT00189,HT4CWJT00250,13506,6,1005,2649,7,9840
HT4BVJT00189,joaquim-MS-7996,6524,88,281,4573,1,1564
HT4BVJT00189,joaquim-MS-7996,5436,12,247,3617,1,1551
HT4BTJT00127,joaquim-MS-7996,6507,8,297,4618,1,1569
HT4CWJT00250,joaquim-MS-7996,2061,37,333,15,3,1656
HT4BVJT00189,joaquim-MS-7996,2012,10,309,9,3,1683
HT4CWJT00250,joaquim-MS-7996,2240,15,356,280,1,1580
HT4BTJT00127,joaquim-MS-7996,3418,6,308,1526,1,1564
HT4BVJT00189,joaquim-MS-7996,4805,9,472,2765,1,1563
HT4BVJT00003,joaquim-MS-7996,6206,20,422,4183,1,1568
HT4CWJT00250,joaquim-MS-7996,5809,13,325,3900,1,1562
HT4BTJT00127,joaquim-MS-7996,5013,5,351,3076,1,1570
HT4BVJT00003,joaquim-MS-7996,6120,6,339,4201,1,1568
HT4BVJT00189,joaquim-MS-7996,3541,16,313,1672,1,1553
HT4BTJT00127,joaquim-MS-7996,5096,16,448,3029,1,1573
HT4BVJT00003,joaquim-MS-7996,6033,8,348,4109,2,1563
HT4BVJT00003,joaquim-MS-7996,6475,46,248,4584,1,1581
HT4CWJT00250,joaquim-MS-7996,6038,6,191,4271,1,1574
HT4BVJT00189,joaquim-MS-7996,7033,13,223,5206,1,1578
HT4BVJT00189,joaquim-MS-7996,5752,8,334,3758,1,1614
HT4BTJT00127,joaquim-MS-7996,6982,36,342,5050,1,1554
HT4BVJT00189,joaquim-MS-7996,8345,14,322,6439,1,1571
HT4BVJT00189,joaquim-MS-7996,8938,43,196,7139,1,1556
HT4BVJT00189,joaquim-MS-7996,9476,6,420,7494,2,1569
HT4CWJT00250,joaquim-MS-7996,10593,53,300,8661,1,1565
HT4BVJT00189,joaquim-MS-7996,11253,16,480,9192,1,1571
HT4BTJT00127,joaquim-MS-7996,12760,39,456,10723,1,1546
HT4BTJT00127,joaquim-MS-7996,13658,9,286,11803,1,1560
HT4BTJT00127,HT4BTJT00127,9584,6,73,18,5,9487
HT4CWJT00250,HT4BTJT00127,18648,14,597,8626,6,9389
HT4CWJT00250,HT4BTJT00127,27805,11,730,17531,5,9520
HT4CWJT00250,HT4BVJT00003,9799,7,547,16,9,9208
HT4BVJT00003,joaquim-MS-7996,2108,27,378,15,3,1645
HT4BTJT00127,joaquim-MS-7996,2958,11,474,849,2,1601
HT4CWJT00250,joaquim-MS-7996,2702,9,413,667,1,1595
HT4BVJT00003,joaquim-MS-7996,2123,10,290,238,1,1575
HT4BVJT00189,joaquim-MS-7996,2037,11,446,3,1,1568
HT4CWJT00250,joaquim-MS-7996,1833,40,212,8,1,1570
HT4BTJT00127,joaquim-MS-7996,1819,6,217,6,2,1572
HT4CWJT00250,joaquim-MS-7996,1947,44,290,4,1,1589
HT4BVJT00003,joaquim-MS-7996,3296,87,280,1338,1,1575
HT4BVJT00189,joaquim-MS-7996,3084,7,224,1211,0,1620
HT4BVJT00189,joaquim-MS-7996,3122,8,324,1211,2,1567
HT4CWJT00250,joaquim-MS-7996,3510,8,347,1592,1,1571
HT4BTJT00127,joaquim-MS-7996,3454,8,368,1486,1,1573
HT4BTJT00127,joaquim-MS-7996,3958,9,262,2106,1,1565
HT4BTJT00127,joaquim-MS-7996,3606,6,266,1751,2,1568
HT4CWJT00250,joaquim-MS-7996,4041,49,321,2134,1,1552
HT4CWJT00250,joaquim-MS-7996,5445,8,240,3650,1,1552
HT4CWJT00250,joaquim-MS-7996,5704,10,234,3907,1,1550
HT4BTJT00127,joaquim-MS-7996,7018,42,218,5180,1,1563
HT4CWJT00250,joaquim-MS-7996,2698,16,288,799,1,1583
HT4BTJT00127,joaquim-MS-7996,2405,15,294,458,3,1613
HT4BVJT00189,joaquim-MS-7996,3877,8,463,1790,3,1568
