ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00127,9271,52,318,35,13,8892
HT4BTJT00127,HT4BTJT00127,17698,7,67,8509,2,9123
HT4BVJT00003,HT4BVJT00189,9941,22,231,15,4,9663
HT4BVJT00003,HT4BVJT00189,19051,13,257,8983,4,9811
HT4CWJT00250,HT4BVJT00189,28100,13,233,17852,2,10002
HT4BVJT00189,joaquim-MS-7996,1586,21,137,9,2,1418
HT4BVJT00003,joaquim-MS-7996,1592,35,122,2,0,1398
HT4BVJT00003,joaquim-MS-7996,2130,22,169,473,1,1374
HT4CWJT00250,joaquim-MS-7996,3100,43,110,1573,0,1362
HT4BTJT00127,HT4BVJT00189,26966,6,193,16728,13,10018
HT4CWJT00250,joaquim-MS-7996,1639,4,131,8,0,1412
HT4BVJT00003,joaquim-MS-7996,2623,20,137,1100,0,1368
HT4BVJT00189,joaquim-MS-7996,2326,18,170,768,1,1368
HT4BVJT00189,joaquim-MS-7996,2119,17,136,555,1,1372
HT4CWJT00250,joaquim-MS-7996,2407,55,111,843,0,1357
HT4BTJT00127,HT4BVJT00189,28129,14,234,17725,2,10151
HT4BTJT00127,HT4BVJT00189,37385,19,128,26970,2,10251
HT4BTJT00127,HT4BVJT00189,45722,11,140,35374,3,10182
HT4CWJT00250,joaquim-MS-7996,3045,54,222,1377,0,1380
HT4BVJT00003,joaquim-MS-7996,1657,20,191,5,1,1388
HT4CWJT00250,joaquim-MS-7996,4252,8,216,2664,1,1363
HT4CWJT00250,joaquim-MS-7996,4388,14,94,2875,0,1366
HT4BTJT00127,HT4BVJT00189,52950,7,326,42584,3,10024
HT4BVJT00003,joaquim-MS-7996,5384,7,187,3712,0,1367
HT4CWJT00250,joaquim-MS-7996,1543,7,106,6,1,1408
HT4BTJT00127,HT4BVJT00189,55413,18,113,45001,2,10195
HT4BVJT00189,joaquim-MS-7996,1524,8,122,6,1,1386
HT4BVJT00189,joaquim-MS-7996,3140,7,250,1502,1,1378
HT4BVJT00189,joaquim-MS-7996,1769,14,189,7,1,1493
HT4BVJT00189,joaquim-MS-7996,4293,21,121,2695,1,1377
HT4BVJT00003,joaquim-MS-7996,4510,7,121,2987,1,1387
HT4BVJT00189,joaquim-MS-7996,3177,14,108,1694,1,1365
HT4BVJT00003,joaquim-MS-7996,4587,28,175,2973,0,1374
HT4BVJT00189,joaquim-MS-7996,5011,22,117,3507,0,1363
HT4BVJT00189,joaquim-MS-7996,6104,18,127,4577,1,1379
HT4BVJT00003,joaquim-MS-7996,6997,7,109,5506,1,1365
HT4BVJT00189,joaquim-MS-7996,5933,8,129,4374,0,1376
HT4BVJT00189,joaquim-MS-7996,5352,11,155,3790,0,1384
HT4CWJT00250,joaquim-MS-7996,5493,11,91,4030,0,1357
HT4BVJT00189,joaquim-MS-7996,4532,22,136,2992,1,1378
HT4BVJT00189,joaquim-MS-7996,4375,10,124,2875,1,1361
HT4BVJT00189,joaquim-MS-7996,4191,15,131,2676,1,1363
HT4BVJT00189,joaquim-MS-7996,5171,18,99,3658,1,1387
HT4BVJT00189,joaquim-MS-7996,6457,16,97,4866,1,1366
HT4BVJT00189,joaquim-MS-7996,7529,23,101,6027,0,1371
HT4BTJT00127,HT4BVJT00189,43144,7,173,32742,3,10209
HT4BVJT00189,joaquim-MS-7996,4880,7,122,3372,1,1372
HT4BVJT00189,joaquim-MS-7996,4543,7,98,3061,1,1373
HT4CWJT00250,joaquim-MS-7996,3481,12,117,1923,0,1367
HT4BVJT00189,joaquim-MS-7996,3362,51,80,1846,1,1378
HT4BVJT00189,joaquim-MS-7996,2818,8,114,1291,0,1399
HT4BTJT00127,HT4BVJT00189,44135,16,127,33137,1,10831
HT4BVJT00189,joaquim-MS-7996,2725,23,154,1181,1,1365
HT4BTJT00127,HT4BVJT00189,53616,19,369,43167,2,10261
HT4BVJT00003,joaquim-MS-7996,2421,11,101,869,0,1371
HT4CWJT00250,joaquim-MS-7996,1623,14,93,113,0,1377
HT4CWJT00250,joaquim-MS-7996,2025,22,98,444,0,1367
HT4BVJT00189,joaquim-MS-7996,3138,16,134,1572,1,1370
HT4BVJT00003,joaquim-MS-7996,3037,22,91,1554,0,1359
HT4BVJT00189,joaquim-MS-7996,3284,14,62,1754,0,1360
HT4CWJT00250,joaquim-MS-7996,4133,14,80,2656,0,1369
HT4CWJT00250,joaquim-MS-7996,2870,11,101,1365,1,1369
HT4BVJT00003,joaquim-MS-7996,3821,12,108,2238,0,1361
HT4BVJT00003,joaquim-MS-7996,3885,21,97,2396,0,1362
HT4BTJT00127,HT4BVJT00189,49020,9,222,38757,3,10033
HT4BVJT00189,joaquim-MS-7996,1610,11,100,7,1,1457
HT4BVJT00189,joaquim-MS-7996,1567,21,114,7,1,1417
HT4CWJT00250,joaquim-MS-7996,1590,13,118,6,1,1387
