ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1453,17,44,5,1,1360
HT4BTJT00127,joaquim-MS-7996,2010,11,74,597,0,1330
HT4BVJT00003,joaquim-MS-7996,3261,22,46,1867,0,1318
HT4CWJT00250,joaquim-MS-7996,2858,9,71,1440,1,1327
HT4BVJT00189,joaquim-MS-7996,1433,58,80,2,0,1305
HT4CWJT00250,joaquim-MS-7996,1444,44,58,4,1,1340
HT4BTJT00127,joaquim-MS-7996,1424,19,53,4,1,1335
HT4CWJT00250,joaquim-MS-7996,1397,9,39,4,0,1336
HT4BVJT00189,joaquim-MS-7996,1472,45,66,4,1,1357
HT4BVJT00189,joaquim-MS-7996,1524,72,49,2,0,1385
HT4CWJT00250,joaquim-MS-7996,1708,21,61,278,0,1337
HT4BVJT00003,joaquim-MS-7996,2691,9,50,1289,0,1341
HT4BTJT00127,joaquim-MS-7996,2825,21,45,1349,0,1315
HT4BTJT00127,joaquim-MS-7996,2993,11,41,1617,0,1318
HT4BVJT00189,joaquim-MS-7996,3647,41,53,2217,0,1336
HT4BVJT00189,joaquim-MS-7996,2949,30,51,1546,0,1314
HT4CWJT00250,joaquim-MS-7996,3938,6,44,2567,1,1313
HT4CWJT00250,joaquim-MS-7996,5095,49,46,3693,0,1308
HT4CWJT00250,joaquim-MS-7996,5182,61,51,3692,0,1319
HT4BVJT00189,joaquim-MS-7996,5637,54,28,4237,0,1317
HT4BVJT00003,joaquim-MS-7996,6281,9,51,4889,0,1323
HT4BVJT00003,joaquim-MS-7996,5034,20,48,3638,1,1319
HT4BVJT00189,joaquim-MS-7996,5930,14,67,4531,0,1321
HT4BVJT00189,joaquim-MS-7996,6337,8,32,4963,0,1315
HT4BVJT00189,joaquim-MS-7996,7218,50,35,5803,0,1325
HT4CWJT00250,joaquim-MS-7996,8196,7,44,6832,0,1310
HT4BTJT00127,joaquim-MS-7996,7717,11,58,6326,0,1317
HT4BVJT00189,joaquim-MS-7996,8303,30,74,6882,0,1310
HT4BVJT00189,joaquim-MS-7996,7716,12,32,6357,0,1310
HT4BVJT00003,joaquim-MS-7996,9001,22,30,7625,0,1318
HT4BVJT00189,joaquim-MS-7996,10096,6,39,8741,0,1311
HT4BTJT00127,joaquim-MS-7996,11380,47,34,9997,0,1303
HT4BVJT00189,joaquim-MS-7996,11184,13,54,9790,0,1323
HT4BVJT00189,HT4CWJT00250,9095,20,71,10,1,8992
HT4BVJT00189,HT4CWJT00250,17599,28,108,8564,2,8923
HT4BVJT00189,HT4CWJT00250,26534,55,116,17279,2,9117
HT4BTJT00127,joaquim-MS-7996,6268,9,49,4895,0,1312
HT4BTJT00127,joaquim-MS-7996,7495,5,15,6161,0,1308
HT4BTJT00127,joaquim-MS-7996,8078,11,48,6703,1,1314
HT4BVJT00189,joaquim-MS-7996,8148,22,75,6733,0,1331
HT4BVJT00003,joaquim-MS-7996,9305,17,41,7940,0,1307
HT4CWJT00250,joaquim-MS-7996,10191,8,65,8803,0,1308
HT4BVJT00189,HT4BTJT00127,9198,29,73,21,8,9065
HT4BVJT00003,HT4BTJT00127,18218,15,99,8906,2,9183
HT4BVJT00189,HT4BVJT00003,9331,46,98,20,9,9142
HT4BVJT00003,joaquim-MS-7996,1475,43,66,5,0,1360
HT4BTJT00127,joaquim-MS-7996,2036,19,47,655,0,1315
HT4CWJT00250,joaquim-MS-7996,1838,7,53,459,0,1315
HT4BVJT00003,joaquim-MS-7996,2789,41,56,1371,0,1308
HT4BVJT00003,joaquim-MS-7996,2485,17,37,1111,0,1319
HT4BVJT00189,joaquim-MS-7996,3768,21,56,2335,0,1309
HT4BTJT00127,joaquim-MS-7996,4803,6,30,3449,0,1308
HT4BVJT00189,joaquim-MS-7996,4793,14,43,3421,0,1305
HT4BTJT00127,joaquim-MS-7996,3013,22,46,1424,1,1320
HT4BVJT00189,joaquim-MS-7996,2371,34,78,939,0,1317
HT4CWJT00250,joaquim-MS-7996,3630,19,80,2210,0,1327
HT4CWJT00250,joaquim-MS-7996,3954,18,50,2535,0,1312
HT4BVJT00189,joaquim-MS-7996,3630,26,53,2228,0,1320
HT4CWJT00250,joaquim-MS-7996,3311,6,24,1971,0,1310
HT4BTJT00127,joaquim-MS-7996,3167,9,54,1785,0,1315
HT4CWJT00250,joaquim-MS-7996,3243,26,58,1839,0,1317
HT4BTJT00127,joaquim-MS-7996,2075,18,78,664,0,1316
HT4BTJT00127,joaquim-MS-7996,2707,66,49,1283,0,1303
HT4BVJT00189,joaquim-MS-7996,2748,13,48,1366,0,1318
HT4BTJT00127,joaquim-MS-7996,3746,4,26,2409,0,1298
HT4BVJT00189,joaquim-MS-7996,3440,25,69,2030,0,1316
HT4BTJT00127,joaquim-MS-7996,2140,15,40,776,0,1300
HT4CWJT00250,joaquim-MS-7996,1644,11,26,285,0,1320
HT4BVJT00003,joaquim-MS-7996,1437,23,41,5,0,1365
HT4BVJT00189,joaquim-MS-7996,1475,52,68,4,0,1347
HT4CWJT00250,joaquim-MS-7996,1460,15,46,3,1,1392
HT4BVJT00003,joaquim-MS-7996,2162,58,66,723,1,1310
HT4BVJT00189,joaquim-MS-7996,1424,14,45,44,0,1321
HT4CWJT00250,joaquim-MS-7996,1748,9,55,357,0,1308
HT4CWJT00250,joaquim-MS-7996,2669,52,40,1264,1,1309
HT4CWJT00250,joaquim-MS-7996,3000,9,47,1629,0,1313
HT4BVJT00003,joaquim-MS-7996,3959,21,45,2569,0,1315
HT4BVJT00189,joaquim-MS-7996,5083,33,43,3687,0,1316
HT4BVJT00003,joaquim-MS-7996,5504,38,46,4008,0,1319
HT4BVJT00189,joaquim-MS-7996,6387,14,56,5002,0,1310
HT4CWJT00250,joaquim-MS-7996,7566,71,63,6132,0,1308
HT4BVJT00189,joaquim-MS-7996,8235,19,31,6866,0,1314
HT4CWJT00250,joaquim-MS-7996,8715,40,61,7307,0,1309
HT4BTJT00127,joaquim-MS-7996,9757,17,41,8388,0,1306
HT4CWJT00250,HT4CWJT00250,9145,15,71,18,3,9044
HT4BVJT00189,HT4CWJT00250,18000,17,49,8934,1,8994
HT4BTJT00127,joaquim-MS-7996,8746,38,98,7281,1,1318
HT4BVJT00189,joaquim-MS-7996,9957,45,38,8570,0,1302
HT4BTJT00127,joaquim-MS-7996,10006,18,64,8606,0,1307
HT4CWJT00250,joaquim-MS-7996,8787,48,37,7380,0,1319
HT4CWJT00250,joaquim-MS-7996,7833,6,47,6454,0,1323
HT4CWJT00250,joaquim-MS-7996,7217,7,41,5856,1,1313
HT4BTJT00127,joaquim-MS-7996,8464,19,54,7071,0,1316
HT4BVJT00003,joaquim-MS-7996,6936,25,41,5546,0,1317
HT4BVJT00003,joaquim-MS-7996,1441,21,56,4,1,1351
HT4BVJT00003,joaquim-MS-7996,3207,52,75,1753,0,1319
HT4BTJT00127,joaquim-MS-7996,1892,16,105,436,1,1332
HT4CWJT00250,joaquim-MS-7996,2818,13,78,1400,1,1324
HT4BVJT00189,joaquim-MS-7996,1452,32,54,5,0,1368
HT4CWJT00250,joaquim-MS-7996,1398,10,51,2,0,1329
HT4BTJT00127,joaquim-MS-7996,1406,16,56,2,0,1325
HT4CWJT00250,joaquim-MS-7996,1361,8,37,2,1,1307
HT4BVJT00189,joaquim-MS-7996,1444,24,66,4,0,1348
HT4BVJT00189,joaquim-MS-7996,1587,13,53,4,0,1456
HT4CWJT00250,joaquim-MS-7996,1702,36,61,255,0,1341
HT4BVJT00003,joaquim-MS-7996,2663,15,45,1275,0,1325
HT4BTJT00127,joaquim-MS-7996,2711,20,50,1328,1,1310
HT4BTJT00127,joaquim-MS-7996,2925,34,54,1510,0,1330
HT4BVJT00189,joaquim-MS-7996,3654,12,45,2280,0,1312
HT4BVJT00189,joaquim-MS-7996,2912,25,58,1517,0,1318
HT4CWJT00250,joaquim-MS-7996,3882,55,45,2465,0,1312
HT4CWJT00250,joaquim-MS-7996,5095,46,39,3673,0,1335
HT4CWJT00250,joaquim-MS-7996,5149,17,46,3757,0,1325
HT4BVJT00189,joaquim-MS-7996,5737,21,34,4362,0,1317
HT4BVJT00003,joaquim-MS-7996,6296,19,61,4873,1,1329
HT4BVJT00003,joaquim-MS-7996,5030,15,46,3648,0,1312
HT4BVJT00189,joaquim-MS-7996,5943,13,52,4552,1,1315
HT4BVJT00189,joaquim-MS-7996,6290,52,31,4890,0,1313
HT4BVJT00189,joaquim-MS-7996,7354,18,31,5977,0,1329
HT4CWJT00250,joaquim-MS-7996,8204,52,54,6796,1,1304
HT4BTJT00127,joaquim-MS-7996,7725,42,55,6304,0,1320
HT4BVJT00189,joaquim-MS-7996,8329,46,84,6882,0,1308
HT4BVJT00189,joaquim-MS-7996,7704,23,38,6342,0,1303
HT4BVJT00003,joaquim-MS-7996,8978,66,29,7537,0,1337
HT4BTJT00127,joaquim-MS-7996,10192,7,22,8846,0,1306
HT4BVJT00189,joaquim-MS-7996,11396,18,48,10021,0,1305
HT4BVJT00189,joaquim-MS-7996,11190,16,64,9781,1,1332
HT4BVJT00189,HT4CWJT00250,9187,13,68,14,2,9081
HT4BVJT00189,HT4CWJT00250,17782,16,64,8648,1,9046
HT4BVJT00189,HT4CWJT00250,26828,9,60,17565,2,9193
HT4BTJT00127,joaquim-MS-7996,6295,5,44,4933,0,1306
HT4BTJT00127,joaquim-MS-7996,7482,41,24,6104,0,1307
HT4BTJT00127,joaquim-MS-7996,8063,58,46,6633,0,1318
HT4BVJT00189,joaquim-MS-7996,8137,15,55,6743,0,1323
HT4BVJT00003,joaquim-MS-7996,9375,11,40,8011,0,1309
HT4CWJT00250,joaquim-MS-7996,10198,8,59,8821,0,1310
HT4BVJT00189,joaquim-MS-7996,10323,16,57,8927,0,1321
HT4BVJT00003,joaquim-MS-7996,11466,21,64,10072,1,1305
HT4BVJT00189,joaquim-MS-7996,9020,33,52,7613,1,1312
HT4BVJT00003,joaquim-MS-7996,3312,13,74,1894,0,1323
HT4BTJT00127,joaquim-MS-7996,3911,47,55,2479,0,1323
HT4CWJT00250,joaquim-MS-7996,3728,6,58,2340,0,1321
