ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2082,14,420,12,3,1627
HT4BTJT00127,joaquim-MS-7996,2948,7,464,834,4,1601
HT4CWJT00250,joaquim-MS-7996,2681,13,395,665,1,1590
HT4BVJT00003,joaquim-MS-7996,2088,8,294,194,1,1572
HT4BVJT00189,joaquim-MS-7996,2059,7,434,44,1,1564
HT4CWJT00250,joaquim-MS-7996,1803,7,224,7,1,1552
HT4BTJT00127,joaquim-MS-7996,1850,10,246,2,1,1571
HT4CWJT00250,joaquim-MS-7996,2011,29,406,3,1,1560
HT4BVJT00003,joaquim-MS-7996,3423,6,426,1416,1,1569
HT4BVJT00189,joaquim-MS-7996,3083,25,234,1215,1,1591
HT4BVJT00189,joaquim-MS-7996,3108,18,336,1198,2,1561
HT4CWJT00250,joaquim-MS-7996,3568,10,303,1665,2,1561
HT4BTJT00127,joaquim-MS-7996,3466,6,355,1528,3,1558
HT4BTJT00127,joaquim-MS-7996,3973,7,240,2156,1,1560
HT4BTJT00127,joaquim-MS-7996,3619,6,254,1775,1,1565
HT4CWJT00250,joaquim-MS-7996,4056,13,275,2221,1,1540
HT4CWJT00250,joaquim-MS-7996,5442,43,175,3676,1,1542
HT4CWJT00250,joaquim-MS-7996,5722,6,200,3961,1,1544
HT4BTJT00127,joaquim-MS-7996,6995,7,194,5237,1,1547
HT4CWJT00250,joaquim-MS-7996,2732,71,289,762,1,1578
HT4BTJT00127,joaquim-MS-7996,2333,6,314,414,3,1577
HT4BVJT00189,joaquim-MS-7996,3776,40,439,1727,5,1575
HT4BVJT00003,joaquim-MS-7996,4733,9,313,2838,2,1553
HT4BVJT00189,joaquim-MS-7996,5267,19,532,3146,1,1570
HT4BVJT00189,joaquim-MS-7996,6798,14,632,4592,1,1567
HT4BVJT00189,joaquim-MS-7996,8088,9,405,6099,1,1559
HT4BVJT00189,joaquim-MS-7996,5882,50,261,4009,1,1559
HT4BVJT00189,joaquim-MS-7996,6518,19,298,4628,2,1566
HT4BVJT00189,joaquim-MS-7996,7788,6,262,5922,3,1571
HT4BVJT00003,joaquim-MS-7996,7438,14,353,5533,2,1549
HT4BVJT00189,joaquim-MS-7996,8014,7,274,6138,1,1574
HT4BVJT00003,joaquim-MS-7996,8123,8,353,6090,1,1551
HT4CWJT00250,joaquim-MS-7996,7979,14,260,6121,2,1563
HT4BVJT00003,joaquim-MS-7996,9180,45,343,7228,1,1551
HT4BVJT00003,joaquim-MS-7996,9782,5,190,8016,1,1548
HT4BVJT00003,joaquim-MS-7996,9492,9,303,7587,2,1562
HT4BVJT00189,joaquim-MS-7996,10299,8,317,8390,1,1590
HT4BVJT00189,joaquim-MS-7996,9931,8,266,8099,1,1544
HT4BTJT00127,joaquim-MS-7996,8066,6,388,6123,1,1550
HT4BVJT00189,joaquim-MS-7996,9484,8,402,7507,1,1562
HT4BVJT00189,joaquim-MS-7996,9502,21,258,7659,1,1549
HT4BVJT00189,joaquim-MS-7996,9542,15,181,7784,1,1545
HT4BVJT00189,joaquim-MS-7996,10669,8,412,8745,1,1563
HT4BVJT00189,joaquim-MS-7996,12038,9,435,10041,1,1563
HT4BVJT00189,joaquim-MS-7996,13385,37,496,11351,2,1572
HT4BVJT00003,joaquim-MS-7996,14298,7,208,12510,1,1540
HT4CWJT00250,HT4CWJT00250,9667,8,85,25,4,9581
HT4BVJT00003,HT4CWJT00250,16683,20,611,6820,7,9248
HT4BVJT00189,HT4CWJT00250,25374,8,561,15530,3,9262
HT4BVJT00003,HT4BTJT00127,10246,8,561,13,7,9639
HT4BVJT00189,HT4BTJT00127,28152,11,612,18154,7,9366
HT4BTJT00127,HT4BTJT00127,18636,6,121,9268,7,9270
