ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1658,31,195,8,2,1421
HT4BTJT00127,joaquim-MS-7996,1611,14,204,2,1,1372
HT4BVJT00003,joaquim-MS-7996,2789,11,178,1247,1,1355
HT4BVJT00003,joaquim-MS-7996,2579,18,152,1031,1,1366
HT4CWJT00250,joaquim-MS-7996,1995,16,194,435,0,1348
HT4BVJT00189,joaquim-MS-7996,1593,53,150,6,0,1377
HT4BVJT00003,joaquim-MS-7996,1517,13,131,3,0,1361
HT4BVJT00003,joaquim-MS-7996,1612,24,173,10,1,1397
HT4CWJT00250,joaquim-MS-7996,2359,9,106,898,0,1344
HT4BTJT00127,joaquim-MS-7996,1540,10,143,6,1,1374
HT4CWJT00250,joaquim-MS-7996,1627,58,168,9,2,1386
HT4BVJT00003,joaquim-MS-7996,2302,9,115,760,0,1340
HT4BVJT00189,joaquim-MS-7996,1562,10,169,6,1,1372
HT4BVJT00189,joaquim-MS-7996,1537,10,143,5,1,1378
HT4CWJT00250,joaquim-MS-7996,1506,16,119,2,1,1361
HT4BTJT00127,joaquim-MS-7996,1533,40,128,4,1,1354
HT4BTJT00127,joaquim-MS-7996,1468,9,78,5,0,1375
HT4BTJT00127,joaquim-MS-7996,1479,26,84,4,0,1361
HT4CWJT00250,joaquim-MS-7996,1530,12,149,2,1,1358
HT4BVJT00003,joaquim-MS-7996,2781,14,122,1289,1,1342
HT4CWJT00250,joaquim-MS-7996,3950,19,131,2420,0,1379
HT4CWJT00250,joaquim-MS-7996,2757,26,98,1273,0,1344
HT4BTJT00127,joaquim-MS-7996,3627,18,107,2149,0,1346
HT4BVJT00003,joaquim-MS-7996,4497,41,134,2977,0,1339
HT4CWJT00250,joaquim-MS-7996,1521,12,114,4,1,1377
HT4BTJT00127,joaquim-MS-7996,1487,11,84,4,1,1377
HT4BVJT00189,joaquim-MS-7996,2524,19,142,1002,0,1352
HT4BVJT00189,joaquim-MS-7996,3014,7,277,1373,1,1359
HT4BVJT00189,joaquim-MS-7996,1585,7,197,5,1,1370
HT4BVJT00189,joaquim-MS-7996,3723,19,191,2165,1,1347
HT4BVJT00003,joaquim-MS-7996,2906,11,124,1375,1,1353
HT4BVJT00003,joaquim-MS-7996,1503,7,109,5,1,1377
HT4BVJT00189,joaquim-MS-7996,2751,21,102,1262,0,1345
HT4BVJT00189,joaquim-MS-7996,2262,48,122,735,0,1351
HT4BVJT00189,joaquim-MS-7996,3073,11,139,1541,1,1369
HT4BVJT00003,joaquim-MS-7996,3616,15,124,2136,1,1342
HT4BVJT00189,joaquim-MS-7996,1564,19,155,5,1,1374
HT4BVJT00189,joaquim-MS-7996,1606,56,156,6,1,1370
HT4CWJT00250,joaquim-MS-7996,1504,17,99,4,1,1377
HT4BVJT00189,joaquim-MS-7996,1525,20,136,2,0,1344
HT4BVJT00189,joaquim-MS-7996,1540,18,145,7,0,1365
HT4BVJT00189,joaquim-MS-7996,1572,9,158,6,1,1389
HT4BVJT00189,joaquim-MS-7996,2037,19,146,515,1,1353
HT4BVJT00189,joaquim-MS-7996,3065,5,102,1600,1,1349
HT4BVJT00189,joaquim-MS-7996,4042,12,146,2529,0,1351
HT4BTJT00127,joaquim-MS-7996,1546,10,144,6,1,1374
HT4BVJT00003,joaquim-MS-7996,1576,8,200,2,0,1362
HT4BTJT00127,joaquim-MS-7996,1720,58,238,8,2,1419
HT4BVJT00003,joaquim-MS-7996,2913,6,214,1316,1,1362
HT4BVJT00003,joaquim-MS-7996,2702,25,141,1184,1,1347
HT4CWJT00250,joaquim-MS-7996,2116,75,169,515,0,1349
HT4BVJT00189,joaquim-MS-7996,1578,28,202,5,1,1370
HT4BVJT00003,joaquim-MS-7996,1496,17,118,3,0,1351
HT4BVJT00003,joaquim-MS-7996,1589,13,181,7,3,1379
HT4CWJT00250,joaquim-MS-7996,2330,47,95,835,0,1342
HT4BTJT00127,joaquim-MS-7996,1541,5,141,4,1,1381
HT4CWJT00250,joaquim-MS-7996,1572,13,163,1,1,1341
HT4BVJT00003,joaquim-MS-7996,2098,43,124,583,0,1345
HT4BVJT00189,joaquim-MS-7996,1568,48,167,2,0,1346
HT4BVJT00189,joaquim-MS-7996,1600,55,154,7,1,1377
HT4CWJT00250,joaquim-MS-7996,1539,27,121,5,1,1377
HT4BTJT00127,joaquim-MS-7996,1561,9,158,7,0,1387
HT4BTJT00127,joaquim-MS-7996,1526,51,92,5,1,1373
HT4BTJT00127,joaquim-MS-7996,1555,28,88,4,1,1367
HT4CWJT00250,joaquim-MS-7996,1539,16,157,3,0,1359
HT4BVJT00003,joaquim-MS-7996,2797,11,140,1300,1,1346
HT4CWJT00250,joaquim-MS-7996,3972,34,123,2434,0,1350
HT4CWJT00250,joaquim-MS-7996,2768,24,109,1293,0,1339
HT4BTJT00127,joaquim-MS-7996,3589,42,97,2084,0,1349
HT4BVJT00003,joaquim-MS-7996,4519,16,133,2960,1,1353
HT4CWJT00250,joaquim-MS-7996,1502,7,108,6,0,1371
HT4BTJT00127,joaquim-MS-7996,1511,9,106,5,0,1387
HT4BVJT00189,joaquim-MS-7996,2500,56,134,951,0,1349
HT4BVJT00189,joaquim-MS-7996,1674,58,262,2,1,1355
HT4BVJT00189,joaquim-MS-7996,2893,32,176,1333,0,1347
HT4BVJT00189,joaquim-MS-7996,3778,8,135,2255,1,1350
HT4BVJT00003,joaquim-MS-7996,2838,49,159,1272,0,1344
HT4BVJT00003,joaquim-MS-7996,1530,20,132,6,1,1372
HT4BVJT00189,joaquim-MS-7996,2817,20,126,1317,1,1351
HT4BVJT00189,joaquim-MS-7996,2317,43,131,788,1,1344
HT4BVJT00189,joaquim-MS-7996,3094,16,154,1581,0,1342
HT4BVJT00003,joaquim-MS-7996,3668,19,147,2153,0,1343
HT4BVJT00189,joaquim-MS-7996,1536,13,148,6,1,1364
HT4BVJT00189,joaquim-MS-7996,1706,13,180,5,1,1391
HT4CWJT00250,joaquim-MS-7996,1544,20,105,4,1,1371
HT4BVJT00189,joaquim-MS-7996,1617,18,168,5,1,1369
HT4BVJT00189,joaquim-MS-7996,1649,18,147,3,0,1365
HT4BVJT00189,joaquim-MS-7996,1577,21,176,7,1,1371
HT4BVJT00189,joaquim-MS-7996,2066,17,137,557,0,1348
HT4BVJT00189,joaquim-MS-7996,3072,9,112,1606,0,1344
HT4BVJT00189,joaquim-MS-7996,4031,24,153,2499,0,1357
HT4BTJT00127,joaquim-MS-7996,1555,10,171,5,1,1373
HT4BVJT00003,joaquim-MS-7996,1653,50,167,6,3,1409
HT4BTJT00127,joaquim-MS-7996,1562,10,180,2,1,1364
HT4BVJT00003,joaquim-MS-7996,2813,12,158,1233,0,1359
HT4BVJT00003,joaquim-MS-7996,2556,20,181,997,0,1355
HT4CWJT00250,joaquim-MS-7996,1952,16,154,431,1,1343
HT4BVJT00189,joaquim-MS-7996,1546,20,142,5,1,1376
HT4BVJT00003,joaquim-MS-7996,1530,11,126,5,1,1371
HT4BVJT00003,joaquim-MS-7996,1564,16,165,2,0,1360
HT4CWJT00250,joaquim-MS-7996,2347,10,103,809,0,1344
HT4BTJT00127,joaquim-MS-7996,1534,27,137,3,0,1362
HT4CWJT00250,joaquim-MS-7996,1593,13,181,7,1,1372
HT4BVJT00003,joaquim-MS-7996,2193,24,122,669,0,1336
HT4BVJT00189,joaquim-MS-7996,1576,26,167,7,1,1373
HT4BVJT00189,joaquim-MS-7996,1545,11,173,1,1,1357
HT4CWJT00250,joaquim-MS-7996,1516,16,120,5,1,1366
HT4BTJT00127,joaquim-MS-7996,1542,6,149,6,1,1371
HT4BTJT00127,joaquim-MS-7996,1480,12,86,5,1,1369
HT4BTJT00127,joaquim-MS-7996,1484,14,90,4,0,1370
HT4CWJT00250,joaquim-MS-7996,1591,48,156,5,2,1374
HT4BVJT00003,joaquim-MS-7996,2836,13,174,1297,0,1342
HT4CWJT00250,joaquim-MS-7996,4041,15,113,2522,1,1364
HT4CWJT00250,joaquim-MS-7996,2888,24,113,1325,0,1336
HT4BTJT00127,joaquim-MS-7996,3634,30,100,2155,0,1340
HT4BVJT00003,joaquim-MS-7996,4549,42,129,3017,1,1346
HT4CWJT00250,joaquim-MS-7996,1520,12,108,6,1,1380
HT4BTJT00127,joaquim-MS-7996,1480,9,86,5,1,1370
HT4BVJT00189,joaquim-MS-7996,2565,31,162,975,1,1345
HT4BVJT00189,joaquim-MS-7996,1656,6,270,6,1,1374
HT4BVJT00189,joaquim-MS-7996,2898,27,201,1332,0,1340
HT4BVJT00189,joaquim-MS-7996,3798,8,181,2199,0,1365
HT4BVJT00003,joaquim-MS-7996,2749,69,123,1197,0,1345
HT4BVJT00003,joaquim-MS-7996,1577,43,165,5,0,1368
HT4BVJT00189,joaquim-MS-7996,2883,19,162,1343,0,1357
HT4BVJT00189,joaquim-MS-7996,2362,13,160,827,0,1354
HT4BVJT00189,joaquim-MS-7996,3211,9,169,1659,1,1370
HT4BVJT00003,joaquim-MS-7996,3752,21,146,2216,1,1347
HT4BVJT00189,joaquim-MS-7996,1541,10,150,7,1,1372
HT4BVJT00189,joaquim-MS-7996,1588,13,168,1,1,1350
HT4CWJT00250,joaquim-MS-7996,1502,13,99,6,1,1375
HT4BVJT00189,joaquim-MS-7996,1578,18,160,7,1,1380
HT4BVJT00189,joaquim-MS-7996,1550,5,157,5,1,1376
HT4BVJT00189,joaquim-MS-7996,1579,8,156,6,2,1372
HT4BVJT00189,joaquim-MS-7996,2090,7,126,585,0,1363
HT4BVJT00189,joaquim-MS-7996,3046,49,131,1520,1,1351
HT4BVJT00189,joaquim-MS-7996,4075,48,147,2469,0,1345
HT4BTJT00127,joaquim-MS-7996,1513,5,125,4,1,1377
HT4BVJT00003,joaquim-MS-7996,1639,42,175,6,3,1390
HT4BTJT00127,joaquim-MS-7996,1818,40,305,6,3,1463
HT4BVJT00003,joaquim-MS-7996,3041,8,218,1464,1,1343
HT4BVJT00003,joaquim-MS-7996,2812,11,165,1298,0,1344
HT4CWJT00250,joaquim-MS-7996,2205,12,196,645,1,1350
HT4BVJT00189,joaquim-MS-7996,1593,68,171,2,0,1346
HT4BVJT00003,joaquim-MS-7996,1523,6,121,7,1,1384
HT4BVJT00003,joaquim-MS-7996,1590,16,172,7,1,1388
HT4CWJT00250,joaquim-MS-7996,2309,23,125,820,0,1340
HT4BTJT00127,joaquim-MS-7996,1541,23,138,5,1,1373
HT4CWJT00250,joaquim-MS-7996,1550,15,157,4,0,1371
HT4BVJT00003,joaquim-MS-7996,2120,32,120,620,1,1342
HT4BVJT00189,joaquim-MS-7996,1578,58,163,2,1,1344
HT4BVJT00189,joaquim-MS-7996,1538,7,145,5,1,1373
HT4CWJT00250,joaquim-MS-7996,1513,10,124,5,1,1363
HT4BTJT00127,joaquim-MS-7996,1600,46,157,6,1,1379
HT4BTJT00127,joaquim-MS-7996,1524,16,100,6,0,1391
HT4BTJT00127,joaquim-MS-7996,1476,11,93,4,0,1364
HT4CWJT00250,joaquim-MS-7996,1551,17,141,6,1,1383
HT4BVJT00003,joaquim-MS-7996,2810,26,123,1304,0,1349
HT4CWJT00250,joaquim-MS-7996,3965,9,116,2482,0,1350
HT4CWJT00250,joaquim-MS-7996,2805,10,104,1333,0,1345
HT4BTJT00127,joaquim-MS-7996,3627,8,108,2172,1,1338
HT4BVJT00003,joaquim-MS-7996,4519,29,130,3002,1,1348
HT4CWJT00250,joaquim-MS-7996,1510,20,120,3,0,1352
HT4BTJT00127,joaquim-MS-7996,1506,19,95,4,1,1384
HT4BVJT00189,joaquim-MS-7996,2564,22,144,1045,1,1344
HT4BVJT00189,joaquim-MS-7996,2965,8,283,1311,1,1360
HT4BVJT00189,joaquim-MS-7996,1558,8,228,2,0,1344
HT4BVJT00189,joaquim-MS-7996,3705,13,183,2163,1,1345
HT4BVJT00003,joaquim-MS-7996,2833,23,131,1314,0,1348
HT4BVJT00003,joaquim-MS-7996,1512,11,108,2,1,1385
HT4BVJT00189,joaquim-MS-7996,2800,20,93,1313,0,1371
HT4BVJT00189,joaquim-MS-7996,2385,8,137,819,1,1355
HT4BVJT00189,joaquim-MS-7996,3089,6,137,1587,0,1349
HT4BVJT00003,joaquim-MS-7996,3638,22,133,2134,1,1340
HT4BVJT00189,joaquim-MS-7996,1529,6,129,7,1,1388
HT4BVJT00189,joaquim-MS-7996,1517,8,154,2,0,1342
HT4CWJT00250,joaquim-MS-7996,1514,19,119,5,1,1371
HT4BVJT00189,joaquim-MS-7996,1568,22,146,6,0,1379
HT4BVJT00189,joaquim-MS-7996,1582,57,136,5,1,1372
HT4BVJT00189,joaquim-MS-7996,1589,32,166,7,1,1378
HT4BVJT00189,joaquim-MS-7996,2120,22,128,563,0,1357
HT4BVJT00189,joaquim-MS-7996,3105,14,110,1621,1,1349
HT4BVJT00189,joaquim-MS-7996,4059,16,131,2561,1,1346
HT4BTJT00127,joaquim-MS-7996,1549,15,155,4,1,1364
HT4BVJT00003,joaquim-MS-7996,1575,8,199,2,1,1378
HT4BTJT00127,joaquim-MS-7996,1715,10,237,7,2,1461
HT4BVJT00003,joaquim-MS-7996,3008,7,222,1400,0,1369
HT4BVJT00003,joaquim-MS-7996,2754,17,150,1235,1,1345
HT4CWJT00250,joaquim-MS-7996,2198,14,174,646,1,1348
HT4BVJT00189,joaquim-MS-7996,1521,22,128,4,1,1362
HT4BVJT00003,joaquim-MS-7996,1499,10,119,3,0,1365
HT4BVJT00003,joaquim-MS-7996,1592,11,183,7,1,1392
HT4CWJT00250,joaquim-MS-7996,2391,31,99,917,0,1333
HT4BTJT00127,joaquim-MS-7996,1603,16,135,2,1,1365
HT4CWJT00250,joaquim-MS-7996,1558,15,154,5,1,1370
HT4BVJT00003,joaquim-MS-7996,2127,18,118,637,1,1342
HT4BVJT00189,joaquim-MS-7996,1551,21,165,2,0,1359
HT4BVJT00189,joaquim-MS-7996,1586,24,183,3,1,1377
HT4CWJT00250,joaquim-MS-7996,1501,7,114,5,1,1371
HT4BTJT00127,joaquim-MS-7996,1589,46,153,6,1,1363
HT4BTJT00127,joaquim-MS-7996,1495,22,95,4,0,1373
HT4BTJT00127,joaquim-MS-7996,1470,22,67,9,1,1362
HT4CWJT00250,joaquim-MS-7996,1551,41,134,7,1,1371
HT4BVJT00003,joaquim-MS-7996,2773,11,120,1299,0,1339
HT4CWJT00250,joaquim-MS-7996,3968,7,127,2469,1,1356
HT4CWJT00250,joaquim-MS-7996,2762,19,121,1281,0,1340
HT4BTJT00127,joaquim-MS-7996,3566,7,111,2090,0,1349
HT4BVJT00003,joaquim-MS-7996,4503,14,139,2978,1,1339
HT4CWJT00250,joaquim-MS-7996,1550,49,120,4,1,1371
HT4BTJT00127,joaquim-MS-7996,1508,27,101,5,0,1373
HT4BVJT00189,joaquim-MS-7996,2563,20,132,1059,0,1343
HT4BVJT00189,joaquim-MS-7996,3000,5,264,1364,1,1361
HT4BVJT00189,joaquim-MS-7996,1584,16,205,3,0,1372
HT4BVJT00189,joaquim-MS-7996,3868,45,155,2215,1,1343
HT4BVJT00003,joaquim-MS-7996,2838,20,135,1337,0,1339
HT4BVJT00003,joaquim-MS-7996,1571,19,184,7,1,1367
HT4BVJT00189,joaquim-MS-7996,2944,25,180,1359,1,1380
HT4BVJT00189,joaquim-MS-7996,2638,10,134,995,1,1369
HT4BVJT00189,joaquim-MS-7996,3246,34,172,1684,1,1346
HT4BVJT00003,joaquim-MS-7996,3824,22,118,2338,1,1340
HT4BVJT00189,joaquim-MS-7996,1546,20,148,2,0,1341
HT4BVJT00189,joaquim-MS-7996,1545,7,146,7,1,1380
HT4CWJT00250,joaquim-MS-7996,1495,13,102,4,1,1369
HT4BVJT00189,joaquim-MS-7996,1537,6,136,6,1,1376
HT4BVJT00189,joaquim-MS-7996,1544,27,135,6,1,1364
HT4BVJT00189,joaquim-MS-7996,1581,21,174,6,1,1381
HT4BVJT00189,joaquim-MS-7996,2086,18,135,585,1,1352
HT4BVJT00189,joaquim-MS-7996,3080,79,126,1502,0,1341
HT4BVJT00189,joaquim-MS-7996,4138,11,108,2619,0,1352
HT4BTJT00127,joaquim-MS-7996,1542,12,143,6,1,1383
HT4BVJT00003,joaquim-MS-7996,1591,14,168,2,1,1384
HT4BTJT00127,joaquim-MS-7996,1745,44,179,6,2,1474
HT4BVJT00003,joaquim-MS-7996,2877,18,185,1318,0,1353
HT4BVJT00003,joaquim-MS-7996,2682,21,181,1108,1,1363
HT4CWJT00250,joaquim-MS-7996,2109,19,188,531,1,1349
HT4BVJT00189,joaquim-MS-7996,1534,14,161,2,0,1348
HT4BVJT00003,joaquim-MS-7996,1631,19,156,1,0,1337
HT4BVJT00003,joaquim-MS-7996,1584,9,178,6,1,1386
HT4CWJT00250,joaquim-MS-7996,2276,12,117,799,1,1344
HT4BTJT00127,joaquim-MS-7996,1580,51,124,5,1,1388
HT4CWJT00250,joaquim-MS-7996,1557,30,148,7,1,1365
HT4BVJT00003,joaquim-MS-7996,2184,22,171,642,0,1349
HT4BVJT00189,joaquim-MS-7996,1575,45,159,2,0,1360
HT4BVJT00189,joaquim-MS-7996,1535,14,141,6,1,1370
HT4CWJT00250,joaquim-MS-7996,1559,59,111,5,1,1378
HT4BTJT00127,joaquim-MS-7996,1545,18,149,6,0,1368
HT4BTJT00127,joaquim-MS-7996,1502,17,99,5,1,1372
HT4BTJT00127,joaquim-MS-7996,1551,17,151,3,0,1380
HT4CWJT00250,joaquim-MS-7996,1604,47,158,5,2,1388
HT4BVJT00003,joaquim-MS-7996,2905,54,189,1305,1,1351
