ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1364,7,41,4,1,1305
HT4BTJT00127,joaquim-MS-7996,1519,12,74,5,0,1420
HT4BVJT00003,joaquim-MS-7996,2636,21,55,1259,0,1290
HT4CWJT00250,joaquim-MS-7996,1488,53,82,5,1,1340
HT4BVJT00189,joaquim-MS-7996,1384,22,48,3,0,1303
HT4CWJT00250,joaquim-MS-7996,1401,12,50,5,0,1324
HT4BTJT00127,joaquim-MS-7996,1418,23,59,3,1,1322
HT4CWJT00250,joaquim-MS-7996,1402,29,43,4,0,1317
HT4BVJT00189,joaquim-MS-7996,1378,12,54,2,0,1311
HT4BVJT00189,joaquim-MS-7996,1429,24,60,4,0,1334
HT4CWJT00250,joaquim-MS-7996,1439,15,83,4,0,1328
HT4BVJT00003,joaquim-MS-7996,1961,32,49,568,0,1304
HT4BTJT00127,joaquim-MS-7996,1452,72,40,3,0,1329
HT4BTJT00127,joaquim-MS-7996,1386,15,52,2,0,1306
HT4BVJT00189,joaquim-MS-7996,1343,12,41,1,0,1284
HT4BVJT00189,joaquim-MS-7996,1406,18,48,4,0,1337
HT4CWJT00250,joaquim-MS-7996,2035,17,62,662,0,1291
HT4CWJT00250,joaquim-MS-7996,3069,10,37,1703,0,1309
HT4CWJT00250,joaquim-MS-7996,1853,23,56,427,1,1298
HT4BVJT00189,joaquim-MS-7996,1673,42,30,310,0,1284
HT4BVJT00003,joaquim-MS-7996,1527,20,72,4,1,1423
HT4BVJT00003,joaquim-MS-7996,1396,12,46,4,0,1322
HT4BVJT00189,joaquim-MS-7996,1910,42,53,503,0,1300
HT4BVJT00189,joaquim-MS-7996,1456,38,47,1,1,1352
HT4BVJT00189,joaquim-MS-7996,2174,29,35,795,0,1307
HT4CWJT00250,joaquim-MS-7996,2561,17,52,1206,0,1287
HT4BTJT00127,joaquim-MS-7996,1497,42,68,4,0,1337
HT4BVJT00189,joaquim-MS-7996,1423,20,86,2,0,1320
HT4BVJT00189,joaquim-MS-7996,1424,54,39,3,1,1324
HT4BVJT00003,joaquim-MS-7996,2621,15,29,1222,0,1314
HT4BTJT00127,joaquim-MS-7996,3631,45,26,2263,0,1294
HT4BVJT00189,joaquim-MS-7996,4836,11,46,3486,1,1286
HT4BVJT00189,joaquim-MS-7996,3072,42,52,1674,0,1300
HT4BVJT00189,joaquim-MS-7996,1366,22,45,1,0,1296
HT4BVJT00189,joaquim-MS-7996,1816,6,44,466,0,1288
HT4BVJT00189,joaquim-MS-7996,2734,30,49,1352,0,1293
HT4BTJT00127,joaquim-MS-7996,1399,8,51,4,0,1313
HT4BTJT00127,joaquim-MS-7996,2470,11,20,1149,0,1287
HT4BTJT00127,joaquim-MS-7996,2326,19,62,946,0,1296
HT4BVJT00189,joaquim-MS-7996,1515,16,64,4,1,1429
HT4BVJT00003,joaquim-MS-7996,2508,14,53,1147,0,1291
HT4CWJT00250,joaquim-MS-7996,2823,8,76,1436,0,1305
HT4BVJT00189,joaquim-MS-7996,1846,20,45,479,0,1304
HT4BVJT00003,joaquim-MS-7996,2747,10,60,1382,0,1287
HT4BVJT00189,joaquim-MS-7996,1429,27,65,3,1,1320
HT4BVJT00003,joaquim-MS-7996,1413,20,49,5,0,1330
HT4BTJT00127,joaquim-MS-7996,1518,19,83,4,0,1412
HT4BVJT00003,joaquim-MS-7996,2650,17,49,1278,0,1302
HT4CWJT00250,joaquim-MS-7996,1459,20,83,5,1,1338
HT4BVJT00189,joaquim-MS-7996,1380,16,49,4,0,1309
HT4CWJT00250,joaquim-MS-7996,1416,17,66,4,1,1334
HT4BTJT00127,joaquim-MS-7996,1395,11,83,1,0,1300
HT4CWJT00250,joaquim-MS-7996,1391,35,44,4,1,1309
HT4BVJT00189,joaquim-MS-7996,1423,49,56,2,0,1313
HT4BVJT00189,joaquim-MS-7996,1435,48,57,4,1,1325
HT4CWJT00250,joaquim-MS-7996,1428,11,55,4,0,1333
HT4BVJT00003,joaquim-MS-7996,1945,24,36,568,0,1312
HT4BTJT00127,joaquim-MS-7996,1398,9,38,3,0,1338
HT4BTJT00127,joaquim-MS-7996,1395,9,44,3,0,1332
HT4BVJT00189,joaquim-MS-7996,1409,27,42,1,0,1288
HT4BVJT00189,joaquim-MS-7996,1389,11,45,3,1,1325
