ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2040,9,381,15,4,1605
HT4BTJT00127,joaquim-MS-7996,2074,6,508,5,2,1535
HT4CWJT00250,joaquim-MS-7996,2021,30,441,4,1,1527
HT4BVJT00003,joaquim-MS-7996,1862,46,258,4,1,1545
HT4BVJT00189,joaquim-MS-7996,2033,10,447,10,1,1551
HT4CWJT00250,joaquim-MS-7996,1761,7,212,8,1,1526
HT4BTJT00127,joaquim-MS-7996,1813,40,235,3,1,1515
HT4CWJT00250,joaquim-MS-7996,1911,18,314,13,3,1549
HT4BVJT00003,joaquim-MS-7996,3127,8,272,1310,1,1522
HT4BVJT00189,joaquim-MS-7996,1844,40,243,11,1,1535
HT4BVJT00189,joaquim-MS-7996,1871,6,314,4,2,1530
HT4CWJT00250,joaquim-MS-7996,1903,9,332,14,6,1533
HT4BTJT00127,joaquim-MS-7996,1927,6,349,18,2,1535
HT4BTJT00127,joaquim-MS-7996,1858,10,317,9,3,1517
HT4BTJT00127,joaquim-MS-7996,1892,40,277,10,2,1551
HT4CWJT00250,joaquim-MS-7996,1858,6,263,9,8,1553
HT4CWJT00250,joaquim-MS-7996,3124,45,149,1394,1,1517
HT4CWJT00250,joaquim-MS-7996,2102,7,196,370,1,1517
HT4BTJT00127,joaquim-MS-7996,3103,9,201,1359,0,1524
HT4CWJT00250,joaquim-MS-7996,1968,46,370,15,2,1550
HT4BTJT00127,joaquim-MS-7996,1907,12,313,12,2,1561
HT4BVJT00189,joaquim-MS-7996,3100,50,323,1195,1,1521
HT4BVJT00003,joaquim-MS-7996,3534,11,314,1605,1,1583
HT4BVJT00189,joaquim-MS-7996,3023,18,514,990,1,1524
HT4BVJT00189,joaquim-MS-7996,4517,7,563,2417,2,1521
HT4BVJT00189,joaquim-MS-7996,5455,32,223,3662,2,1521
HT4BVJT00189,joaquim-MS-7996,1840,7,289,11,2,1537
HT4BVJT00189,joaquim-MS-7996,2034,7,361,18,3,1652
HT4BVJT00189,joaquim-MS-7996,3014,6,342,1141,3,1526
HT4BVJT00003,joaquim-MS-7996,1908,9,334,12,3,1547
HT4BVJT00189,joaquim-MS-7996,1919,6,283,15,2,1623
HT4BVJT00003,joaquim-MS-7996,1908,6,325,13,2,1544
HT4CWJT00250,joaquim-MS-7996,1962,16,240,8,1,1553
HT4BVJT00003,joaquim-MS-7996,2747,7,336,846,2,1526
HT4BVJT00003,joaquim-MS-7996,2298,43,187,508,0,1519
HT4BVJT00003,joaquim-MS-7996,1922,6,345,13,6,1550
HT4BVJT00189,joaquim-MS-7996,2111,9,296,260,1,1523
HT4BVJT00189,joaquim-MS-7996,1843,9,261,11,2,1543
HT4BTJT00127,joaquim-MS-7996,1987,8,386,14,2,1564
HT4BVJT00189,joaquim-MS-7996,3285,16,364,1378,1,1518
HT4BVJT00003,joaquim-MS-7996,2079,44,374,12,4,1634
HT4BTJT00127,joaquim-MS-7996,2233,39,461,159,2,1554
HT4CWJT00250,joaquim-MS-7996,2038,45,439,5,1,1548
HT4BVJT00003,joaquim-MS-7996,1900,7,296,3,1,1563
HT4BVJT00189,joaquim-MS-7996,2061,43,452,15,2,1540
HT4CWJT00250,joaquim-MS-7996,1822,60,198,10,1,1538
HT4BTJT00127,joaquim-MS-7996,1834,10,262,4,1,1536
HT4CWJT00250,joaquim-MS-7996,1946,10,353,10,9,1542
HT4BVJT00003,joaquim-MS-7996,3175,9,295,1339,2,1518
HT4BVJT00189,joaquim-MS-7996,1810,15,249,2,2,1526
HT4BVJT00189,joaquim-MS-7996,1877,19,333,4,4,1521
HT4CWJT00250,joaquim-MS-7996,1883,6,314,11,6,1540
HT4BTJT00127,joaquim-MS-7996,1986,28,356,22,3,1536
HT4BTJT00127,joaquim-MS-7996,1905,5,262,9,2,1608
HT4BTJT00127,joaquim-MS-7996,1849,7,266,9,2,1543
HT4CWJT00250,joaquim-MS-7996,1812,6,240,4,0,1520
HT4CWJT00250,joaquim-MS-7996,3018,31,155,1315,1,1514
HT4CWJT00250,joaquim-MS-7996,1941,34,209,149,1,1534
HT4BTJT00127,joaquim-MS-7996,3019,5,241,1255,1,1509
HT4CWJT00250,joaquim-MS-7996,1903,8,317,14,7,1546
HT4BTJT00127,joaquim-MS-7996,1894,6,282,18,2,1568
HT4BVJT00189,joaquim-MS-7996,3194,9,363,1212,2,1537
HT4BVJT00003,joaquim-MS-7996,3409,48,291,1477,1,1578
HT4BVJT00189,joaquim-MS-7996,2983,34,474,961,1,1513
HT4BVJT00189,joaquim-MS-7996,4464,49,506,2372,2,1533
HT4BVJT00189,joaquim-MS-7996,5470,8,228,3687,2,1525
HT4BVJT00189,joaquim-MS-7996,1976,42,266,11,2,1545
HT4BVJT00189,joaquim-MS-7996,2011,40,352,12,3,1609
HT4BVJT00189,joaquim-MS-7996,3106,8,258,1307,2,1531
HT4BVJT00003,joaquim-MS-7996,1974,43,299,14,2,1547
HT4BVJT00189,joaquim-MS-7996,2013,9,285,12,3,1642
HT4BVJT00003,joaquim-MS-7996,1975,9,324,10,1,1528
HT4CWJT00250,joaquim-MS-7996,1869,12,251,8,2,1562
HT4BVJT00003,joaquim-MS-7996,2611,16,312,732,3,1533
HT4BVJT00003,joaquim-MS-7996,2209,7,211,460,1,1519
HT4BVJT00003,joaquim-MS-7996,1979,6,324,17,3,1560
HT4BVJT00189,joaquim-MS-7996,1917,41,309,19,1,1532
HT4BVJT00189,joaquim-MS-7996,1850,7,279,9,5,1538
HT4BTJT00127,joaquim-MS-7996,1999,42,358,14,8,1566
HT4BVJT00189,joaquim-MS-7996,3349,14,398,1414,1,1520
HT4BVJT00003,joaquim-MS-7996,2127,45,465,13,4,1587
