ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10046,21,69,45,3,9930
HT4BTJT00127,HT4BTJT00127,10133,46,137,39,5,9966
HT4BVJT00003,HT4BVJT00003,17748,64,101,8233,2,9348
HT4BVJT00003,HT4BVJT00003,25859,8,61,16181,6,9632
HT4CWJT00250,HT4CWJT00250,9917,16,90,59,6,9754
HT4BVJT00189,HT4BVJT00189,11076,15,67,16,3,10979
HT4BVJT00003,joaquim-MS-7996,1703,15,157,10,1,1515
HT4BVJT00003,joaquim-MS-7996,1943,11,194,12,2,1720
HT4CWJT00250,joaquim-MS-7996,2755,47,123,1178,0,1394
HT4BTJT00127,joaquim-MS-7996,2458,9,164,9,0,2266
HT4CWJT00250,joaquim-MS-7996,1662,12,148,10,0,1430
HT4BVJT00003,joaquim-MS-7996,2173,30,134,656,1,1348
HT4BVJT00189,joaquim-MS-7996,1582,7,209,6,1,1361
HT4BVJT00189,joaquim-MS-7996,1565,17,165,7,1,1368
HT4CWJT00250,joaquim-MS-7996,1501,15,109,6,0,1364
HT4BTJT00127,joaquim-MS-7996,1577,44,165,7,0,1367
HT4BTJT00127,joaquim-MS-7996,1526,43,112,4,1,1370
HT4BTJT00127,joaquim-MS-7996,1518,22,77,4,1,1360
HT4CWJT00250,joaquim-MS-7996,1533,30,160,3,0,1342
HT4BVJT00003,joaquim-MS-7996,2770,18,146,1261,0,1331
HT4CWJT00250,joaquim-MS-7996,3920,10,125,2434,1,1336
HT4CWJT00250,joaquim-MS-7996,2576,49,89,1101,0,1329
HT4BTJT00127,joaquim-MS-7996,3515,12,107,2054,1,1335
HT4BVJT00003,joaquim-MS-7996,4500,7,152,2928,1,1392
HT4CWJT00250,joaquim-MS-7996,3084,64,127,6,0,2879
HT4BTJT00127,joaquim-MS-7996,1883,58,109,7,1,1651
HT4BVJT00189,joaquim-MS-7996,3098,11,163,1393,1,1529
HT4BVJT00189,joaquim-MS-7996,3631,56,267,1616,1,1685
HT4BVJT00189,joaquim-MS-7996,1907,20,230,4,1,1640
HT4BVJT00189,joaquim-MS-7996,4496,11,163,2864,1,1449
HT4BVJT00003,joaquim-MS-7996,3776,17,143,2081,1,1525
HT4BVJT00003,joaquim-MS-7996,3569,27,178,1389,0,1933
HT4BVJT00189,joaquim-MS-7996,1577,11,150,5,1,1415
HT4BVJT00189,joaquim-MS-7996,4514,33,167,1426,0,2805
HT4BVJT00189,joaquim-MS-7996,6989,41,162,3668,1,3031
HT4BVJT00003,joaquim-MS-7996,7784,56,144,5907,6,1575
HT4BVJT00189,joaquim-MS-7996,3998,38,153,2300,0,1477
HT4BVJT00189,joaquim-MS-7996,1753,53,164,2,1,1495
HT4CWJT00250,joaquim-MS-7996,1618,10,176,3,0,1417
HT4BVJT00189,joaquim-MS-7996,1672,22,152,7,1,1453
HT4BVJT00189,joaquim-MS-7996,1562,20,164,2,0,1387
HT4BVJT00189,joaquim-MS-7996,1549,9,165,2,0,1374
HT4BVJT00189,joaquim-MS-7996,2402,6,126,534,1,1717
HT4BVJT00189,joaquim-MS-7996,3508,10,104,1911,1,1478
HT4BVJT00189,joaquim-MS-7996,5363,18,156,2981,0,2203
HT4BTJT00127,joaquim-MS-7996,2475,79,148,7,1,2224
HT4BVJT00003,HT4BVJT00003,10125,89,68,40,4,9952
HT4BTJT00127,HT4BTJT00127,10213,8,92,57,4,10072
HT4BVJT00003,HT4BVJT00003,17911,42,70,8431,7,9370
HT4BVJT00003,HT4BVJT00003,25896,13,35,16288,4,9553
HT4CWJT00250,HT4CWJT00250,9759,33,66,24,3,9634
HT4BVJT00189,HT4BVJT00189,10741,10,59,15,2,10691
HT4BVJT00003,joaquim-MS-7996,1757,7,148,24,2,1511
HT4BVJT00003,joaquim-MS-7996,1635,9,194,9,2,1418
HT4CWJT00250,joaquim-MS-7996,2364,26,116,877,1,1339
HT4BTJT00127,joaquim-MS-7996,1916,19,199,2,1,1654
HT4CWJT00250,joaquim-MS-7996,2009,11,181,3,2,1717
HT4BVJT00003,joaquim-MS-7996,2938,6,111,1142,0,1654
HT4BVJT00189,joaquim-MS-7996,1711,15,191,4,0,1491
HT4BVJT00189,joaquim-MS-7996,1605,6,199,5,1,1395
HT4CWJT00250,joaquim-MS-7996,1504,11,120,5,0,1362
HT4BTJT00127,joaquim-MS-7996,1768,7,166,4,1,1582
HT4BTJT00127,joaquim-MS-7996,1617,13,91,4,1,1496
HT4BTJT00127,joaquim-MS-7996,1747,11,77,2,0,1658
HT4CWJT00250,joaquim-MS-7996,2817,15,119,10,1,2586
HT4BVJT00003,joaquim-MS-7996,4249,34,102,2476,0,1634
HT4CWJT00250,joaquim-MS-7996,5483,20,131,3910,0,1339
HT4CWJT00250,joaquim-MS-7996,4209,37,92,2698,0,1371
HT4BTJT00127,joaquim-MS-7996,5456,43,113,3586,0,1705
HT4BVJT00003,joaquim-MS-7996,7643,51,119,4765,1,2703
HT4CWJT00250,joaquim-MS-7996,3120,14,104,3,3,2983
HT4BTJT00127,joaquim-MS-7996,2177,13,92,6,0,2048
HT4BVJT00189,joaquim-MS-7996,4379,15,151,1681,3,2516
HT4BVJT00189,joaquim-MS-7996,4393,6,243,907,5,3126
