ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10323,18,13,18,3,10268
HT4BTJT00127,HT4BTJT00127,9913,13,21,20,2,9865
HT4BVJT00003,HT4BVJT00003,18168,53,40,8606,2,9490
HT4CWJT00250,HT4CWJT00250,9759,48,30,30,2,9652
HT4BVJT00189,HT4BVJT00189,10352,25,65,25,2,10238
HT4CWJT00250,joaquim-MS-7996,1547,13,64,11,1,1451
HT4BTJT00127,joaquim-MS-7996,1438,14,73,4,1,1320
HT4CWJT00250,HT4BVJT00189,11031,26,127,25,7,10834
HT4BVJT00189,joaquim-MS-7996,1509,14,74,1,0,1319
HT4BVJT00189,joaquim-MS-7996,1414,29,53,3,0,1321
HT4CWJT00250,joaquim-MS-7996,1445,49,59,3,1,1330
HT4BVJT00003,joaquim-MS-7996,1979,11,49,594,0,1319
HT4BTJT00127,joaquim-MS-7996,1431,47,56,1,0,1317
HT4BTJT00127,joaquim-MS-7996,1470,55,61,4,1,1342
HT4BVJT00189,joaquim-MS-7996,1573,55,53,3,0,1463
HT4BVJT00189,joaquim-MS-7996,1477,38,53,3,1,1326
HT4CWJT00250,joaquim-MS-7996,2052,48,56,648,0,1292
HT4CWJT00250,joaquim-MS-7996,3054,57,42,1641,0,1308
HT4CWJT00250,joaquim-MS-7996,1842,44,63,402,1,1312
HT4BVJT00189,joaquim-MS-7996,1676,60,51,262,0,1310
HT4BVJT00003,joaquim-MS-7996,1445,32,78,25,0,1312
HT4BVJT00003,joaquim-MS-7996,1417,35,54,4,0,1325
HT4BVJT00189,joaquim-MS-7996,1924,21,111,496,1,1311
HT4BVJT00189,joaquim-MS-7996,1380,22,49,1,0,1307
HT4BVJT00189,joaquim-MS-7996,2191,22,39,761,0,1324
HT4CWJT00250,joaquim-MS-7996,2514,10,43,1148,0,1302
HT4BTJT00127,joaquim-MS-7996,1442,17,74,3,1,1337
HT4BVJT00189,joaquim-MS-7996,1554,27,80,5,0,1430
HT4BVJT00189,joaquim-MS-7996,1470,80,40,3,0,1338
HT4BVJT00003,joaquim-MS-7996,2723,9,25,1270,0,1314
HT4BTJT00127,joaquim-MS-7996,3650,45,40,2268,0,1295
HT4BVJT00189,joaquim-MS-7996,4874,68,47,3386,0,1300
HT4BVJT00189,joaquim-MS-7996,3135,45,47,1714,0,1325
HT4BVJT00189,joaquim-MS-7996,1427,13,40,63,0,1304
HT4BVJT00189,joaquim-MS-7996,1786,26,59,396,0,1297
HT4BVJT00189,joaquim-MS-7996,2786,23,65,1389,0,1310
HT4BTJT00127,joaquim-MS-7996,1481,50,84,4,1,1335
HT4BTJT00127,joaquim-MS-7996,2627,44,25,1238,0,1314
HT4BTJT00127,joaquim-MS-7996,2491,62,66,1053,0,1308
HT4BVJT00189,joaquim-MS-7996,1540,34,64,4,0,1433
HT4BVJT00003,joaquim-MS-7996,2548,22,53,1177,1,1290
HT4CWJT00250,joaquim-MS-7996,2866,15,59,1478,1,1311
HT4BVJT00189,joaquim-MS-7996,1904,28,47,514,0,1311
HT4BVJT00003,joaquim-MS-7996,2800,27,57,1384,0,1320
HT4BVJT00189,joaquim-MS-7996,1515,52,74,4,0,1322
HT4BVJT00003,HT4BVJT00003,10534,20,59,29,7,10443
HT4BTJT00127,HT4BTJT00127,9927,22,26,27,2,9862
HT4BVJT00003,HT4BVJT00003,18416,53,15,8828,2,9471
HT4CWJT00250,HT4CWJT00250,9749,54,15,19,2,9661
HT4BVJT00189,HT4BVJT00189,10633,47,55,26,2,10507
HT4CWJT00250,HT4BVJT00189,12685,15,68,2532,2,10044
HT4BTJT00127,joaquim-MS-7996,1607,63,68,24,1,1448
HT4CWJT00250,joaquim-MS-7996,1418,18,46,5,1,1341
HT4BVJT00189,joaquim-MS-7996,1462,39,62,4,1,1342
HT4BVJT00189,joaquim-MS-7996,1447,64,47,4,0,1319
HT4CWJT00250,joaquim-MS-7996,1447,13,76,4,1,1342
HT4BVJT00003,joaquim-MS-7996,1991,28,41,600,0,1316
HT4BTJT00127,joaquim-MS-7996,1402,31,41,3,0,1324
HT4BTJT00127,joaquim-MS-7996,1430,49,53,2,0,1321
HT4BVJT00189,joaquim-MS-7996,1449,25,64,1,1,1286
HT4BVJT00189,joaquim-MS-7996,1464,75,44,4,0,1339
HT4CWJT00250,joaquim-MS-7996,2140,20,51,747,0,1301
HT4CWJT00250,joaquim-MS-7996,3103,22,66,1701,0,1311
HT4CWJT00250,joaquim-MS-7996,1897,29,59,485,0,1318
HT4BVJT00189,joaquim-MS-7996,1817,7,28,462,0,1309
HT4BVJT00003,joaquim-MS-7996,1495,52,63,62,0,1308
HT4BVJT00003,joaquim-MS-7996,1412,19,53,2,1,1323
HT4BVJT00189,joaquim-MS-7996,1927,16,73,516,0,1320
HT4BVJT00189,joaquim-MS-7996,1367,20,37,7,0,1305
HT4BVJT00189,joaquim-MS-7996,2089,50,45,664,0,1320
HT4CWJT00250,joaquim-MS-7996,2512,12,45,1142,1,1302
HT4BTJT00127,joaquim-MS-7996,1511,52,74,4,0,1339
HT4BVJT00189,joaquim-MS-7996,1381,12,66,10,0,1291
HT4BVJT00189,joaquim-MS-7996,1430,46,26,3,1,1347
HT4BVJT00003,joaquim-MS-7996,2611,12,31,1236,0,1311
HT4BTJT00127,joaquim-MS-7996,3619,45,65,2205,1,1300
HT4BVJT00189,joaquim-MS-7996,4844,22,55,3464,0,1298
HT4BVJT00189,joaquim-MS-7996,3131,14,50,1743,0,1323
HT4BVJT00189,joaquim-MS-7996,1409,47,43,1,1,1311
