ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10294,7,96,18,3,10200
HT4BTJT00127,HT4BTJT00127,10957,42,129,38,6,10777
HT4CWJT00250,HT4CWJT00250,10144,16,111,40,14,9965
HT4BVJT00003,HT4BVJT00003,10203,10,129,734,5,9360
HT4BVJT00189,HT4BVJT00189,10752,9,82,27,6,10628
HT4CWJT00250,HT4BVJT00189,12828,9,374,2342,5,10075
HT4BTJT00127,joaquim-MS-7996,2070,6,339,21,2,1695
HT4CWJT00250,joaquim-MS-7996,1952,20,358,14,3,1552
HT4BVJT00003,joaquim-MS-7996,3096,54,329,1169,1,1534
HT4BVJT00189,joaquim-MS-7996,1895,44,328,2,1,1518
HT4BVJT00189,joaquim-MS-7996,1963,6,358,15,3,1554
HT4CWJT00250,joaquim-MS-7996,1886,7,325,14,2,1527
HT4BTJT00127,joaquim-MS-7996,1930,6,404,4,2,1517
HT4BTJT00127,joaquim-MS-7996,1921,8,309,11,6,1582
HT4BTJT00127,joaquim-MS-7996,1873,10,288,4,2,1508
HT4CWJT00250,joaquim-MS-7996,1853,18,264,11,6,1545
HT4CWJT00250,joaquim-MS-7996,3139,7,167,1419,0,1529
HT4CWJT00250,joaquim-MS-7996,2091,10,236,346,1,1510
HT4BTJT00127,joaquim-MS-7996,3118,8,219,1367,0,1512
HT4CWJT00250,joaquim-MS-7996,1932,63,320,6,1,1515
HT4BTJT00127,joaquim-MS-7996,1909,8,329,11,2,1557
HT4BVJT00189,joaquim-MS-7996,3120,21,381,1215,1,1521
HT4BVJT00003,joaquim-MS-7996,3494,7,343,1568,2,1566
HT4BVJT00189,joaquim-MS-7996,3036,5,474,1047,1,1511
HT4BVJT00189,joaquim-MS-7996,4493,8,492,2446,1,1528
HT4BVJT00189,joaquim-MS-7996,5468,12,243,3676,1,1515
HT4BVJT00189,joaquim-MS-7996,1818,7,256,11,2,1537
HT4BVJT00189,joaquim-MS-7996,1947,14,348,12,5,1558
HT4BVJT00189,joaquim-MS-7996,2915,16,351,1010,1,1526
HT4BVJT00003,joaquim-MS-7996,1890,7,314,13,2,1532
HT4BVJT00189,joaquim-MS-7996,1844,26,283,3,3,1511
HT4BVJT00003,joaquim-MS-7996,1867,9,325,11,2,1507
HT4CWJT00250,joaquim-MS-7996,1871,11,249,10,7,1541
HT4BVJT00003,joaquim-MS-7996,2772,7,287,924,1,1519
HT4BVJT00003,joaquim-MS-7996,2303,21,205,522,1,1494
HT4BVJT00003,joaquim-MS-7996,1925,19,328,9,6,1543
HT4BVJT00189,joaquim-MS-7996,2084,9,328,196,3,1530
HT4BVJT00189,joaquim-MS-7996,1854,23,280,12,1,1527
HT4BTJT00127,joaquim-MS-7996,2161,6,475,19,3,1532
HT4BVJT00189,joaquim-MS-7996,3530,12,480,1415,1,1519
HT4BVJT00003,HT4BVJT00003,10138,47,104,19,4,10002
HT4BTJT00127,HT4BTJT00127,10166,8,126,28,9,10047
HT4CWJT00250,HT4CWJT00250,10548,46,126,52,5,10360
HT4BVJT00003,HT4BVJT00003,10233,8,99,772,5,9374
HT4BVJT00189,HT4BVJT00189,10947,47,110,27,11,10789
HT4CWJT00250,HT4BVJT00189,13162,40,451,2447,6,10236
HT4BTJT00127,joaquim-MS-7996,2148,36,350,23,3,1714
HT4CWJT00250,joaquim-MS-7996,2106,9,455,10,4,1564
HT4BVJT00003,joaquim-MS-7996,3364,10,467,1288,1,1519
HT4BVJT00189,joaquim-MS-7996,1879,6,308,9,2,1542
HT4BVJT00189,joaquim-MS-7996,2049,7,344,4,1,1525
HT4CWJT00250,joaquim-MS-7996,1898,7,359,4,1,1520
HT4BTJT00127,joaquim-MS-7996,1955,7,394,11,2,1526
HT4BTJT00127,joaquim-MS-7996,1884,4,300,9,6,1556
HT4BTJT00127,joaquim-MS-7996,1927,6,292,15,2,1534
HT4CWJT00250,joaquim-MS-7996,1828,6,247,7,7,1523
HT4CWJT00250,joaquim-MS-7996,3067,79,163,1283,0,1518
HT4CWJT00250,joaquim-MS-7996,1983,6,237,195,2,1510
HT4BTJT00127,joaquim-MS-7996,3009,27,246,1227,1,1502
HT4CWJT00250,joaquim-MS-7996,1846,7,309,4,3,1509
HT4BTJT00127,joaquim-MS-7996,1949,53,289,8,6,1568
HT4BVJT00189,joaquim-MS-7996,2954,49,347,986,2,1532
HT4BVJT00003,joaquim-MS-7996,3531,44,325,1590,2,1557
HT4BVJT00189,joaquim-MS-7996,3019,22,521,957,2,1516
HT4BVJT00189,joaquim-MS-7996,4497,9,579,2391,1,1515
HT4BVJT00189,joaquim-MS-7996,5490,10,235,3711,1,1524
HT4BVJT00189,joaquim-MS-7996,1825,7,251,11,2,1532
HT4BVJT00189,joaquim-MS-7996,1962,11,388,9,6,1542
HT4BVJT00189,joaquim-MS-7996,2955,8,279,1135,2,1515
