ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,9554,29,383,37,6,9134
HT4BTJT00127,HT4BVJT00189,9943,53,298,42,7,9602
HT4BVJT00003,HT4BVJT00003,9480,38,132,15,7,9323
HT4BVJT00003,HT4CWJT00250,15392,29,240,6039,2,9083
HT4CWJT00250,HT4BVJT00003,15370,19,319,5685,4,9337
HT4BVJT00189,HT4CWJT00250,15279,22,304,5635,5,9316
HT4BVJT00003,HT4BVJT00003,11792,45,24,2161,4,9561
HT4BVJT00003,HT4CWJT00250,17223,11,257,7596,3,9373
HT4CWJT00250,HT4CWJT00250,25923,13,53,16579,4,9293
HT4BTJT00127,HT4BVJT00189,9674,16,185,8,3,9480
HT4CWJT00250,HT4BVJT00003,9656,20,210,17,3,9403
HT4BVJT00003,HT4BVJT00003,18389,7,59,8815,2,9540
HT4BVJT00189,HT4BVJT00189,10602,8,39,563,4,9982
HT4BVJT00189,HT4BVJT00189,17724,27,99,7434,4,10198
HT4CWJT00250,HT4CWJT00250,14210,8,24,4673,3,9511
HT4BTJT00127,HT4BVJT00003,16218,22,263,6208,4,9686
HT4BTJT00127,HT4CWJT00250,18224,42,185,8555,2,9445
HT4BTJT00127,HT4BVJT00189,16489,36,139,6076,22,10212
HT4CWJT00250,HT4BVJT00003,27377,48,239,17384,6,9696
HT4BVJT00003,HT4BVJT00003,17574,63,66,7781,4,9685
HT4CWJT00250,HT4BVJT00003,36958,10,151,26949,3,9869
HT4CWJT00250,HT4BTJT00127,9534,7,157,84,7,9269
HT4BTJT00127,HT4CWJT00250,18344,8,159,8754,2,9432
HT4BVJT00003,HT4BTJT00127,17842,12,242,8353,2,9266
HT4CWJT00250,HT4CWJT00250,16121,7,76,6500,4,9550
HT4BTJT00127,HT4BVJT00189,10424,8,218,43,10,10144
HT4BVJT00189,HT4BVJT00189,20766,7,28,10086,3,10648
HT4BVJT00189,HT4BTJT00127,9953,48,539,22,4,9337
HT4BVJT00189,HT4CWJT00250,18308,24,340,8284,7,9659
HT4BVJT00189,HT4BTJT00127,18913,44,354,9010,3,9528
HT4BVJT00003,HT4BVJT00003,21811,12,54,11930,4,9844
HT4BVJT00003,HT4BVJT00189,30905,69,213,19816,3,10790
HT4BVJT00189,HT4BVJT00189,19988,49,63,9315,3,10552
HT4BVJT00189,HT4CWJT00250,18175,12,262,8196,3,9736
HT4BVJT00189,HT4CWJT00250,27938,11,246,17404,4,10292
HT4BVJT00003,HT4BTJT00127,17817,59,152,8046,3,9547
HT4BVJT00189,HT4BVJT00003,18119,22,287,7895,2,9903
HT4BVJT00189,HT4BTJT00127,18418,18,207,8589,3,9603
HT4CWJT00250,HT4CWJT00250,25945,60,54,15534,2,10290
HT4BVJT00189,HT4BVJT00003,17633,46,180,6976,3,10411
HT4BVJT00189,HT4BTJT00127,17945,23,163,8123,3,9633
HT4BVJT00189,HT4BVJT00189,16023,9,76,5471,3,10489
HT4BVJT00189,HT4CWJT00250,25081,16,214,14300,3,10572
HT4BVJT00189,HT4BVJT00003,20649,50,241,10099,3,10196
HT4BVJT00189,HT4BVJT00003,30417,19,174,20068,3,10176
HT4BTJT00127,HT4BTJT00127,16653,6,94,7005,2,9585
HT4BVJT00003,HT4CWJT00250,9671,40,410,30,2,9243
HT4BVJT00003,HT4CWJT00250,17108,32,326,7674,3,9066
HT4BTJT00127,HT4CWJT00250,26248,66,371,16689,3,9151
HT4BVJT00003,HT4BTJT00127,9443,21,337,15,6,9080
HT4CWJT00250,HT4BVJT00189,9910,51,216,10,2,9624
HT4BVJT00189,HT4BTJT00127,9584,19,194,21,8,9368
HT4BVJT00003,HT4BVJT00189,10087,34,250,30,13,9774
HT4BVJT00003,HT4BTJT00127,12074,43,412,1658,4,9972
HT4CWJT00250,HT4CWJT00250,16505,57,43,7112,2,9299
HT4BTJT00127,HT4BTJT00127,14285,23,65,4557,4,9634
HT4CWJT00250,HT4CWJT00250,14192,8,41,4661,3,9488
HT4BVJT00003,HT4BVJT00189,10375,89,213,25,7,10008
HT4BVJT00189,HT4BTJT00127,14901,28,237,4998,2,9663
HT4BVJT00189,HT4CWJT00250,16669,24,325,6744,5,9610
HT4CWJT00250,HT4BVJT00189,11772,7,205,1489,2,10088
HT4BTJT00127,HT4BTJT00127,16246,33,42,6237,3,9935
HT4BTJT00127,HT4CWJT00250,18645,7,147,8877,6,9505
HT4BTJT00127,HT4BVJT00189,12781,8,125,2449,1,10198
HT4CWJT00250,HT4BTJT00127,17767,10,244,7824,2,9690
HT4BVJT00003,HT4BTJT00127,27827,27,270,17345,2,10181
HT4CWJT00250,HT4BTJT00127,37810,7,297,27354,3,10139
HT4CWJT00250,HT4BVJT00189,18078,38,157,7521,2,10361
HT4BTJT00127,HT4CWJT00250,18691,8,160,9015,1,9536
HT4BVJT00003,HT4BVJT00003,9232,45,81,9,3,9095
HT4CWJT00250,HT4CWJT00250,16757,24,57,6854,3,9816
HT4BTJT00127,HT4BVJT00189,12568,56,142,1719,2,10647
HT4BVJT00189,HT4BVJT00189,22790,12,41,12221,3,10521
HT4BVJT00189,HT4CWJT00250,28847,63,536,18250,4,9929
HT4BVJT00189,HT4CWJT00250,18733,49,410,8738,2,9533
HT4BVJT00189,HT4CWJT00250,38519,19,339,27883,4,10318
HT4BVJT00003,HT4BVJT00003,9390,47,24,12,3,9306
HT4BVJT00003,HT4BTJT00127,17880,11,204,7451,2,10255
HT4BVJT00189,HT4BTJT00127,28454,17,181,17589,3,10696
HT4BVJT00189,HT4BVJT00189,20227,60,87,9504,4,10610
HT4BVJT00189,HT4BVJT00003,10917,10,382,1311,4,9210
HT4BVJT00003,HT4BVJT00003,19595,16,59,10088,3,9463
HT4BVJT00189,HT4BTJT00127,31136,22,223,19943,4,10982
HT4BVJT00189,HT4BVJT00189,20765,68,77,9789,4,10830
HT4CWJT00250,HT4BVJT00003,17892,47,164,7900,2,9764
HT4BVJT00189,HT4CWJT00250,22056,51,204,11488,2,10306
HT4BVJT00189,HT4CWJT00250,29439,11,174,18902,5,10345
HT4BVJT00189,HT4BVJT00189,18047,21,82,7542,4,10437
HT4BVJT00189,HT4BVJT00003,15966,14,258,6156,3,9529
HT4BVJT00189,HT4BVJT00003,25300,8,269,15373,4,9667
HT4BVJT00189,HT4BVJT00003,34594,16,324,24631,3,9636
HT4BTJT00127,HT4BTJT00127,17639,23,71,6266,4,11311
HT4BVJT00003,HT4BVJT00003,7362,49,67,14,3,7230
HT4BTJT00127,HT4CWJT00250,9507,10,306,18,6,9201
HT4BVJT00003,HT4CWJT00250,18612,10,235,9163,6,9226
HT4BVJT00003,HT4BVJT00003,13578,30,34,4141,3,9373
HT4CWJT00250,HT4BVJT00189,10033,15,272,10,3,9726
HT4BVJT00189,HT4BVJT00003,13898,15,186,3932,2,9757
HT4BVJT00003,HT4BVJT00003,18206,27,106,8137,2,9945
HT4BVJT00003,HT4BVJT00189,10160,10,297,22,4,9819
HT4CWJT00250,HT4CWJT00250,9412,33,40,10,2,9329
HT4BTJT00127,HT4BVJT00003,18690,18,283,8713,3,9711
HT4CWJT00250,HT4CWJT00250,9584,50,68,59,3,9398
HT4BVJT00003,HT4BVJT00189,10360,11,229,19,3,10095
HT4BVJT00189,HT4CWJT00250,14910,11,429,5204,2,9460
HT4BVJT00189,HT4BVJT00003,16368,54,241,6250,3,9815
HT4CWJT00250,HT4BVJT00189,12029,10,214,1436,3,10369
HT4BTJT00127,HT4BVJT00189,19186,25,316,8422,3,10431
HT4BTJT00127,HT4CWJT00250,13825,22,212,3960,1,9625
HT4BTJT00127,HT4BVJT00003,14881,6,83,4814,2,9929
HT4BVJT00003,HT4CWJT00250,27007,18,199,17043,2,9740
HT4CWJT00250,HT4CWJT00250,17215,68,63,7540,2,9576
HT4CWJT00250,HT4CWJT00250,36937,32,29,26723,3,10155
HT4CWJT00250,HT4BVJT00189,18868,13,137,8062,5,10660
HT4BTJT00127,HT4BVJT00003,19382,56,227,8993,2,10137
HT4BVJT00003,HT4BVJT00003,27528,23,66,18900,5,8568
HT4CWJT00250,HT4BVJT00189,17256,19,299,6243,3,10688
HT4BTJT00127,HT4BTJT00127,9266,26,47,37,5,9160
HT4BVJT00189,HT4BTJT00127,18330,51,208,8713,5,9352
HT4BVJT00189,HT4BVJT00189,20624,29,164,9715,4,10771
HT4BVJT00189,HT4BVJT00189,31385,85,89,20431,5,10812
HT4BVJT00189,HT4BVJT00003,19265,23,272,7886,9,11110
