ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,9208,53,56,10,2,9074
HT4BTJT00127,HT4CWJT00250,16783,31,116,7616,1,9018
HT4BVJT00003,HT4CWJT00250,23685,43,60,16504,5,7069
HT4CWJT00250,HT4BVJT00189,9712,27,202,40,2,9467
HT4BVJT00189,HT4BVJT00189,12085,14,12,2170,2,9889
HT4CWJT00250,HT4CWJT00250,13853,48,13,4574,3,9214
HT4BTJT00127,HT4CWJT00250,16264,19,78,6917,1,9248
HT4CWJT00250,HT4BVJT00189,9954,7,62,27,4,9816
HT4BVJT00189,HT4CWJT00250,16527,9,90,7105,1,9333
HT4BVJT00189,HT4BVJT00189,12943,45,47,2638,1,10214
HT4CWJT00250,HT4BTJT00127,9282,9,90,17,7,9159
HT4BVJT00003,HT4BVJT00189,20108,24,56,9818,2,10205
HT4BTJT00127,HT4CWJT00250,17366,7,47,7875,1,9422
HT4BTJT00127,HT4BTJT00127,12993,66,8,3843,1,9076
HT4BVJT00189,HT4BVJT00003,9118,20,68,20,4,9007
HT4BVJT00189,HT4BVJT00189,20449,7,6,10094,2,10300
HT4CWJT00250,HT4BTJT00127,16234,8,85,6835,1,9230
HT4CWJT00250,HT4CWJT00250,18321,5,7,8878,1,9428
HT4CWJT00250,HT4BVJT00003,10703,8,71,1510,2,9109
HT4BVJT00189,HT4CWJT00250,23808,15,39,14272,3,9480
HT4BVJT00003,HT4BVJT00003,16822,46,47,7552,4,9176
HT4BVJT00003,HT4BTJT00127,14499,6,55,5142,1,9283
HT4BVJT00189,HT4BVJT00189,18345,38,37,7882,2,10387
HT4BVJT00189,HT4CWJT00250,24074,11,49,14447,2,9559
HT4BVJT00189,HT4BVJT00003,15821,8,47,8509,2,7257
HT4CWJT00250,HT4BTJT00127,19810,8,54,10291,3,9454
HT4BTJT00127,HT4CWJT00250,28442,12,76,18740,2,9604
HT4BVJT00189,HT4BVJT00189,20544,15,51,10016,7,10458
HT4BVJT00189,HT4BVJT00003,15450,57,41,5976,1,9372
HT4BVJT00003,HT4BVJT00003,24713,8,6,15216,2,9478
HT4BTJT00127,HT4BVJT00003,34163,6,42,24462,2,9649
HT4BVJT00189,HT4BVJT00003,43615,53,82,33969,2,9517
HT4BVJT00189,HT4BTJT00127,17075,15,120,7382,1,9570
HT4BVJT00189,HT4BVJT00189,20647,16,7,10149,3,10473
HT4BVJT00189,HT4CWJT00250,25589,64,83,15827,2,9614
HT4BVJT00189,HT4CWJT00250,34804,27,68,25152,1,9557
HT4BTJT00127,HT4BTJT00127,14052,7,8,4497,1,9541
HT4BTJT00127,HT4BTJT00127,23431,9,4,13860,2,9550
HT4BTJT00127,HT4BVJT00189,20032,8,76,9435,2,10517
HT4BVJT00189,HT4BVJT00189,28170,47,11,17627,2,10486
HT4BVJT00003,HT4BVJT00189,38275,15,58,27685,3,10503
HT4CWJT00250,HT4BTJT00127,28221,8,127,18168,5,9909
HT4BVJT00189,HT4CWJT00250,28601,34,52,18889,1,9622
HT4BVJT00003,HT4CWJT00250,38119,12,137,27963,5,10022
HT4BVJT00189,HT4BVJT00003,22283,60,76,12442,2,9703
HT4BVJT00003,HT4BVJT00003,9260,16,23,21,3,9202
HT4BTJT00127,HT4BVJT00003,17040,16,162,7620,2,9185
HT4BVJT00003,HT4BVJT00003,26201,45,17,16758,1,9388
HT4CWJT00250,HT4CWJT00250,9050,45,73,7,1,8930
HT4BVJT00189,HT4CWJT00250,10593,41,62,1458,1,9027
HT4CWJT00250,HT4CWJT00250,11752,53,49,2480,1,9168
