ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,9760,49,516,26,5,9174
HT4BTJT00127,HT4BVJT00189,10393,41,904,18,10,9406
HT4CWJT00250,HT4CWJT00250,13661,22,141,4509,6,9020
HT4BVJT00003,HT4BVJT00003,9445,43,86,17,15,9318
HT4BVJT00189,HT4BVJT00189,9767,16,121,14,7,9641
HT4CWJT00250,HT4CWJT00250,9309,12,88,25,6,9199
HT4BTJT00127,HT4CWJT00250,11639,13,315,2165,11,9121
HT4CWJT00250,HT4CWJT00250,16295,26,115,6515,5,9638
HT4BVJT00003,HT4BVJT00003,9266,9,57,15,4,9180
HT4BVJT00189,HT4BVJT00189,9708,33,122,12,7,9573
HT4BVJT00189,HT4CWJT00250,18917,7,689,8456,6,9700
HT4CWJT00250,HT4BVJT00003,10165,62,710,12,5,9417
HT4BTJT00127,HT4BVJT00003,16349,11,754,6220,9,9407
HT4BTJT00127,HT4BTJT00127,9620,20,98,10,8,9508
HT4BTJT00127,HT4CWJT00250,16723,35,358,7000,8,9317
HT4CWJT00250,HT4BVJT00003,17590,8,367,7854,5,9363
HT4CWJT00250,HT4BVJT00189,10177,24,586,10,5,9585
HT4CWJT00250,HT4BTJT00127,9895,25,505,287,5,9093
HT4BTJT00127,HT4BVJT00189,17183,43,384,6741,4,9999
HT4CWJT00250,HT4CWJT00250,9744,29,94,26,4,9622
HT4BTJT00127,HT4CWJT00250,15448,8,614,5404,4,9468
HT4BVJT00189,HT4CWJT00250,24602,24,604,14517,6,9449
HT4BVJT00003,HT4BVJT00003,9758,9,96,15,6,9651
HT4BVJT00189,HT4BTJT00127,10745,50,1497,36,30,9142
HT4BVJT00189,HT4BTJT00127,20063,21,1683,9016,6,9344
HT4BVJT00189,HT4BVJT00003,16878,15,1076,6091,16,9725
HT4BVJT00189,HT4BVJT00189,10115,10,96,19,4,9987
HT4BVJT00189,HT4BVJT00189,18434,14,99,8168,5,10177
HT4BVJT00189,HT4BVJT00003,16856,12,674,6372,8,9831
HT4BVJT00003,HT4CWJT00250,16304,24,427,6463,4,9414
HT4BVJT00189,HT4BTJT00127,13230,21,376,3360,4,9473
HT4BVJT00003,HT4BVJT00003,17402,26,133,7573,5,9670
HT4CWJT00250,HT4CWJT00250,17628,29,103,7910,14,9536
HT4BVJT00003,HT4BTJT00127,15614,12,683,5483,4,9455
HT4BVJT00003,HT4BVJT00189,11161,41,548,2392,10,8194
HT4BVJT00003,HT4BVJT00003,17630,8,95,7854,23,9694
HT4BVJT00189,HT4BTJT00127,18166,9,417,8173,6,9503
HT4BVJT00189,HT4CWJT00250,15822,21,367,5721,9,9718
HT4BTJT00127,HT4CWJT00250,27873,13,620,17652,5,9568
HT4BVJT00189,HT4CWJT00250,18228,13,575,8127,5,9521
HT4BVJT00003,HT4CWJT00250,9869,11,581,64,14,9210
HT4BTJT00127,HT4BVJT00003,10049,12,559,18,7,9464
HT4CWJT00250,HT4CWJT00250,13891,59,166,4502,6,9181
HT4BVJT00003,HT4BVJT00003,11702,16,71,1929,4,9683
HT4BVJT00189,HT4BVJT00003,16198,49,735,7741,6,7679
HT4CWJT00250,HT4CWJT00250,9286,50,76,23,10,9161
HT4BTJT00127,HT4BVJT00003,11346,8,293,1045,5,9840
HT4CWJT00250,HT4BVJT00003,25696,53,821,14984,5,9911
HT4BVJT00003,HT4BVJT00003,15467,49,132,5771,4,9548
HT4BVJT00189,HT4BVJT00189,9625,25,132,13,4,9487
HT4BVJT00189,HT4BVJT00189,16642,11,101,6527,12,10030
HT4CWJT00250,HT4CWJT00250,9461,53,105,26,13,9295
HT4BTJT00127,HT4CWJT00250,15700,10,813,5389,6,9445
HT4BTJT00127,HT4BTJT00127,9455,29,89,25,8,9331
HT4BTJT00127,HT4BVJT00189,15278,11,542,4646,8,10022
HT4CWJT00250,HT4CWJT00250,16964,45,102,7336,3,9519
HT4CWJT00250,HT4CWJT00250,26251,24,86,16638,22,9523
HT4CWJT00250,HT4BVJT00003,11725,7,501,1532,4,9705
HT4BTJT00127,HT4BVJT00003,21264,7,393,10792,4,10012
HT4CWJT00250,HT4BVJT00003,19597,41,393,9014,7,10147
HT4BTJT00127,HT4CWJT00250,17196,56,389,7119,8,9668
HT4BVJT00189,HT4BVJT00189,10160,11,97,19,5,10058
HT4BVJT00003,HT4BTJT00127,9850,14,596,12,6,9249
HT4BVJT00189,HT4BVJT00189,17611,75,209,6648,8,10707
HT4BVJT00189,HT4BVJT00189,28169,65,210,17351,5,10558
HT4BVJT00189,HT4BTJT00127,16614,54,394,6843,4,9329
HT4BVJT00189,HT4CWJT00250,15457,29,397,5189,6,9748
HT4BVJT00189,HT4BVJT00003,12242,16,676,1538,6,10016
HT4BVJT00189,HT4BVJT00003,22292,67,545,11085,8,10589
HT4BVJT00003,HT4BTJT00127,12022,45,537,2014,6,9442
HT4BVJT00189,HT4CWJT00250,16760,28,485,6588,5,9678
HT4BVJT00003,HT4BTJT00127,16574,104,359,6573,4,9555
HT4CWJT00250,HT4BVJT00003,20466,13,318,9757,5,10406
HT4BVJT00003,HT4BVJT00189,15335,27,845,3877,6,10540
HT4BVJT00003,HT4CWJT00250,17439,17,354,7352,6,9687
HT4BVJT00003,HT4BTJT00127,16559,12,392,6701,5,9477
HT4BVJT00189,HT4BVJT00189,18860,30,198,8147,5,10512
HT4BVJT00189,HT4CWJT00250,18283,97,367,8143,7,9686
HT4BTJT00127,HT4BTJT00127,14032,41,123,4296,5,9584
HT4BVJT00189,HT4BVJT00189,18456,29,136,7837,12,10476
HT4BVJT00003,HT4CWJT00250,9943,43,679,27,5,9242
HT4BTJT00127,HT4BVJT00003,10224,34,751,19,8,9406
HT4CWJT00250,HT4CWJT00250,14366,54,188,4694,5,9403
HT4BVJT00003,HT4BVJT00003,11665,26,124,2084,5,9441
HT4BVJT00189,HT4CWJT00250,16196,41,800,5980,6,9365
HT4CWJT00250,HT4CWJT00250,17795,52,88,8057,4,9632
HT4BTJT00127,HT4BVJT00003,10173,14,610,26,6,9519
HT4CWJT00250,HT4CWJT00250,15729,10,105,5943,5,9701
HT4BVJT00003,HT4CWJT00250,25613,9,307,15107,5,10179
HT4BVJT00189,HT4BVJT00189,9722,42,92,18,6,9592
HT4BVJT00189,HT4BVJT00189,16846,54,129,6661,11,10027
HT4CWJT00250,HT4BVJT00003,10384,18,774,23,7,9595
