ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10067,35,56,36,3,9948
HT4BTJT00127,HT4BTJT00127,10324,12,96,31,3,10217
HT4BVJT00003,HT4BVJT00003,17910,28,27,8390,6,9459
HT4BVJT00003,HT4BVJT00003,26029,11,28,16321,6,9666
HT4CWJT00250,HT4CWJT00250,9831,23,31,35,3,9740
HT4BVJT00189,HT4BVJT00189,10629,16,56,30,6,10543
HT4BVJT00003,HT4BVJT00189,15209,18,239,4766,5,10180
HT4BVJT00003,HT4BVJT00189,23912,9,397,12972,4,10525
HT4CWJT00250,HT4BVJT00189,33913,19,152,23127,2,10608
HT4BTJT00127,HT4BTJT00127,9534,6,15,7,2,9505
HT4CWJT00250,HT4CWJT00250,9086,49,32,17,2,8990
HT4BVJT00003,HT4BVJT00003,10175,46,69,31,3,10037
HT4BVJT00189,HT4BTJT00127,10303,8,348,114,3,9867
HT4BVJT00189,HT4BTJT00127,17338,12,226,7011,4,10073
HT4CWJT00250,HT4CWJT00250,9385,44,18,15,2,9307
HT4BTJT00127,HT4CWJT00250,15724,10,329,5862,9,9514
HT4BTJT00127,HT4BVJT00003,10234,15,146,13,3,10049
HT4BTJT00127,HT4BVJT00003,16271,20,95,6298,3,9856
HT4CWJT00250,HT4CWJT00250,17015,48,24,7435,4,9511
HT4BVJT00003,HT4CWJT00250,26437,8,156,16750,3,9502
HT4CWJT00250,HT4CWJT00250,36022,12,56,26189,3,9796
HT4CWJT00250,HT4BTJT00127,11109,8,253,541,3,10304
HT4BTJT00127,HT4BTJT00127,21006,79,64,10359,2,10541
HT4BVJT00003,HT4BVJT00189,10801,21,405,9,3,10359
HT4CWJT00250,HT4BVJT00003,10642,7,242,22,11,10352
HT4BTJT00127,HT4BVJT00003,17519,27,136,6531,4,10823
HT4BVJT00189,HT4BTJT00127,16135,29,223,4929,2,10978
HT4BVJT00189,HT4BVJT00189,10381,23,47,29,5,10281
HT4BVJT00189,HT4BVJT00189,21218,46,50,10296,4,10859
HT4BVJT00189,HT4BVJT00003,24379,10,361,13076,5,10917
HT4BVJT00003,HT4BTJT00127,21160,8,227,9919,3,10993
HT4BVJT00003,HT4CWJT00250,15765,22,296,5546,2,9926
HT4BVJT00189,HT4CWJT00250,25873,43,237,15381,2,10202
HT4BVJT00189,HT4BVJT00003,26164,17,261,14679,3,11241
HT4BVJT00189,HT4BVJT00003,37373,7,298,25460,4,11625
HT4BVJT00003,HT4BVJT00189,20969,16,182,9844,3,10925
HT4BVJT00189,HT4BTJT00127,18936,29,282,7174,3,11476
HT4BVJT00189,HT4CWJT00250,22130,10,217,13520,5,8373
HT4CWJT00250,HT4BVJT00189,20585,7,200,9302,4,11061
HT4BVJT00189,HT4BTJT00127,20113,10,192,7924,3,11975
HT4BVJT00189,HT4CWJT00250,22689,24,169,11818,3,10669
HT4BVJT00189,HT4BVJT00189,20785,24,89,9850,3,10859
HT4BVJT00189,HT4CWJT00250,29683,105,176,18514,3,10867
HT4BVJT00189,HT4CWJT00250,40521,51,209,29082,4,11177
HT4BVJT00189,HT4BTJT00127,24802,18,302,12192,4,12308
HT4BTJT00127,HT4BVJT00003,18582,41,217,6409,5,11948
HT4BVJT00003,HT4BVJT00003,10071,24,69,30,2,9935
HT4BVJT00003,HT4BVJT00003,17944,39,56,8378,2,9491
HT4BTJT00127,HT4BTJT00127,10395,61,196,162,2,10109
HT4BVJT00003,HT4BVJT00003,26183,8,21,16350,3,9801
HT4CWJT00250,HT4CWJT00250,9940,16,61,25,2,9868
HT4BVJT00189,HT4BVJT00189,10719,44,47,21,3,10625
HT4BVJT00003,HT4BVJT00189,15430,43,183,4917,4,10265
HT4BVJT00003,HT4BVJT00189,24154,7,410,13173,3,10553
HT4CWJT00250,HT4BVJT00189,34056,56,195,23260,17,10538
HT4BTJT00127,HT4BVJT00003,12107,26,208,1630,2,10248
HT4CWJT00250,HT4BVJT00003,17326,14,297,6854,3,10183
HT4BVJT00003,HT4BTJT00127,9652,43,215,22,5,9358
HT4BVJT00189,HT4CWJT00250,9638,10,384,17,5,9177
HT4BVJT00189,HT4CWJT00250,15883,14,235,6286,7,9337
HT4CWJT00250,HT4BVJT00003,18341,19,160,7716,2,10444
HT4BTJT00127,HT4BTJT00127,9618,11,30,28,3,9545
HT4BTJT00127,HT4BTJT00127,17811,37,65,7451,2,10270
HT4BTJT00127,HT4CWJT00250,13816,7,123,4316,1,9407
HT4CWJT00250,HT4BVJT00003,17448,8,250,6687,4,10547
HT4BVJT00003,HT4BVJT00003,28452,88,42,17211,4,11110
HT4CWJT00250,HT4BVJT00003,39726,7,200,28056,4,11461
HT4CWJT00250,HT4CWJT00250,18233,28,31,8692,3,9479
HT4BTJT00127,HT4BTJT00127,16337,25,95,8346,3,7905
HT4BVJT00003,HT4BVJT00189,10742,14,318,18,4,10378
HT4CWJT00250,HT4CWJT00250,15695,16,55,5933,6,9721
HT4BTJT00127,HT4BTJT00127,11190,7,26,673,2,10498
HT4BVJT00189,HT4BVJT00189,10814,53,68,29,4,10697
HT4BVJT00189,HT4CWJT00250,28065,46,347,17704,4,9988
HT4BVJT00189,HT4CWJT00250,18011,20,235,7946,2,9790
HT4BVJT00189,HT4BTJT00127,17976,20,371,6674,4,10910
HT4BVJT00003,HT4BVJT00189,15822,58,289,4480,3,10987
HT4BVJT00003,HT4BVJT00003,21198,60,107,9407,4,11679
HT4BVJT00189,HT4BVJT00189,21565,21,13,10473,3,11053
HT4BVJT00189,HT4BTJT00127,19452,47,300,8203,4,10932
HT4BVJT00189,HT4BTJT00127,30228,54,266,18698,4,11205
HT4BVJT00003,HT4CWJT00250,27309,18,226,16587,4,10467
HT4BVJT00189,HT4BVJT00189,24378,16,92,13177,3,11119
HT4BVJT00189,HT4BVJT00003,21126,56,372,8585,6,12145
HT4CWJT00250,HT4CWJT00250,26359,9,31,15736,2,10582
