ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10069,62,10,14,1,9971
HT4BTJT00127,HT4BTJT00127,10637,41,115,24,1,10459
HT4BVJT00003,HT4BVJT00003,17979,32,11,8416,3,9516
HT4CWJT00250,HT4CWJT00250,9829,19,26,25,3,9757
HT4BVJT00189,HT4BVJT00189,10546,51,46,13,2,10464
HT4CWJT00250,HT4BVJT00189,12544,23,72,2392,3,10053
HT4BTJT00127,HT4CWJT00250,9150,41,98,29,5,8968
HT4CWJT00250,HT4CWJT00250,13453,14,8,4207,1,9226
HT4BVJT00189,HT4BVJT00003,9604,45,128,20,6,9392
HT4BVJT00189,HT4CWJT00250,15699,37,73,6159,2,9420
HT4CWJT00250,HT4BVJT00003,14034,19,153,4097,4,9749
HT4BVJT00003,HT4BVJT00189,9896,10,68,14,2,9795
HT4BTJT00127,HT4BVJT00189,17691,49,53,7275,1,10292
HT4BTJT00127,HT4CWJT00250,17594,9,65,7990,1,9524
HT4BVJT00189,HT4BVJT00003,17044,21,80,7249,2,9690
HT4BVJT00189,HT4BVJT00189,20654,13,10,10139,1,10492
HT4CWJT00250,HT4BTJT00127,9662,17,73,18,4,9527
HT4CWJT00250,HT4BTJT00127,19215,8,44,9303,2,9848
HT4CWJT00250,HT4CWJT00250,18276,42,12,8618,2,9604
HT4BVJT00189,HT4BVJT00003,17896,26,51,7972,2,9841
HT4BVJT00003,HT4CWJT00250,24951,8,94,15161,2,9686
HT4BVJT00003,HT4BTJT00127,18284,31,67,8454,2,9641
HT4BVJT00189,HT4BVJT00189,18901,12,16,8200,3,10665
HT4BVJT00189,HT4BVJT00003,18728,54,71,8429,2,10115
HT4BVJT00189,HT4CWJT00250,26558,9,65,16589,1,9882
HT4CWJT00250,HT4BVJT00003,27696,7,57,17102,1,10505
HT4BTJT00127,HT4BTJT00127,20182,29,17,10299,2,9837
HT4BVJT00189,HT4BTJT00127,29145,9,123,18800,2,10166
HT4BVJT00189,HT4BVJT00189,17436,12,12,6757,2,10654
HT4BVJT00003,HT4BVJT00189,25719,27,35,17155,2,8474
HT4BTJT00127,HT4CWJT00250,26692,10,39,16300,1,10324
HT4BVJT00189,HT4CWJT00250,37247,16,65,26571,1,10584
