ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10107,49,108,22,5,9955
HT4CWJT00250,HT4CWJT00250,9844,9,106,38,4,9714
HT4BVJT00003,HT4BVJT00003,10101,68,89,453,4,9520
HT4BVJT00189,HT4BVJT00189,10796,10,117,23,5,10658
HT4CWJT00250,HT4BVJT00189,13013,45,465,2289,4,10262
HT4CWJT00250,HT4CWJT00250,9290,8,132,28,5,9148
HT4BVJT00003,HT4CWJT00250,18278,10,581,8409,18,9245
HT4BVJT00189,HT4BVJT00003,10023,12,492,24,9,9484
HT4BVJT00189,HT4BVJT00003,16593,41,625,6336,16,9601
HT4CWJT00250,HT4BVJT00189,10490,6,643,14,5,9999
HT4CWJT00250,HT4CWJT00250,9525,12,89,19,4,9402
HT4CWJT00250,HT4CWJT00250,18799,6,32,9237,7,9516
HT4CWJT00250,HT4BVJT00003,10284,33,620,20,10,9636
HT4CWJT00250,HT4CWJT00250,13729,12,123,3895,5,9686
HT4BVJT00189,HT4BVJT00003,11041,8,677,18,8,10537
HT4BVJT00003,HT4CWJT00250,18406,66,478,7775,16,10067
HT4BVJT00189,HT4BVJT00189,10382,8,122,14,4,10269
HT4BVJT00189,HT4BVJT00189,21301,23,129,10213,6,10924
HT4BVJT00189,HT4BVJT00003,18850,7,532,6870,5,11477
HT4BVJT00189,HT4CWJT00250,18786,8,872,7408,5,10523
HT4BVJT00189,HT4BVJT00003,21577,26,506,8966,8,12082
HT4BVJT00189,HT4BVJT00003,32706,8,426,20591,9,11620
HT4BVJT00003,HT4BVJT00189,17910,22,708,6131,6,11023
HT4BVJT00189,HT4CWJT00250,21229,53,495,9954,6,10739
HT4BVJT00003,HT4CWJT00250,28513,10,418,17607,5,10486
HT4CWJT00250,HT4BVJT00189,20366,14,473,9166,5,10745
HT4BVJT00003,HT4BVJT00003,31499,19,138,19515,5,11854
HT4BVJT00003,HT4BVJT00189,28516,9,331,17342,4,10723
HT4BVJT00003,HT4CWJT00250,29986,16,446,18586,6,10937
HT4BVJT00189,HT4CWJT00250,39914,15,492,28098,13,11245
HT4BVJT00189,HT4BVJT00189,30300,25,139,19399,7,10774
HT4BVJT00189,HT4BVJT00003,25987,43,334,13256,5,12306
HT4BVJT00003,HT4BVJT00003,11784,9,90,23,7,11673
HT4BTJT00127,HT4BTJT00127,10557,13,163,24,7,10378
HT4CWJT00250,HT4CWJT00250,10171,14,123,37,4,10025
HT4BVJT00003,HT4BVJT00003,12031,22,119,2211,5,9707
HT4BVJT00189,HT4BVJT00189,11162,17,157,38,7,10958
HT4CWJT00250,HT4BVJT00189,13391,59,561,2514,3,10300
HT4BTJT00127,HT4CWJT00250,10149,11,513,33,5,9573
HT4CWJT00250,HT4CWJT00250,14810,21,112,5101,6,9604
HT4BVJT00003,HT4CWJT00250,24367,15,699,13812,4,9839
HT4BVJT00189,HT4BVJT00189,10529,51,79,27,5,10399
HT4BVJT00189,HT4BVJT00189,18428,7,104,7430,9,10907
HT4CWJT00250,HT4BTJT00127,11846,16,673,16,7,11165
HT4BTJT00127,HT4BTJT00127,18383,24,176,8390,19,9816
HT4BTJT00127,HT4BVJT00003,10043,17,598,26,5,9439
HT4BTJT00127,HT4BVJT00003,15131,7,485,4880,6,9737
HT4CWJT00250,HT4CWJT00250,13433,44,127,3617,4,9675
HT4CWJT00250,HT4CWJT00250,23306,22,75,13081,6,10157
HT4CWJT00250,HT4BVJT00189,12480,6,490,1453,11,10537
HT4BTJT00127,HT4BVJT00189,23300,10,371,11586,3,11334
HT4CWJT00250,HT4CWJT00250,19129,83,166,8289,7,10605
HT4BTJT00127,HT4BVJT00003,10211,26,561,32,6,9647
HT4BVJT00189,HT4BTJT00127,10608,10,655,49,13,9857
HT4BVJT00003,HT4BVJT00003,19038,14,176,8509,4,10330
HT4BVJT00189,HT4BTJT00127,16940,39,598,6632,6,9673
HT4BVJT00189,HT4BTJT00127,26684,55,839,16032,7,9785
HT4BVJT00189,HT4BTJT00127,36468,53,474,25690,5,10244
HT4BVJT00189,HT4BVJT00189,10994,56,88,12,5,10868
HT4BVJT00189,HT4CWJT00250,12777,7,495,1232,8,11009
HT4BVJT00189,HT4BVJT00003,17082,47,952,5573,6,10501
HT4BVJT00003,HT4CWJT00250,19766,16,729,7391,5,11657
HT4BVJT00189,HT4BVJT00189,13754,28,124,2597,8,11010
HT4BVJT00003,HT4BVJT00003,18851,61,157,7723,5,10936
HT4CWJT00250,HT4BVJT00189,18454,14,336,7039,10,11054
HT4BVJT00003,HT4CWJT00250,22181,58,1028,9731,5,11353
HT4BVJT00003,HT4CWJT00250,32401,17,535,19787,4,12086
HT4BVJT00003,HT4BTJT00127,18571,43,773,7081,5,10719
HT4BVJT00189,HT4BVJT00003,19026,8,580,7378,6,11016
HT4BVJT00189,HT4BVJT00189,17941,17,106,6831,6,11017
HT4BTJT00127,HT4BTJT00127,15269,16,151,6441,5,8673
HT4BVJT00189,HT4BTJT00127,26260,8,374,14778,13,11098
HT4BVJT00003,HT4BVJT00003,10150,11,89,21,5,10056
HT4BTJT00127,HT4BTJT00127,10546,14,176,34,6,10346
HT4CWJT00250,HT4CWJT00250,10319,9,130,45,5,10158
HT4BVJT00003,HT4BVJT00003,10781,26,80,575,5,10096
HT4BVJT00189,HT4BVJT00189,12107,31,112,19,7,11976
HT4CWJT00250,HT4BVJT00189,12670,32,676,3415,5,8589
HT4BTJT00127,HT4CWJT00250,9941,9,753,22,5,9135
HT4CWJT00250,HT4CWJT00250,14780,8,104,4903,4,9802
HT4BVJT00003,HT4BVJT00003,9711,15,91,10,4,9625
HT4BVJT00189,HT4BVJT00189,10505,15,104,19,8,10384
HT4BVJT00189,HT4CWJT00250,17441,48,855,6566,14,9929
HT4CWJT00250,HT4BVJT00003,10870,9,820,41,7,10020
HT4BTJT00127,HT4BVJT00003,17491,12,701,6783,6,10040
HT4BTJT00127,HT4BTJT00127,11041,44,115,14,5,10900
HT4BTJT00127,HT4CWJT00250,15641,17,532,5562,4,9532
HT4CWJT00250,HT4BTJT00127,15092,48,676,4370,9,10012
HT4CWJT00250,HT4BTJT00127,24887,17,574,14211,5,10076
HT4CWJT00250,HT4BVJT00003,16637,29,312,6256,5,10027
HT4BTJT00127,HT4BVJT00189,10843,23,887,26,8,9931
HT4CWJT00250,HT4CWJT00250,10254,8,97,29,9,10104
HT4BTJT00127,HT4CWJT00250,16333,31,484,5859,6,9958
HT4BVJT00189,HT4CWJT00250,26703,22,1013,15003,6,10683
HT4BVJT00003,HT4BVJT00003,11178,7,90,15,9,11087
HT4BVJT00189,HT4BVJT00003,20472,30,1238,7845,5,11318
HT4BVJT00189,HT4BVJT00003,32208,44,1422,18985,6,11773
HT4BVJT00189,HT4BVJT00189,10697,9,51,13,7,10616
HT4BVJT00189,HT4BVJT00189,13826,45,104,3110,4,10615
HT4BVJT00189,HT4BTJT00127,8130,52,587,23,8,7461
HT4BVJT00189,HT4BTJT00127,17599,41,511,7084,6,9982
