ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9571,65,11,12,1,9474
HT4BTJT00127,HT4BTJT00127,10150,63,24,24,3,10040
HT4BVJT00003,HT4BVJT00003,17066,60,23,7800,1,9186
HT4CWJT00250,HT4CWJT00250,10100,19,28,18,2,10036
HT4BVJT00189,HT4BVJT00189,9920,20,20,20,2,9854
HT4CWJT00250,HT4BVJT00189,11551,24,165,1754,2,9551
HT4BTJT00127,HT4BVJT00003,8989,12,81,23,8,8789
HT4CWJT00250,HT4BVJT00003,12881,9,61,3881,9,8919
HT4BVJT00189,HT4BVJT00189,9620,19,53,9,2,9536
HT4BVJT00189,HT4BVJT00003,14608,8,149,5514,2,8931
HT4CWJT00250,HT4BVJT00003,21450,30,131,12169,3,9108
HT4BVJT00003,HT4BVJT00003,29844,17,44,20577,2,9205
HT4BTJT00127,HT4BVJT00189,10863,36,84,913,4,9828
HT4BTJT00127,HT4BTJT00127,8872,17,26,10,4,8824
HT4BVJT00189,HT4CWJT00250,8895,25,132,19,4,8681
HT4BVJT00189,HT4BVJT00189,13201,8,7,3283,2,9904
HT4CWJT00250,HT4BVJT00189,22828,13,143,12434,2,9997
HT4CWJT00250,HT4BVJT00189,32513,13,49,22254,2,10194
HT4CWJT00250,HT4CWJT00250,9990,11,46,1318,1,8614
HT4BVJT00189,HT4BTJT00127,9764,62,149,27,3,9516
HT4BVJT00003,HT4BTJT00127,17423,53,85,8017,1,9270
HT4BVJT00003,HT4BVJT00003,17351,21,17,8196,2,9116
HT4BVJT00189,HT4BVJT00003,25849,10,101,16487,3,9203
HT4BVJT00189,HT4BVJT00003,33163,29,99,23769,2,9260
HT4BVJT00189,HT4BVJT00003,41979,58,56,32529,2,9336
HT4CWJT00250,HT4BVJT00003,50427,45,61,40942,1,9375
HT4BTJT00127,HT4CWJT00250,8826,52,150,20,4,8631
HT4BVJT00189,HT4CWJT00250,14417,17,131,7327,2,6838
HT4BVJT00189,HT4BTJT00127,9494,29,171,18,4,9291
HT4BVJT00003,HT4BTJT00127,18737,11,28,9248,2,9448
HT4BTJT00127,HT4BTJT00127,28158,9,45,18478,1,9625
HT4BVJT00189,HT4BTJT00127,38055,27,67,27988,2,9963
HT4BVJT00189,HT4BTJT00127,45331,12,90,34901,1,10326
HT4BVJT00189,HT4BVJT00189,12508,57,11,2299,2,10141
HT4BVJT00189,HT4BVJT00189,21895,9,59,11598,5,10222
HT4BVJT00189,HT4CWJT00250,11794,19,83,2685,2,8967
HT4BTJT00127,HT4CWJT00250,12572,9,150,3287,1,9115
HT4BTJT00127,HT4CWJT00250,21445,11,27,12345,1,9063
HT4BTJT00127,HT4BVJT00189,21674,57,151,11369,3,10093
HT4BVJT00189,HT4CWJT00250,26692,20,192,17441,2,9034
HT4BVJT00003,HT4CWJT00250,35469,11,51,26224,1,9150
HT4CWJT00250,HT4CWJT00250,43747,15,51,34427,1,9254
HT4BVJT00189,HT4BVJT00003,27465,23,129,17837,3,9469
HT4BVJT00003,HT4BVJT00189,25382,14,117,15091,2,10117
HT4BVJT00189,HT4BTJT00127,27862,29,96,17305,3,10379
HT4BVJT00003,HT4BVJT00003,9555,28,25,29,2,9468
HT4BTJT00127,HT4BTJT00127,10174,17,24,23,2,10113
HT4BVJT00003,HT4BVJT00003,16991,16,14,7911,2,9051
HT4CWJT00250,HT4CWJT00250,10080,19,40,32,5,9989
HT4BVJT00189,HT4BVJT00189,10073,38,30,36,5,9962
HT4CWJT00250,HT4BVJT00189,11383,60,152,1741,3,9420
HT4BTJT00127,HT4BVJT00003,8956,20,79,14,2,8825
HT4CWJT00250,HT4BVJT00003,12997,48,55,3834,1,9050
HT4BVJT00189,HT4BVJT00003,17986,27,91,8697,2,9137
HT4BVJT00189,HT4BVJT00189,9379,17,52,8,2,9297
HT4CWJT00250,HT4CWJT00250,8959,58,47,8,1,8843
HT4BVJT00003,HT4BVJT00189,16186,17,140,6286,1,9654
HT4BTJT00127,HT4BTJT00127,9504,23,54,12,2,9410
HT4BTJT00127,HT4BVJT00003,16699,79,62,7198,2,9277
HT4BVJT00189,HT4BVJT00003,24634,9,149,15134,1,9339
HT4BVJT00189,HT4CWJT00250,8793,12,71,25,4,8672
HT4CWJT00250,HT4CWJT00250,16953,12,9,8111,1,8822
HT4CWJT00250,HT4CWJT00250,25497,13,27,16530,2,8934
HT4CWJT00250,HT4CWJT00250,32102,12,9,23059,13,9011
HT4BVJT00189,HT4BVJT00189,11009,8,46,1109,1,9847
HT4BVJT00003,HT4BVJT00189,19335,15,144,9176,3,9938
HT4BVJT00003,HT4BTJT00127,9313,8,151,21,2,9081
HT4BVJT00189,HT4BTJT00127,17817,13,75,8469,2,9238
HT4BVJT00189,HT4BTJT00127,25241,59,83,15803,1,9294
HT4BVJT00189,HT4BVJT00003,13185,50,31,5684,1,7387
HT4CWJT00250,HT4BVJT00003,21652,6,82,12113,3,9374
HT4BTJT00127,HT4BVJT00003,25255,16,129,17698,1,7416
HT4BVJT00189,HT4BVJT00189,15182,9,51,5089,1,10032
HT4BVJT00189,HT4CWJT00250,20034,8,99,10928,6,8988
HT4BVJT00003,HT4CWJT00250,29035,9,28,19785,2,9188
HT4BTJT00127,HT4BTJT00127,23998,14,44,14479,1,9463
HT4BVJT00189,HT4BTJT00127,33433,15,73,23854,1,9488
HT4BVJT00189,HT4BVJT00189,17838,22,53,7752,3,10010
HT4BVJT00189,HT4BVJT00189,24730,9,13,14736,4,9968
HT4BVJT00189,HT4BVJT00189,33960,9,14,23889,2,10049
HT4BVJT00189,HT4BVJT00189,43577,8,48,33495,2,10027
HT4BTJT00127,HT4BVJT00003,13823,55,68,4002,4,9685
HT4BTJT00127,HT4BVJT00003,23630,34,24,13577,2,9947
HT4BTJT00127,HT4BVJT00003,32454,11,74,21975,1,10392
HT4BVJT00189,HT4CWJT00250,18410,46,90,9047,1,9209
HT4BVJT00003,HT4CWJT00250,27498,8,44,17935,2,9504
HT4CWJT00250,HT4CWJT00250,36262,15,15,26434,3,9796
HT4BVJT00189,HT4CWJT00250,44362,29,139,33971,4,10109
