ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9913,22,113,17,4,9766
HT4BTJT00127,HT4BTJT00127,10175,15,195,31,7,9954
HT4CWJT00250,HT4CWJT00250,9701,49,127,37,6,9519
HT4BVJT00003,HT4BVJT00003,9582,14,116,351,17,9121
HT4BVJT00189,HT4BVJT00189,10525,14,171,30,6,10325
HT4CWJT00250,HT4BVJT00189,12302,16,516,1932,3,9824
HT4BTJT00127,HT4BTJT00127,9179,12,107,18,4,9032
HT4CWJT00250,HT4CWJT00250,9163,11,127,19,5,9036
HT4BVJT00003,HT4BVJT00003,9251,54,146,15,5,9067
HT4BVJT00189,HT4BVJT00189,9947,22,105,12,4,9838
HT4BVJT00189,HT4CWJT00250,11052,10,917,1134,6,8910
HT4CWJT00250,HT4CWJT00250,18057,8,146,8544,6,9391
HT4BTJT00127,HT4BTJT00127,9333,11,102,14,6,9239
HT4BTJT00127,HT4BTJT00127,17296,25,191,7146,9,9965
HT4BTJT00127,HT4BTJT00127,22938,13,133,13290,16,9523
HT4CWJT00250,HT4BVJT00189,10434,6,657,23,12,9684
HT4CWJT00250,HT4BVJT00189,20433,20,456,9612,3,10333
HT4CWJT00250,HT4CWJT00250,12868,8,100,3683,3,9111
HT4BTJT00127,HT4CWJT00250,21579,32,428,11889,6,9199
HT4CWJT00250,HT4BVJT00189,16077,53,554,4946,5,10470
HT4BTJT00127,HT4BTJT00127,11472,15,127,1735,7,9618
HT4BVJT00189,HT4BVJT00003,9427,13,521,17,6,8896
HT4BVJT00003,HT4BVJT00003,17289,47,161,7895,22,9168
HT4BVJT00189,HT4BVJT00189,19279,26,190,8456,4,10618
HT4BVJT00189,HT4BVJT00189,29591,62,224,18984,6,10349
HT4BVJT00189,HT4BVJT00189,39592,19,145,28934,13,10503
HT4BVJT00189,HT4BTJT00127,10749,20,492,17,6,10152
HT4BVJT00189,HT4BTJT00127,18901,13,610,8167,6,10106
HT4BVJT00189,HT4BTJT00127,29021,31,551,17812,5,10652
HT4BVJT00003,HT4BVJT00003,10566,13,130,768,5,9685
HT4BVJT00189,HT4BVJT00003,18345,22,386,8315,9,9632
HT4BVJT00003,HT4BVJT00003,24520,47,146,14879,4,9484
HT4CWJT00250,HT4CWJT00250,9257,16,64,21,3,9153
HT4BVJT00003,HT4CWJT00250,17817,19,758,7942,11,9072
HT4BVJT00003,HT4CWJT00250,25085,7,414,15416,6,9276
HT4BVJT00003,HT4BVJT00003,24689,46,180,14912,8,9582
HT4BVJT00189,HT4BVJT00189,20123,26,214,9433,7,10488
HT4BVJT00189,HT4BTJT00127,16014,12,349,4901,8,10782
HT4BTJT00127,HT4BTJT00127,19903,19,171,8933,8,10810
HT4BVJT00189,HT4BTJT00127,31355,58,286,19398,5,11534
HT4BVJT00003,HT4BVJT00003,9947,16,108,17,4,9827
HT4BTJT00127,HT4BTJT00127,11089,51,708,41,6,10284
HT4CWJT00250,HT4CWJT00250,7747,14,155,34,7,7576
HT4BVJT00003,HT4BVJT00003,9706,55,146,328,17,9194
HT4BVJT00189,HT4BVJT00189,10213,25,144,25,11,10035
HT4CWJT00250,HT4BVJT00189,9818,12,443,1758,6,7602
HT4BTJT00127,HT4CWJT00250,9374,50,488,58,9,8790
HT4CWJT00250,HT4CWJT00250,13412,13,151,4297,4,8983
HT4BVJT00003,HT4BVJT00189,10655,17,790,13,6,9841
HT4BVJT00189,HT4BVJT00189,16719,13,57,6708,4,9937
HT4BVJT00189,HT4BVJT00003,9686,11,685,23,6,8986
HT4CWJT00250,HT4CWJT00250,13184,21,98,3830,5,9227
HT4BTJT00127,HT4BTJT00127,9333,11,105,12,5,9223
HT4BTJT00127,HT4BTJT00127,16826,19,210,7135,4,9497
HT4BTJT00127,HT4CWJT00250,13214,19,397,3620,8,9192
