ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00007,9410,37,112,43,4,9221
HT4BVJT00189,HT4BVJT00007,15471,92,212,5982,4,9204
HT4BVJT00007,HT4BVJT00003,9541,21,274,19,4,9210
HT4BVJT00007,HT4BVJT00003,15649,16,287,5985,3,9396
HT4BTJT00127,HT4BVJT00007,17178,14,141,7514,2,9510
HT4BVJT00007,HT4BVJT00003,15714,6,177,6136,2,9395
HT4BVJT00003,HT4BVJT00003,24964,16,29,15523,2,9393
HT4BVJT00003,HT4BVJT00003,34278,16,43,24786,7,9436
HT4BVJT00189,HT4BVJT00189,9536,11,53,9,3,9496
HT4BVJT00007,HT4BVJT00007,17825,60,41,8274,5,9452
HT4BVJT00007,HT4BTJT00127,9813,50,382,9,5,9366
HT4BVJT00003,HT4BTJT00127,27420,6,296,17994,3,9124
HT4BTJT00127,HT4BTJT00127,18131,8,72,8993,3,9055
HT4BVJT00189,HT4BVJT00189,15379,18,54,5610,11,9718
HT4BTJT00127,HT4BVJT00007,23875,57,246,14074,4,9524
HT4BVJT00003,HT4BVJT00189,23551,22,256,13376,4,9893
HT4BTJT00127,HT4BVJT00003,35896,7,296,25885,3,9732
HT4BVJT00007,HT4BVJT00007,26075,24,67,16542,2,9475
HT4BTJT00127,HT4BTJT00127,24624,9,63,14983,2,9584
HT4BVJT00007,HT4BVJT00189,21402,55,230,10958,2,10154
HT4BVJT00003,HT4BVJT00007,24127,46,207,14148,2,9727
HT4BTJT00127,HT4BTJT00127,24650,48,67,14912,3,9657
HT4BVJT00189,HT4BVJT00189,17853,30,65,7488,2,10297
HT4BVJT00189,HT4BTJT00127,25847,8,325,16123,3,9421
HT4BVJT00189,HT4BVJT00003,17586,13,405,7609,3,9547
HT4BTJT00127,HT4BVJT00003,25244,28,259,15109,3,9873
HT4BVJT00189,HT4BVJT00007,19050,49,179,9152,2,9678
HT4BTJT00127,HT4BVJT00007,28161,10,202,18228,2,9724
HT4BVJT00189,HT4BVJT00189,18102,33,59,7767,4,10271
HT4BVJT00007,HT4BTJT00127,22341,21,327,12487,3,9495
HT4BVJT00007,HT4BVJT00007,28553,21,36,18654,2,9846
HT4BVJT00189,HT4BVJT00189,17972,11,16,7677,6,10264
HT4BVJT00007,HT4BVJT00003,18473,8,310,8429,3,9747
HT4BTJT00127,HT4BTJT00127,24413,47,30,14705,3,9640
HT4BVJT00189,HT4BVJT00003,27640,9,276,17420,5,9891
HT4BVJT00007,HT4BVJT00003,37324,13,145,26981,2,10188
HT4BVJT00189,HT4BVJT00189,18644,9,21,8138,4,10480
HT4BVJT00007,HT4BTJT00127,21459,6,204,11803,3,9476
HT4BVJT00007,HT4BVJT00007,18734,9,73,8829,2,9869
HT4BVJT00189,HT4BVJT00007,28045,14,129,17585,1,10321
