ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,2812,25,860,4,0,1920
HT4BVJT00189,compute-europe-west-1,2518,29,530,32,0,1927
HT4BVJT00007,HT4BVJT00007,9049,48,23,13,2,8964
HT4BVJT00007,HT4BVJT00007,14875,6,42,5733,1,9092
HT4BVJT00007,HT4BTJT00127,9168,7,99,10,2,9042
HT4BTJT00127,HT4BTJT00127,17462,28,21,8390,2,9021
HT4BVJT00007,HT4BVJT00003,9338,15,179,40,7,9096
HT4BVJT00007,HT4BVJT00007,14815,7,13,5520,2,9275
HT4BVJT00003,compute-europe-west-1,2774,7,841,4,1,1922
HT4BVJT00003,compute-europe-west-1,4564,8,871,1767,0,1913
HT4BVJT00189,compute-europe-west-1,5277,33,726,2605,0,1905
HT4BVJT00003,compute-europe-west-1,4064,8,681,1453,0,1918
HT4BVJT00189,compute-europe-west-1,5220,19,713,2605,0,1903
HT4BVJT00003,compute-europe-west-1,5431,53,513,2943,0,1908
HT4BTJT00127,HT4BTJT00127,9117,8,7,5,2,9093
HT4BTJT00127,HT4BVJT00007,9500,26,143,34,2,9277
HT4BTJT00127,HT4BVJT00007,16495,9,59,6996,1,9427
HT4BVJT00003,compute-europe-west-1,2705,51,721,4,0,1922
HT4BTJT00127,HT4BVJT00007,17289,12,91,7695,2,9485
HT4BVJT00007,HT4BTJT00127,9411,43,49,6,2,9307
HT4BVJT00007,HT4BTJT00127,17143,6,113,7401,1,9623
HT4BVJT00189,compute-europe-west-1,3137,25,1199,3,0,1909
HT4BVJT00189,compute-europe-west-1,3397,27,865,579,0,1918
HT4BVJT00007,HT4BVJT00007,18220,19,52,8491,1,9656
HT4BVJT00189,compute-europe-west-1,3879,17,862,1087,1,1908
HT4BTJT00127,HT4BVJT00003,9176,8,57,41,23,9048
HT4BVJT00007,HT4BVJT00003,17915,19,76,8684,2,9129
HT4BVJT00189,compute-europe-west-1,4286,13,693,1682,0,1898
HT4BVJT00189,compute-europe-west-1,2658,26,523,215,0,1880
HT4BTJT00127,HT4BVJT00007,15104,16,97,5427,1,9555
HT4BVJT00007,HT4BTJT00127,9490,12,78,19,4,9401
HT4BVJT00007,HT4BTJT00127,26916,16,99,17260,2,9493
HT4BTJT00127,HT4BTJT00127,17334,44,15,7806,1,9474
HT4BVJT00189,compute-europe-west-1,3108,11,1196,2,1,1889
HT4BVJT00007,HT4BVJT00007,18124,22,61,8410,1,9666
HT4BVJT00007,HT4BVJT00003,9324,12,66,9,2,9223
HT4BVJT00189,compute-europe-west-1,3317,45,1360,3,0,1909
HT4BVJT00189,compute-europe-west-1,3857,80,874,992,0,1913
HT4BVJT00189,compute-europe-west-1,3176,58,1211,2,1,1896
HT4BTJT00127,HT4BVJT00003,9640,11,116,50,5,9411
HT4BVJT00007,HT4BVJT00003,16264,51,53,6643,1,9500
HT4BVJT00189,compute-europe-west-1,2830,25,859,2,0,1934
HT4BVJT00003,compute-europe-west-1,2614,27,670,2,0,1915
HT4BVJT00007,HT4BVJT00007,10613,53,11,852,1,9697
HT4BVJT00003,compute-europe-west-1,2829,23,864,3,0,1941
HT4BVJT00007,HT4BVJT00003,13173,9,50,3539,1,9564
HT4BVJT00003,compute-europe-west-1,2786,51,834,2,0,1898
HT4BVJT00003,compute-europe-west-1,2798,46,836,3,0,1906
HT4BVJT00007,HT4BVJT00003,9739,12,128,10,2,9556
HT4BVJT00003,compute-europe-west-1,2619,7,677,45,0,1889
HT4BVJT00007,HT4BVJT00003,16736,10,80,6981,1,9659
HT4BVJT00189,compute-europe-west-1,2619,16,688,2,0,1915
HT4BTJT00127,HT4BTJT00127,9179,20,57,10,2,9088
HT4BVJT00003,compute-europe-west-1,3081,53,1035,3,0,1984
HT4BVJT00189,compute-europe-west-1,2560,63,530,3,0,1966
HT4BVJT00007,HT4BVJT00007,9238,40,56,14,2,9127
HT4BVJT00007,HT4BVJT00007,15244,7,51,5879,1,9312
HT4BVJT00007,HT4BVJT00189,9871,6,101,11,2,9743
HT4BTJT00127,compute-europe-west-1,3124,49,1101,5,0,1957
HT4BVJT00007,HT4BVJT00189,18867,8,88,8749,1,10018
HT4BVJT00007,HT4BVJT00007,15332,6,12,5887,2,9426
HT4BVJT00003,compute-europe-west-1,3223,31,1206,3,0,1973
HT4BVJT00003,compute-europe-west-1,5065,43,1611,1462,0,1963
HT4BVJT00189,compute-europe-west-1,5869,18,718,3184,0,1948
HT4BVJT00003,compute-europe-west-1,4650,10,697,1978,0,1962
HT4BVJT00189,compute-europe-west-1,5864,26,681,3206,0,1948
HT4BVJT00003,compute-europe-west-1,6106,43,520,3566,0,1966
HT4BTJT00127,compute-europe-west-1,3328,56,1201,4,1,1957
HT4BTJT00127,compute-europe-west-1,3997,27,2088,135,0,1963
HT4BTJT00127,compute-europe-west-1,4546,51,2515,3,0,1976
HT4BVJT00003,compute-europe-west-1,3043,51,1035,3,0,1950
HT4BTJT00127,compute-europe-west-1,3360,53,1349,2,0,1948
HT4BVJT00007,HT4BVJT00007,9397,54,57,14,4,9269
HT4BVJT00007,HT4BVJT00007,16860,9,55,7463,1,9342
HT4BVJT00189,compute-europe-west-1,3100,59,1058,4,0,1978
HT4BVJT00189,compute-europe-west-1,3507,12,1014,454,0,2018
HT4BVJT00007,HT4BVJT00189,9797,32,134,27,5,9633
HT4BVJT00189,compute-europe-west-1,6025,7,1031,3032,0,1963
HT4BTJT00127,compute-europe-west-1,3886,16,574,1317,0,1969
HT4BVJT00007,HT4BVJT00189,18578,6,48,8494,2,10032
HT4BVJT00189,compute-europe-west-1,6468,28,855,3640,0,1944
HT4BVJT00189,compute-europe-west-1,4882,9,512,2437,0,1920
HT4BTJT00127,compute-europe-west-1,2853,25,867,3,0,1951
HT4BVJT00007,HT4BVJT00007,9530,18,48,6,1,9458
HT4BVJT00007,HT4BVJT00007,17458,22,26,7892,3,9515
HT4BTJT00127,compute-europe-west-1,2973,29,519,473,0,1943
HT4BVJT00189,compute-europe-west-1,3663,33,1682,4,0,1942
HT4BVJT00007,HT4BVJT00189,10759,8,39,463,1,10248
HT4BVJT00007,HT4BTJT00127,9259,6,100,10,3,9133
HT4BVJT00189,compute-europe-west-1,3191,10,1191,3,0,1980
HT4BVJT00189,compute-europe-west-1,3774,45,516,1247,0,1964
HT4BVJT00189,compute-europe-west-1,3211,44,1200,4,0,1963
HT4BTJT00127,compute-europe-west-1,3484,47,1383,98,0,1968
HT4BVJT00007,HT4BVJT00007,9702,45,52,16,2,9592
HT4BVJT00189,compute-europe-west-1,4252,57,2223,3,0,1968
HT4BVJT00003,compute-europe-west-1,4050,44,690,1371,0,1943
HT4BVJT00007,HT4BVJT00007,15860,45,16,5556,1,10243
HT4BVJT00003,compute-europe-west-1,3048,45,1022,3,0,1980
HT4BVJT00007,HT4BVJT00007,17163,7,47,7268,2,9841
HT4BVJT00003,compute-europe-west-1,3015,31,1039,3,1,1952
HT4BVJT00003,compute-europe-west-1,2825,24,865,2,1,1934
HT4BVJT00007,HT4BVJT00007,12134,7,44,2056,2,10024
HT4BVJT00003,compute-europe-west-1,2694,68,690,2,0,1928
HT4BVJT00007,HT4BVJT00007,19892,8,17,9481,3,10385
HT4BVJT00189,compute-europe-west-1,2685,30,685,2,0,1956
HT4BTJT00127,compute-europe-west-1,4049,55,1209,833,1,1954
HT4BVJT00003,compute-europe-west-1,3358,51,1369,4,0,1928
HT4BVJT00189,compute-europe-west-1,2514,51,519,3,1,1942
HT4BVJT00007,HT4BVJT00007,9305,12,9,9,1,9275
HT4BVJT00007,HT4BVJT00007,15471,5,52,5967,5,9443
HT4BVJT00007,HT4BVJT00189,10118,6,312,9,2,9786
HT4BTJT00127,compute-europe-west-1,3174,42,1214,4,0,1912
HT4BVJT00007,HT4BVJT00189,19567,8,122,9070,2,10398
HT4BVJT00007,HT4BVJT00007,15653,7,22,6109,1,9522
HT4BVJT00003,compute-europe-west-1,3156,22,1200,2,0,1926
HT4BVJT00003,compute-europe-west-1,4963,22,1646,1381,0,1921
HT4BVJT00189,compute-europe-west-1,5727,9,993,2804,0,1916
HT4BVJT00003,compute-europe-west-1,4426,59,861,1587,0,1916
HT4BVJT00189,compute-europe-west-1,5620,41,1391,2308,1,1897
HT4BVJT00003,compute-europe-west-1,5810,29,526,3350,0,1908
HT4BTJT00127,compute-europe-west-1,2978,19,1026,3,0,1927
HT4BTJT00127,compute-europe-west-1,3708,23,347,1411,0,1920
HT4BTJT00127,compute-europe-west-1,3196,34,941,296,0,1917
HT4BVJT00003,compute-europe-west-1,3198,57,1211,2,1,1922
HT4BTJT00127,compute-europe-west-1,6763,47,4798,3,1,1909
HT4BVJT00007,HT4BVJT00007,9350,8,49,14,3,9280
HT4BVJT00007,HT4BVJT00007,16924,45,45,7351,1,9481
HT4BVJT00189,compute-europe-west-1,3158,30,1188,2,0,1948
HT4BVJT00189,compute-europe-west-1,3451,20,1015,481,0,1933
HT4BVJT00007,HT4BVJT00189,10760,6,114,8,2,10624
HT4BVJT00189,compute-europe-west-1,5853,48,997,2894,1,1913
HT4BTJT00127,compute-europe-west-1,3786,21,688,1163,0,1906
HT4BVJT00007,HT4BVJT00189,19773,30,50,9430,2,10258
HT4BVJT00189,compute-europe-west-1,6261,56,676,3619,0,1908
HT4BVJT00189,compute-europe-west-1,4645,7,500,2243,0,1894
HT4BTJT00127,compute-europe-west-1,2846,69,858,2,0,1915
HT4BVJT00007,HT4BVJT00007,9624,23,47,6,1,9548
HT4BVJT00007,HT4BVJT00007,17749,9,15,8026,4,9694
HT4BTJT00127,compute-europe-west-1,2973,7,520,517,0,1927
HT4BVJT00189,compute-europe-west-1,3340,19,846,548,1,1941
HT4BVJT00007,HT4BVJT00189,11960,19,59,1623,2,10259
HT4BVJT00007,HT4BTJT00127,9514,8,125,16,2,9383
HT4BVJT00189,compute-europe-west-1,2921,7,1009,2,0,1898
HT4BVJT00189,compute-europe-west-1,3472,7,510,1039,0,1914
HT4BVJT00189,compute-europe-west-1,3107,10,1190,3,0,1901
HT4BTJT00127,compute-europe-west-1,3509,13,1546,2,0,1943
HT4BVJT00007,HT4BVJT00007,9951,29,51,15,5,9854
HT4BVJT00189,compute-europe-west-1,2985,48,1035,2,0,1904
HT4BVJT00003,compute-europe-west-1,2719,23,693,98,0,1907
