ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00007,9907,16,489,44,3,9356
HT4BVJT00189,HT4BVJT00003,9909,46,389,19,4,9440
HT4BVJT00007,HT4BVJT00007,14869,10,203,5058,4,9626
HT4BVJT00007,HT4BVJT00003,14931,7,381,4768,4,9798
HT4BTJT00127,HT4BVJT00007,18209,14,614,7954,4,9578
HT4BVJT00007,HT4BVJT00003,24929,39,375,14685,5,9790
HT4BVJT00003,HT4BVJT00003,14921,14,190,5232,6,9489
HT4BVJT00003,HT4BVJT00003,34305,29,111,24349,6,9838
HT4BVJT00189,HT4BTJT00127,11766,18,489,14,4,11241
HT4BVJT00007,HT4BVJT00007,19367,5,56,9346,3,9989
HT4BVJT00007,HT4BTJT00127,19561,9,606,8613,7,10362
HT4BVJT00003,HT4BTJT00127,40717,20,584,28757,5,11389
HT4BTJT00127,HT4BTJT00127,29086,27,247,18489,12,10331
HT4BVJT00189,HT4BVJT00189,10300,9,121,18,6,10171
HT4BTJT00127,HT4BVJT00189,19912,69,598,8976,4,10204
HT4BTJT00127,HT4BVJT00189,27767,13,872,16585,14,10319
HT4BVJT00007,HT4BVJT00007,18182,10,128,8496,8,9571
HT4BVJT00003,HT4BVJT00007,24560,19,627,14142,11,9797
HT4BTJT00127,HT4BVJT00007,34385,10,554,23682,4,10138
HT4BVJT00003,HT4BVJT00003,25776,16,106,15535,11,10143
HT4BVJT00007,HT4BVJT00189,27403,18,591,16196,13,10615
HT4BTJT00127,HT4BVJT00003,28098,12,696,17606,7,9809
HT4BVJT00189,HT4BVJT00189,24388,13,133,13480,5,10796
HT4BVJT00189,HT4BTJT00127,20052,16,416,10001,6,9536
HT4BVJT00189,HT4BVJT00003,28513,12,698,17766,7,10056
HT4BVJT00003,HT4BTJT00127,27296,45,426,17367,5,9469
HT4BTJT00127,HT4BVJT00007,22943,47,528,12335,4,9971
HT4BVJT00189,HT4BVJT00189,28450,8,84,17874,5,10511
HT4BTJT00127,HT4BVJT00003,34679,10,398,24049,8,10106
