ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10605,22,23,10,2,10550
HT4BVJT00189,HT4BVJT00189,11638,37,83,24,3,11492
HT4BVJT00007,HT4BVJT00007,9817,14,114,18,3,9698
HT4BVJT00007,HT4BVJT00007,15923,6,55,6517,10,9364
HT4BTJT00127,HT4BTJT00127,10721,51,73,12,1,10619
HT4BVJT00007,HT4BTJT00127,13897,9,148,4257,2,9474
HT4BVJT00003,HT4BTJT00127,23125,45,266,13387,3,9433
HT4BVJT00003,HT4BTJT00127,32542,13,337,22733,2,9478
HT4BVJT00189,HT4BTJT00127,40942,12,220,31174,1,9575
HT4BVJT00007,HT4BTJT00127,49492,7,263,39665,3,9596
HT4BVJT00007,HT4BTJT00127,57680,18,243,47752,2,9712
HT4BVJT00003,compute-europe-west-1,5114,17,1552,189,6,3370
HT4BTJT00127,HT4BVJT00007,11243,49,206,1574,2,9410
HT4BVJT00189,HT4BVJT00007,20116,10,210,10475,2,9401
HT4BTJT00127,HT4BVJT00003,9810,50,242,19,5,9524
HT4BVJT00003,compute-europe-west-1,4708,15,717,1983,3,1990
HT4BTJT00127,HT4BVJT00003,16813,10,224,7172,7,9394
HT4BVJT00007,HT4BVJT00189,10574,7,283,17,4,10293
HT4BTJT00127,HT4BVJT00007,17795,55,269,8086,2,9376
HT4BVJT00007,HT4BVJT00003,15340,5,219,5660,2,9487
HT4BVJT00003,compute-europe-west-1,3380,12,1397,4,1,1972
HT4BTJT00127,HT4BVJT00003,17647,33,198,7859,2,9544
HT4BVJT00189,HT4BVJT00007,11042,97,205,1284,2,9428
HT4BVJT00189,HT4BVJT00003,18916,10,336,9094,5,9528
HT4BVJT00189,HT4BVJT00007,17481,52,273,7612,3,9547
HT4BTJT00127,HT4BVJT00189,10320,16,608,11,4,9734
HT4BVJT00189,compute-europe-west-1,3653,44,1608,3,1,2004
HT4BTJT00127,compute-europe-west-1,6515,8,4515,4,1,1990
HT4BVJT00189,HT4BVJT00189,15702,54,102,5474,4,10105
HT4BVJT00007,HT4BVJT00007,15581,16,60,5874,2,9660
HT4BVJT00007,HT4BVJT00003,13648,18,326,3675,2,9625
HT4BVJT00189,compute-europe-west-1,3233,10,1242,3,0,1977
HT4BVJT00007,HT4BVJT00007,18166,47,35,8352,3,9724
HT4BTJT00127,HT4BVJT00007,27414,55,729,17050,2,9636
HT4BVJT00189,HT4BTJT00127,15674,20,924,5026,3,9738
HT4BVJT00007,HT4BVJT00003,16945,18,549,6585,3,9785
HT4BVJT00189,HT4BTJT00127,17679,18,264,7722,4,9674
HT4BVJT00007,HT4BVJT00003,15013,47,278,4991,2,9694
HT4BVJT00007,HT4BVJT00189,10112,18,222,8,4,9852
HT4BVJT00189,compute-europe-west-1,3428,27,1415,5,0,1983
HT4BVJT00003,HT4BVJT00189,16265,17,540,7844,2,7911
HT4BVJT00007,HT4BVJT00007,18146,45,120,8351,2,9663
HT4BVJT00007,HT4BVJT00003,15573,56,291,7666,2,7547
HT4BVJT00003,HT4BTJT00127,15329,69,268,4915,2,10067
HT4BVJT00189,compute-europe-west-1,3589,19,1577,4,0,1986
HT4BVJT00189,HT4BVJT00189,13020,14,42,4913,3,8047
HT4BVJT00007,HT4BVJT00007,15027,7,21,4998,2,10004
HT4BVJT00003,compute-europe-west-1,3331,8,1346,3,0,1965
HT4BTJT00127,compute-europe-west-1,3883,16,1878,3,1,1975
HT4BVJT00007,HT4BVJT00003,10043,6,100,10,3,9884
HT4BTJT00127,HT4BVJT00003,16871,10,212,7031,2,9658
HT4BVJT00003,HT4BTJT00127,9736,16,240,11,4,9475
HT4BTJT00127,HT4BTJT00127,18630,33,58,9008,2,9563
HT4BVJT00003,compute-europe-west-1,3187,14,1197,3,1,1967
HT4BVJT00007,HT4BVJT00007,12021,6,13,2362,4,9640
HT4BVJT00003,HT4BVJT00003,11273,18,15,13,2,11227
HT4BVJT00189,HT4BVJT00189,11075,25,85,11,2,10984
HT4BVJT00007,HT4BVJT00007,9815,15,62,20,2,9743
HT4BVJT00007,HT4BVJT00007,15939,37,62,6485,4,9390
HT4BTJT00127,HT4BTJT00127,10771,28,41,14,2,10688
HT4BVJT00007,HT4BTJT00127,14238,7,107,4366,2,9754
HT4BVJT00003,HT4BTJT00127,33524,57,416,23327,5,9726
HT4BVJT00003,HT4BTJT00127,23749,28,390,13557,3,9771
HT4BVJT00189,HT4BTJT00127,42223,25,216,32133,2,9894
HT4BVJT00007,HT4BTJT00127,50964,7,340,40849,3,9804
HT4BVJT00007,HT4BTJT00127,59294,6,242,49180,2,9856
HT4BVJT00003,HT4BTJT00127,74285,21,240,66225,5,7797
HT4BTJT00127,HT4BTJT00127,66339,13,56,58513,2,7789
HT4BVJT00189,HT4BVJT00007,10790,52,210,1026,3,9498
HT4BTJT00127,HT4BVJT00003,10877,25,448,11,3,10427
HT4BVJT00003,HT4BVJT00007,18628,10,447,8661,2,9546
HT4BTJT00127,HT4BVJT00189,10243,54,329,11,3,9845
HT4BVJT00007,HT4BVJT00003,14014,10,334,3261,3,10400
HT4BTJT00127,HT4BVJT00007,18174,11,362,8339,2,9492
HT4BVJT00007,HT4BVJT00189,10307,15,287,17,4,9982
HT4BVJT00003,compute-europe-west-1,5867,54,2058,171,7,3562
HT4BTJT00127,compute-europe-west-1,6112,61,2760,1330,3,1956
HT4BVJT00189,HT4BVJT00007,11478,27,266,1651,2,9529
HT4BVJT00189,HT4BVJT00189,10401,68,119,11,5,10230
HT4BVJT00189,HT4BVJT00007,18067,73,261,8058,3,9677
HT4BTJT00127,HT4BVJT00189,17206,9,306,6536,7,10368
HT4BVJT00189,HT4BVJT00003,10551,12,361,11,3,10152
HT4BTJT00127,HT4BVJT00003,20348,26,285,9615,2,10414
HT4BVJT00189,compute-europe-west-1,4266,9,1908,18,5,2325
HT4BVJT00007,HT4BVJT00007,16161,6,71,6479,3,9634
HT4BVJT00007,HT4BVJT00189,16339,11,252,5611,2,10453
HT4BVJT00189,compute-europe-west-1,3783,23,1731,5,0,2022
HT4BVJT00007,HT4BVJT00007,18773,59,44,8923,2,9755
HT4BTJT00127,HT4BVJT00003,15524,43,304,4926,3,10292
HT4BVJT00189,HT4BVJT00003,25998,7,726,14448,3,10809
HT4BVJT00007,HT4BVJT00007,27315,32,65,17458,2,9790
HT4BVJT00189,compute-europe-west-1,4594,41,2578,4,1,1963
HT4BVJT00007,HT4BVJT00189,10593,24,200,10,3,10381
HT4BVJT00007,HT4BVJT00189,19487,14,205,8784,4,10472
HT4BVJT00189,compute-europe-west-1,3568,43,1504,3,0,2014
HT4BVJT00003,compute-europe-west-1,4847,8,2105,762,3,1986
HT4BVJT00007,HT4BVJT00007,19376,9,65,9199,2,10138
HT4BVJT00007,HT4BTJT00127,14467,45,165,3831,3,10453
HT4BVJT00003,compute-europe-west-1,3714,27,1691,4,1,1983
HT4BVJT00189,compute-europe-west-1,4474,16,1387,1158,1,1921
HT4BVJT00189,HT4BTJT00127,15692,11,398,6497,3,8810
HT4BVJT00007,HT4BVJT00007,16206,29,12,6222,8,9934
HT4BVJT00003,compute-europe-west-1,3350,29,1372,4,0,1943
HT4BTJT00127,compute-europe-west-1,3524,10,1589,3,1,1921
HT4BVJT00007,HT4BTJT00127,17112,14,107,6549,2,10435
HT4BTJT00127,HT4BVJT00007,19501,57,343,8965,3,10125
HT4BVJT00003,HT4BVJT00003,10649,12,74,8,3,10556
HT4BTJT00127,HT4BVJT00189,10531,40,192,14,2,10288
HT4BVJT00003,compute-europe-west-1,5788,6,3869,7,0,1906
HT4BVJT00007,HT4BTJT00127,18759,5,188,8334,3,10216
HT4BVJT00003,HT4BVJT00003,11420,41,74,34,2,11273
HT4BVJT00189,HT4BVJT00189,11305,42,68,20,2,11205
HT4BVJT00007,HT4BVJT00007,9911,33,53,20,3,9803
HT4BVJT00007,HT4BVJT00007,16166,48,75,6567,2,9526
HT4BTJT00127,HT4BTJT00127,10589,61,21,13,2,10495
HT4BVJT00007,HT4BTJT00127,14059,19,118,4318,2,9594
HT4BVJT00003,HT4BTJT00127,23322,23,221,13622,2,9444
HT4BVJT00003,HT4BTJT00127,32797,27,296,22950,3,9551
HT4BVJT00189,HT4BTJT00127,41473,49,165,31466,2,9761
HT4BVJT00007,HT4BTJT00127,49940,6,205,40123,3,9604
HT4BVJT00007,HT4BTJT00127,58130,6,156,48251,3,9706
HT4BVJT00003,HT4BTJT00127,67294,22,165,57352,2,9749
HT4BTJT00127,HT4BTJT00127,77341,19,58,67075,2,10225
HT4BVJT00189,HT4BVJT00007,11087,21,213,1267,1,9526
HT4BTJT00127,HT4BVJT00189,10966,26,359,19,10,10619
HT4BVJT00003,HT4BVJT00189,20415,63,246,9624,3,10536
HT4BTJT00127,HT4BVJT00007,17573,53,367,7558,3,9594
HT4BVJT00007,HT4BVJT00003,9724,8,254,12,3,9448
HT4BTJT00127,HT4BVJT00007,18545,8,280,8734,3,9556
HT4BVJT00007,HT4BVJT00189,18753,7,240,7887,3,10608
HT4BVJT00003,compute-europe-west-1,4864,20,1412,190,9,3234
HT4BTJT00127,HT4BVJT00007,18519,11,200,8708,3,9590
HT4BVJT00189,HT4BVJT00003,10080,54,461,30,9,9565
HT4BVJT00189,HT4BVJT00189,11679,14,67,3181,3,8448
HT4BVJT00189,HT4BVJT00007,18447,12,294,8546,2,9585
HT4BTJT00127,HT4BVJT00189,18826,49,217,7810,4,10655
HT4BVJT00189,HT4BVJT00003,13063,8,148,3423,3,9476
HT4BTJT00127,HT4BVJT00003,22228,55,341,12041,2,9785
HT4BVJT00189,compute-europe-west-1,10751,8,8723,3,2,2011
HT4BVJT00007,HT4BVJT00007,16580,7,97,6789,2,9719
HT4BVJT00007,HT4BVJT00189,18038,11,166,7248,2,10609
HT4BVJT00189,HT4BVJT00003,18749,7,103,8816,4,9817
HT4BVJT00007,HT4BVJT00007,19253,7,114,9365,2,9802
HT4BTJT00127,HT4BVJT00003,26890,13,180,16762,3,9933
HT4BVJT00189,HT4BVJT00189,22601,11,50,11984,3,10555
HT4BVJT00007,HT4BVJT00007,28576,20,46,17938,6,10571
HT4BVJT00189,HT4BVJT00003,28805,10,181,18657,2,9954
HT4BVJT00007,HT4BVJT00007,26845,11,25,16919,5,9885
HT4BVJT00007,HT4BVJT00189,19485,6,207,8754,2,10547
HT4BVJT00189,compute-europe-west-1,3723,65,1629,4,0,2013
HT4BVJT00003,compute-europe-west-1,5029,14,1907,1099,3,2014
HT4BVJT00007,HT4BTJT00127,18103,43,172,7597,2,10280
HT4BVJT00007,HT4BTJT00127,28071,18,117,17371,1,10559
HT4BVJT00003,compute-europe-west-1,3830,46,1740,4,0,2029
HT4BVJT00189,compute-europe-west-1,4696,53,1486,1113,4,2037
HT4BVJT00189,HT4BVJT00003,19779,20,197,9582,3,10009
HT4BVJT00007,HT4BVJT00007,17519,11,18,7239,2,10249
HT4BVJT00003,compute-europe-west-1,3399,13,1389,3,0,1993
HT4BTJT00127,HT4BVJT00189,11048,42,121,7,2,10872
HT4BVJT00007,HT4BVJT00189,20031,20,86,9474,2,10439
HT4BTJT00127,HT4BTJT00127,19562,22,134,8547,3,10896
HT4BVJT00003,HT4BVJT00007,20252,42,287,9530,3,10374
HT4BTJT00127,HT4BVJT00007,30019,9,224,19294,2,10480
HT4BVJT00003,compute-europe-west-1,6300,15,4290,4,0,1987
HT4BVJT00007,HT4BVJT00003,12673,8,103,2074,2,10468
