ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,11079,81,61,24,2,10914
HT4BVJT00189,HT4BVJT00189,10800,67,13,15,3,10704
HT4BVJT00007,HT4BVJT00007,9779,47,61,24,5,9684
HT4BVJT00007,HT4BVJT00007,15554,5,8,6476,1,9066
HT4BVJT00007,HT4BVJT00007,22380,45,17,13219,3,9105
HT4BTJT00127,HT4BTJT00127,10270,22,58,17,2,10207
HT4BVJT00007,HT4BVJT00007,30804,8,46,21380,1,9370
HT4BVJT00007,HT4BTJT00127,13228,7,123,3840,7,9242
HT4BVJT00003,HT4BTJT00127,22543,51,64,12941,1,9485
HT4BVJT00003,HT4BTJT00127,29807,13,44,22393,1,7356
HT4BVJT00189,HT4BTJT00127,38046,33,53,28546,1,9412
HT4BVJT00003,compute-europe-west-1,4376,50,842,208,1,3281
HT4BVJT00189,compute-europe-west-1,5561,24,666,2945,1,1915
HT4BVJT00003,compute-europe-west-1,5771,32,337,3458,0,1926
HT4BTJT00127,compute-europe-west-1,3346,54,1339,4,0,1947
HT4BTJT00127,compute-europe-west-1,4090,13,395,1754,1,1924
HT4BTJT00127,compute-europe-west-1,3597,12,834,813,0,1937
HT4BVJT00003,compute-europe-west-1,2958,13,1000,3,0,1938
HT4BTJT00127,compute-europe-west-1,2963,13,1012,22,0,1908
HT4BVJT00007,HT4BVJT00007,9214,43,50,12,3,9108
HT4BVJT00007,HT4BTJT00127,18547,60,45,8916,1,9527
HT4BVJT00189,compute-europe-west-1,2982,26,1023,3,1,1937
HT4BVJT00189,compute-europe-west-1,3216,40,853,394,1,1935
HT4BVJT00007,HT4BVJT00007,11334,8,11,2102,2,9214
HT4BVJT00189,compute-europe-west-1,3736,22,512,1287,1,1910
HT4BTJT00127,compute-europe-west-1,5535,12,677,2899,0,1944
HT4BVJT00007,HT4BVJT00189,9597,7,65,8,1,9517
HT4BVJT00189,compute-europe-west-1,6137,10,503,3689,0,1932
HT4BVJT00189,compute-europe-west-1,4513,6,496,2113,0,1895
HT4BTJT00127,compute-europe-west-1,2788,13,831,2,0,1932
HT4BVJT00007,HT4BTJT00127,10084,22,40,434,1,9592
HT4BVJT00007,HT4BTJT00127,18062,55,91,8346,4,9572
HT4BTJT00127,compute-europe-west-1,2888,26,337,580,1,1939
HT4BVJT00189,compute-europe-west-1,3243,43,842,440,0,1912
HT4BVJT00007,HT4BVJT00007,9168,12,47,12,1,9055
