ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10227,50,153,29,7,10025
HT4BVJT00189,HT4BVJT00189,10212,10,82,23,3,10129
HT4BVJT00007,HT4BVJT00007,9987,35,130,63,5,9803
HT4BVJT00007,HT4BVJT00007,16319,6,100,6661,4,9585
HT4BTJT00127,HT4BTJT00127,11713,25,202,16,4,11511
HT4BVJT00007,HT4BTJT00127,15188,43,463,4982,6,9730
HT4BVJT00003,HT4BTJT00127,24495,9,1298,13707,6,9471
HT4BVJT00003,HT4BTJT00127,33801,42,1465,22945,6,9426
HT4BVJT00189,HT4BTJT00127,42230,11,491,32143,2,9581
HT4BVJT00003,HT4BTJT00127,68173,10,417,58042,5,9702
HT4BTJT00127,HT4BTJT00127,77571,70,214,67713,6,9573
HT4BVJT00189,HT4BTJT00127,86915,6,561,76503,10,9880
HT4BTJT00127,HT4BVJT00007,10252,57,420,582,3,9225
HT4BTJT00127,HT4BVJT00003,11390,78,1152,19,9,10191
HT4BVJT00003,HT4BVJT00003,13212,11,131,3064,7,10031
HT4BVJT00003,HT4BVJT00189,10252,15,788,20,7,9466
HT4BTJT00127,HT4BVJT00003,13393,24,511,2771,8,10117
HT4BVJT00189,HT4BVJT00189,14873,15,85,4579,5,10188
HT4BVJT00003,HT4BVJT00003,13012,34,139,2853,8,10000
HT4BTJT00127,HT4BVJT00189,21746,44,618,10654,6,10456
HT4BVJT00189,HT4BVJT00003,20137,6,404,9925,3,9799
HT4BTJT00127,HT4BVJT00003,29054,16,399,19126,6,9539
HT4BVJT00189,HT4BVJT00189,25255,51,109,16695,5,8433
HT4BTJT00127,HT4BVJT00003,23698,30,430,13494,5,9745
HT4BVJT00189,HT4BVJT00003,33524,51,738,22582,5,10192
HT4BVJT00189,HT4BVJT00189,25874,48,91,15340,6,10430
HT4BVJT00189,HT4BVJT00003,28791,16,507,18338,5,9928
HT4BVJT00189,HT4BVJT00003,26639,12,494,16256,4,9871
HT4BVJT00003,HT4BTJT00127,28861,10,688,18556,4,9722
HT4BTJT00127,HT4BVJT00189,30574,16,445,19753,6,10374
HT4BTJT00127,HT4BVJT00003,24611,22,690,14135,4,9768
HT4BTJT00127,HT4BTJT00127,36757,11,108,26279,4,10398
HT4BVJT00003,HT4BVJT00189,30756,23,938,19364,6,10443
HT4BVJT00003,HT4BVJT00003,10813,11,106,17,4,10706
HT4BVJT00189,HT4BVJT00189,10813,31,104,13,4,10695
HT4BVJT00007,HT4BVJT00007,10047,9,134,38,6,9886
HT4BVJT00007,HT4BVJT00007,16543,45,89,6678,10,9756
HT4BTJT00127,HT4BTJT00127,11912,52,164,14,6,11711
HT4BVJT00007,HT4BTJT00127,15663,74,600,4883,7,10099
HT4BVJT00003,HT4BTJT00127,25353,10,1293,14268,5,9773
HT4BVJT00003,HT4BTJT00127,35085,11,1408,23818,6,9839
HT4BVJT00189,HT4BTJT00127,44045,8,355,33530,2,10149
HT4BVJT00007,HT4BTJT00127,52776,46,282,42662,4,9822
HT4BVJT00007,HT4BTJT00127,61185,28,418,50846,5,9925
HT4BVJT00003,HT4BTJT00127,70488,7,442,60240,6,9831
HT4BTJT00127,HT4BTJT00127,80526,30,245,70016,5,10221
HT4BVJT00189,HT4BTJT00127,90762,49,540,79414,16,10799
HT4BTJT00127,HT4BVJT00007,11102,8,574,715,7,9829
HT4BTJT00127,HT4BVJT00007,18311,30,967,7657,7,9673
HT4BVJT00007,HT4BVJT00189,11320,22,1030,21,7,10190
HT4BVJT00003,HT4BVJT00189,18179,62,601,7167,8,10386
HT4BTJT00127,HT4BVJT00189,28656,55,676,17141,13,10808
HT4BVJT00003,HT4BVJT00007,27158,43,625,16475,4,10038
