ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4CWJT00250,9074,42,63,18,5,8938
HT4BVJT00007,HT4BTJT00078,9238,17,37,15,4,9165
HT4BTJT00078,compute-europe-west-1,2631,15,640,27,0,1943
HT4BTJT00078,compute-europe-west-1,2911,14,852,140,0,1925
HT4BTJT00078,compute-europe-west-1,3673,9,503,1258,0,1903
HT4CWJT00250,HT4BTJT00078,14237,8,74,5268,2,8874
HT4BTJT00078,compute-europe-west-1,5131,6,346,2838,0,1939
HT4BTJT00078,compute-europe-west-1,3981,6,1343,722,1,1906
HT4BTJT00127,HT4BTJT00127,9220,68,42,18,3,9101
HT4BTJT00127,HT4BVJT00007,8954,31,58,9,2,8854
HT4BVJT00007,HT4CWJT00250,9102,39,54,11,17,8972
HT4BTJT00127,HT4CWJT00250,16439,73,46,7389,6,8929
HT4BVJT00007,HT4CWJT00250,25158,14,46,16023,2,9083
HT4BTJT00127,HT4BTJT00078,16726,8,24,7507,1,9178
HT4CWJT00250,HT4BVJT00007,10824,5,95,1721,1,9036
HT4CWJT00250,HT4BTJT00127,10344,7,36,1350,2,8945
HT4CWJT00250,HT4BVJT00007,18184,45,46,8887,2,9160
HT4BTJT00127,HT4BTJT00078,16956,6,46,7723,1,9176
HT4CWJT00250,HT4BTJT00127,13914,7,60,4762,4,8927
HT4BTJT00078,compute-europe-west-1,2729,6,817,2,1,1900
HT4BTJT00078,compute-europe-west-1,3689,7,344,1434,0,1906
HT4BVJT00007,HT4CWJT00250,20213,44,127,11046,1,8997
HT4BVJT00007,HT4BVJT00007,19120,7,46,9795,1,9272
HT4BTJT00078,compute-europe-west-1,3112,46,1147,2,0,1913
HT4BVJT00007,HT4BTJT00078,20442,6,73,11193,1,9163
HT4CWJT00250,HT4BTJT00078,27475,8,32,20317,1,7084
HT4BTJT00078,compute-europe-west-1,4387,19,624,1840,0,1893
HT4BVJT00007,HT4BTJT00127,17304,55,83,8142,2,9024
HT4BVJT00007,HT4CWJT00250,25221,13,75,16072,1,9071
HT4CWJT00250,HT4BVJT00007,21643,7,39,12314,2,9280
HT4BTJT00078,compute-europe-west-1,2577,6,668,3,0,1896
HT4BTJT00078,compute-europe-west-1,3687,11,676,1086,0,1912
HT4CWJT00250,HT4BTJT00127,20117,15,24,11083,0,8995
HT4BVJT00007,HT4CWJT00250,29176,45,46,19940,1,9145
HT4BTJT00078,compute-europe-west-1,3276,48,1313,2,0,1910
HT4BTJT00078,compute-europe-west-1,5129,12,3207,5,0,1901
HT4BVJT00007,HT4BVJT00007,27345,52,55,17882,2,9346
HT4BVJT00007,HT4BTJT00127,25749,20,70,16572,1,9095
HT4BVJT00007,HT4BTJT00078,23154,7,101,13750,2,9290
HT4CWJT00250,HT4CWJT00250,31516,8,45,22339,2,9124
HT4BTJT00078,compute-europe-west-1,2737,9,829,3,0,1895
HT4BVJT00007,HT4BVJT00007,30065,7,9,20622,0,9430
HT4BTJT00127,HT4BTJT00127,27702,8,42,18570,1,9080
HT4BTJT00078,compute-europe-west-1,2923,6,998,3,0,1914
HT4BTJT00127,HT4CWJT00250,35355,29,70,26118,2,9141
HT4BTJT00078,compute-europe-west-1,2580,6,660,2,0,1906
HT4BTJT00127,HT4BTJT00078,20057,8,55,10763,1,9225
HT4BTJT00127,HT4BTJT00078,25878,10,48,16554,1,9264
HT4BTJT00078,compute-europe-west-1,3102,13,1167,3,0,1919
HT4BTJT00127,HT4BTJT00127,23829,8,50,14648,5,9125
HT4BTJT00078,compute-europe-west-1,3719,5,508,1286,1,1918
HT4BVJT00007,HT4BVJT00007,24295,44,44,14844,3,9365
HT4CWJT00250,HT4BVJT00007,31466,16,69,23955,2,7425
HT4BTJT00127,HT4BTJT00078,31262,7,51,21853,2,9326
HT4CWJT00250,HT4CWJT00250,30501,14,11,21199,1,9280
HT4BVJT00007,HT4BTJT00127,29139,7,42,19790,2,9294
HT4CWJT00250,HT4BTJT00078,39344,6,32,29911,1,9385
HT4BTJT00078,compute-europe-west-1,2742,6,821,3,0,1909
HT4CWJT00250,HT4CWJT00250,32338,8,45,23033,1,9253
HT4BTJT00078,compute-europe-west-1,2553,6,658,3,0,1877
HT4BVJT00007,HT4BTJT00127,22401,44,37,13012,1,9309
HT4CWJT00250,HT4BVJT00007,18193,12,61,8588,2,9526
HT4BTJT00078,compute-europe-west-1,2746,8,828,2,0,1906
HT4BTJT00078,compute-europe-west-1,4627,6,1291,1415,0,1914
HT4CWJT00250,HT4BTJT00127,27159,25,94,17681,1,9366
HT4BTJT00127,HT4BTJT00078,27425,8,67,17989,1,9362
HT4BTJT00127,HT4BTJT00078,36760,52,71,27175,1,9464
HT4CWJT00250,HT4CWJT00250,24561,14,9,15244,1,9290
HT4BVJT00007,HT4CWJT00250,33848,28,88,24413,4,9314
HT4BTJT00127,HT4CWJT00250,42915,19,69,33574,2,9277
HT4BTJT00127,HT4BVJT00007,21444,7,91,11682,3,9616
HT4BVJT00007,HT4BTJT00127,29970,6,52,20527,2,9381
HT4BTJT00127,HT4BVJT00007,24902,13,95,15291,0,9537
HT4BTJT00078,compute-europe-west-1,2771,9,826,4,0,1928
HT4BVJT00007,HT4BTJT00078,34680,28,73,25063,2,9478
HT4BTJT00127,HT4BVJT00007,32078,7,39,22470,1,9551
HT4CWJT00250,HT4BTJT00127,30766,67,31,21357,1,9302
HT4CWJT00250,HT4BTJT00078,41429,9,32,31475,1,9860
HT4BTJT00127,HT4BVJT00007,37751,8,57,28036,1,9644
HT4BTJT00127,HT4BTJT00127,35896,22,54,26494,2,9329
HT4BVJT00007,HT4CWJT00250,35852,58,116,26360,2,9354
HT4BTJT00078,compute-europe-west-1,2583,16,670,2,1,1893
HT4BVJT00007,HT4BTJT00078,46188,6,50,36037,2,10101
HT4CWJT00250,HT4BVJT00007,44238,6,117,34527,1,9588
HT4BTJT00127,HT4BVJT00007,53691,49,22,43952,3,9666
HT4BTJT00127,HT4BTJT00127,40803,6,6,31480,4,9307
HT4BVJT00007,HT4CWJT00250,40806,11,137,31315,2,9340
HT4BTJT00127,HT4BTJT00127,45942,25,28,36540,4,9356
HT4BTJT00127,HT4BTJT00078,44930,9,45,34891,2,9982
HT4CWJT00250,HT4BTJT00078,54881,18,35,44549,1,10268
HT4BVJT00007,HT4CWJT00250,40654,8,26,31150,1,9469
HT4BVJT00007,HT4BTJT00127,48296,6,22,38773,1,9491
HT4CWJT00250,HT4BTJT00127,57278,11,37,47834,1,9392
HT4BVJT00007,HT4BVJT00007,49046,18,44,39230,1,9755
HT4BTJT00127,HT4CWJT00250,47491,6,50,38029,2,9395
HT4BVJT00003,HT4BVJT00189,9456,33,94,22,14,9296
HT4BVJT00189,HT4BVJT00189,17424,11,10,7828,1,9578
HT4BVJT00007,HT4BVJT00003,9334,73,66,18,5,9134
HT4BVJT00007,HT4BVJT00007,9247,18,25,15,1,9192
HT4BVJT00007,HT4BVJT00007,17454,48,51,8016,2,9340
HT4BTJT00078,HT4BVJT00003,15096,14,94,6033,2,8948
HT4BVJT00007,HT4BVJT00003,24028,56,66,14865,3,9039
HT4BVJT00007,HT4BTJT00078,18240,7,153,9194,1,8887
HT4BVJT00003,HT4BTJT00078,9307,8,98,6,2,9203
HT4BVJT00003,HT4BTJT00078,27047,37,28,18046,1,8935
HT4BVJT00189,HT4BVJT00189,19385,9,45,9648,2,9682
HT4BVJT00003,HT4BVJT00189,27631,7,43,17742,4,9828
HT4BVJT00189,HT4BVJT00007,20790,8,42,11229,6,9507
HT4BVJT00003,HT4BVJT00003,26687,58,57,17384,6,9224
HT4BTJT00078,HT4BVJT00007,25762,6,63,16092,3,9600
HT4BTJT00078,HT4BVJT00003,31617,12,34,22269,2,9287
HT4BTJT00078,HT4BVJT00189,30814,5,57,20739,1,10004
HT4BVJT00003,HT4BTJT00078,23959,43,57,14597,1,9255
HT4BTJT00078,HT4BVJT00003,35321,10,76,26000,3,9232
HT4BVJT00007,HT4BVJT00007,28502,43,45,18713,1,9702
HT4BVJT00007,HT4BVJT00007,37206,96,43,27397,1,9631
HT4BVJT00189,HT4BVJT00189,33214,8,47,23272,2,9885
HT4BVJT00189,HT4BTJT00078,28133,37,74,18887,2,9132
HT4BVJT00007,HT4BVJT00003,40124,46,83,30775,4,9210
HT4BVJT00189,HT4BVJT00007,53458,46,97,43684,2,9638
HT4BTJT00078,HT4BVJT00007,43749,40,40,34086,1,9584
HT4BVJT00007,HT4BVJT00189,41271,7,54,31296,2,9902
HT4BVJT00189,HT4BTJT00078,33816,6,68,26597,1,7145
HT4BVJT00189,HT4BTJT00078,41251,64,34,31957,1,9186
HT4BTJT00078,HT4BVJT00003,42899,6,43,33747,1,9103
HT4BVJT00007,HT4BVJT00003,51999,23,40,42724,2,9216
HT4BVJT00007,HT4BVJT00189,54694,7,90,44529,2,10068
HT4BTJT00078,HT4BVJT00189,44623,13,33,34597,1,9974
HT4BVJT00189,HT4BTJT00078,45342,7,38,35999,1,9290
HT4BVJT00007,HT4BTJT00078,53029,43,39,43619,1,9339
HT4BVJT00007,HT4BVJT00007,53624,8,8,43796,2,9808
HT4BVJT00189,HT4BVJT00007,63311,6,50,53524,2,9731
HT4BVJT00189,HT4BTJT00078,61886,46,56,51911,3,9875
HT4BVJT00189,HT4BVJT00003,53799,19,82,44365,2,9330
HT4BTJT00078,HT4BVJT00189,57194,44,94,46986,2,10071
HT4BVJT00007,HT4BVJT00003,60914,22,47,51462,1,9376
