ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9869,16,94,21,4,9761
HT4BVJT00189,HT4BVJT00003,18161,13,519,7803,5,9835
HT4BVJT00007,HT4BVJT00003,26792,44,690,16681,5,9423
HT4BVJT00007,HT4BTJT00127,10076,8,587,17,5,9505
HT4BTJT00127,HT4BTJT00127,18010,60,181,8359,5,9444
HT4BVJT00007,HT4BVJT00007,10147,19,79,28,5,10049
HT4BVJT00003,HT4BVJT00007,29352,20,1107,18412,6,9803
HT4BVJT00003,HT4BVJT00007,38850,54,1266,27994,5,9566
HT4BVJT00189,HT4BVJT00007,18877,41,440,9010,4,9424
HT4BVJT00007,HT4BVJT00189,10653,10,394,33,11,10228
HT4BVJT00007,HT4BVJT00189,20434,7,681,9228,4,10513
HT4BVJT00003,HT4BVJT00189,41424,17,1243,29584,17,10618
HT4BTJT00127,HT4BVJT00189,52383,19,1266,40050,6,11000
HT4BVJT00189,HT4BVJT00189,30406,39,221,19495,6,10639
HT4BTJT00127,HT4BVJT00189,62428,49,813,50925,4,10670
HT4BTJT00127,HT4BTJT00127,20406,16,153,10494,9,9753
HT4BVJT00007,HT4BTJT00127,27290,8,424,17553,5,9291
HT4BVJT00003,HT4BVJT00003,21958,9,114,12107,7,9753
HT4BTJT00127,HT4BTJT00127,34786,6,100,25330,4,9381
HT4BVJT00003,HT4BVJT00003,30379,36,84,20662,4,9628
HT4BVJT00007,HT4BVJT00003,40492,16,532,29722,17,10192
HT4BTJT00127,HT4BVJT00007,35362,12,657,25028,6,9672
HT4BVJT00189,HT4BTJT00127,36773,47,593,26048,5,10070
HT4BVJT00189,compute-europe-west-1,5264,21,2721,10,5,2505
HT4BVJT00189,compute-europe-west-1,6944,47,2998,1494,2,2385
HT4BVJT00003,HT4BTJT00127,44750,20,585,34273,5,9887
HT4BTJT00127,HT4BTJT00127,53884,10,101,43972,5,9829
HT4BVJT00189,compute-europe-west-1,7468,24,1460,3733,1,2247
HT4BTJT00127,HT4BVJT00007,38711,8,548,27993,4,10177
HT4BVJT00189,compute-europe-west-1,8033,7,888,4821,2,2324
HT4BVJT00007,HT4BVJT00003,36409,10,473,25777,16,10170
HT4BVJT00007,HT4BVJT00003,45215,17,520,34925,5,9763
HT4BVJT00189,compute-europe-west-1,5068,19,2406,426,1,2217
HT4BVJT00007,HT4BVJT00007,41295,18,89,31273,4,9931
HT4BTJT00127,HT4BVJT00189,48271,6,521,37229,6,10547
HT4BVJT00189,compute-europe-west-1,6214,14,1804,2116,3,2252
HT4BVJT00007,HT4BVJT00189,58454,7,347,47519,3,10609
HT4BVJT00189,compute-europe-west-1,4642,8,1714,692,1,2224
HT4BVJT00007,HT4BVJT00003,46085,62,415,35733,5,9905
HT4BVJT00007,HT4BTJT00127,48060,13,421,38003,5,9653
HT4BVJT00189,compute-europe-west-1,4505,29,2205,13,1,2254
HT4BVJT00007,HT4BVJT00007,41501,49,103,31507,4,9861
HT4BVJT00189,compute-europe-west-1,3686,45,1394,15,2,2226
HT4BVJT00007,HT4BVJT00007,48360,49,112,38212,6,9970
HT4BVJT00189,compute-europe-west-1,14001,23,11719,35,2,2225
HT4BVJT00003,HT4BVJT00003,46367,50,88,38269,5,7995
HT4BVJT00003,HT4BTJT00127,48626,10,424,38409,5,9805
HT4BTJT00127,HT4BVJT00189,52417,18,370,41162,13,10868
HT4BVJT00007,HT4BTJT00127,55920,51,291,45719,3,9881
HT4BTJT00127,HT4BVJT00007,51452,27,278,41226,3,9943
HT4BTJT00127,HT4BVJT00003,50514,6,772,39372,5,10374
HT4BTJT00127,HT4BVJT00003,81190,16,1189,69582,5,10305
HT4BTJT00127,HT4BVJT00003,70615,10,988,59630,4,9992
HT4BVJT00007,HT4BVJT00003,60235,7,532,49304,5,10418
HT4BVJT00003,HT4BVJT00007,58372,12,450,47965,4,9953
HT4BVJT00007,HT4BVJT00189,56277,13,274,44304,4,11676
HT4BTJT00127,HT4BVJT00189,66587,6,367,55495,9,10743
HT4BVJT00003,HT4BVJT00189,76911,13,742,65569,4,10617
HT4BTJT00127,HT4BTJT00127,58346,6,75,48549,6,9743
HT4BVJT00003,HT4BTJT00127,67250,7,321,57278,8,9660
