ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,8987,32,26,8,2,8923
HT4CWJT00250,HT4CWJT00250,9082,13,40,16,3,9015
HT4CWJT00250,HT4CWJT00250,16350,29,77,7317,2,8958
HT4CWJT00980,HT4CWJT00980,7372,25,65,23,2,7270
HT4CWJT00250,HT4CWJT00980,12211,6,351,2576,3,9311
HT4CWJT00250,HT4CWJT00250,18513,6,16,9468,4,9018
HT4BTJT00078,HT4BTJT00078,24847,19,60,15769,2,9004
HT4CWJT00980,compute-europe-west-1,4095,13,2078,4,3,1993
HT4CWJT00980,HT4CWJT00250,26974,16,159,17624,3,9169
HT4BTJT00078,HT4BTJT00078,32290,7,58,23159,2,9097
HT4CWJT00980,HT4CWJT00980,28382,46,58,18591,2,9714
HT4CWJT00250,HT4CWJT00980,35961,7,258,26152,17,9553
HT4CWJT00980,compute-europe-west-1,3926,46,1889,4,1,1982
HT4BTJT00078,HT4CWJT00250,26697,54,162,17248,3,9220
HT4CWJT00980,compute-europe-west-1,3695,9,1700,3,1,1981
HT4CWJT00980,compute-europe-west-1,3704,12,1908,3,1,1974
HT4CWJT00250,HT4CWJT00980,38212,21,231,28298,3,9699
HT4CWJT00250,HT4CWJT00250,32563,15,46,23356,3,9174
HT4CWJT00250,HT4BTJT00078,44988,48,206,35670,2,9081
HT4CWJT00980,compute-europe-west-1,3869,9,1883,4,1,1970
HT4CWJT00250,HT4CWJT00980,38025,23,161,28052,3,9783
HT4CWJT00250,HT4CWJT00250,41112,6,22,31876,4,9211
HT4BTJT00078,HT4CWJT00980,46167,9,313,36041,5,9791
HT4BTJT00078,HT4BTJT00078,52938,33,156,43584,2,9208
HT4CWJT00250,HT4CWJT00980,48091,15,101,37902,2,10031
HT4BTJT00078,HT4CWJT00980,57438,44,130,47490,2,9773
HT4CWJT00980,compute-europe-west-1,4472,42,2343,4,1,2086
HT4CWJT00250,HT4BTJT00078,54383,7,70,45031,2,9278
HT4CWJT00980,compute-europe-west-1,4694,6,2672,4,1,2008
HT4CWJT00980,compute-europe-west-1,5943,16,3609,324,3,1987
HT4BTJT00078,HT4CWJT00250,55393,42,94,45860,1,9330
HT4CWJT00250,HT4BTJT00078,59481,20,123,49954,3,9232
HT4BTJT00078,HT4CWJT00250,61798,5,158,52240,2,9383
HT4CWJT00980,compute-europe-west-1,3876,10,1896,5,0,1962
HT4CWJT00250,HT4CWJT00980,54069,5,170,43824,6,10096
HT4CWJT00250,HT4BTJT00078,59632,25,150,50279,2,9209
HT4CWJT00250,HT4CWJT00980,55230,14,165,47376,3,7669
HT4CWJT00980,compute-europe-west-1,4049,17,2040,5,0,1984
HT4CWJT00980,compute-europe-west-1,5526,6,2168,1300,3,2038
HT4CWJT00980,compute-europe-west-1,4277,7,1201,1060,3,2000
HT4CWJT00250,HT4CWJT00250,49415,11,51,40071,2,9316
HT4BTJT00078,HT4CWJT00250,55253,6,169,45660,2,9305
HT4BTJT00078,HT4BTJT00078,57945,11,11,48689,1,9234
HT4CWJT00250,HT4CWJT00980,56306,29,214,46150,3,9866
HT4CWJT00250,HT4CWJT00980,66243,13,270,55981,3,9984
HT4CWJT00980,compute-europe-west-1,4065,22,2051,3,1,1984
HT4CWJT00980,compute-europe-west-1,5490,15,1670,1820,3,1975
HT4BTJT00078,HT4BTJT00078,58815,41,54,49454,2,9300
HT4CWJT00980,compute-europe-west-1,3668,48,1646,3,1,1966
HT4BTJT00078,HT4BTJT00078,64098,42,55,54762,4,9255
HT4BTJT00078,HT4CWJT00250,58228,70,162,48527,2,9457
HT4BTJT00078,HT4BTJT00078,67301,13,18,57905,7,9363
HT4CWJT00980,compute-europe-west-1,3765,45,1746,4,0,1977
HT4CWJT00250,HT4CWJT00980,66028,8,153,55624,4,10239
HT4CWJT00980,compute-europe-west-1,2877,24,876,3,1,1969
HT4BTJT00078,HT4BTJT00078,78349,7,19,68529,5,9794
HT4CWJT00980,compute-europe-west-1,3887,7,1888,4,1,1985
HT4BVJT00003,HT4BVJT00189,9530,52,93,25,5,9340
HT4BVJT00189,HT4BVJT00189,17552,29,71,7855,5,9596
HT4BVJT00007,HT4BVJT00007,9342,48,70,14,3,9242
HT4BVJT00007,HT4BVJT00007,17174,96,55,7566,2,9493
HT4BTJT00127,HT4BTJT00127,9912,85,44,14,3,9774
HT4BVJT00007,HT4BTJT00127,16058,6,124,6656,9,9258
HT4BVJT00003,HT4BTJT00127,25450,28,232,15711,2,9482
HT4BVJT00003,HT4BTJT00127,34608,27,369,25026,2,9233
HT4BVJT00189,HT4BVJT00003,9600,43,185,23,5,9357
HT4BVJT00007,HT4BVJT00003,17972,17,230,8857,2,8900
HT4BVJT00007,HT4BVJT00189,18180,8,285,8225,3,9697
HT4BVJT00003,HT4BVJT00189,27635,50,141,17695,3,9749
HT4BTJT00127,compute-europe-west-1,4807,12,2684,5,2,2102
HT4BVJT00189,HT4BVJT00189,37059,6,68,27248,2,9771
HT4BTJT00127,compute-europe-west-1,6215,7,2274,1913,3,2013
HT4BVJT00003,HT4BVJT00007,18365,10,193,8830,2,9366
HT4BTJT00127,HT4BVJT00007,27247,42,272,17414,3,9553
HT4BVJT00007,HT4BVJT00003,21694,7,158,12430,7,9083
HT4BTJT00127,compute-europe-west-1,3920,24,1844,6,1,2038
HT4BVJT00007,HT4BVJT00007,31392,12,42,21730,3,9626
HT4BVJT00003,HT4BVJT00003,24978,30,90,15732,2,9132
HT4BTJT00127,compute-europe-west-1,3703,7,1677,6,1,2011
HT4BVJT00189,HT4BVJT00007,34099,14,198,24271,4,9611
HT4BVJT00189,HT4BTJT00127,26666,7,205,17114,3,9328
HT4BVJT00189,HT4BTJT00127,35826,18,198,25769,2,9867
HT4BTJT00127,compute-europe-west-1,4226,5,2189,7,1,2039
HT4BVJT00189,HT4BVJT00003,26796,7,168,17417,4,9196
HT4BTJT00127,compute-europe-west-1,5304,47,1213,2033,3,2002
HT4BVJT00189,HT4BVJT00189,27824,61,31,17893,4,9838
HT4BVJT00007,HT4BVJT00007,36449,11,75,26699,3,9686
HT4BVJT00007,HT4BVJT00189,34578,39,136,24489,2,9909
HT4BVJT00189,HT4BTJT00127,36652,11,111,27024,2,9506
HT4BVJT00007,HT4BVJT00003,28320,6,158,18973,3,9178
HT4BTJT00127,compute-europe-west-1,3682,44,1614,5,1,2014
HT4BVJT00189,HT4BVJT00003,37175,23,177,27727,3,9244
HT4BVJT00007,HT4BVJT00007,41984,22,38,32168,2,9759
HT4BVJT00189,HT4BVJT00189,37622,46,40,27616,2,9920
HT4BVJT00007,HT4BVJT00007,45867,23,70,36131,5,9679
HT4BVJT00007,HT4BVJT00189,42539,50,184,34449,4,7890
HT4BVJT00189,HT4BTJT00127,37780,7,91,28122,4,9550
HT4BVJT00003,HT4BTJT00127,46878,6,233,37192,3,9443
HT4BVJT00007,HT4BVJT00003,37184,6,145,27742,3,9284
HT4BVJT00007,HT4BVJT00003,46271,7,97,36807,3,9347
HT4BVJT00003,HT4BTJT00127,54116,7,179,44404,2,9557
HT4BVJT00189,HT4BVJT00007,51439,7,88,41193,2,10145
HT4BVJT00189,HT4BVJT00189,46131,55,22,35919,3,10093
HT4BVJT00007,HT4BVJT00007,56020,39,11,46171,2,9796
HT4BVJT00003,HT4BVJT00007,65832,8,107,55534,3,10178
HT4BTJT00127,compute-europe-west-1,3572,22,1524,6,0,2016
HT4BVJT00007,HT4BTJT00127,55837,7,87,46157,6,9574
HT4BTJT00127,compute-europe-west-1,5688,21,3632,5,1,2027
HT4BVJT00003,HT4BVJT00003,45468,27,39,36082,2,9324
HT4BTJT00127,compute-europe-west-1,11921,44,9828,6,1,2036
HT4BVJT00003,HT4BVJT00189,48843,24,151,38630,1,10074
HT4BVJT00007,HT4BVJT00189,57609,6,110,47255,2,10226
HT4BVJT00003,HT4BVJT00003,50932,16,61,41459,3,9435
HT4BTJT00127,compute-europe-west-1,7240,25,4983,235,0,1996
HT4BVJT00189,HT4BTJT00127,54932,14,109,45084,3,9722
HT4BVJT00007,HT4BVJT00003,54292,9,184,44664,2,9436
HT4BVJT00007,HT4BVJT00007,61149,19,21,50993,3,10123
HT4BVJT00189,HT4BTJT00127,61571,34,143,51829,3,9600
HT4BVJT00007,HT4BVJT00189,53573,11,187,43348,2,10015
HT4BTJT00127,compute-europe-west-1,3998,8,1912,4,1,2067
HT4BTJT00127,compute-europe-west-1,5474,9,2109,1308,3,2045
HT4BTJT00127,compute-europe-west-1,4228,22,1028,1165,3,2007
HT4BVJT00007,HT4BVJT00003,48025,11,121,38519,3,9369
HT4BVJT00003,HT4BTJT00127,56486,7,146,46733,2,9617
HT4BVJT00003,HT4BTJT00127,65983,11,143,56240,2,9624
HT4BVJT00189,HT4BVJT00003,55291,18,185,45681,2,9437
HT4BVJT00003,HT4BVJT00007,53656,56,147,43101,3,10374
HT4BVJT00003,HT4BVJT00189,48681,6,127,38446,2,10113
HT4BVJT00007,HT4BVJT00189,55157,12,182,44811,3,10160
HT4BVJT00007,HT4BVJT00189,65281,47,205,54913,2,10146
HT4BVJT00189,HT4BVJT00189,74946,7,11,64786,2,10142
HT4BTJT00127,compute-europe-west-1,3841,8,1789,4,1,2031
HT4BTJT00127,compute-europe-west-1,5286,17,1614,1642,3,2007
HT4BVJT00003,HT4BVJT00003,54860,30,19,45489,2,9322
HT4BVJT00189,HT4BVJT00007,54067,15,135,43684,4,10229
