ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,compute-europe-west-1,2824,33,875,3,1,1909
HT4BVJT00007,HT4BTJT00078,9303,15,48,24,2,9207
HT4BTJT00078,compute-europe-west-1,2719,39,737,2,0,1935
HT4BTJT00078,compute-europe-west-1,2976,23,701,352,0,1903
HT4BTJT00078,compute-europe-west-1,3721,10,729,1118,0,1889
HT4CWJT00250,compute-europe-west-1,7157,57,1163,4049,0,1888
HT4BTJT00078,compute-europe-west-1,5162,7,594,2638,0,1916
HT4BTJT00078,compute-europe-west-1,9704,6,1390,6396,1,1902
HT4BTJT00127,compute-europe-west-1,5821,45,873,3006,0,1898
HT4BTJT00127,compute-europe-west-1,7660,61,967,4729,0,1901
HT4BVJT00007,HT4BTJT00078,10504,29,42,1457,1,8934
HT4BTJT00127,HT4BVJT00007,9095,61,71,25,4,8890
HT4BVJT00007,HT4BVJT00007,17765,6,7,8683,0,9066
HT4BTJT00127,HT4BTJT00078,16722,64,44,7510,1,9068
HT4CWJT00250,compute-europe-west-1,4286,20,889,1493,0,1889
HT4CWJT00250,compute-europe-west-1,5560,59,369,3252,1,1876
HT4CWJT00250,compute-europe-west-1,6261,20,992,3323,0,1917
HT4BTJT00127,compute-europe-west-1,4801,28,866,2014,0,1893
HT4CWJT00250,compute-europe-west-1,5713,31,1670,2124,0,1893
HT4BTJT00078,compute-europe-west-1,6804,31,880,4006,0,1887
HT4BTJT00078,compute-europe-west-1,7751,9,913,4929,0,1895
HT4BVJT00007,HT4BTJT00078,12876,24,53,3566,1,9226
HT4BVJT00007,HT4BVJT00007,12244,14,43,2928,2,9256
HT4BTJT00078,HT4CWJT00250,9420,7,110,24,4,9282
HT4BVJT00007,HT4CWJT00250,18163,6,91,9011,1,9056
HT4CWJT00250,compute-europe-west-1,6608,10,657,4053,1,1888
HT4BTJT00078,compute-europe-west-1,8308,8,862,5521,0,1916
HT4BVJT00007,HT4BTJT00127,9400,47,83,22,6,9243
HT4BVJT00007,HT4BTJT00078,17932,5,22,8783,1,9118
HT4CWJT00250,compute-europe-west-1,4483,7,832,1753,0,1887
HT4BTJT00078,compute-europe-west-1,6267,44,701,3631,1,1883
HT4BTJT00078,HT4BVJT00007,13836,20,82,4509,6,9215
HT4CWJT00250,compute-europe-west-1,7339,13,334,5099,1,1893
HT4BVJT00007,HT4BTJT00127,11518,8,41,2388,2,9078
HT4BTJT00078,compute-europe-west-1,6824,43,700,4175,0,1903
HT4BTJT00078,HT4CWJT00250,26704,52,138,17350,1,9166
HT4BVJT00007,HT4CWJT00250,17486,12,104,8353,1,9022
HT4BVJT00007,HT4BTJT00078,19203,28,45,9968,2,9149
HT4BVJT00007,HT4BVJT00007,16356,9,15,7055,1,9281
HT4CWJT00250,compute-europe-west-1,3597,6,1333,361,1,1909
HT4BTJT00078,compute-europe-west-1,4067,19,1045,1101,0,1897
HT4BVJT00007,HT4BTJT00127,11756,5,54,2737,2,8959
HT4BTJT00127,compute-europe-west-1,4485,33,844,1651,1,1949
HT4BTJT00078,compute-europe-west-1,7771,6,3331,2548,0,1896
HT4BTJT00127,compute-europe-west-1,4028,58,1055,1013,0,1902
HT4BTJT00078,compute-europe-west-1,5358,50,1032,2377,1,1895
HT4BTJT00127,compute-europe-west-1,3538,30,1013,609,0,1885
HT4BTJT00127,compute-europe-west-1,2793,38,854,2,0,1894
HT4BTJT00078,compute-europe-west-1,6215,38,1564,2717,0,1899
HT4BTJT00127,compute-europe-west-1,3615,11,349,1348,0,1905
HT4BTJT00078,compute-europe-west-1,6808,48,609,4245,1,1898
HT4BVJT00007,HT4BTJT00078,9275,7,40,41,7,9184
HT4CWJT00250,compute-europe-west-1,8021,28,992,5079,1,1922
HT4BTJT00127,compute-europe-west-1,8335,23,783,5623,0,1904
HT4CWJT00250,HT4CWJT00250,11669,7,47,2388,6,9254
HT4BVJT00007,HT4BTJT00078,15494,45,49,6202,1,9196
HT4CWJT00250,compute-europe-west-1,8948,5,653,6396,0,1884
HT4BTJT00078,HT4BVJT00007,9161,7,46,18,4,9080
HT4CWJT00250,compute-europe-west-1,4161,53,820,1389,1,1897
HT4BTJT00078,compute-europe-west-1,2577,7,700,2,0,1868
HT4BVJT00007,HT4BTJT00078,9468,47,51,14,2,9339
HT4CWJT00250,compute-europe-west-1,2940,33,1012,2,0,1898
HT4BTJT00078,compute-europe-west-1,4461,7,871,1695,0,1883
HT4BTJT00078,compute-europe-west-1,8232,47,1153,5107,1,1920
HT4CWJT00250,compute-europe-west-1,6141,59,913,3286,0,1882
HT4BTJT00127,compute-europe-west-1,9181,30,1023,6242,0,1888
HT4BTJT00127,compute-europe-west-1,10979,48,1229,7791,0,1896
HT4CWJT00250,compute-europe-west-1,10507,52,848,7708,0,1911
HT4BVJT00007,HT4BTJT00078,10926,26,70,1463,1,9370
