ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4BVJT00007,9729,16,472,26,5,9234
HT4BVJT00007,HT4BTJT00078,10013,21,534,51,8,9412
HT4BTJT00078,HT4BTJT00078,18518,8,112,9171,5,9247
HT4BTJT00078,HT4BVJT00007,15344,6,398,5403,10,9536
HT4CWJT00250,HT4CWJT00250,10244,13,93,26,5,10109
HT4BTJT00078,HT4CWJT00250,16274,6,474,6611,3,9205
HT4BTJT00127,HT4CWJT00250,25667,22,1333,14762,6,9552
HT4BTJT00127,HT4CWJT00250,35228,41,1436,24194,5,9588
HT4BVJT00007,HT4BTJT00127,10897,43,724,36,12,10085
HT4BTJT00078,HT4BTJT00127,19890,17,569,9782,3,9510
HT4BTJT00078,HT4BTJT00127,28347,5,744,18315,8,9276
HT4BTJT00127,HT4BVJT00007,27832,60,875,17143,6,9770
HT4CWJT00250,HT4BVJT00007,37432,14,979,26745,5,9697
HT4BVJT00007,HT4BVJT00007,17627,10,202,7736,6,9692
HT4CWJT00250,HT4BVJT00007,46195,11,583,36269,3,9358
HT4CWJT00250,HT4BTJT00078,17174,19,961,7042,24,9166
HT4BTJT00078,HT4BTJT00078,23958,16,105,14571,5,9296
HT4BTJT00127,HT4BTJT00127,31549,47,140,21837,5,9557
HT4CWJT00250,HT4BTJT00127,41353,62,712,30648,5,9939
HT4BTJT00127,compute-europe-west-1,6108,8,3672,10,4,2406
HT4BTJT00078,HT4BTJT00078,30278,43,106,20888,8,9267
HT4CWJT00250,HT4CWJT00250,31277,17,125,22037,11,9112
HT4BVJT00007,HT4CWJT00250,37651,50,696,27197,6,9705
HT4BVJT00007,HT4BTJT00078,31865,21,309,22203,5,9329
HT4BVJT00007,HT4BTJT00078,40293,8,340,30816,5,9143
HT4BTJT00127,compute-europe-west-1,4974,23,2506,16,2,2407
HT4CWJT00250,compute-europe-west-1,6453,26,3520,671,2,2229
HT4BVJT00007,HT4BVJT00007,38983,6,88,29272,5,9653
HT4CWJT00250,compute-europe-west-1,7762,40,2984,2491,2,2241
HT4BVJT00007,HT4BTJT00127,38257,54,389,27802,4,10042
HT4BTJT00078,HT4BTJT00078,43697,22,117,34388,7,9186
