ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00007,9277,17,99,18,2,9147
HT4BVJT00189,HT4BVJT00007,15236,29,243,5868,3,9125
HT4BVJT00007,HT4BTJT00127,10247,36,247,7,3,9947
HT4BVJT00007,HT4BTJT00127,16260,18,246,6737,6,9282
HT4BTJT00127,HT4BVJT00007,17018,6,145,7310,2,9555
HT4BVJT00007,HT4BVJT00003,9381,6,171,17,3,9174
HT4BVJT00003,HT4BVJT00003,18212,30,32,9137,1,9018
HT4BVJT00003,HT4BVJT00003,27301,5,49,18110,5,9163
HT4BVJT00189,HT4BVJT00007,18560,17,170,9112,1,9301
HT4BVJT00007,HT4BTJT00127,13636,38,174,4201,2,9215
HT4BVJT00007,HT4BVJT00189,9837,6,301,10,5,9493
HT4BVJT00003,HT4BVJT00189,18814,12,290,8941,2,9563
HT4BTJT00127,HT4BVJT00189,28441,6,234,18366,3,9826
HT4BVJT00189,HT4BVJT00007,24030,52,170,14437,2,9317
HT4BTJT00127,HT4BTJT00127,19232,13,85,10057,2,9080
HT4BVJT00003,HT4BTJT00127,27395,46,198,17932,3,9217
HT4BTJT00127,HT4BVJT00007,30279,9,212,20679,3,9371
HT4BVJT00007,HT4BVJT00003,23596,15,220,14118,4,9189
HT4BTJT00127,HT4BTJT00127,26901,77,86,17316,4,9464
HT4BVJT00007,HT4BVJT00003,26684,17,269,17108,3,9290
HT4BVJT00003,HT4BVJT00189,18412,14,218,8079,1,10119
HT4BTJT00127,HT4BVJT00007,21541,60,201,11828,3,9468
HT4BVJT00189,HT4BVJT00003,22059,6,194,12662,3,9182
HT4BVJT00189,HT4BTJT00127,18371,15,323,8685,2,9327
HT4BVJT00189,HT4BVJT00189,16945,12,28,6943,2,9959
HT4BTJT00127,HT4BVJT00003,26277,54,394,16325,3,9534
HT4BVJT00189,HT4BVJT00007,18028,8,138,8319,2,9555
HT4BTJT00127,HT4BTJT00127,22470,7,66,12863,3,9534
