ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3015,64,1033,3,0,1909
HT4BVJT00189,compute-europe-west-1,2513,44,545,34,1,1899
HT4BVJT00007,HT4BVJT00007,8978,19,53,10,1,8930
HT4BVJT00007,HT4BVJT00007,14652,17,6,5684,1,8944
HT4BVJT00007,HT4BTJT00127,9266,6,95,12,13,9142
HT4BTJT00127,HT4BTJT00127,17647,48,22,8484,3,9100
HT4BVJT00007,HT4BTJT00127,26544,14,97,17311,5,9109
HT4BVJT00007,HT4BVJT00007,14267,45,14,5254,2,8956
HT4BVJT00003,compute-europe-west-1,2957,29,1012,3,0,1912
HT4BVJT00003,compute-europe-west-1,4705,65,998,1738,0,1893
HT4BVJT00189,compute-europe-west-1,5440,61,906,2613,0,1886
HT4BVJT00003,compute-europe-west-1,4174,32,689,1557,0,1899
HT4BVJT00189,compute-europe-west-1,5362,46,704,2722,0,1888
HT4BVJT00003,compute-europe-west-1,5508,27,515,3077,1,1891
HT4BTJT00127,HT4BVJT00007,9164,31,111,7,2,9016
HT4BTJT00127,HT4BVJT00007,17123,7,41,7974,2,9102
HT4BTJT00127,HT4BTJT00127,11251,7,5,2199,1,9038
HT4BVJT00003,compute-europe-west-1,2822,62,857,3,0,1899
HT4BTJT00127,HT4BVJT00007,15244,6,70,6029,1,9135
HT4BVJT00007,HT4BTJT00127,10059,7,52,920,2,9071
HT4BVJT00007,HT4BTJT00127,17224,6,31,8124,1,9053
HT4BVJT00189,compute-europe-west-1,2878,40,917,4,0,1910
HT4BVJT00189,compute-europe-west-1,3143,18,1063,143,1,1926
HT4BVJT00007,HT4BVJT00007,15664,8,9,6404,1,9235
HT4BVJT00189,compute-europe-west-1,3609,62,1071,577,0,1897
HT4BTJT00127,HT4BVJT00003,9125,6,47,19,6,9049
HT4BVJT00007,HT4BVJT00003,17689,50,42,8588,1,9006
HT4BVJT00189,compute-europe-west-1,4253,64,2288,3,0,1896
HT4BVJT00189,compute-europe-west-1,2617,41,706,3,0,1864
HT4BTJT00127,HT4BVJT00007,12250,19,41,2856,1,9318
HT4BVJT00007,HT4BVJT00007,21448,7,6,12097,1,9339
HT4BVJT00007,HT4BTJT00127,18410,6,113,9077,4,9208
HT4BTJT00127,HT4BTJT00127,9135,26,15,20,2,9075
HT4BVJT00189,compute-europe-west-1,2819,47,885,2,1,1881
HT4BVJT00007,HT4BVJT00003,9259,6,47,28,8,9124
HT4BVJT00007,HT4BVJT00003,17753,10,60,8549,2,9129
