ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00007,9967,26,592,32,6,9203
HT4BVJT00189,HT4BVJT00003,10863,10,1397,12,6,9380
HT4BVJT00007,HT4BVJT00007,14772,45,133,5101,5,9538
HT4BVJT00007,HT4BVJT00003,15763,15,1031,4929,4,9821
HT4BTJT00127,HT4BVJT00007,18080,43,1793,6653,5,9657
HT4BVJT00007,HT4BVJT00003,35298,7,914,24788,13,9579
HT4BVJT00003,HT4BVJT00003,15692,14,151,6238,5,9318
HT4BVJT00003,HT4BVJT00003,25383,23,172,15358,21,9844
HT4BVJT00189,HT4BTJT00127,10337,42,422,13,11,9894
HT4BVJT00007,HT4BVJT00007,18858,5,63,9309,3,9513
HT4BVJT00007,HT4BTJT00127,17038,54,519,7211,6,9279
HT4BVJT00003,HT4BTJT00127,35604,26,610,25190,7,9774
HT4BTJT00127,HT4BTJT00127,25626,41,175,16026,6,9370
HT4BVJT00189,HT4BVJT00189,9718,17,114,13,6,9601
HT4BTJT00127,HT4BVJT00189,19376,15,514,8565,7,10165
HT4BTJT00127,HT4BVJT00007,22470,40,566,12146,7,9708
HT4BVJT00007,HT4BVJT00007,27681,13,141,17677,5,9873
HT4BVJT00003,HT4BVJT00189,18754,23,802,7752,6,10197
HT4BTJT00127,HT4BVJT00189,28929,16,657,17788,6,10479
HT4BVJT00003,HT4BVJT00003,25809,18,101,16044,5,9639
HT4BVJT00007,HT4BVJT00003,35488,7,414,25190,8,9830
HT4BTJT00127,HT4BVJT00007,24247,15,639,13676,14,9844
HT4BVJT00189,HT4BTJT00127,16950,39,498,6480,4,9905
HT4BVJT00189,HT4BVJT00189,21706,56,100,10942,4,10652
HT4BVJT00189,HT4BTJT00127,23447,17,498,13325,8,9615
HT4BVJT00003,HT4BVJT00003,27565,49,175,17582,7,9777
HT4BTJT00127,HT4BVJT00007,22264,20,352,11975,5,9917
HT4BVJT00189,HT4BVJT00189,27207,10,86,16833,3,10313
HT4BTJT00127,HT4BVJT00007,30295,54,445,19952,4,9864
HT4BVJT00189,HT4BTJT00127,26044,19,447,16118,5,9499
HT4BVJT00007,HT4BVJT00003,26511,42,427,16260,7,9770
HT4BVJT00007,HT4BVJT00189,27790,29,565,16494,5,10730
HT4BVJT00189,HT4BVJT00007,26836,12,560,16443,4,9849
HT4BVJT00007,HT4BVJT00003,29281,42,312,19027,9,9908
HT4BTJT00127,HT4BTJT00127,23476,44,106,13646,5,9712
HT4BVJT00189,HT4BTJT00127,30880,18,829,22360,7,7679
HT4BVJT00007,HT4BVJT00007,34074,22,77,24092,4,9920
HT4BVJT00189,HT4BVJT00189,24832,22,90,14116,7,10612
HT4BVJT00007,HT4BVJT00003,26698,13,494,15888,5,10320
HT4BVJT00007,HT4BVJT00189,29415,6,346,18482,16,10527
HT4BVJT00189,HT4BTJT00127,26442,54,467,15648,6,10253
HT4BVJT00007,HT4BVJT00007,26075,18,156,15932,6,9997
HT4BVJT00189,HT4BVJT00003,28626,17,496,17065,6,11059
HT4BVJT00007,HT4BVJT00189,28867,6,371,17895,5,10629
HT4BVJT00189,HT4BTJT00127,24727,50,387,13989,8,10301
HT4BVJT00003,HT4BVJT00007,27258,24,357,16780,5,10111
HT4BVJT00003,HT4BTJT00127,29741,23,470,18789,6,10485
HT4BTJT00127,HT4BVJT00003,25692,40,784,14816,7,10076
HT4BVJT00007,HT4BVJT00007,27649,18,92,17285,4,10275
HT4BTJT00127,HT4BVJT00189,25699,11,410,14778,4,10418
HT4BTJT00127,HT4BVJT00003,30223,10,794,19161,10,10143
HT4BTJT00127,HT4BVJT00003,40408,53,1249,28565,7,10511
HT4BTJT00127,HT4BVJT00003,50877,74,1111,38804,5,10868
HT4BVJT00007,HT4BTJT00127,31032,5,439,20069,5,10493
HT4BVJT00003,HT4BVJT00189,30167,11,682,18901,5,10568
HT4BVJT00003,HT4BVJT00007,10282,25,477,41,7,9738
HT4BVJT00189,HT4BVJT00007,16864,45,365,6654,5,9802
HT4BVJT00007,HT4BTJT00127,10735,25,805,27,8,9910
HT4BVJT00007,HT4BVJT00189,10487,6,517,19,10,9956
HT4BTJT00127,HT4BVJT00007,19025,17,488,8636,4,9892
HT4BVJT00007,HT4BTJT00127,11044,30,646,23,8,10373
HT4BVJT00003,HT4BTJT00127,21142,9,1022,9860,14,10237
HT4BVJT00003,HT4BTJT00127,31099,47,1061,19970,5,10069
HT4BVJT00189,HT4BVJT00189,10641,20,110,9,3,10536
HT4BVJT00007,HT4BVJT00189,20258,6,254,9369,8,10614
HT4BVJT00007,HT4BVJT00007,18951,10,177,8532,6,10274
HT4BVJT00003,HT4BVJT00003,10358,49,99,13,5,10210
HT4BTJT00127,HT4BVJT00003,20116,48,860,9319,17,9896
HT4BVJT00189,HT4BVJT00003,29411,16,1134,18424,8,9841
HT4BTJT00127,HT4BVJT00003,39013,35,686,28078,4,10239
HT4BTJT00127,HT4BVJT00007,24321,86,712,13798,11,9752
HT4BVJT00007,HT4BVJT00189,20546,6,607,8932,5,11029
HT4BVJT00003,HT4BVJT00007,25942,14,560,15541,6,9857
HT4BTJT00127,HT4BVJT00007,35675,33,405,25180,6,10022
HT4BVJT00003,HT4BTJT00127,22531,52,367,11867,5,10277
HT4BVJT00007,HT4BTJT00127,32422,12,426,21804,7,10164
HT4BTJT00127,HT4BVJT00189,18116,25,1086,6076,18,10941
HT4BVJT00189,HT4BTJT00127,29472,12,590,18066,6,10834
HT4BVJT00189,HT4BVJT00189,20761,25,104,9780,3,10880
HT4BVJT00189,HT4BVJT00003,18724,16,496,8203,4,10016
HT4BVJT00003,HT4BVJT00003,28481,19,164,17851,6,10470
HT4BTJT00127,HT4BVJT00007,24354,24,297,13845,4,10188
HT4BVJT00189,HT4BVJT00189,26950,53,92,15834,5,11004
HT4BTJT00127,HT4BVJT00003,35713,19,480,24693,11,10522
HT4BVJT00189,HT4BTJT00127,30361,22,323,19110,5,10899
HT4BVJT00007,HT4BVJT00007,25400,19,148,14854,7,10415
HT4BVJT00007,HT4BVJT00189,27979,6,636,16284,6,11087
HT4BVJT00189,HT4BVJT00007,29832,53,348,19250,8,10187
HT4BVJT00007,HT4BTJT00127,30571,32,325,18192,6,12016
HT4BTJT00127,HT4BVJT00003,32810,55,538,20031,7,12180
HT4BVJT00189,HT4BVJT00003,43784,7,526,31942,11,11339
HT4BVJT00007,HT4BVJT00189,32452,11,302,21208,4,10951
HT4BVJT00189,HT4BTJT00127,33393,18,330,21848,4,11216
HT4BVJT00007,HT4BVJT00007,26720,14,147,15461,6,11123
HT4BVJT00007,HT4BVJT00189,30080,62,308,18857,9,10872
HT4BVJT00189,HT4BVJT00007,35261,41,442,23577,7,11181
HT4BVJT00007,HT4BTJT00127,33259,19,361,22128,6,10727
HT4BVJT00189,HT4BVJT00003,34193,23,443,22070,9,11669
HT4BVJT00007,HT4BVJT00189,29718,41,380,18605,8,10721
HT4BVJT00189,HT4BVJT00003,39917,9,420,28310,16,11137
HT4BVJT00003,compute-europe-west-1,4605,34,2198,28,4,2326
HT4BVJT00003,HT4BVJT00007,28756,11,455,17400,5,10920
HT4BTJT00127,HT4BTJT00127,28705,38,162,17323,7,11201
HT4BVJT00007,HT4BVJT00189,27970,20,268,16930,6,10781
HT4BTJT00127,compute-europe-west-1,4161,11,1930,6,1,2204
HT4BTJT00127,HT4BVJT00007,31842,14,332,20581,5,10915
HT4BTJT00127,HT4BVJT00007,42296,49,307,31197,6,10746
HT4BTJT00127,HT4BVJT00007,52660,8,252,41729,6,10686
HT4BVJT00007,HT4BTJT00127,32756,68,286,21173,7,11215
HT4BVJT00003,HT4BVJT00003,33157,49,97,21946,6,11089
HT4BVJT00003,HT4BVJT00007,10241,48,531,58,5,9584
HT4BVJT00189,HT4BVJT00007,16664,50,535,6525,4,9569
HT4BVJT00007,HT4BVJT00003,10246,8,635,16,9,9619
HT4BVJT00007,HT4BVJT00003,16926,9,415,6532,4,9965
HT4BTJT00127,HT4BVJT00007,18481,50,391,8406,3,9645
HT4BVJT00007,HT4BVJT00003,27760,17,410,17016,16,10318
HT4BVJT00003,HT4BVJT00003,17293,52,153,7265,5,9828
HT4BVJT00003,HT4BVJT00003,37644,59,143,27308,6,10147
HT4BVJT00189,HT4BTJT00127,10259,23,730,12,5,9531
HT4BVJT00007,HT4BVJT00189,10638,10,372,12,4,10217
HT4BVJT00007,HT4BVJT00007,18469,53,129,8021,4,10295
HT4BVJT00003,HT4BVJT00189,19097,12,800,7755,6,10547
HT4BTJT00127,HT4BTJT00127,16685,27,245,6662,5,9754
HT4BVJT00189,HT4BVJT00189,26942,57,205,18062,7,8630
HT4BTJT00127,HT4BVJT00007,26219,12,343,16172,7,9681
HT4BTJT00127,HT4BTJT00127,22828,9,148,12934,8,9759
HT4BVJT00007,HT4BVJT00007,28918,22,136,18825,6,9964
HT4BVJT00003,HT4BTJT00127,34900,15,804,24213,7,9840
HT4BTJT00127,HT4BTJT00127,24705,15,155,14062,10,10465
HT4BVJT00003,HT4BVJT00003,28887,18,128,18697,6,10068
HT4BVJT00007,HT4BVJT00003,39018,10,385,28306,5,10347
HT4BTJT00127,HT4BVJT00189,16690,28,797,4929,7,10960
HT4BVJT00189,HT4BVJT00189,21150,8,150,9979,13,11057
HT4BVJT00189,HT4BVJT00007,17449,23,331,6980,4,10145
HT4BVJT00189,HT4BTJT00127,25267,61,398,14822,5,9971
HT4BVJT00003,HT4BVJT00007,23328,14,530,14805,8,8009
HT4BTJT00127,HT4BVJT00003,30758,19,645,19250,5,10852
HT4BVJT00189,HT4BVJT00189,25701,48,78,14575,4,11011
