ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2042,57,577,7,2,1390
HT4BTJT00127,joaquim-MS-7996,1920,19,384,160,1,1356
HT4BVJT00003,joaquim-MS-7996,3090,29,557,1152,1,1366
HT4BVJT00003,joaquim-MS-7996,2914,22,393,1121,0,1344
HT4CWJT00250,joaquim-MS-7996,2265,27,534,362,0,1336
HT4BVJT00189,joaquim-MS-7996,1637,25,251,6,1,1362
HT4BVJT00003,joaquim-MS-7996,1674,67,246,6,0,1349
HT4BVJT00003,joaquim-MS-7996,1701,9,261,6,2,1407
HT4CWJT00250,joaquim-MS-7996,2304,16,152,810,0,1322
HT4BTJT00127,joaquim-MS-7996,1740,15,375,3,0,1328
HT4CWJT00250,joaquim-MS-7996,1860,10,400,2,0,1343
HT4BVJT00003,joaquim-MS-7996,2285,41,251,655,1,1333
HT4BVJT00189,joaquim-MS-7996,1638,14,249,7,1,1357
HT4BVJT00189,joaquim-MS-7996,1719,9,338,5,1,1358
HT4CWJT00250,joaquim-MS-7996,1833,45,393,6,0,1368
HT4BTJT00127,joaquim-MS-7996,1682,24,292,7,0,1360
HT4BTJT00127,joaquim-MS-7996,1565,67,182,1,0,1320
HT4BTJT00127,joaquim-MS-7996,1520,30,116,3,1,1359
HT4CWJT00250,joaquim-MS-7996,3063,53,352,1329,1,1337
HT4BVJT00003,joaquim-MS-7996,1839,63,297,1,0,1368
HT4CWJT00250,joaquim-MS-7996,4310,10,419,2483,1,1364
HT4CWJT00250,joaquim-MS-7996,3061,21,137,1575,0,1324
HT4BTJT00127,joaquim-MS-7996,3902,24,220,2346,0,1324
HT4BVJT00003,joaquim-MS-7996,4771,38,179,3192,0,1342
HT4CWJT00250,joaquim-MS-7996,1684,84,224,5,1,1363
HT4BTJT00127,joaquim-MS-7996,1581,16,199,4,0,1362
HT4BVJT00189,joaquim-MS-7996,2637,14,279,1016,1,1326
HT4BVJT00189,joaquim-MS-7996,1669,45,259,5,1,1379
HT4BVJT00189,joaquim-MS-7996,2998,78,516,1066,0,1336
HT4BVJT00189,joaquim-MS-7996,3976,33,421,2078,1,1341
HT4BVJT00003,joaquim-MS-7996,2985,22,226,1402,0,1329
HT4BVJT00003,joaquim-MS-7996,1699,48,289,5,0,1360
HT4BVJT00189,joaquim-MS-7996,2984,42,263,1293,0,1341
HT4BVJT00189,joaquim-MS-7996,2538,36,242,932,3,1343
HT4BVJT00189,joaquim-MS-7996,3309,24,285,1669,1,1332
HT4BVJT00003,joaquim-MS-7996,3860,60,163,2288,0,1327
HT4BVJT00189,joaquim-MS-7996,1701,16,208,5,1,1381
HT4BVJT00189,joaquim-MS-7996,1958,18,491,7,1,1365
HT4CWJT00250,joaquim-MS-7996,1561,65,142,4,1,1353
HT4BVJT00189,joaquim-MS-7996,1702,93,223,4,1,1373
HT4BVJT00189,joaquim-MS-7996,1604,50,217,5,0,1328
HT4BVJT00189,joaquim-MS-7996,1625,12,258,3,1,1345
HT4BVJT00189,joaquim-MS-7996,2003,42,227,378,1,1339
HT4BVJT00189,joaquim-MS-7996,3055,18,222,1463,1,1342
HT4BVJT00189,joaquim-MS-7996,4048,30,253,2420,0,1329
HT4BTJT00127,joaquim-MS-7996,1676,24,299,6,1,1369
HT4BVJT00003,joaquim-MS-7996,1823,58,345,7,3,1386
HT4BTJT00127,joaquim-MS-7996,1793,31,358,3,0,1400
HT4BVJT00003,joaquim-MS-7996,2875,45,338,1135,0,1350
HT4BVJT00003,joaquim-MS-7996,2695,72,316,929,1,1370
HT4CWJT00250,joaquim-MS-7996,2188,62,297,466,0,1341
HT4BVJT00189,joaquim-MS-7996,1628,20,238,6,1,1361
HT4BVJT00003,joaquim-MS-7996,1596,28,241,5,0,1325
HT4BVJT00003,joaquim-MS-7996,1776,49,334,6,2,1388
HT4CWJT00250,joaquim-MS-7996,2541,17,207,982,1,1322
HT4BTJT00127,joaquim-MS-7996,1547,10,178,5,0,1349
HT4CWJT00250,joaquim-MS-7996,1709,66,269,5,1,1360
HT4BVJT00003,joaquim-MS-7996,2236,30,237,632,1,1327
HT4BVJT00189,joaquim-MS-7996,1654,29,247,7,2,1365
HT4BVJT00189,joaquim-MS-7996,1650,41,243,5,1,1359
HT4CWJT00250,joaquim-MS-7996,1579,54,146,4,1,1364
HT4BTJT00127,joaquim-MS-7996,1629,11,239,5,1,1332
HT4BTJT00127,joaquim-MS-7996,1584,25,173,4,1,1361
HT4BTJT00127,joaquim-MS-7996,1506,58,87,3,0,1356
HT4CWJT00250,joaquim-MS-7996,1716,56,247,5,1,1412
HT4BVJT00003,joaquim-MS-7996,2934,48,248,1264,0,1328
HT4CWJT00250,joaquim-MS-7996,4117,13,281,2476,0,1336
HT4CWJT00250,joaquim-MS-7996,2933,9,125,1449,2,1340
HT4BTJT00127,joaquim-MS-7996,3763,23,134,2241,1,1325
HT4BVJT00003,joaquim-MS-7996,4615,20,164,3068,0,1344
HT4CWJT00250,joaquim-MS-7996,1724,41,308,5,1,1360
HT4BTJT00127,joaquim-MS-7996,1633,23,148,4,1,1360
HT4BVJT00189,joaquim-MS-7996,2549,43,192,980,1,1332
HT4BVJT00189,joaquim-MS-7996,3194,27,398,1342,1,1335
HT4BVJT00189,joaquim-MS-7996,1736,48,329,3,1,1364
HT4BVJT00189,joaquim-MS-7996,3868,19,265,2239,1,1336
HT4BVJT00003,joaquim-MS-7996,2972,8,172,1462,0,1330
HT4BVJT00003,joaquim-MS-7996,3162,29,412,1279,1,1333
HT4BVJT00189,joaquim-MS-7996,1619,31,224,5,1,1352
HT4BVJT00189,joaquim-MS-7996,2529,26,182,958,0,1355
HT4BVJT00189,joaquim-MS-7996,3305,24,337,1606,2,1333
HT4BVJT00003,joaquim-MS-7996,3916,43,254,2216,1,1334
HT4BVJT00189,joaquim-MS-7996,1673,53,242,5,1,1355
HT4BVJT00189,joaquim-MS-7996,1665,18,260,7,1,1374
HT4CWJT00250,joaquim-MS-7996,1546,30,151,5,0,1355
HT4BVJT00189,joaquim-MS-7996,1645,43,215,5,1,1366
HT4BVJT00189,joaquim-MS-7996,1639,67,184,5,1,1365
HT4BVJT00189,joaquim-MS-7996,1695,46,270,6,1,1368
HT4BVJT00189,joaquim-MS-7996,2157,90,257,473,1,1337
HT4BVJT00189,joaquim-MS-7996,3278,13,267,1569,1,1325
HT4BVJT00189,joaquim-MS-7996,4206,48,253,2553,1,1335
HT4BTJT00127,joaquim-MS-7996,1731,22,339,5,1,1361
HT4BVJT00003,joaquim-MS-7996,1653,15,222,7,2,1396
HT4BTJT00127,joaquim-MS-7996,1744,25,239,7,2,1470
HT4BVJT00003,joaquim-MS-7996,2909,15,274,1268,1,1353
HT4BVJT00003,joaquim-MS-7996,2711,20,198,1125,1,1336
HT4CWJT00250,joaquim-MS-7996,2114,15,219,512,1,1349
HT4BVJT00189,joaquim-MS-7996,1615,51,196,5,1,1353
HT4BVJT00003,joaquim-MS-7996,1567,23,163,5,1,1370
HT4BVJT00003,joaquim-MS-7996,1677,45,234,7,2,1372
HT4CWJT00250,joaquim-MS-7996,2422,14,141,920,0,1336
HT4BTJT00127,joaquim-MS-7996,1628,61,190,5,0,1366
HT4CWJT00250,joaquim-MS-7996,1635,57,215,7,1,1349
HT4BVJT00003,joaquim-MS-7996,2322,15,155,814,0,1331
HT4BVJT00189,joaquim-MS-7996,1757,14,365,6,1,1361
HT4BVJT00189,joaquim-MS-7996,1768,47,338,7,1,1361
HT4CWJT00250,joaquim-MS-7996,1574,15,156,5,1,1384
HT4BTJT00127,joaquim-MS-7996,1634,50,244,2,0,1331
HT4BTJT00127,joaquim-MS-7996,1575,47,131,5,0,1382
HT4BTJT00127,joaquim-MS-7996,1521,62,86,5,1,1365
HT4CWJT00250,joaquim-MS-7996,1674,27,265,2,0,1362
HT4BVJT00003,joaquim-MS-7996,2894,17,274,1267,1,1332
HT4CWJT00250,joaquim-MS-7996,4036,22,267,2386,1,1342
HT4CWJT00250,joaquim-MS-7996,2960,53,127,1328,0,1327
HT4BTJT00127,joaquim-MS-7996,3592,42,140,2068,0,1330
HT4BVJT00003,joaquim-MS-7996,4492,16,183,2907,1,1339
HT4CWJT00250,joaquim-MS-7996,1517,15,154,2,0,1333
HT4BTJT00127,joaquim-MS-7996,1603,87,137,4,1,1367
HT4BVJT00189,joaquim-MS-7996,2600,21,208,1018,1,1342
HT4BVJT00189,joaquim-MS-7996,3238,41,489,1341,1,1348
HT4BVJT00189,joaquim-MS-7996,1830,11,439,5,1,1381
HT4BVJT00189,joaquim-MS-7996,3975,20,219,2388,2,1333
HT4BVJT00003,joaquim-MS-7996,3057,70,161,1444,1,1336
HT4BVJT00003,joaquim-MS-7996,1547,8,158,6,1,1366
HT4BVJT00189,joaquim-MS-7996,2795,53,134,1244,0,1351
HT4BVJT00189,joaquim-MS-7996,2209,65,197,587,1,1344
HT4BVJT00189,joaquim-MS-7996,3013,41,198,1433,1,1331
