ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1424,37,60,4,1,1314
HT4BTJT00127,joaquim-MS-7996,1543,57,109,4,1,1358
HT4BVJT00003,joaquim-MS-7996,2650,56,69,1233,0,1288
HT4CWJT00250,joaquim-MS-7996,1476,17,104,4,1,1325
HT4BVJT00189,joaquim-MS-7996,1537,105,98,3,1,1315
HT4CWJT00250,joaquim-MS-7996,1438,31,69,4,1,1325
HT4BTJT00127,joaquim-MS-7996,1462,52,65,4,0,1304
HT4CWJT00250,joaquim-MS-7996,1453,38,54,4,0,1306
HT4BVJT00189,joaquim-MS-7996,1451,41,78,3,1,1323
HT4BVJT00189,joaquim-MS-7996,1427,31,67,4,0,1316
HT4CWJT00250,joaquim-MS-7996,1523,51,71,4,1,1325
HT4BVJT00003,joaquim-MS-7996,1975,34,57,587,0,1290
HT4BTJT00127,joaquim-MS-7996,1467,28,56,3,1,1370
HT4BTJT00127,joaquim-MS-7996,1401,25,63,2,0,1296
HT4BVJT00189,joaquim-MS-7996,1422,65,58,1,0,1295
HT4BVJT00189,joaquim-MS-7996,1406,32,76,1,0,1290
HT4CWJT00250,joaquim-MS-7996,2128,24,79,646,0,1280
HT4CWJT00250,joaquim-MS-7996,3027,25,46,1664,1,1284
HT4CWJT00250,joaquim-MS-7996,1783,17,61,403,1,1295
HT4BVJT00189,joaquim-MS-7996,1621,25,38,265,0,1284
HT4BVJT00003,joaquim-MS-7996,1554,34,75,2,0,1435
HT4BVJT00003,joaquim-MS-7996,1389,15,46,4,0,1313
HT4BVJT00189,joaquim-MS-7996,1918,8,61,508,1,1289
HT4BVJT00189,joaquim-MS-7996,1574,72,38,3,0,1455
HT4BVJT00189,joaquim-MS-7996,2495,66,36,986,0,1290
HT4CWJT00250,joaquim-MS-7996,2753,54,61,1340,0,1291
HT4BTJT00127,joaquim-MS-7996,1494,91,75,4,0,1318
HT4BVJT00189,joaquim-MS-7996,1529,40,93,4,1,1385
HT4BVJT00189,joaquim-MS-7996,1371,16,37,4,0,1312
HT4BVJT00003,joaquim-MS-7996,2369,112,31,933,1,1284
HT4BTJT00127,joaquim-MS-7996,3600,53,42,2201,0,1294
HT4BVJT00189,joaquim-MS-7996,4805,30,60,3367,0,1288
HT4BVJT00189,joaquim-MS-7996,3014,20,59,1595,0,1332
HT4BVJT00189,joaquim-MS-7996,1499,20,53,2,0,1414
HT4BVJT00189,joaquim-MS-7996,1915,30,66,536,1,1280
HT4BVJT00189,joaquim-MS-7996,2825,32,67,1418,0,1283
HT4BTJT00127,joaquim-MS-7996,1408,24,65,4,0,1317
HT4BTJT00127,joaquim-MS-7996,2566,21,28,1187,0,1331
HT4BTJT00127,joaquim-MS-7996,2421,25,72,1027,0,1288
HT4BVJT00189,joaquim-MS-7996,1529,18,60,3,0,1438
HT4BVJT00003,joaquim-MS-7996,2503,69,59,1081,0,1290
HT4CWJT00250,joaquim-MS-7996,2921,20,89,1424,0,1288
HT4BVJT00189,joaquim-MS-7996,1831,35,53,447,0,1290
HT4BVJT00003,joaquim-MS-7996,2777,31,79,1299,0,1278
HT4BVJT00189,joaquim-MS-7996,1480,64,78,3,0,1321
HT4BVJT00003,joaquim-MS-7996,1419,32,60,5,0,1310
HT4BTJT00127,joaquim-MS-7996,1526,19,81,4,1,1419
HT4BVJT00003,joaquim-MS-7996,2629,57,52,1221,0,1289
HT4CWJT00250,joaquim-MS-7996,1521,46,96,4,1,1345
HT4BVJT00189,joaquim-MS-7996,1451,65,58,3,1,1315
HT4CWJT00250,joaquim-MS-7996,1439,30,89,1,0,1308
HT4BTJT00127,joaquim-MS-7996,1479,32,109,4,0,1313
HT4CWJT00250,joaquim-MS-7996,1394,13,57,3,0,1317
HT4BVJT00189,joaquim-MS-7996,1442,41,66,3,1,1323
