ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2115,19,561,23,7,1555
HT4BTJT00127,joaquim-MS-7996,2202,50,492,105,4,1541
HT4CWJT00250,joaquim-MS-7996,2252,50,630,11,4,1553
HT4BVJT00003,joaquim-MS-7996,1875,28,325,4,1,1505
HT4BVJT00189,joaquim-MS-7996,2155,44,533,14,8,1531
HT4CWJT00250,joaquim-MS-7996,1922,23,220,10,2,1551
HT4BTJT00127,joaquim-MS-7996,1917,9,345,10,6,1527
HT4CWJT00250,joaquim-MS-7996,1977,15,413,5,1,1551
HT4BVJT00003,joaquim-MS-7996,3092,43,297,1230,1,1510
HT4BVJT00189,joaquim-MS-7996,1944,26,348,8,2,1542
HT4BVJT00189,joaquim-MS-7996,2159,20,436,15,2,1524
HT4CWJT00250,joaquim-MS-7996,1975,50,348,13,5,1540
HT4BTJT00127,joaquim-MS-7996,2046,9,452,23,3,1535
HT4BTJT00127,joaquim-MS-7996,1929,29,286,9,5,1585
HT4BTJT00127,joaquim-MS-7996,1956,9,385,8,7,1535
HT4CWJT00250,joaquim-MS-7996,2452,45,871,2,1,1507
HT4CWJT00250,joaquim-MS-7996,3772,10,793,1452,0,1511
HT4CWJT00250,joaquim-MS-7996,2683,50,390,709,1,1504
HT4BTJT00127,joaquim-MS-7996,3709,14,240,1936,0,1508
HT4CWJT00250,joaquim-MS-7996,2038,53,399,13,2,1534
HT4BTJT00127,joaquim-MS-7996,1930,11,308,8,2,1575
HT4BVJT00189,joaquim-MS-7996,3145,25,428,1132,1,1547
HT4BVJT00003,joaquim-MS-7996,3455,50,308,1528,1,1544
HT4BVJT00189,joaquim-MS-7996,3110,10,527,1000,1,1515
HT4BVJT00189,joaquim-MS-7996,4595,11,582,2353,1,1520
HT4BVJT00189,joaquim-MS-7996,5546,25,270,3621,1,1508
HT4BVJT00189,joaquim-MS-7996,1890,47,287,11,7,1530
HT4BVJT00189,joaquim-MS-7996,1971,11,400,6,1,1546
HT4BVJT00189,joaquim-MS-7996,2953,10,326,1104,2,1512
HT4BVJT00003,joaquim-MS-7996,1996,18,330,16,3,1557
HT4BVJT00189,joaquim-MS-7996,2013,13,339,19,2,1628
HT4BVJT00003,joaquim-MS-7996,1969,32,346,14,2,1527
HT4CWJT00250,joaquim-MS-7996,1886,69,257,11,6,1539
HT4BVJT00003,joaquim-MS-7996,2730,10,353,815,1,1517
HT4BVJT00003,joaquim-MS-7996,2260,10,218,509,2,1502
HT4BVJT00003,joaquim-MS-7996,1961,43,326,19,2,1546
HT4BVJT00189,joaquim-MS-7996,2206,13,412,276,3,1516
HT4BVJT00189,joaquim-MS-7996,1956,56,265,6,1,1523
HT4BTJT00127,joaquim-MS-7996,2137,17,545,17,4,1540
HT4BVJT00189,joaquim-MS-7996,3560,10,565,1456,1,1514
HT4BVJT00003,joaquim-MS-7996,2166,58,420,16,7,1643
HT4BTJT00127,joaquim-MS-7996,2317,12,511,138,2,1531
HT4CWJT00250,joaquim-MS-7996,2092,18,474,15,3,1549
HT4BVJT00003,joaquim-MS-7996,1823,10,310,4,1,1508
HT4BVJT00189,joaquim-MS-7996,2098,15,509,11,2,1540
HT4CWJT00250,joaquim-MS-7996,1778,9,233,6,1,1513
HT4BTJT00127,joaquim-MS-7996,1968,50,279,10,2,1536
HT4CWJT00250,joaquim-MS-7996,1969,48,315,14,2,1564
HT4BVJT00003,joaquim-MS-7996,2993,14,278,1175,1,1506
HT4BVJT00189,joaquim-MS-7996,1831,12,251,7,2,1539
HT4BVJT00189,joaquim-MS-7996,1973,19,380,13,3,1537
HT4CWJT00250,joaquim-MS-7996,1982,27,349,14,3,1529
HT4BTJT00127,joaquim-MS-7996,1961,13,411,6,2,1527
HT4BTJT00127,joaquim-MS-7996,1955,16,308,11,7,1586
HT4BTJT00127,joaquim-MS-7996,1892,32,285,12,2,1535
HT4CWJT00250,joaquim-MS-7996,1883,8,290,11,2,1564
HT4CWJT00250,joaquim-MS-7996,3126,11,148,1445,1,1504
HT4CWJT00250,joaquim-MS-7996,2067,45,244,271,1,1506
HT4BTJT00127,joaquim-MS-7996,3070,23,237,1288,1,1509
HT4CWJT00250,joaquim-MS-7996,2017,15,343,15,6,1531
HT4BTJT00127,joaquim-MS-7996,1921,12,316,21,1,1557
HT4BVJT00189,joaquim-MS-7996,3121,48,396,1144,2,1518
HT4BVJT00003,joaquim-MS-7996,3517,11,357,1560,0,1547
HT4BVJT00189,joaquim-MS-7996,3002,9,546,960,1,1517
HT4BVJT00189,joaquim-MS-7996,4477,14,526,2385,1,1524
HT4BVJT00189,joaquim-MS-7996,5441,18,275,3614,2,1516
HT4BVJT00189,joaquim-MS-7996,1859,11,300,11,1,1534
HT4BVJT00189,joaquim-MS-7996,2041,9,374,11,3,1621
HT4BVJT00189,joaquim-MS-7996,3008,50,375,1025,3,1528
HT4BVJT00003,joaquim-MS-7996,2004,54,368,13,2,1552
HT4BVJT00189,joaquim-MS-7996,1976,16,307,9,2,1629
HT4BVJT00003,joaquim-MS-7996,1959,50,349,8,2,1535
HT4CWJT00250,joaquim-MS-7996,1863,18,267,10,2,1548
HT4BVJT00003,joaquim-MS-7996,2869,12,394,896,2,1520
HT4BVJT00003,joaquim-MS-7996,2380,19,271,525,1,1506
HT4BVJT00003,joaquim-MS-7996,1988,27,390,13,3,1536
HT4BVJT00189,joaquim-MS-7996,2089,9,403,145,3,1516
HT4BVJT00189,joaquim-MS-7996,1933,49,279,11,2,1542
HT4BTJT00127,joaquim-MS-7996,2082,12,442,13,6,1543
HT4BVJT00189,joaquim-MS-7996,3269,35,424,1280,1,1512
HT4BVJT00003,joaquim-MS-7996,2039,64,352,15,5,1585
HT4BTJT00127,joaquim-MS-7996,2114,15,540,24,3,1533
HT4CWJT00250,joaquim-MS-7996,2082,10,471,10,2,1564
HT4BVJT00003,joaquim-MS-7996,1900,14,336,8,2,1534
HT4BVJT00189,joaquim-MS-7996,2151,21,531,19,3,1555
HT4CWJT00250,joaquim-MS-7996,1823,41,214,2,1,1518
HT4BTJT00127,joaquim-MS-7996,1839,16,274,3,1,1522
HT4CWJT00250,joaquim-MS-7996,1996,49,360,13,4,1548
HT4BVJT00003,joaquim-MS-7996,3166,9,332,1300,1,1509
HT4BVJT00189,joaquim-MS-7996,1850,13,265,11,2,1542
HT4BVJT00189,joaquim-MS-7996,1956,10,373,21,8,1528
HT4CWJT00250,joaquim-MS-7996,1966,19,369,13,3,1537
HT4BTJT00127,joaquim-MS-7996,1926,16,378,7,2,1533
HT4BTJT00127,joaquim-MS-7996,1865,11,295,15,2,1521
HT4BTJT00127,joaquim-MS-7996,1843,14,298,6,1,1510
HT4CWJT00250,joaquim-MS-7996,1931,11,284,11,6,1611
HT4CWJT00250,joaquim-MS-7996,3204,48,183,1454,1,1515
HT4CWJT00250,joaquim-MS-7996,2117,36,214,352,2,1512
HT4BTJT00127,joaquim-MS-7996,3146,29,229,1367,1,1509
HT4CWJT00250,joaquim-MS-7996,1915,15,348,28,2,1511
HT4BTJT00127,joaquim-MS-7996,1927,19,313,13,2,1583
HT4BVJT00189,joaquim-MS-7996,3112,10,373,1147,3,1526
HT4BVJT00003,joaquim-MS-7996,3481,54,332,1526,1,1546
HT4BVJT00189,joaquim-MS-7996,3009,51,497,940,2,1512
HT4BVJT00189,joaquim-MS-7996,4467,53,516,2372,2,1520
HT4BVJT00189,joaquim-MS-7996,5438,11,244,3670,1,1514
HT4BVJT00189,joaquim-MS-7996,1881,21,271,12,5,1529
HT4BVJT00189,joaquim-MS-7996,2100,83,395,14,3,1605
HT4BVJT00189,joaquim-MS-7996,3103,46,284,1240,1,1510
HT4BVJT00003,joaquim-MS-7996,1957,65,321,12,6,1534
HT4BVJT00189,joaquim-MS-7996,1987,18,312,9,5,1622
HT4BVJT00003,joaquim-MS-7996,1939,12,378,24,2,1523
HT4CWJT00250,joaquim-MS-7996,1917,15,287,11,1,1591
HT4BVJT00003,joaquim-MS-7996,2702,32,350,774,2,1526
HT4BVJT00003,joaquim-MS-7996,2209,97,230,379,2,1506
HT4BVJT00003,joaquim-MS-7996,1904,17,315,18,2,1550
HT4BVJT00189,joaquim-MS-7996,2090,20,338,170,2,1518
HT4BVJT00189,joaquim-MS-7996,1879,24,293,14,2,1537
HT4BTJT00127,joaquim-MS-7996,2037,10,439,14,4,1556
HT4BVJT00189,joaquim-MS-7996,3416,29,442,1410,1,1515
HT4BVJT00003,joaquim-MS-7996,2406,51,714,15,8,1576
HT4BTJT00127,joaquim-MS-7996,2425,10,850,34,4,1539
HT4CWJT00250,joaquim-MS-7996,2204,11,620,17,2,1551
HT4BVJT00003,joaquim-MS-7996,2046,14,496,2,1,1514
HT4BVJT00189,joaquim-MS-7996,2272,13,681,13,6,1547
HT4CWJT00250,joaquim-MS-7996,1940,10,368,9,6,1530
HT4BTJT00127,joaquim-MS-7996,1993,50,403,6,1,1531
HT4CWJT00250,joaquim-MS-7996,2131,48,523,17,3,1545
HT4BVJT00003,joaquim-MS-7996,3221,21,437,1216,2,1532
HT4BVJT00189,joaquim-MS-7996,1942,9,364,10,8,1515
HT4BVJT00189,joaquim-MS-7996,2126,48,512,17,2,1532
HT4CWJT00250,joaquim-MS-7996,2036,21,468,4,2,1518
HT4BTJT00127,joaquim-MS-7996,2280,16,697,14,2,1545
HT4BTJT00127,joaquim-MS-7996,2254,9,492,18,3,1609
HT4BTJT00127,joaquim-MS-7996,2023,8,469,13,2,1535
HT4CWJT00250,joaquim-MS-7996,2120,9,510,15,2,1615
HT4CWJT00250,joaquim-MS-7996,3437,48,344,1497,1,1521
HT4CWJT00250,joaquim-MS-7996,2400,47,306,513,1,1506
HT4BTJT00127,joaquim-MS-7996,3353,28,325,1485,1,1510
HT4CWJT00250,joaquim-MS-7996,2127,9,530,14,8,1536
HT4BTJT00127,joaquim-MS-7996,2223,26,532,15,3,1563
HT4BVJT00189,joaquim-MS-7996,3404,42,776,1049,1,1527
HT4BVJT00003,joaquim-MS-7996,3765,13,551,1637,1,1538
HT4BVJT00189,joaquim-MS-7996,3239,23,860,830,2,1517
HT4BVJT00189,joaquim-MS-7996,4685,10,1038,2139,1,1523
HT4BVJT00189,joaquim-MS-7996,5721,15,726,3510,1,1512
HT4BVJT00189,joaquim-MS-7996,2030,54,439,8,1,1526
HT4BVJT00189,joaquim-MS-7996,2322,25,567,18,2,1699
HT4BVJT00189,joaquim-MS-7996,3280,28,521,1201,2,1539
HT4BVJT00003,joaquim-MS-7996,2065,14,476,11,4,1547
HT4BVJT00189,joaquim-MS-7996,2140,53,450,9,6,1614
HT4BVJT00003,joaquim-MS-7996,2163,13,471,18,3,1527
HT4CWJT00250,joaquim-MS-7996,1991,59,343,15,2,1563
HT4BVJT00003,joaquim-MS-7996,2950,49,511,860,1,1516
HT4BVJT00003,joaquim-MS-7996,2515,46,290,651,2,1510
HT4BVJT00003,joaquim-MS-7996,2337,10,738,17,2,1554
HT4BVJT00189,joaquim-MS-7996,2445,13,506,370,1,1517
HT4BVJT00189,joaquim-MS-7996,2039,52,427,14,3,1532
HT4BTJT00127,joaquim-MS-7996,2185,10,583,11,3,1553
HT4BVJT00189,joaquim-MS-7996,3467,88,580,1265,2,1509
HT4BVJT00003,joaquim-MS-7996,2227,21,521,16,7,1573
HT4BTJT00127,joaquim-MS-7996,2396,13,708,21,8,1614
HT4CWJT00250,joaquim-MS-7996,2546,17,924,13,4,1535
HT4BVJT00003,joaquim-MS-7996,1937,13,400,5,1,1507
HT4BVJT00189,joaquim-MS-7996,2420,15,830,18,2,1525
HT4CWJT00250,joaquim-MS-7996,1932,10,393,8,1,1504
HT4BTJT00127,joaquim-MS-7996,2046,32,377,10,2,1528
HT4CWJT00250,joaquim-MS-7996,2139,49,508,11,6,1546
HT4BVJT00003,joaquim-MS-7996,3189,42,476,1159,1,1508
HT4BVJT00189,joaquim-MS-7996,2001,11,416,9,2,1548
HT4BVJT00189,joaquim-MS-7996,2202,29,522,14,6,1528
HT4CWJT00250,joaquim-MS-7996,2146,16,568,20,1,1522
