ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10056,54,64,14,4,9918
HT4BTJT00127,HT4BTJT00127,10241,19,116,17,3,10125
HT4BVJT00003,HT4BVJT00003,17856,59,78,8264,8,9449
HT4BVJT00003,HT4BVJT00003,26437,56,54,16266,3,10091
HT4CWJT00250,HT4CWJT00250,9885,14,67,17,2,9784
HT4BVJT00189,HT4BVJT00189,10678,44,61,17,3,10581
HT4BVJT00003,HT4BVJT00189,15295,8,205,4930,11,10131
HT4BVJT00003,joaquim-MS-7996,2281,31,318,27,2,1899
HT4CWJT00250,HT4BVJT00189,23300,13,243,12630,2,10440
HT4BTJT00127,joaquim-MS-7996,1707,8,240,8,2,1416
HT4CWJT00250,joaquim-MS-7996,1737,13,234,6,3,1404
HT4BVJT00003,joaquim-MS-7996,2222,58,151,643,0,1356
HT4BVJT00189,joaquim-MS-7996,1811,14,342,7,1,1446
HT4BVJT00189,joaquim-MS-7996,2705,14,289,6,2,2392
HT4CWJT00250,joaquim-MS-7996,2959,15,198,189,0,2553
HT4BTJT00127,joaquim-MS-7996,2177,37,296,8,2,1828
HT4BTJT00127,joaquim-MS-7996,2424,59,159,2,0,2149
HT4BTJT00127,joaquim-MS-7996,2355,48,98,3,0,2186
HT4CWJT00250,joaquim-MS-7996,2400,20,214,3,1,2041
HT4BVJT00003,joaquim-MS-7996,4170,42,200,1944,0,1975
HT4CWJT00250,joaquim-MS-7996,6142,14,235,3688,1,2187
HT4CWJT00250,joaquim-MS-7996,6040,52,177,3399,0,2423
HT4BTJT00127,joaquim-MS-7996,7669,49,164,5310,0,2131
HT4BVJT00003,joaquim-MS-7996,9056,102,219,6897,0,1771
HT4CWJT00250,joaquim-MS-7996,2510,15,183,3,0,2304
HT4BTJT00127,joaquim-MS-7996,2105,18,143,5,2,1935
HT4BVJT00189,joaquim-MS-7996,4157,16,210,1627,2,2292
HT4BVJT00189,joaquim-MS-7996,4596,31,450,2244,9,1868
HT4BVJT00189,joaquim-MS-7996,2699,54,342,450,1,1853
HT4BVJT00189,joaquim-MS-7996,6466,9,267,3751,1,2401
HT4BVJT00003,joaquim-MS-7996,6629,38,348,3828,1,2410
HT4BVJT00003,joaquim-MS-7996,3734,27,284,1108,0,2317
HT4BVJT00189,joaquim-MS-7996,5670,16,211,3411,1,2023
HT4BVJT00189,joaquim-MS-7996,5869,56,228,3512,1,2071
HT4BVJT00189,joaquim-MS-7996,7093,46,269,4972,2,1807
HT4BVJT00003,joaquim-MS-7996,8163,24,196,6131,0,1766
HT4BVJT00189,joaquim-MS-7996,5092,38,228,2675,0,2053
HT4BVJT00189,joaquim-MS-7996,3155,11,200,995,1,1919
HT4CWJT00250,joaquim-MS-7996,2585,23,144,428,1,1982
HT4BVJT00189,joaquim-MS-7996,2460,30,198,5,0,2220
HT4BVJT00189,joaquim-MS-7996,1718,23,196,5,1,1420
HT4BVJT00189,joaquim-MS-7996,1642,23,235,4,0,1379
HT4BVJT00189,joaquim-MS-7996,2365,17,162,622,0,1364
HT4BVJT00189,joaquim-MS-7996,3410,9,142,1635,0,1601
HT4BVJT00189,joaquim-MS-7996,4567,44,208,2740,3,1553
HT4BTJT00127,joaquim-MS-7996,1808,40,211,6,1,1541
HT4BVJT00003,HT4BVJT00003,9956,29,83,32,3,9840
HT4BTJT00127,HT4BTJT00127,10425,33,139,17,3,10269
HT4BVJT00003,HT4BVJT00003,17796,31,88,8263,3,9444
HT4BVJT00003,HT4BVJT00003,25978,37,37,16171,3,9734
HT4CWJT00250,HT4CWJT00250,9819,10,94,28,3,9718
HT4BVJT00189,HT4BVJT00189,10451,56,61,16,8,10339
HT4BVJT00003,HT4BVJT00189,14909,16,260,4615,5,10039
HT4BVJT00003,joaquim-MS-7996,1977,72,328,25,1,1546
HT4CWJT00250,HT4BVJT00189,22721,30,212,12225,4,10283
HT4BTJT00127,joaquim-MS-7996,1651,30,205,7,2,1407
HT4CWJT00250,joaquim-MS-7996,2018,11,245,4,3,1743
HT4BVJT00003,joaquim-MS-7996,3011,36,173,1001,0,1796
HT4BVJT00189,joaquim-MS-7996,1844,18,254,6,1,1568
HT4BVJT00189,joaquim-MS-7996,1759,21,185,2,0,1549
HT4CWJT00250,joaquim-MS-7996,1851,52,146,2,0,1648
HT4BTJT00127,joaquim-MS-7996,1623,9,220,6,1,1376
HT4BTJT00127,joaquim-MS-7996,1556,17,146,4,1,1379
HT4BTJT00127,joaquim-MS-7996,1487,6,88,3,1,1375
HT4CWJT00250,joaquim-MS-7996,1600,27,204,2,0,1368
HT4BVJT00003,joaquim-MS-7996,2822,20,173,1265,0,1347
HT4CWJT00250,joaquim-MS-7996,4022,20,219,2435,1,1371
HT4CWJT00250,joaquim-MS-7996,3215,31,155,1302,0,1727
HT4BTJT00127,joaquim-MS-7996,4126,26,150,2509,2,1436
HT4BVJT00003,joaquim-MS-7996,5033,29,198,3460,1,1344
HT4CWJT00250,joaquim-MS-7996,1592,52,156,6,0,1374
HT4BTJT00127,joaquim-MS-7996,1526,36,132,1,1,1352
HT4BVJT00189,joaquim-MS-7996,2671,15,195,1113,0,1342
HT4BVJT00189,joaquim-MS-7996,3066,51,432,1208,0,1370
HT4BVJT00189,joaquim-MS-7996,1679,10,248,5,1,1412
HT4BVJT00189,joaquim-MS-7996,4025,40,267,2226,0,1347
HT4BVJT00003,joaquim-MS-7996,3023,14,164,1472,1,1357
HT4BVJT00003,joaquim-MS-7996,1631,30,210,6,0,1380
HT4BVJT00189,joaquim-MS-7996,2890,39,190,1293,0,1363
HT4BVJT00189,joaquim-MS-7996,2481,45,214,796,0,1414
HT4BVJT00189,joaquim-MS-7996,3521,27,245,1634,0,1606
HT4BVJT00003,joaquim-MS-7996,4441,70,180,2513,0,1670
HT4BVJT00189,joaquim-MS-7996,1655,47,207,3,1,1395
HT4BVJT00189,joaquim-MS-7996,1942,44,260,7,1,1625
HT4CWJT00250,joaquim-MS-7996,1603,15,121,7,1,1459
HT4BVJT00189,joaquim-MS-7996,1651,52,215,5,1,1371
HT4BVJT00189,joaquim-MS-7996,2303,46,226,5,1,2022
HT4BVJT00189,joaquim-MS-7996,1915,19,236,6,2,1665
HT4BVJT00189,joaquim-MS-7996,2585,32,199,772,1,1577
HT4BVJT00189,joaquim-MS-7996,3603,60,189,1996,1,1352
HT4BVJT00189,joaquim-MS-7996,4587,31,229,2967,0,1348
HT4BTJT00127,joaquim-MS-7996,1667,25,256,10,1,1375
HT4BVJT00003,HT4BVJT00003,10015,49,61,30,3,9902
HT4BTJT00127,HT4BTJT00127,10643,24,117,37,4,10495
HT4BVJT00003,HT4BVJT00003,17935,67,62,8282,3,9524
HT4BVJT00003,HT4BVJT00003,25942,9,34,16337,8,9561
HT4CWJT00250,HT4CWJT00250,9818,60,51,31,3,9675
HT4BVJT00189,HT4BVJT00189,10631,46,18,11,3,10549
HT4BVJT00003,HT4BVJT00189,15190,24,225,4786,2,10122
