ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9920,45,11,12,3,9845
HT4BTJT00127,HT4BTJT00127,10760,79,36,34,2,10614
HT4BVJT00003,HT4BVJT00003,17693,34,16,8246,3,9393
HT4CWJT00250,HT4CWJT00250,10455,9,18,25,1,10399
HT4BVJT00189,HT4BVJT00189,10515,43,31,25,3,10409
HT4CWJT00250,HT4BVJT00189,12492,14,99,2357,3,10009
HT4BTJT00127,joaquim-MS-7996,1708,90,75,23,1,1504
HT4CWJT00250,joaquim-MS-7996,1686,37,59,1,0,1586
HT4BVJT00189,joaquim-MS-7996,2005,9,77,3,0,1904
HT4BVJT00189,joaquim-MS-7996,1591,16,60,1,1,1498
HT4CWJT00250,joaquim-MS-7996,1637,15,78,4,1,1526
HT4BVJT00003,joaquim-MS-7996,2245,17,50,797,1,1319
HT4BTJT00127,joaquim-MS-7996,1478,61,61,4,1,1345
HT4BTJT00127,joaquim-MS-7996,1439,14,65,3,0,1347
HT4BVJT00189,joaquim-MS-7996,1553,45,100,4,0,1402
HT4BVJT00189,joaquim-MS-7996,1725,55,84,4,0,1580
HT4CWJT00250,joaquim-MS-7996,2603,28,93,910,1,1543
HT4CWJT00250,joaquim-MS-7996,3720,50,68,2179,0,1409
HT4CWJT00250,joaquim-MS-7996,2716,11,69,1109,0,1517
HT4BVJT00189,joaquim-MS-7996,2779,59,40,1169,1,1495
HT4BVJT00003,joaquim-MS-7996,2485,31,77,1049,0,1323
HT4BVJT00003,joaquim-MS-7996,1576,64,65,3,0,1441
HT4BVJT00189,joaquim-MS-7996,2407,24,64,643,0,1668
HT4BVJT00189,joaquim-MS-7996,1871,33,48,435,0,1350
HT4BVJT00189,joaquim-MS-7996,2659,66,32,1243,0,1318
HT4CWJT00250,joaquim-MS-7996,3359,63,59,1489,1,1739
HT4BTJT00127,joaquim-MS-7996,1779,67,93,1,1,1603
HT4BVJT00189,joaquim-MS-7996,1834,56,278,7,0,1510
HT4BVJT00189,joaquim-MS-7996,1447,16,50,3,1,1366
HT4BVJT00003,joaquim-MS-7996,2590,42,36,1199,0,1311
HT4BTJT00127,joaquim-MS-7996,3709,26,51,2312,1,1310
HT4BVJT00189,joaquim-MS-7996,4900,68,53,3439,0,1333
HT4BVJT00189,joaquim-MS-7996,3167,11,76,1752,0,1314
HT4BVJT00189,joaquim-MS-7996,1719,24,59,16,0,1616
HT4BVJT00189,joaquim-MS-7996,2420,55,61,723,1,1576
HT4BVJT00189,joaquim-MS-7996,3495,24,74,1967,1,1380
HT4BTJT00127,joaquim-MS-7996,1469,41,63,4,0,1350
HT4BTJT00127,joaquim-MS-7996,2639,39,23,1216,0,1355
HT4BTJT00127,joaquim-MS-7996,2949,13,70,1116,1,1744
HT4BVJT00189,joaquim-MS-7996,2377,20,59,376,1,1916
HT4BVJT00003,joaquim-MS-7996,4042,32,53,1991,0,1963
HT4CWJT00250,joaquim-MS-7996,4885,15,96,2967,1,1799
HT4BVJT00189,joaquim-MS-7996,4750,16,48,2487,0,2191
HT4BVJT00003,joaquim-MS-7996,6107,51,60,4273,0,1719
HT4BVJT00189,joaquim-MS-7996,1647,32,71,5,1,1527
HT4BVJT00003,HT4BVJT00003,10073,50,19,19,2,9984
HT4BTJT00127,HT4BTJT00127,10439,37,28,16,1,10357
HT4BVJT00003,HT4BVJT00003,17887,24,13,8457,2,9394
HT4CWJT00250,HT4CWJT00250,9805,65,23,27,4,9689
HT4BVJT00189,HT4BVJT00189,10575,15,14,38,3,10504
HT4CWJT00250,HT4BVJT00189,12581,52,85,2361,9,10067
HT4BTJT00127,joaquim-MS-7996,1668,25,79,23,0,1460
HT4CWJT00250,joaquim-MS-7996,1410,21,48,4,1,1328
HT4BVJT00189,joaquim-MS-7996,1503,60,108,5,1,1330
HT4BVJT00189,joaquim-MS-7996,1497,61,91,5,1,1322
HT4CWJT00250,joaquim-MS-7996,1449,15,77,4,1,1352
HT4BVJT00003,joaquim-MS-7996,2020,70,91,475,0,1304
HT4BTJT00127,joaquim-MS-7996,1450,39,59,4,0,1335
HT4BTJT00127,joaquim-MS-7996,1495,83,65,3,1,1341
HT4BVJT00189,joaquim-MS-7996,1445,28,54,61,0,1293
HT4BVJT00189,joaquim-MS-7996,1492,54,59,3,1,1336
HT4CWJT00250,joaquim-MS-7996,2086,60,64,667,1,1296
HT4CWJT00250,joaquim-MS-7996,3087,20,56,1709,0,1301
HT4CWJT00250,joaquim-MS-7996,1857,52,119,373,0,1315
HT4BVJT00189,joaquim-MS-7996,1733,28,47,351,0,1300
HT4BVJT00003,joaquim-MS-7996,1583,95,96,3,1,1386
HT4BVJT00003,joaquim-MS-7996,1470,28,83,1,0,1304
HT4BVJT00189,joaquim-MS-7996,1959,28,78,537,0,1320
HT4BVJT00189,joaquim-MS-7996,1444,42,42,39,0,1320
HT4BVJT00189,joaquim-MS-7996,2205,27,37,800,1,1338
HT4CWJT00250,joaquim-MS-7996,2611,10,52,1228,1,1311
HT4BTJT00127,joaquim-MS-7996,1452,18,85,3,1,1339
HT4BVJT00189,joaquim-MS-7996,1644,60,116,3,0,1456
HT4BVJT00189,joaquim-MS-7996,1484,52,42,2,1,1356
HT4BVJT00003,joaquim-MS-7996,2792,65,35,1185,0,1496
HT4BTJT00127,joaquim-MS-7996,4256,25,49,2557,0,1623
HT4BVJT00189,joaquim-MS-7996,5589,63,78,3940,0,1516
HT4BVJT00189,joaquim-MS-7996,4303,27,75,2456,0,1751
HT4BVJT00189,joaquim-MS-7996,2949,10,63,1203,0,1645
HT4BVJT00189,joaquim-MS-7996,3416,37,78,1917,2,1387
HT4BVJT00189,joaquim-MS-7996,4743,50,52,2977,0,1577
HT4BTJT00127,joaquim-MS-7996,1507,17,62,4,0,1417
HT4BTJT00127,joaquim-MS-7996,2674,49,30,1224,0,1364
