ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10250,10,92,20,6,10149
HT4BTJT00127,HT4BTJT00127,11061,88,603,25,10,10364
HT4CWJT00250,HT4CWJT00250,9993,14,108,37,8,9864
HT4BVJT00003,HT4BVJT00003,10298,26,99,648,5,9520
HT4BVJT00189,HT4BVJT00189,10782,72,112,22,11,10586
HT4CWJT00250,joaquim-MS-7996,2115,42,335,24,3,1696
HT4BTJT00127,joaquim-MS-7996,2047,79,487,10,4,1527
HT4CWJT00250,joaquim-MS-7996,2430,26,853,14,3,1533
HT4BVJT00003,joaquim-MS-7996,3679,10,705,1445,1,1513
HT4BVJT00189,joaquim-MS-7996,2398,87,796,10,2,1537
HT4BVJT00189,joaquim-MS-7996,3858,42,2251,5,1,1548
HT4CWJT00250,joaquim-MS-7996,3184,15,488,1089,3,1517
HT4BTJT00127,joaquim-MS-7996,2198,43,559,9,6,1547
HT4BTJT00127,joaquim-MS-7996,2059,10,409,17,2,1603
HT4BTJT00127,joaquim-MS-7996,1982,44,403,18,1,1527
HT4CWJT00250,joaquim-MS-7996,2034,16,477,9,7,1530
HT4CWJT00250,joaquim-MS-7996,3258,32,351,1351,2,1513
HT4CWJT00250,joaquim-MS-7996,2186,27,322,329,1,1504
HT4BTJT00127,joaquim-MS-7996,3230,24,279,1408,0,1515
HT4CWJT00250,joaquim-MS-7996,2196,12,635,12,2,1523
HT4BTJT00127,joaquim-MS-7996,2199,48,593,19,2,1531
HT4BVJT00189,HT4BVJT00003,10589,55,849,22,8,9691
HT4BVJT00003,joaquim-MS-7996,2210,46,583,49,2,1519
HT4BVJT00189,HT4CWJT00250,10653,45,1403,39,5,9253
HT4BVJT00189,HT4BTJT00127,11089,15,1616,22,9,9446
HT4BVJT00189,HT4BVJT00003,16572,76,881,5815,4,9788
HT4BVJT00189,HT4CWJT00250,11751,66,529,2000,3,9158
HT4BVJT00189,HT4BTJT00127,10678,40,616,536,11,9421
HT4BVJT00189,HT4BVJT00003,16716,50,671,6080,5,9891
HT4BVJT00003,joaquim-MS-7996,2130,60,519,13,3,1524
HT4BVJT00189,joaquim-MS-7996,2221,41,631,15,2,1519
HT4BVJT00003,joaquim-MS-7996,2029,29,435,16,1,1556
HT4CWJT00250,joaquim-MS-7996,1995,15,421,11,1,1529
HT4BVJT00003,joaquim-MS-7996,2851,34,545,707,2,1532
HT4BVJT00003,joaquim-MS-7996,2367,40,341,453,1,1515
HT4BVJT00003,joaquim-MS-7996,2267,53,650,10,6,1539
HT4BVJT00189,joaquim-MS-7996,3633,52,2041,11,8,1519
HT4BVJT00189,joaquim-MS-7996,2146,9,538,19,8,1522
HT4BTJT00127,joaquim-MS-7996,2191,47,500,21,2,1547
HT4BVJT00189,joaquim-MS-7996,3445,26,1518,369,4,1510
HT4BVJT00003,HT4BVJT00003,10127,11,101,25,4,10008
HT4BTJT00127,HT4BTJT00127,10387,22,113,26,6,10252
HT4CWJT00250,HT4CWJT00250,9994,42,114,36,6,9830
HT4BVJT00003,HT4BVJT00003,10381,16,127,532,5,9698
HT4BVJT00189,HT4BVJT00189,10748,10,149,29,5,10585
HT4CWJT00250,joaquim-MS-7996,2432,42,454,19,5,1914
HT4BTJT00127,HT4CWJT00250,10179,51,936,17,5,9189
HT4CWJT00250,joaquim-MS-7996,3280,18,534,18,6,2701
HT4BVJT00003,joaquim-MS-7996,4876,51,647,2229,1,1951
HT4BVJT00189,joaquim-MS-7996,3320,21,366,621,2,2281
HT4BVJT00189,joaquim-MS-7996,2189,20,549,4,1,1613
HT4CWJT00250,joaquim-MS-7996,2262,8,588,9,2,1622
HT4BTJT00127,joaquim-MS-7996,2367,33,710,19,2,1581
