ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1843,20,255,7,3,1560
HT4BTJT00127,joaquim-MS-7996,2551,24,270,772,1,1488
HT4BVJT00003,joaquim-MS-7996,3919,17,275,2149,2,1463
HT4BVJT00003,joaquim-MS-7996,4608,11,173,2973,1,1445
HT4CWJT00250,joaquim-MS-7996,5120,47,197,3368,0,1488
HT4BVJT00189,joaquim-MS-7996,2850,23,175,1169,1,1469
HT4BVJT00003,joaquim-MS-7996,1655,23,140,2,1,1478
HT4BVJT00003,joaquim-MS-7996,2194,18,234,486,0,1453
HT4CWJT00250,joaquim-MS-7996,3360,21,130,1751,1,1446
HT4BTJT00127,joaquim-MS-7996,1797,30,164,6,1,1496
HT4CWJT00250,joaquim-MS-7996,1764,55,187,5,1,1493
HT4BVJT00003,joaquim-MS-7996,2852,17,160,1157,0,1494
HT4BVJT00189,joaquim-MS-7996,2818,10,178,994,0,1502
HT4BVJT00189,joaquim-MS-7996,2657,31,187,939,3,1488
HT4CWJT00250,joaquim-MS-7996,3016,12,166,1262,0,1504
HT4BTJT00127,joaquim-MS-7996,2843,41,145,1180,3,1459
HT4BTJT00127,joaquim-MS-7996,3369,58,200,1588,1,1559
HT4BTJT00127,joaquim-MS-7996,2936,81,76,1258,0,1507
HT4CWJT00250,joaquim-MS-7996,3392,9,157,1649,0,1515
HT4BVJT00003,joaquim-MS-7996,4688,10,248,2988,0,1451
HT4CWJT00250,joaquim-MS-7996,6109,10,215,4386,0,1473
HT4CWJT00250,joaquim-MS-7996,6309,51,116,4654,0,1475
HT4BTJT00127,joaquim-MS-7996,7491,26,166,5855,2,1447
HT4BVJT00003,joaquim-MS-7996,8796,76,161,7028,1,1518
HT4CWJT00250,joaquim-MS-7996,4643,60,157,2864,0,1549
HT4BTJT00127,joaquim-MS-7996,4230,48,161,2516,0,1502
HT4BVJT00189,joaquim-MS-7996,5573,9,198,3926,1,1438
HT4BVJT00189,joaquim-MS-7996,6997,19,368,5111,0,1503
HT4BVJT00189,joaquim-MS-7996,5479,56,286,3569,0,1568
HT4BVJT00189,joaquim-MS-7996,8182,49,183,6452,0,1484
HT4BVJT00003,joaquim-MS-7996,8566,8,258,6803,0,1496
HT4BVJT00003,joaquim-MS-7996,8889,52,242,7146,0,1450
HT4BVJT00189,joaquim-MS-7996,7408,17,168,5722,1,1497
HT4BVJT00189,joaquim-MS-7996,9375,50,159,7681,0,1477
HT4BVJT00189,joaquim-MS-7996,10607,56,191,8876,0,1468
HT4BVJT00003,joaquim-MS-7996,11729,26,141,10053,0,1507
HT4BVJT00189,joaquim-MS-7996,10578,46,155,8853,0,1517
HT4BVJT00189,HT4BVJT00003,11303,86,313,44,9,10888
HT4CWJT00250,HT4BVJT00003,20935,54,160,9917,3,10814
HT4BVJT00189,HT4CWJT00250,9340,39,203,14,3,9060
HT4BVJT00189,joaquim-MS-7996,5111,41,135,3462,1,1465
HT4BVJT00189,joaquim-MS-7996,5084,9,144,3381,0,1540
HT4BVJT00189,joaquim-MS-7996,6112,121,184,4343,1,1465
HT4BVJT00189,joaquim-MS-7996,7435,10,199,5761,1,1462
HT4BVJT00189,joaquim-MS-7996,8775,12,135,7113,0,1479
HT4BTJT00127,joaquim-MS-7996,7100,55,147,5395,0,1479
HT4BVJT00189,joaquim-MS-7996,7760,27,193,6066,1,1490
HT4BVJT00189,HT4CWJT00250,9417,12,216,26,6,9186
HT4CWJT00250,joaquim-MS-7996,4979,68,162,3248,1,1509
HT4BVJT00189,joaquim-MS-7996,5043,47,95,3403,0,1491
HT4BVJT00189,joaquim-MS-7996,4712,52,140,3000,1,1511
HT4BTJT00127,joaquim-MS-7996,4760,57,116,3107,0,1476
HT4BVJT00189,joaquim-MS-7996,6199,19,227,4361,0,1577
HT4BTJT00127,joaquim-MS-7996,6895,47,139,5208,1,1489
HT4BVJT00003,joaquim-MS-7996,7470,43,140,5815,1,1473
HT4CWJT00250,joaquim-MS-7996,6753,14,99,5164,1,1431
