ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1558,30,56,8,0,1455
HT4BTJT00127,joaquim-MS-7996,2242,34,76,681,0,1444
HT4BVJT00003,joaquim-MS-7996,3506,73,77,1950,0,1407
HT4CWJT00250,joaquim-MS-7996,3282,57,79,1664,0,1425
HT4BVJT00189,joaquim-MS-7996,1503,21,83,4,0,1410
HT4CWJT00250,joaquim-MS-7996,1496,9,76,4,1,1401
HT4BTJT00127,joaquim-MS-7996,1589,17,98,4,0,1458
HT4CWJT00250,joaquim-MS-7996,1506,36,71,3,1,1390
HT4BVJT00189,joaquim-MS-7996,1581,65,89,4,0,1426
HT4BVJT00189,joaquim-MS-7996,1570,22,61,3,0,1475
HT4CWJT00250,joaquim-MS-7996,1931,59,111,223,0,1465
HT4BVJT00003,joaquim-MS-7996,2937,17,54,1425,1,1433
HT4BTJT00127,joaquim-MS-7996,3072,64,46,1545,1,1407
HT4BTJT00127,joaquim-MS-7996,3493,17,50,1940,1,1484
HT4BVJT00189,joaquim-MS-7996,4324,62,62,2730,0,1466
HT4BVJT00189,joaquim-MS-7996,3758,27,59,2194,0,1476
HT4CWJT00250,joaquim-MS-7996,4802,17,53,3328,0,1398
HT4CWJT00250,joaquim-MS-7996,6089,79,46,4511,0,1455
HT4CWJT00250,joaquim-MS-7996,6338,42,46,4748,0,1493
HT4BVJT00189,joaquim-MS-7996,7051,19,34,5587,0,1407
HT4BVJT00003,joaquim-MS-7996,7716,16,71,6151,0,1479
HT4BVJT00003,joaquim-MS-7996,6587,63,75,5018,0,1429
HT4BVJT00189,joaquim-MS-7996,7629,31,79,6038,1,1472
HT4BVJT00189,joaquim-MS-7996,8139,41,54,6610,0,1438
HT4BVJT00189,joaquim-MS-7996,9374,77,40,7752,0,1502
HT4CWJT00250,joaquim-MS-7996,10301,16,52,8819,0,1409
HT4BTJT00127,HT4BVJT00003,9436,69,152,23,4,9217
HT4BVJT00189,HT4CWJT00250,9352,34,226,19,3,9077
HT4BVJT00189,HT4CWJT00250,16415,11,47,7397,1,8962
HT4BVJT00003,HT4CWJT00250,25435,12,46,16305,1,9077
HT4BTJT00127,HT4CWJT00250,34556,63,69,25186,1,9227
HT4BVJT00189,HT4CWJT00250,43820,54,82,34319,1,9343
HT4BVJT00189,HT4BVJT00003,14227,59,91,4862,2,9211
HT4BVJT00189,joaquim-MS-7996,3995,50,58,2455,0,1433
HT4BVJT00189,joaquim-MS-7996,4975,47,61,3373,0,1490
HT4BVJT00189,joaquim-MS-7996,6362,45,93,4744,0,1482
HT4BTJT00127,joaquim-MS-7996,3787,63,54,2161,0,1438
HT4BTJT00127,joaquim-MS-7996,5083,46,14,3576,0,1442
HT4BTJT00127,joaquim-MS-7996,5769,32,62,4255,0,1416
HT4BVJT00189,joaquim-MS-7996,5936,33,83,4397,1,1425
HT4BVJT00003,joaquim-MS-7996,7294,10,59,5791,0,1431
HT4CWJT00250,joaquim-MS-7996,8190,61,320,6386,1,1420
HT4BVJT00189,joaquim-MS-7996,8420,28,67,6903,0,1405
HT4BVJT00003,joaquim-MS-7996,9693,12,56,8215,1,1396
HT4BVJT00189,joaquim-MS-7996,7278,29,60,5766,0,1418
HT4BVJT00003,joaquim-MS-7996,1776,58,108,151,0,1438
HT4BTJT00127,joaquim-MS-7996,2484,43,56,902,0,1476
HT4CWJT00250,joaquim-MS-7996,2426,45,65,819,0,1491
HT4BVJT00003,joaquim-MS-7996,3527,51,406,1644,0,1435
HT4BVJT00003,joaquim-MS-7996,3280,48,65,1760,0,1407
HT4BVJT00189,joaquim-MS-7996,4640,52,58,3132,0,1387
