ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2166,48,427,15,2,1665
HT4BTJT00127,joaquim-MS-7996,3298,47,586,823,2,1729
HT4CWJT00250,joaquim-MS-7996,3022,49,704,587,2,1683
HT4BVJT00003,joaquim-MS-7996,2510,17,372,454,1,1659
HT4BVJT00189,joaquim-MS-7996,2554,11,540,379,2,1614
HT4CWJT00250,joaquim-MS-7996,1960,27,289,11,1,1615
HT4BTJT00127,joaquim-MS-7996,1961,7,333,3,1,1618
HT4CWJT00250,joaquim-MS-7996,2431,58,575,15,3,1675
HT4BVJT00003,joaquim-MS-7996,3795,17,645,1447,4,1639
HT4BVJT00189,joaquim-MS-7996,3528,17,359,1493,1,1648
HT4BVJT00189,joaquim-MS-7996,3653,8,448,1524,3,1647
HT4CWJT00250,joaquim-MS-7996,4134,14,455,2035,1,1637
HT4BTJT00127,joaquim-MS-7996,4177,43,482,1941,5,1697
HT4BTJT00127,joaquim-MS-7996,4924,10,546,2580,2,1766
HT4BTJT00127,joaquim-MS-7996,4620,63,357,2567,1,1620
HT4CWJT00250,joaquim-MS-7996,5126,16,632,2869,0,1617
HT4CWJT00250,joaquim-MS-7996,6605,49,524,4423,1,1604
HT4CWJT00250,joaquim-MS-7996,6994,12,301,4992,1,1642
HT4BTJT00127,joaquim-MS-7996,8423,15,296,6406,1,1679
HT4CWJT00250,joaquim-MS-7996,4258,59,431,2006,1,1741
HT4BTJT00127,joaquim-MS-7996,4007,41,398,1855,2,1663
HT4BVJT00189,joaquim-MS-7996,5415,12,696,3082,1,1609
HT4BVJT00003,joaquim-MS-7996,6507,12,522,4265,2,1688
HT4BVJT00189,joaquim-MS-7996,7119,18,749,4774,1,1612
HT4BVJT00189,joaquim-MS-7996,8688,17,956,6091,1,1651
HT4BVJT00189,joaquim-MS-7996,9992,78,656,7604,1,1649
HT4BVJT00189,HT4CWJT00250,10230,16,668,19,8,9568
HT4BVJT00189,HT4CWJT00250,18538,9,1413,7882,4,9218
HT4BVJT00189,HT4CWJT00250,27957,10,1422,16890,5,9660
HT4BVJT00003,HT4BVJT00189,10777,43,723,15,6,10022
HT4BVJT00189,joaquim-MS-7996,3855,46,366,1720,3,1696
HT4BVJT00003,joaquim-MS-7996,3949,44,361,1871,1,1664
HT4CWJT00250,joaquim-MS-7996,4099,16,322,2051,1,1700
