ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1613,20,178,8,2,1398
HT4BVJT00003,joaquim-MS-7996,2175,31,214,529,0,1396
HT4BTJT00127,HT4CWJT00250,9672,24,336,47,7,9267
HT4BVJT00003,joaquim-MS-7996,2736,10,135,1237,0,1349
HT4CWJT00250,joaquim-MS-7996,3141,27,181,1576,0,1352
HT4BVJT00189,joaquim-MS-7996,1603,34,186,4,1,1367
HT4BVJT00003,joaquim-MS-7996,1639,26,168,4,1,1376
HT4BVJT00003,joaquim-MS-7996,2008,9,186,459,0,1346
HT4CWJT00250,joaquim-MS-7996,3070,9,124,1596,0,1334
HT4BTJT00127,HT4CWJT00250,9589,43,207,25,5,9256
HT4CWJT00250,joaquim-MS-7996,1597,63,180,1,1,1352
HT4BVJT00003,joaquim-MS-7996,2625,14,149,1093,0,1357
HT4BVJT00189,joaquim-MS-7996,2428,10,150,797,0,1345
HT4BVJT00189,joaquim-MS-7996,2122,43,155,563,0,1361
HT4CWJT00250,joaquim-MS-7996,2329,59,109,812,1,1336
HT4BTJT00127,HT4BVJT00189,9805,26,278,22,4,9465
HT4BTJT00127,HT4CWJT00250,9678,21,173,55,25,9377
HT4BTJT00127,HT4CWJT00250,17124,17,85,7653,2,9354
HT4CWJT00250,joaquim-MS-7996,1499,11,142,2,0,1337
HT4BVJT00003,joaquim-MS-7996,2791,101,191,1151,1,1347
HT4CWJT00250,joaquim-MS-7996,4054,46,182,2474,0,1352
HT4CWJT00250,joaquim-MS-7996,4174,7,89,2689,0,1338
HT4BTJT00127,HT4BVJT00003,9551,60,342,42,7,9095
HT4BVJT00003,joaquim-MS-7996,4968,62,163,3403,1,1336
HT4CWJT00250,joaquim-MS-7996,1559,20,142,4,1,1370
HT4BTJT00127,HT4CWJT00250,15882,30,210,6250,1,9398
HT4BVJT00189,joaquim-MS-7996,1558,18,164,5,0,1368
HT4BVJT00189,joaquim-MS-7996,3157,33,372,1422,2,1355
HT4BVJT00189,joaquim-MS-7996,1774,40,278,6,1,1461
HT4BVJT00189,joaquim-MS-7996,4170,15,171,2623,1,1347
