ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1431,41,56,5,0,1326
HT4BTJT00127,joaquim-MS-7996,2036,41,84,579,0,1324
HT4BVJT00003,joaquim-MS-7996,3238,11,54,1872,0,1294
HT4CWJT00250,joaquim-MS-7996,2791,92,89,1300,0,1302
HT4BVJT00189,joaquim-MS-7996,1394,24,46,4,1,1316
HT4CWJT00250,joaquim-MS-7996,1492,75,66,3,0,1332
HT4BTJT00127,joaquim-MS-7996,1388,10,46,3,1,1322
HT4CWJT00250,joaquim-MS-7996,1382,14,47,3,1,1308
HT4BVJT00189,joaquim-MS-7996,1425,22,61,4,0,1333
HT4BVJT00189,joaquim-MS-7996,1549,32,62,4,0,1443
HT4CWJT00250,joaquim-MS-7996,1672,66,82,211,0,1310
HT4BVJT00003,joaquim-MS-7996,2685,16,41,1266,0,1302
HT4BTJT00127,joaquim-MS-7996,2655,46,39,1251,0,1310
HT4BTJT00127,joaquim-MS-7996,2917,63,50,1482,0,1297
HT4BVJT00189,joaquim-MS-7996,3559,37,43,2183,0,1285
HT4BVJT00189,joaquim-MS-7996,2789,29,49,1411,0,1293
HT4CWJT00250,joaquim-MS-7996,3760,54,76,2308,0,1293
HT4CWJT00250,joaquim-MS-7996,4877,24,40,3523,0,1286
HT4CWJT00250,joaquim-MS-7996,4893,50,53,3482,0,1298
HT4BVJT00189,joaquim-MS-7996,5483,29,39,4126,0,1286
HT4BVJT00003,joaquim-MS-7996,5997,36,85,4565,0,1302
HT4BVJT00003,joaquim-MS-7996,4710,48,45,3316,0,1289
HT4BVJT00189,joaquim-MS-7996,5526,92,55,4083,0,1294
HT4BVJT00189,joaquim-MS-7996,6067,56,28,4591,0,1291
HT4BVJT00189,joaquim-MS-7996,6994,31,33,5633,0,1296
HT4CWJT00250,joaquim-MS-7996,7795,12,46,6445,0,1289
HT4BTJT00127,joaquim-MS-7996,7239,19,71,5841,0,1301
HT4BVJT00189,joaquim-MS-7996,7906,10,71,6529,1,1291
HT4BVJT00189,joaquim-MS-7996,8551,56,45,7160,0,1287
HT4BVJT00003,joaquim-MS-7996,7220,8,34,5869,0,1309
HT4BTJT00127,joaquim-MS-7996,9724,23,31,8337,0,1285
HT4BVJT00189,joaquim-MS-7996,10865,32,54,9498,0,1284
HT4BVJT00189,HT4CWJT00250,9195,29,90,11,2,9054
HT4BVJT00189,HT4CWJT00250,16699,42,79,7527,1,9060
HT4BVJT00189,HT4CWJT00250,25469,29,118,16136,3,9181
HT4BVJT00189,HT4BVJT00003,9295,21,94,24,6,9137
HT4BTJT00127,joaquim-MS-7996,4465,27,54,3051,0,1288
HT4BTJT00127,joaquim-MS-7996,5629,7,15,4300,0,1294
HT4BTJT00127,joaquim-MS-7996,6198,7,61,4825,0,1301
HT4BVJT00189,joaquim-MS-7996,6226,21,63,4808,0,1294
HT4BVJT00003,joaquim-MS-7996,7393,8,41,6053,0,1287
