ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2048,48,391,14,7,1575
HT4BTJT00127,joaquim-MS-7996,2865,10,462,818,4,1565
HT4CWJT00250,joaquim-MS-7996,2595,12,441,578,2,1535
HT4BVJT00003,joaquim-MS-7996,1931,16,299,78,1,1514
HT4BVJT00189,joaquim-MS-7996,2192,49,499,16,9,1604
HT4CWJT00250,joaquim-MS-7996,1802,18,245,3,0,1527
HT4BTJT00127,joaquim-MS-7996,1857,15,281,11,2,1538
HT4CWJT00250,joaquim-MS-7996,1944,12,380,5,1,1528
HT4BVJT00003,joaquim-MS-7996,3311,34,411,1320,1,1535
HT4BVJT00189,joaquim-MS-7996,2874,41,292,980,1,1552
HT4BVJT00189,joaquim-MS-7996,2807,39,358,864,2,1529
HT4CWJT00250,joaquim-MS-7996,3406,47,340,1423,2,1542
HT4BTJT00127,joaquim-MS-7996,3239,46,389,1263,2,1537
HT4BTJT00127,joaquim-MS-7996,3832,10,240,1981,1,1527
HT4BTJT00127,joaquim-MS-7996,3372,46,264,1493,2,1532
HT4CWJT00250,joaquim-MS-7996,3845,9,378,1837,1,1521
HT4CWJT00250,joaquim-MS-7996,5136,10,284,3308,1,1505
HT4CWJT00250,joaquim-MS-7996,5354,7,220,3598,0,1517
HT4BTJT00127,joaquim-MS-7996,6565,18,219,4793,1,1515
HT4CWJT00250,joaquim-MS-7996,2262,15,328,351,1,1535
HT4BTJT00127,joaquim-MS-7996,2092,15,405,4,1,1640
HT4BVJT00189,joaquim-MS-7996,3448,12,581,1309,2,1543
HT4BVJT00003,joaquim-MS-7996,4301,25,313,2417,1,1523
HT4BVJT00189,joaquim-MS-7996,4866,81,722,2501,1,1536
HT4BVJT00189,joaquim-MS-7996,6379,60,769,3964,1,1553
HT4BVJT00189,joaquim-MS-7996,7703,13,613,5500,1,1526
HT4BVJT00189,joaquim-MS-7996,5473,12,294,3577,1,1522
HT4BVJT00189,joaquim-MS-7996,6078,15,348,4124,2,1522
HT4BVJT00189,joaquim-MS-7996,7317,32,316,5416,1,1530
HT4BVJT00003,joaquim-MS-7996,6866,47,322,4936,3,1546
HT4BVJT00189,joaquim-MS-7996,7452,43,304,5582,1,1533
HT4BVJT00003,HT4BVJT00003,9646,10,89,14,5,9557
HT4CWJT00250,joaquim-MS-7996,5745,15,275,3930,1,1511
HT4BVJT00003,HT4BVJT00003,17581,58,122,7561,10,9862
HT4BVJT00003,joaquim-MS-7996,5982,59,218,4188,1,1518
HT4BVJT00003,joaquim-MS-7996,5684,47,344,3740,1,1534
HT4BVJT00189,joaquim-MS-7996,6495,11,348,4602,2,1537
HT4BVJT00189,joaquim-MS-7996,6057,47,274,4209,1,1530
HT4BTJT00127,joaquim-MS-7996,4176,35,517,2061,1,1549
HT4BVJT00189,joaquim-MS-7996,5633,45,518,3530,1,1525
HT4BVJT00189,joaquim-MS-7996,5634,40,261,3795,2,1526
HT4BVJT00189,joaquim-MS-7996,5663,11,212,3887,1,1548
HT4BVJT00189,joaquim-MS-7996,6715,52,377,4774,2,1515
HT4BVJT00189,joaquim-MS-7996,8057,10,407,6139,2,1518
HT4BVJT00189,HT4BVJT00003,14555,50,1567,3042,10,9870
HT4BVJT00003,joaquim-MS-7996,8732,22,271,6896,0,1505
HT4CWJT00250,joaquim-MS-7996,9740,10,514,7653,1,1525
HT4BVJT00003,joaquim-MS-7996,9172,10,396,7211,3,1555
HT4BVJT00189,HT4CWJT00250,10065,55,611,31,6,9375
HT4BVJT00003,HT4BTJT00127,10072,10,589,10,4,9459
HT4BVJT00189,HT4BVJT00189,10129,17,103,15,5,10022
HT4BTJT00127,HT4BVJT00003,18182,46,951,7669,6,9538
HT4BTJT00127,HT4CWJT00250,16444,24,624,6758,4,9000
HT4BVJT00189,joaquim-MS-7996,4392,46,299,2471,1,1524
HT4CWJT00250,joaquim-MS-7996,5666,11,270,3802,0,1510
HT4CWJT00250,joaquim-MS-7996,6103,13,294,4263,1,1530
HT4BVJT00189,joaquim-MS-7996,7055,9,329,5181,1,1531
HT4BVJT00189,joaquim-MS-7996,7067,32,355,5130,3,1529
HT4BVJT00189,joaquim-MS-7996,3522,41,310,1611,1,1533
HT4BVJT00189,joaquim-MS-7996,2306,25,291,451,1,1514
HT4BTJT00127,joaquim-MS-7996,3365,17,395,1415,1,1524
HT4CWJT00250,joaquim-MS-7996,2001,43,367,22,9,1552
HT4BVJT00189,joaquim-MS-7996,2077,13,406,23,2,1624
HT4CWJT00250,joaquim-MS-7996,2275,11,375,328,1,1559
HT4BTJT00127,joaquim-MS-7996,3477,12,318,1599,1,1531
HT4BVJT00189,joaquim-MS-7996,4706,37,433,2718,1,1526
HT4BVJT00003,joaquim-MS-7996,6148,50,479,4059,1,1553
HT4CWJT00250,joaquim-MS-7996,5728,14,400,3769,2,1528
HT4BTJT00127,joaquim-MS-7996,4950,8,388,3006,1,1530
HT4BVJT00003,joaquim-MS-7996,6016,53,371,4030,1,1535
HT4BTJT00127,joaquim-MS-7996,3410,54,448,1366,2,1541
HT4BVJT00189,joaquim-MS-7996,4775,54,400,2782,1,1528
HT4BVJT00003,joaquim-MS-7996,5879,46,351,3864,1,1519
HT4BVJT00003,joaquim-MS-7996,6187,29,280,4328,1,1527
HT4CWJT00250,joaquim-MS-7996,5709,13,192,3958,1,1533
HT4BVJT00189,joaquim-MS-7996,6569,79,271,4676,1,1537
HT4BVJT00189,joaquim-MS-7996,5195,17,385,3240,1,1551
HT4BTJT00127,joaquim-MS-7996,6522,70,417,4512,1,1522
HT4BVJT00189,joaquim-MS-7996,7787,48,372,5821,1,1523
HT4BVJT00189,joaquim-MS-7996,8350,10,216,6591,0,1520
HT4BVJT00189,joaquim-MS-7996,8800,10,425,6831,1,1537
HT4CWJT00250,joaquim-MS-7996,10026,49,359,8074,1,1540
HT4BVJT00189,joaquim-MS-7996,10669,12,493,8642,1,1531
HT4BTJT00127,joaquim-MS-7996,12083,40,466,10063,1,1523
HT4BTJT00127,joaquim-MS-7996,12938,8,315,11117,2,1522
HT4BTJT00127,HT4CWJT00250,19108,24,824,9159,6,9018
HT4CWJT00250,HT4CWJT00250,9609,54,315,75,5,9153
HT4CWJT00250,HT4CWJT00250,27442,54,100,18115,5,9203
HT4CWJT00250,HT4BVJT00003,10019,73,717,31,9,9206
HT4BVJT00003,joaquim-MS-7996,2141,16,445,5,2,1589
HT4BTJT00127,joaquim-MS-7996,2852,15,511,734,2,1555
HT4CWJT00250,joaquim-MS-7996,2476,13,471,447,2,1545
HT4BVJT00003,joaquim-MS-7996,1953,12,268,100,1,1538
HT4BVJT00189,joaquim-MS-7996,2204,47,480,17,3,1631
HT4CWJT00250,joaquim-MS-7996,1849,48,224,9,1,1556
HT4BTJT00127,joaquim-MS-7996,1910,56,288,8,2,1543
HT4CWJT00250,joaquim-MS-7996,1979,9,432,4,3,1528
HT4BVJT00003,joaquim-MS-7996,3364,9,437,1364,1,1538
HT4BVJT00189,joaquim-MS-7996,2999,46,272,1127,1,1540
HT4BVJT00189,joaquim-MS-7996,3024,11,370,1078,1,1542
HT4CWJT00250,joaquim-MS-7996,3383,17,372,1459,2,1535
HT4BTJT00127,joaquim-MS-7996,3305,13,387,1370,1,1529
HT4BTJT00127,joaquim-MS-7996,3747,42,286,1874,1,1536
HT4BTJT00127,joaquim-MS-7996,3374,17,330,1482,2,1530
HT4CWJT00250,joaquim-MS-7996,5143,56,425,3119,1,1519
HT4CWJT00250,joaquim-MS-7996,3754,51,333,1716,0,1508
HT4CWJT00250,joaquim-MS-7996,5353,63,297,3470,0,1516
HT4BTJT00127,joaquim-MS-7996,6651,15,313,4806,0,1520
HT4CWJT00250,joaquim-MS-7996,2284,77,323,319,1,1540
HT4BTJT00127,joaquim-MS-7996,2008,51,421,3,0,1549
HT4BVJT00189,joaquim-MS-7996,3480,31,624,1254,2,1565
HT4BVJT00003,joaquim-MS-7996,4396,51,352,2437,1,1527
HT4BVJT00189,joaquim-MS-7996,4915,23,569,2790,1,1529
HT4BVJT00189,joaquim-MS-7996,6435,11,697,4192,1,1541
HT4BVJT00189,joaquim-MS-7996,7684,45,455,5648,1,1528
HT4BVJT00189,joaquim-MS-7996,5440,11,279,3623,1,1520
HT4BVJT00189,joaquim-MS-7996,6047,8,322,4183,1,1532
HT4BVJT00189,joaquim-MS-7996,7272,44,282,5399,3,1529
HT4BVJT00003,joaquim-MS-7996,6743,46,325,4817,1,1531
HT4BVJT00189,joaquim-MS-7996,7394,43,302,5504,4,1520
HT4BVJT00003,joaquim-MS-7996,7346,44,315,5449,1,1518
HT4CWJT00250,joaquim-MS-7996,7224,11,280,5420,1,1522
HT4BVJT00003,HT4CWJT00250,10614,67,984,31,6,9492
